Indicator Groep,Indicator Niveau 1,Indicator Niveau 2,Product Groep,Product Niveau 1,Kiloton olie equivalent (ovw)
Transformatie input,Productie van elektriciteit en warmte,,Vaste fossiele brandstoffen,Steenkool-briketten,
Transformatie input,Productie van elektriciteit en warmte,,Vaste fossiele brandstoffen,Cokesoven-cokes,
Transformatie input,Productie van elektriciteit en warmte,,Vaste fossiele brandstoffen,Koolteer,
Transformatie input,Productie van elektriciteit en warmte,,Vaste fossiele brandstoffen,BKB (bruinkoolbriketten),
Transformatie input,Productie van elektriciteit en warmte,,Siderurgische gassen,Cokesovengas,1.227
Transformatie input,Productie van elektriciteit en warmte,,Siderurgische gassen,Hoogovengas,393.826
Transformatie input,Productie van elektriciteit en warmte,,Siderurgische gassen,Andere teruggewonnen gassen,17.376
Transformatie input,Cokesovens,,Vaste fossiele brandstoffen,Antraciet,
Transformatie input,Cokesovens,,Vaste fossiele brandstoffen,Cokeskool,1158.352
Transformatie input,Cokesovens,,Vaste fossiele brandstoffen,Andere bitumineuze kool,
Transformatie input,Cokesovens,,Vaste fossiele brandstoffen,Subbitumineuze kool,
Transformatie input,Cokesovens,,Vaste fossiele brandstoffen,Steenkool-briketten,
Transformatie input,Cokesovens,,Vaste fossiele brandstoffen,Cokesoven-cokes,
Transformatie input,Cokesovens,,Vaste fossiele brandstoffen,Koolteer,
Transformatie input,Cokesovens,,Vaste fossiele brandstoffen,BKB (bruinkoolbriketten),
Transformatie input,Cokesovens,,Siderurgische gassen,Cokesovengas,
Transformatie input,Cokesovens,,Siderurgische gassen,Hoogovengas,
Transformatie input,Cokesovens,,Siderurgische gassen,Andere teruggewonnen gassen,
Transformatie input,Hoogovens,,Vaste fossiele brandstoffen,Antraciet,112.326
Transformatie input,Hoogovens,,Vaste fossiele brandstoffen,Cokeskool,
Transformatie input,Hoogovens,,Vaste fossiele brandstoffen,Andere bitumineuze kool,639.043
Transformatie input,Hoogovens,,Vaste fossiele brandstoffen,Subbitumineuze kool,
Transformatie input,Hoogovens,,Vaste fossiele brandstoffen,Steenkool-briketten,
Transformatie input,Hoogovens,,Vaste fossiele brandstoffen,Cokesoven-cokes,1009.757
Transformatie input,Hoogovens,,Vaste fossiele brandstoffen,Koolteer,
Transformatie input,Hoogovens,,Vaste fossiele brandstoffen,BKB (bruinkoolbriketten),
Transformatie input,Hoogovens,,Siderurgische gassen,Cokesovengas,
Transformatie input,Hoogovens,,Siderurgische gassen,Hoogovengas,
Transformatie input,Hoogovens,,Siderurgische gassen,Andere teruggewonnen gassen,
Transformatie input,,,Vaste fossiele brandstoffen,Antraciet,112.326
Transformatie input,,,Vaste fossiele brandstoffen,Cokeskool,1158.352
Transformatie input,,,Vaste fossiele brandstoffen,Andere bitumineuze kool,643.308
Transformatie input,,,Vaste fossiele brandstoffen,Subbitumineuze kool,
Transformatie input,,,Vaste fossiele brandstoffen,Steenkool-briketten,
Transformatie input,,,Vaste fossiele brandstoffen,Cokesoven-cokes,1009.757
Transformatie input,,,Vaste fossiele brandstoffen,Koolteer,
Transformatie input,,,Vaste fossiele brandstoffen,BKB (bruinkoolbriketten),
Transformatie input,,,Siderurgische gassen,Cokesovengas,1.227
Transformatie input,,,Siderurgische gassen,Hoogovengas,393.826
Transformatie input,,,Siderurgische gassen,Andere teruggewonnen gassen,17.376
Transformatie output,Cokesovens,,Vaste fossiele brandstoffen,Antraciet,
Transformatie output,Cokesovens,,Vaste fossiele brandstoffen,Cokeskool,
Transformatie output,Cokesovens,,Vaste fossiele brandstoffen,Andere bitumineuze kool,
Transformatie output,Cokesovens,,Vaste fossiele brandstoffen,Subbitumineuze kool,
Transformatie output,Cokesovens,,Vaste fossiele brandstoffen,Steenkool-briketten,
Transformatie output,Cokesovens,,Vaste fossiele brandstoffen,Cokesoven-cokes,880.751
Transformatie output,Cokesovens,,Vaste fossiele brandstoffen,Koolteer,36.873
Transformatie output,Cokesovens,,Vaste fossiele brandstoffen,BKB (bruinkoolbriketten),
Transformatie output,Cokesovens,,Siderurgische gassen,Cokesovengas,222.412
Transformatie output,Cokesovens,,Siderurgische gassen,Hoogovengas,
Transformatie output,Cokesovens,,Siderurgische gassen,Andere teruggewonnen gassen,
Transformatie output,Hoogovens,,Vaste fossiele brandstoffen,Antraciet,
Transformatie output,Hoogovens,,Vaste fossiele brandstoffen,Cokeskool,
Transformatie output,Hoogovens,,Vaste fossiele brandstoffen,Andere bitumineuze kool,
Transformatie output,Hoogovens,,Vaste fossiele brandstoffen,Subbitumineuze kool,
Transformatie output,Hoogovens,,Vaste fossiele brandstoffen,Steenkool-briketten,
Transformatie output,Hoogovens,,Vaste fossiele brandstoffen,Cokesoven-cokes,
Transformatie output,Hoogovens,,Vaste fossiele brandstoffen,Koolteer,
Transformatie output,Hoogovens,,Vaste fossiele brandstoffen,BKB (bruinkoolbriketten),
Transformatie output,Hoogovens,,Siderurgische gassen,Cokesovengas,
Transformatie output,Hoogovens,,Siderurgische gassen,Hoogovengas,520.581
Transformatie output,Hoogovens,,Siderurgische gassen,Andere teruggewonnen gassen,74.176
Transformatie output,,,Vaste fossiele brandstoffen,Antraciet,
Transformatie output,,,Vaste fossiele brandstoffen,Cokeskool,
Transformatie output,,,Vaste fossiele brandstoffen,Andere bitumineuze kool,
Transformatie output,,,Vaste fossiele brandstoffen,Subbitumineuze kool,
