België,Gewest,Provincie,Arrondissement,Gemeente,Gehuwde bevolking
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Péruwelz,0.447
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Leuze-en-Hainaut,0.461
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Antoing,0.461
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Brunehaut,0.498
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Celles (Doornik),0.506
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Pecq,0.516
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Estaimpuis,0.517
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Rumes,0.519
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Mont-de-l’Enclus,0.544
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Charleroi,0.433
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Châtelet,0.46
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Fontaine-l’Evêque,0.469
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Courcelles,0.471
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Chapelle-lez-Herlaimont,0.472
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Les Bons Villers,0.475
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Fleurus,0.478
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Manage,0.479
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Seneffe,0.492
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Montigny-le-Tilleul,0.495
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Pont-à-Celles,0.501
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Aiseau-Presles,0.503
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Farciennes,0.513
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Gerpinnes,0.515
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Beloeil,0.445
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Aat,0.455
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Brugelette,0.462
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Bernissart,0.474
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Chièvres,0.477
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Vloesberg,0.49
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Elzele,0.501
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Frasnes-lez-Anvaing,0.503
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Erquelinnes,0.457
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Chimay,0.459
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Momignies,0.462
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Morlanwelz,0.467
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Binche,0.47
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Anderlues,0.472
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Beaumont,0.475
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Lobbes,0.478
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Estinnes,0.486
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Sivry-Rance,0.488
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Froidchapelle,0.488
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Thuin,0.492
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Merbes-le-Château,0.493
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Ham-sur-Heure-Nalinnes,0.508
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Lessen,0.455
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Ecaussinnes,0.464
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Zinnik,0.473
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,’s Gravenbrakel,0.477
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,La Louvière,0.477
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Edingen,0.487
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Le Roeulx,0.506
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Opzullik,0.536
België,Waals Gewest,Provincie Henegouwen,Arrondissement Moeskroen,Moeskroen,0.496
België,Waals Gewest,Provincie Henegouwen,Arrondissement Moeskroen,Komen-Waasten,0.528
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Namen,0.43
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Andenne,0.451
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Sambreville,0.461
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Ohey,0.472
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Gembloux,0.479
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Gesves,0.485
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Mettet,0.489
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Fosses-la-Ville,0.493
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Jemeppe-sur-Sambre,0.496
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Profondeville,0.499
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Assesse,0.5
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Eghezée,0.501
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Sombreffe,0.501
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Floreffe,0.506
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Fernelmont,0.517
België,Waals Gewest,Provincie Namen,Arrondissement Namen,La Bruyère,0.529
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Dinant,0.41
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Ciney,0.433
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Houyet,0.443
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Hastière,0.464
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Rochefort,0.474
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Vresse-sur-Semois,0.476
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Anhée,0.478
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Havelange,0.48
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Yvoir,0.492
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Beauraing,0.493
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Onhaye,0.5
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Hamois,0.501
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Bièvre,0.511
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Somme-Leuze,0.512
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Gedinne,0.515
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Viroinval,0.412
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Couvin,0.445
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Cerfontaine,0.462
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Philippeville,0.483
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Florennes,0.484
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Walcourt,0.499
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Doische,0.516
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Luik,0.391
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Seraing,0.426
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Esneux,0.446
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Aywaille,0.455
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Comblain-au-Pont,0.457
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Herstal,0.461
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Trooz,0.462
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Flémalle,0.466
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Ans,0.476
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Sprimont,0.482
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Bitsingen,0.489
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Beyne-Heusay,0.489
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Oupeye,0.49
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Chaudfontaine,0.49
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Saint-Nicolas (Luik),0.496
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Grâce-Hollogne,0.496
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Wezet,0.499
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Fléron,0.499
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Awans,0.502
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Blégny,0.514
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Soumagne,0.519
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Juprelle,0.522
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Neupré,0.536
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Dalhem,0.537
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Hoei,0.4
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Amay,0.465
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Marchin,0.472
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Engis,0.472
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Héron,0.473
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Hamoir,0.477
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Wanze,0.48
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Villers-Le-Bouillet,0.483
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Clavier,0.492
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Tinlot,0.494
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Ferrières,0.494
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Burdinne,0.499
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Modave,0.5
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Ouffet,0.505
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Nandrin,0.507
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Anthisnes,0.513
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Verlaine,0.531
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Borgworm,0.46
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Saint-Georges-sur-Meuse,0.462
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Wasseiges,0.464
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Lijsem,0.492
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Hannuit,0.494
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Braives,0.498
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Oerle,0.503
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Remicourt,0.512
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Berloz,0.512
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Fexhe-le-Haut-Clocher,0.515
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Donceel,0.524
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Crisnée,0.528
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Faimes,0.532
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Geer,0.533
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Spa,0.415
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Verviers,0.449
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Dison,0.467
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Lierneux,0.469
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Pepinster,0.481
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Trois-Ponts,0.487
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Stavelot,0.489
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Theux,0.491
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Limburg,0.5
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Eupen,0.504
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Welkenraedt,0.509
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Malmedy,0.51
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Jalhay,0.514
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Aubel,0.514
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Stoumont,0.517
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Herve,0.521
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Baelen,0.521
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Weismes,0.531
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Olne,0.537
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Plombières,0.543
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Sankt Vith,0.548
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Bütgenbach,0.552
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Burg-Reuland,0.555
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Lontzen,0.559
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Thimister-Clermont,0.562
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Kelmis,0.568
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Büllingen,0.57
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Amel,0.583
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Raeren,0.589
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Nijvel,0.45
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Ottignies-Louvain-la-Neuve,0.456
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Geldenaken,0.476
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Waver,0.481
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Rebecq,0.492
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Itter,0.492
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Eigenbrakel,0.495
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Mont-Saint-Guibert,0.495
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Genepiën,0.497
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Perwijs (Nijvel),0.499
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Tubeke,0.5
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Terhulpen,0.502
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Chastre,0.503
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Rixensart,0.503
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Villers-la-Ville,0.504
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Hélécine,0.507
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Court-Saint-Etienne,0.507
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Kasteelbrakel,0.511
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Graven,0.512
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Orp-Jauche,0.513
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Incourt,0.515
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Walhain,0.52
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Chaumont-Gistoux,0.521
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Ramillies,0.524
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Bevekom,0.53
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Waterloo,0.532
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Lasne,0.541
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Hotton,0.476
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Marche-en-Famenne,0.478
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Manhay,0.485
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,La Roche-en-Ardenne,0.486
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Durbuy,0.487
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Nassogne,0.488
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Rendeux,0.493
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Erezée,0.507
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Tenneville,0.523
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Bouillon,0.472
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Herbeumont,0.474
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Bertrix,0.491
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Saint-Hubert,0.492
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Wellin,0.493
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Tellin,0.496
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Neufchâteau (Neufchâteau),0.503
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Libin,0.504
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Paliseul,0.507
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Libramont-Chevigny,0.511
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Daverdisse,0.512
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Léglise,0.564
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Vielsalm,0.485
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Bastenaken,0.507
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Houffalize,0.509
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Sainte-Ode,0.512
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Gouvy,0.52
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Bertogne,0.537
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Vaux-sur-Sûre,0.548
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Fauvillers,0.57
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Martelange,0.5
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Aarlen,0.507
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Aubange,0.531
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Messancy,0.574
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Attert,0.591
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Florenville,0.471
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Rouvroy,0.498
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Virton,0.499
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Chiny,0.521
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Meix-devant-Virton,0.542
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Tintigny,0.55
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Saint-Léger (Virton),0.553
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Habay,0.559
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Etalle,0.562
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Musson,0.584
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Antwerpen,0.475
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Mortsel,0.484
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Borsbeek,0.509
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Boom,0.511
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Niel,0.515
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Zwijndrecht,0.524
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Hemiksem,0.525
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Boechout,0.534
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Edegem,0.536
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Schoten,0.536
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Wijnegem,0.537
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Wommelgem,0.543
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Brasschaat,0.545
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Malle,0.546
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Stabroek,0.551
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Kontich,0.555
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Rumst,0.557
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Ranst,0.565
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Schelle,0.565
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Zandhoven,0.565
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Kapellen (Antwerpen),0.566
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Lint,0.568
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Kalmthout,0.57
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Zoersel,0.573
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Wuustwezel,0.573
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Brecht,0.574
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Aartselaar,0.579
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Hove (Antwerpen),0.58
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Schilde,0.583
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Essen,0.585
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Mechelen,0.494
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Lier,0.509
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Duffel,0.525
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Willebroek,0.549
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Heist-op-den-Berg,0.554
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Berlaar,0.557
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Putte,0.56
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Puurs,0.56
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Sint-Katelijne-Waver,0.561
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Bornem,0.565
