België,Gewest,Provincie,Arrondissement,Gemeente,Gehuwde bevolking
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Elsene,0.322
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Gillis,0.364
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Etterbeek,0.381
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Watermaal-Bosvoorde,0.414
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Lambrechts-Woluwe,0.427
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Ukkel,0.433
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Brussel,0.442
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Oudergem,0.445
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Vorst (Brussel-Hoofdstad),0.447
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Jette,0.449
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Ganshoren,0.452
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Joost-ten-Node,0.457
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Evere,0.474
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Agatha-Berchem,0.478
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Schaarbeek,0.479
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Anderlecht,0.488
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Koekelberg,0.494
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Pieters-Woluwe,0.498
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Jans-Molenbeek,0.515
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Bergen,0.412
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Boussu,0.434
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Quiévrain,0.435
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Dour,0.436
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Frameries,0.442
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Colfontaine,0.444
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Saint-Ghislain,0.447
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Quaregnon,0.46
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Honnelles,0.467
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Hensies,0.485
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Quévy,0.489
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Lens,0.496
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Jurbeke,0.531
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Doornik,0.429
