België,Gewest,Provincie,Arrondissement,Gemeente,Gemiddelde leeftijd van de bevolking
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,Koksijde,50.202
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Knokke-Heist,49.615
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Middelkerke,47.996
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,Nieuwpoort,47.901
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,De Haan,47.738
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Blankenberge,47.677
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,De Panne,47.449
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Oostende,46.728
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Herstappe,46.056
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Vresse-sur-Semois,44.869
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Chaudfontaine,44.55
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Edegem,44.537
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Schilde,44.498
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Montigny-le-Tilleul,44.114
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Bonheiden,44.059
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Aartselaar,44.047
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Hastière,44.008
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Spa,43.924
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Sint-Martens-Latem,43.917
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Bouillon,43.901
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Aarschot,43.9
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Scherpenheuvel-Zichem,43.898
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Brugge,43.761
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Zottegem,43.743
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Lovendegem,43.715
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Horebeke,43.666
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Sint-Laureins,43.646
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Wijnegem,43.629
