Alle groepen/getuigen,Groep,Subgroep 1,Getuige,Basisjaar,Jaar,Maand,Index
Alle groepen/getuigen,Intermediaire consumptie,Veevoeders,,2015,2021,januari,117.399
Alle groepen/getuigen,Intermediaire consumptie,Veevoeders,,2015,2021,februari,120.949
Alle groepen/getuigen,Intermediaire consumptie,Veevoeders,,2015,2021,maart,124.326
Alle groepen/getuigen,Intermediaire consumptie,Veevoeders,,2015,2021,april,125.04
Alle groepen/getuigen,Intermediaire consumptie,Veevoeders,,2015,2021,mei,126.797
Alle groepen/getuigen,Intermediaire consumptie,Veevoeders,,2015,2021,juni,128.662
Alle groepen/getuigen,Intermediaire consumptie,Veevoeders,,2015,2021,juli,129.054
Alle groepen/getuigen,Intermediaire consumptie,Veevoeders,,2015,2021,augustus,126.872
Alle groepen/getuigen,Intermediaire consumptie,Klein materieel,,2015,2020,oktober,103.368
Alle groepen/getuigen,Intermediaire consumptie,Klein materieel,,2015,2020,november,103.018
Alle groepen/getuigen,Intermediaire consumptie,Klein materieel,,2015,2020,december,103.08
Alle groepen/getuigen,Intermediaire consumptie,Klein materieel,,2015,2021,januari,102.89
Alle groepen/getuigen,Intermediaire consumptie,Klein materieel,,2015,2021,februari,103.668
Alle groepen/getuigen,Intermediaire consumptie,Klein materieel,,2015,2021,maart,104.427
Alle groepen/getuigen,Intermediaire consumptie,Klein materieel,,2015,2021,april,104.508
Alle groepen/getuigen,Intermediaire consumptie,Klein materieel,,2015,2021,mei,104.333
Alle groepen/getuigen,Intermediaire consumptie,Klein materieel,,2015,2021,juni,104.228
Alle groepen/getuigen,Intermediaire consumptie,Klein materieel,,2015,2021,juli,104.526
Alle groepen/getuigen,Intermediaire consumptie,Klein materieel,,2015,2021,augustus,104.576
Alle groepen/getuigen,Intermediaire consumptie,Onderhoud gebouwen,,2015,2020,oktober,108.774
Alle groepen/getuigen,Intermediaire consumptie,Onderhoud gebouwen,,2015,2020,november,109.897
Alle groepen/getuigen,Intermediaire consumptie,Onderhoud gebouwen,,2015,2020,december,111.694
Alle groepen/getuigen,Intermediaire consumptie,Onderhoud gebouwen,,2015,2021,januari,113.705
Alle groepen/getuigen,Intermediaire consumptie,Onderhoud gebouwen,,2015,2021,februari,115.65
Alle groepen/getuigen,Intermediaire consumptie,Onderhoud gebouwen,,2015,2021,maart,117.577
Alle groepen/getuigen,Intermediaire consumptie,Onderhoud gebouwen,,2015,2021,april,120.684
Alle groepen/getuigen,Intermediaire consumptie,Onderhoud gebouwen,,2015,2021,mei,124.615
Alle groepen/getuigen,Intermediaire consumptie,Onderhoud gebouwen,,2015,2021,juni,127.103
Alle groepen/getuigen,Intermediaire consumptie,Onderhoud gebouwen,,2015,2021,juli,129.01
Alle groepen/getuigen,Intermediaire consumptie,Onderhoud gebouwen,,2015,2021,augustus,129.606
Alle groepen/getuigen,Intermediaire consumptie,Onderhoud materieel,,2015,2020,oktober,103.213
Alle groepen/getuigen,Intermediaire consumptie,Onderhoud materieel,,2015,2020,november,103.323
Alle groepen/getuigen,Intermediaire consumptie,Onderhoud materieel,,2015,2020,december,103.414
Alle groepen/getuigen,Intermediaire consumptie,Onderhoud materieel,,2015,2021,januari,103.278
Alle groepen/getuigen,Intermediaire consumptie,Onderhoud materieel,,2015,2021,februari,103.261
Alle groepen/getuigen,Intermediaire consumptie,Onderhoud materieel,,2015,2021,maart,103.292
Alle groepen/getuigen,Intermediaire consumptie,Onderhoud materieel,,2015,2021,april,103.355
Alle groepen/getuigen,Intermediaire consumptie,Onderhoud materieel,,2015,2021,mei,103.375
Alle groepen/getuigen,Intermediaire consumptie,Onderhoud materieel,,2015,2021,juni,103.384
Alle groepen/getuigen,Intermediaire consumptie,Onderhoud materieel,,2015,2021,juli,103.361
Alle groepen/getuigen,Intermediaire consumptie,Onderhoud materieel,,2015,2021,augustus,103.813
Alle groepen/getuigen,Intermediaire consumptie,Overige goederen en diensten,,2015,2020,oktober,107.322
Alle groepen/getuigen,Intermediaire consumptie,Overige goederen en diensten,,2015,2020,november,106.778
Alle groepen/getuigen,Intermediaire consumptie,Overige goederen en diensten,,2015,2020,december,106.279
Alle groepen/getuigen,Intermediaire consumptie,Overige goederen en diensten,,2015,2021,januari,107.775
Alle groepen/getuigen,Intermediaire consumptie,Overige goederen en diensten,,2015,2021,februari,107.569
Alle groepen/getuigen,Intermediaire consumptie,Overige goederen en diensten,,2015,2021,maart,108.032
Alle groepen/getuigen,Intermediaire consumptie,Overige goederen en diensten,,2015,2021,april,108.799
Alle groepen/getuigen,Intermediaire consumptie,Overige goederen en diensten,,2015,2021,mei,108.537
Alle groepen/getuigen,Intermediaire consumptie,Overige goederen en diensten,,2015,2021,juni,108.09
Alle groepen/getuigen,Intermediaire consumptie,Overige goederen en diensten,,2015,2021,juli,108.693
Alle groepen/getuigen,Intermediaire consumptie,Overige goederen en diensten,,2015,2021,augustus,109.451
Alle groepen/getuigen,Investeringen,Materieel,,2015,2020,oktober,112.138
Alle groepen/getuigen,Investeringen,Materieel,,2015,2020,november,112.138
Alle groepen/getuigen,Investeringen,Materieel,,2015,2020,december,112.138
Alle groepen/getuigen,Investeringen,Materieel,,2015,2021,januari,113.347
Alle groepen/getuigen,Investeringen,Materieel,,2015,2021,februari,113.347
Alle groepen/getuigen,Investeringen,Materieel,,2015,2021,maart,113.347
Alle groepen/getuigen,Investeringen,Materieel,,2015,2021,april,113.347
Alle groepen/getuigen,Investeringen,Materieel,,2015,2021,mei,113.347
Alle groepen/getuigen,Investeringen,Materieel,,2015,2021,juni,113.347
Alle groepen/getuigen,Investeringen,Materieel,,2015,2021,juli,113.347
Alle groepen/getuigen,Investeringen,Materieel,,2015,2021,augustus,113.347
Alle groepen/getuigen,Investeringen,Constructies,,2015,2020,oktober,107.579
Alle groepen/getuigen,Investeringen,Constructies,,2015,2020,november,108.484
Alle groepen/getuigen,Investeringen,Constructies,,2015,2020,december,109.932
Alle groepen/getuigen,Investeringen,Constructies,,2015,2021,januari,111.492
Alle groepen/getuigen,Investeringen,Constructies,,2015,2021,februari,113.064
Alle groepen/getuigen,Investeringen,Constructies,,2015,2021,maart,114.616
Alle groepen/getuigen,Investeringen,Constructies,,2015,2021,april,117.118
Alle groepen/getuigen,Investeringen,Constructies,,2015,2021,mei,120.285
Alle groepen/getuigen,Investeringen,Constructies,,2015,2021,juni,122.289
Alle groepen/getuigen,Investeringen,Constructies,,2015,2021,juli,123.898
Alle groepen/getuigen,Investeringen,Constructies,,2015,2021,augustus,124.378
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde pachten,,2015,2020,oktober,106.787
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde pachten,,2015,2020,november,106.787
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde pachten,,2015,2020,december,106.787
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde pachten,,2015,2021,januari,106.787
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde pachten,,2015,2021,februari,106.787
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde pachten,,2015,2021,maart,106.787
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde pachten,,2015,2021,april,106.787
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde pachten,,2015,2021,mei,106.787
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde pachten,,2015,2021,juni,106.787
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde pachten,,2015,2021,juli,106.787
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde pachten,,2015,2021,augustus,106.787
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde lonen,,2015,2020,oktober,115.154
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde lonen,,2015,2020,november,115.154
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde lonen,,2015,2020,december,115.154
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde lonen,,2015,2021,januari,115.154
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde lonen,,2015,2021,februari,115.154
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde lonen,,2015,2021,maart,115.154
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde lonen,,2015,2021,april,115.93
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde lonen,,2015,2021,mei,115.93
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde lonen,,2015,2021,juni,115.93
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde lonen,,2015,2021,juli,115.94
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde lonen,,2015,2021,augustus,115.94
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde interesten,,2015,2020,oktober,73.719
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde interesten,,2015,2020,november,73.719
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde interesten,,2015,2020,december,73.719
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde interesten,,2015,2021,januari,73.719
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde interesten,,2015,2021,februari,73.719
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde interesten,,2015,2021,maart,73.719
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde interesten,,2015,2021,april,73.719
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde interesten,,2015,2021,mei,73.719
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde interesten,,2015,2021,juni,73.719
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde interesten,,2015,2021,juli,69.013
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde interesten,,2015,2021,augustus,69.013
Alle groepen/getuigen,,,,2015,2020,oktober,105.944
Alle groepen/getuigen,,,,2015,2020,november,107.402
Alle groepen/getuigen,,,,2015,2020,december,108.532
Alle groepen/getuigen,,,,2015,2021,januari,110.155
Alle groepen/getuigen,,,,2015,2021,februari,112.139
Alle groepen/getuigen,,,,2015,2021,maart,114.051
Alle groepen/getuigen,,,,2015,2021,april,114.892
Alle groepen/getuigen,,,,2015,2021,mei,115.863
Alle groepen/getuigen,,,,2015,2021,juni,117.003
Alle groepen/getuigen,,,,2015,2021,juli,0.0
Alle groepen/getuigen,,,,2015,2021,augustus,0.0
