Jaar/Maand,Dag,Productgroep,Product,Prijs incl. BTW
feb22,07feb22,Benzines,Benzine 95 RON E5 (€/L),1.83
feb22,07feb22,Benzines,Benzine 95 RON E10 (€/L),1.77
feb22,07feb22,Benzines,Benzine 98 RON E5 (€/L),1.874
feb22,07feb22,Benzines,Benzine 98 RON E10 (€/L),1.837
feb22,07feb22,Gasolie Diesel wegvervoer,Diesel B7 (€/L),1.817
feb22,07feb22,Gasolie Diesel wegvervoer,Diesel B10 (€/L),1.792
feb22,07feb22,Gasolie Diesel wegvervoer,Diesel B20 (€/L),1.829
feb22,07feb22,Gasolie Diesel wegvervoer,Diesel B30 (€/L),1.917
feb22,07feb22,Gasolie Diesel wegvervoer,Diesel XTL (€/L),3.471
feb22,07feb22,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (vanaf 2000 l) (€/L),0.903
feb22,07feb22,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (minder dan 2000 l) (€/L),0.933
feb22,07feb22,Gasolie Diesel (landbouw doeleinden),Gasolie Diesel Landbouw (vanaf 2000 l) (€/L),0.88
feb22,07feb22,Gasolie Diesel (landbouw doeleinden),Gasolie Diesel Landbouw (minder dan 2000 l) (€/L),0.911
feb22,07feb22,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (vanaf 2000 l) (€/L),0.908
feb22,07feb22,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (minder dan 2000 l) (€/L),0.938
feb22,07feb22,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (aan de pomp) (€/L),1.035
feb22,07feb22,Gasolie verwarming,Gasolie verwarming 50S (vanaf 2000 l) (€/L),0.874
feb22,07feb22,Gasolie verwarming,Gasolie verwarming 50S (minder dan 2000 l) (€/L),0.905
feb22,07feb22,Gasolie verwarming,Gasolie verwarming 50S (aan de pomp) (€/L),1.007
feb22,07feb22,Lamppetroleum,lamppetroleum (type B) (minder dan 2000 l) (€/L),0.982
feb22,07feb22,Lamppetroleum,lamppetroleum (type B) (vanaf 2000 l) (€/L),0.951
feb22,07feb22,Lamppetroleum,lamppetroleum (type B) (aan de pomp) (€/L),1.081
feb22,07feb22,Lamppetroleum,lamppetroleum (type C) (minder dan 2000 l) (€/L),1.019
feb22,07feb22,Lamppetroleum,lamppetroleum (type C) (vanaf 2000 l) (€/L),0.988
feb22,07feb22,Lamppetroleum,lamppetroleum (type C) (aan de pomp) (€/L),1.118
feb22,07feb22,Propaan,propaan (in bulk) (vanaf 2000 l) (€/L),0.798
feb22,07feb22,Propaan,propaan (in bulk) (minder dan 2000 l) (€/L),0.87
feb22,07feb22,Butaan + LPG,Autogas LPG (aan de pomp) (€/L),0.781
feb22,07feb22,Butaan + LPG,Autogas LPG (minder dan 2000 l) (€/L),0.909
feb22,07feb22,Butaan + LPG,Autogas LPG (vanaf 2000 l) (€/L),0.837
feb22,07feb22,Stookolie,Extra zware stookolie met 1 % S (per tankwagen) (€/T),682.29
feb22,08feb22,Benzines,Benzine 95 RON E5 (€/L),1.83
feb22,08feb22,Benzines,Benzine 95 RON E10 (€/L),1.77
feb22,08feb22,Benzines,Benzine 98 RON E5 (€/L),1.874
feb22,08feb22,Benzines,Benzine 98 RON E10 (€/L),1.837
feb22,08feb22,Gasolie Diesel wegvervoer,Diesel B7 (€/L),1.85
feb22,08feb22,Gasolie Diesel wegvervoer,Diesel B10 (€/L),1.826
feb22,08feb22,Gasolie Diesel wegvervoer,Diesel B20 (€/L),1.864
feb22,08feb22,Gasolie Diesel wegvervoer,Diesel B30 (€/L),1.951
feb22,08feb22,Gasolie Diesel wegvervoer,Diesel XTL (€/L),3.449
feb22,08feb22,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (vanaf 2000 l) (€/L),0.92
feb22,08feb22,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (minder dan 2000 l) (€/L),0.95
feb22,08feb22,Gasolie Diesel (landbouw doeleinden),Gasolie Diesel Landbouw (vanaf 2000 l) (€/L),0.897
feb22,08feb22,Gasolie Diesel (landbouw doeleinden),Gasolie Diesel Landbouw (minder dan 2000 l) (€/L),0.928
feb22,08feb22,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (vanaf 2000 l) (€/L),0.925
feb22,08feb22,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (minder dan 2000 l) (€/L),0.955
feb22,08feb22,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (aan de pomp) (€/L),1.052
feb22,08feb22,Gasolie verwarming,Gasolie verwarming 50S (vanaf 2000 l) (€/L),0.892
