België,Gewest,Provincie,Arrondissement,Gemeente,Eenpersoonshuishoudens
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Rendeux,0.361
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Dison,0.361
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Malmedy,0.361
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Manhay,0.36
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Ciney,0.36
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Ans,0.36
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Saint-Nicolas (Luik),0.359
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Châtelet,0.358
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Saint-Hubert,0.357
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Mortsel,0.354
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Durbuy,0.352
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Saint-Ghislain,0.352
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Turnhout,0.352
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Mechelen,0.351
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Hasselt,0.35
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Brugge,0.35
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Kortrijk,0.349
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Stavelot,0.349
België,Waals Gewest,Provincie Henegouwen,Arrondissement Moeskroen,Moeskroen,0.348
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Eeklo,0.347
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Fontaine-l’Evêque,0.347
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Trooz,0.346
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Boussu,0.346
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Kelmis,0.345
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Quiévrain,0.344
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Tienen,0.343
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Froidchapelle,0.343
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Herstappe,0.343
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Boom,0.342
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Frameries,0.342
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Stoumont,0.342
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Colfontaine,0.341
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Philippeville,0.341
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Borgworm,0.34
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Sambreville,0.339
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Trois-Ponts,0.339
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Terhulpen,0.338
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Erquelinnes,0.337
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Flémalle,0.337
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Dour,0.337
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Erezée,0.337
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Houyet,0.337
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Vielsalm,0.337
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Aalst (Aalst),0.337
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,La Louvière,0.335
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Beaumont,0.335
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Momignies,0.335
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Gedinne,0.334
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Limburg,0.333
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Péruwelz,0.332
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Quaregnon,0.33
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Rouvroy,0.33
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Nassogne,0.33
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Lier,0.329
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Beyne-Heusay,0.329
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Hotton,0.328
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Aubange,0.328
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Chiny,0.327
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Bièvre,0.327
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Doische,0.327
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Zaventem,0.327
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Bertrix,0.327
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Aat,0.326
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Anderlues,0.326
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Drogenbos,0.326
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Leuze-en-Hainaut,0.326
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Hamoir,0.326
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Ronse,0.325
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Fléron,0.325
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Courcelles,0.325
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Binche,0.325
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Houffalize,0.324
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Chaudfontaine,0.324
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Borsbeek,0.323
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Rochefort,0.323
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Gembloux,0.323
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Wezet,0.323
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Meix-devant-Virton,0.322
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Grâce-Hollogne,0.322
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Sint-Niklaas (Sint-Niklaas),0.322
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Beloeil,0.322
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Lierneux,0.322
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Cerfontaine,0.321
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Antoing,0.321
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Brugelette,0.321
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Waver,0.32
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Zelzate,0.32
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Edegem,0.319
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Pepinster,0.319
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Montigny-le-Tilleul,0.319
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Chapelle-lez-Herlaimont,0.318
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Engis,0.317
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Yvoir,0.317
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Beauraing,0.316
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Marche-en-Famenne,0.315
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Oupeye,0.315
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Ieper,0.315
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Hensies,0.314
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Anhée,0.314
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Saint-Georges-sur-Meuse,0.314
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Dendermonde,0.311
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Fleurus,0.311
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Libramont-Chevigny,0.311
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Wemmel,0.311
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Wetteren,0.311
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Daverdisse,0.31
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,’s Gravenbrakel,0.31
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Morlanwelz,0.31
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Comblain-au-Pont,0.31
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Amay,0.309
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Sint-Truiden,0.309
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Aarschot,0.309
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Mont-Saint-Guibert,0.309
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Lessen,0.309
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Ferrières,0.309
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Thuin,0.308
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Grimbergen,0.308
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Menen,0.308
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Aiseau-Presles,0.307
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Aubel,0.307
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Vilvoorde,0.307
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Andenne,0.307
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Libin,0.305
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Bernissart,0.305
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Linkebeek,0.305
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Bastenaken,0.305
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Estinnes,0.305
België,Waals Gewest,Provincie Henegouwen,Arrondissement Moeskroen,Komen-Waasten,0.304
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Roeselare,0.304
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Honnelles,0.304
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Sivry-Rance,0.304
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Sankt Vith,0.304
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Welkenraedt,0.304
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Manage,0.304
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Tellin,0.303
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Herentals,0.303
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Geldenaken,0.302
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Paliseul,0.302
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Bitsingen,0.301
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Machelen (Halle-Vilvoorde),0.301
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Zottegem,0.301
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Halle (Halle-Vilvoorde),0.3
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Mesen,0.3
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Oerle,0.3
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Theux,0.299
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Zinnik,0.298
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Rixensart,0.297
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Geraardsbergen,0.297
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Sprimont,0.297
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Vloesberg,0.297
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Baelen,0.296
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Tongeren,0.296
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Neufchâteau (Neufchâteau),0.296
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Geel,0.296
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Sainte-Ode,0.296
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Diest,0.296
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Edingen,0.295
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Oudenaarde,0.295
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Wanze,0.295
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Farciennes,0.295
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Raeren,0.295
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Profondeville,0.295
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Awans,0.294
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Niel,0.293
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Bredene,0.293
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Bütgenbach,0.293
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Saint-Léger (Virton),0.293
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Spiere-Helkijn,0.292
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Asse,0.292
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Avelgem,0.292
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Somme-Leuze,0.292
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Hélécine,0.292
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Quévy,0.291
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Duffel,0.291
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,Veurne,0.29
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Burg-Reuland,0.29
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Florennes,0.29
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Hannuit,0.289
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Merchtem,0.289
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Fosses-la-Ville,0.289
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Wellin,0.289
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Weismes,0.289
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Büllingen,0.288
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Zwijndrecht,0.288
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Seneffe,0.287
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Izegem,0.287
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Modave,0.287
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Plombières,0.287
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Lens,0.286
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Brasschaat,0.285
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Hamois,0.285
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Baarle-Hertog,0.285
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Eigenbrakel,0.285
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Hemiksem,0.284
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Tielt (Tielt),0.284
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Mol,0.284
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Ecaussinnes,0.284
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Leopoldsburg,0.284
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Willebroek,0.284
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Wijnegem,0.284
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Kluisbergen,0.283
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Lobbes,0.283
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Frasnes-lez-Anvaing,0.283
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Walcourt,0.283
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Kortenberg,0.283
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Kraainem,0.282
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Ninove,0.282
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Herve,0.282
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Les Bons Villers,0.282
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Dilbeek,0.282
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Le Roeulx,0.281
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Jalhay,0.281
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Brunehaut,0.281
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Estaimpuis,0.281
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Jemeppe-sur-Sambre,0.28
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Torhout,0.28
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Diksmuide,0.28
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Gerpinnes,0.279
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Schoten,0.279
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Wasseiges,0.279
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Tubeke,0.279
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Merbes-le-Château,0.279
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Elzele,0.278
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Anthisnes,0.278
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Hoeilaart,0.278
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Lebbeke,0.278
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Havelange,0.278
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Pecq,0.278
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Sint-Laureins,0.278
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Gesves,0.277
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Steenokkerzeel,0.277
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Tenneville,0.277
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Onhaye,0.277
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Tintigny,0.276
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Poperinge,0.276
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Walhain,0.276
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Deinze,0.276
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Ham-sur-Heure-Nalinnes,0.275
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Berlare,0.274
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Wichelen,0.274
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Marchin,0.273
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Messancy,0.273
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Lanaken,0.273
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Lokeren,0.273
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Wezembeek-Oppem,0.273
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Lede,0.273
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Waterloo,0.273
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Harelbeke,0.273
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Temse,0.273
