Totaal,Niveau 1,Jaar,Maand,Inflatie
Totaal,"5. Meubelen, huishoudelijke apparaten en normaal onderhoud van de woning",2022,December 2022,0.06
Totaal,"5. Meubelen, huishoudelijke apparaten en normaal onderhoud van de woning",2023,Januari 2023,0.063
Totaal,6. Gezondheid,2022,Maart 2022,0.011
Totaal,6. Gezondheid,2022,April 2022,0.012
Totaal,6. Gezondheid,2022,Mei 2022,0.015
Totaal,6. Gezondheid,2022,Juni 2022,0.016
Totaal,6. Gezondheid,2022,Juli 2022,0.016
Totaal,6. Gezondheid,2022,Augustus 2022,0.016
Totaal,6. Gezondheid,2022,September 2022,0.019
Totaal,6. Gezondheid,2022,Oktober 2022,0.019
Totaal,6. Gezondheid,2022,November 2022,0.02
Totaal,6. Gezondheid,2022,December 2022,0.02
Totaal,6. Gezondheid,2023,Januari 2023,0.034
Totaal,7. Vervoer,2022,Maart 2022,0.112
Totaal,7. Vervoer,2022,April 2022,0.106
Totaal,7. Vervoer,2022,Mei 2022,0.119
Totaal,7. Vervoer,2022,Juni 2022,0.142
Totaal,7. Vervoer,2022,Juli 2022,0.14
Totaal,7. Vervoer,2022,Augustus 2022,0.123
Totaal,7. Vervoer,2022,September 2022,0.106
Totaal,7. Vervoer,2022,Oktober 2022,0.107
Totaal,7. Vervoer,2022,November 2022,0.1
Totaal,7. Vervoer,2022,December 2022,0.081
Totaal,7. Vervoer,2023,Januari 2023,0.074
Totaal,8. Communicatie,2022,Maart 2022,0.012
Totaal,8. Communicatie,2022,April 2022,0.001
Totaal,8. Communicatie,2022,Mei 2022,-0.007
Totaal,8. Communicatie,2022,Juni 2022,0.006
Totaal,8. Communicatie,2022,Juli 2022,0.011
Totaal,8. Communicatie,2022,Augustus 2022,0.012
Totaal,8. Communicatie,2022,September 2022,0.008
Totaal,8. Communicatie,2022,Oktober 2022,0.001
Totaal,8. Communicatie,2022,November 2022,0.002
Totaal,8. Communicatie,2022,December 2022,-0.006
Totaal,8. Communicatie,2023,Januari 2023,0.018
Totaal,9. Recreatie en cultuur,2022,Maart 2022,0.026
Totaal,9. Recreatie en cultuur,2022,April 2022,0.036
Totaal,9. Recreatie en cultuur,2022,Mei 2022,0.044
Totaal,9. Recreatie en cultuur,2022,Juni 2022,0.049
Totaal,9. Recreatie en cultuur,2022,Juli 2022,0.04
Totaal,9. Recreatie en cultuur,2022,Augustus 2022,0.041
Totaal,9. Recreatie en cultuur,2022,September 2022,0.049
Totaal,9. Recreatie en cultuur,2022,Oktober 2022,0.051
Totaal,9. Recreatie en cultuur,2022,November 2022,0.058
Totaal,9. Recreatie en cultuur,2022,December 2022,0.069
Totaal,9. Recreatie en cultuur,2023,Januari 2023,0.071
Totaal,10. Onderwijs,2022,Maart 2022,0.01
Totaal,10. Onderwijs,2022,April 2022,0.01
Totaal,10. Onderwijs,2022,Mei 2022,0.01
Totaal,10. Onderwijs,2022,Juni 2022,0.01
Totaal,10. Onderwijs,2022,Juli 2022,0.01
Totaal,10. Onderwijs,2022,Augustus 2022,0.01
Totaal,10. Onderwijs,2022,September 2022,0.01
Totaal,10. Onderwijs,2022,Oktober 2022,0.016
Totaal,10. Onderwijs,2022,November 2022,0.016
Totaal,10. Onderwijs,2022,December 2022,0.016
Totaal,10. Onderwijs,2023,Januari 2023,0.016
Totaal,"11. Hotels, restaurants en cafés",2022,Maart 2022,0.059
Totaal,"11. Hotels, restaurants en cafés",2022,April 2022,0.063
Totaal,"11. Hotels, restaurants en cafés",2022,Mei 2022,0.068
Totaal,"11. Hotels, restaurants en cafés",2022,Juni 2022,0.063
Totaal,"11. Hotels, restaurants en cafés",2022,Juli 2022,0.058
Totaal,"11. Hotels, restaurants en cafés",2022,Augustus 2022,0.058
Totaal,"11. Hotels, restaurants en cafés",2022,September 2022,0.073
Totaal,"11. Hotels, restaurants en cafés",2022,Oktober 2022,0.069
Totaal,"11. Hotels, restaurants en cafés",2022,November 2022,0.069
Totaal,"11. Hotels, restaurants en cafés",2022,December 2022,0.075
Totaal,"11. Hotels, restaurants en cafés",2023,Januari 2023,0.084
Totaal,12. Diverse goederen en diensten,2022,Maart 2022,0.037
Totaal,12. Diverse goederen en diensten,2022,April 2022,0.044
