België,Gewest,Provincie,Arrondissement,Gemeente,Bevolking geboren buiten de EU
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Donceel,0.016
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Linter,0.016
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Lochristi,0.016
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Kluisbergen,0.016
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Frasnes-lez-Anvaing,0.016
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Doische,0.016
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Evergem,0.016
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Clavier,0.016
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Zandhoven,0.016
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Cerfontaine,0.016
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Sivry-Rance,0.016
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Zwevegem,0.017
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Assenede,0.017
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Bekkevoort,0.017
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Vaux-sur-Sûre,0.017
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Gistel,0.017
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Wellin,0.017
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Lede,0.017
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Kortenaken,0.017
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Walcourt,0.017
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Aalter,0.017
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Quévy,0.017
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Torhout,0.017
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Heist-op-den-Berg,0.017
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Balen,0.017
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Avelgem,0.017
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Lichtervelde,0.017
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Haaltert,0.017
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Nazareth,0.017
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Fosses-la-Ville,0.017
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Haacht,0.018
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Antoing,0.018
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Dessel,0.018
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Geetbets,0.018
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Wichelen,0.018
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Bütgenbach,0.018
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Waarschoot,0.018
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Elzele,0.018
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Peer,0.018
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Froidchapelle,0.018
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Wervik,0.018
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Wingene,0.018
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Kasterlee,0.018
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Grobbendonk,0.018
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Wellen,0.018
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Thimister-Clermont,0.018
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Mettet,0.018
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Hulshout,0.018
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Gooik,0.019
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Stekene,0.019
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Meerhout,0.019
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Deerlijk,0.019
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Chièvres,0.019
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Bièvre,0.019
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Beerse,0.019
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Meeuwen-Gruitrode,0.019
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Onhaye,0.019
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Buggenhout,0.019
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Marchin,0.019
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Houyet,0.019
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Maldegem,0.019
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Lovendegem,0.019
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Olen,0.02
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Wuustwezel,0.02
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Brecht,0.02
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Aarschot,0.02
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Scherpenheuvel-Zichem,0.02
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Rotselaar,0.02
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Opglabbeek,0.02
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Vloesberg,0.02
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Gerpinnes,0.02
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Putte,0.021
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Wevelgem,0.021
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Nieuwerkerken (Hasselt),0.021
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Erpe-Mere,0.021
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Nandrin,0.021
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Retie,0.021
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Dour,0.021
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Schelle,0.021
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Oud-Turnhout,0.021
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Hoeselt,0.021
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Modave,0.021
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Ohey,0.021
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Jemeppe-sur-Sambre,0.021
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Kapelle-op-den-Bos,0.021
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Meulebeke,0.021
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Kinrooi,0.021
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Somme-Leuze,0.021
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Herne,0.021
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Beloeil,0.021
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Verlaine,0.021
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,De Pinte,0.021
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Ham-sur-Heure-Nalinnes,0.022
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Zoutleeuw,0.022
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Lobbes,0.022
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Couvin,0.022
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Stabroek,0.022
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Berlaar,0.022
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Westerlo,0.022
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Langemark-Poelkapelle,0.022
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Middelkerke,0.022
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Jalhay,0.022
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Kortessem,0.022
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Leuze-en-Hainaut,0.022
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Musson,0.022
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Tintigny,0.022
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,De Haan,0.022
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Holsbeek,0.022
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Lummen,0.022
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Olne,0.022
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Sainte-Ode,0.022
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Malle,0.022
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Tremelo,0.022
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Tinlot,0.022
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Roosdaal,0.023
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Lubbeek,0.023
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Floreffe,0.023
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Merelbeke,0.023
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Bonheiden,0.023
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Libin,0.023
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Wachtebeke,0.023
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Bitsingen,0.023
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Izegem,0.023
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Merbes-le-Château,0.023
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Péruwelz,0.023
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Herk-de-Stad,0.023
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Braives,0.023
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Anhée,0.023
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Ferrières,0.023
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Zoersel,0.024
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Anthisnes,0.024
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Geer,0.024
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Havelange,0.024
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Puurs,0.024
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Zemst,0.024
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Faimes,0.024
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Londerzeel,0.024
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Fauvillers,0.024
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Vosselaar,0.024
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Gingelom,0.024
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Binche,0.024
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Bornem,0.024
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Bree,0.024
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Chimay,0.024
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Estinnes,0.024
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Nassogne,0.024
België,Waals Gewest,Provincie Namen,Arrondissement Namen,La Bruyère,0.024
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Boutersem,0.024
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Héron,0.024
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Herbeumont,0.024
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Tellin,0.024
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Thuin,0.025
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Boortmeerbeek,0.025
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Kalmthout,0.025
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Ingelmunster,0.025
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Bierbeek,0.025
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Beaumont,0.025
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Chiny,0.025
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Hove (Antwerpen),0.025
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Merksplas,0.025
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Eghezée,0.025
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Fernelmont,0.025
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Bever,0.025
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Deinze,0.025
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Ecaussinnes,0.025
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Oerle,0.025
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Lennik,0.025
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Remicourt,0.025
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Duffel,0.025
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,As,0.025
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Fexhe-le-Haut-Clocher,0.025
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Bouillon,0.025
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Lierneux,0.026
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Lijsem,0.026
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Hoogstraten,0.026
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Kampenhout,0.026
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Riemst,0.026
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Ravels,0.026
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Diepenbeek,0.026
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Halen,0.026
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Tenneville,0.026
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Comblain-au-Pont,0.026
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Léglise,0.026
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Bocholt,0.026
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Wielsbeke,0.026
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Crisnée,0.026
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Meix-devant-Virton,0.026
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Attert,0.026
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Ouffet,0.027
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Dalhem,0.027
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Plombières,0.027
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Beveren (Sint-Niklaas),0.027
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Sint-Gillis-Waas,0.027
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Opwijk,0.027
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Habay,0.027
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Vielsalm,0.027
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Paliseul,0.027
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Boechout,0.027
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Etalle,0.028
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Melle,0.028
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Ieper,0.028
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Saint-Hubert,0.028
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,Koksijde,0.028
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Rumst,0.028
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Weismes,0.028
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Ciney,0.028
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Bredene,0.028
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Sint-Katelijne-Waver,0.028
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Sombreffe,0.029
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Oudenaarde,0.029
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Opzullik,0.029
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Tessenderlo,0.029
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Aat,0.029
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Baarle-Hertog,0.029
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Alken,0.029
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Sambreville,0.029
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Hechtel-Eksel,0.029
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Ramillies,0.029
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Destelbergen,0.029
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Hamoir,0.029
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Villers-Le-Bouillet,0.029
