België,Gewest,Provincie,Arrondissement,Gemeente,Bevolking tewerkgesteld buiten haar provincie
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Kortenberg,0.389
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Wellin,0.386
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Temse,0.382
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Huldenberg,0.38
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Ohey,0.378
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Fernelmont,0.377
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Kampenhout,0.375
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Scherpenheuvel-Zichem,0.373
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Zoutleeuw,0.37
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Fleurus,0.368
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Braives,0.367
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Durbuy,0.365
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Philippeville,0.363
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Hamont-Achel,0.363
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Herselt,0.362
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Pepingen,0.359
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Mechelen,0.356
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Couvin,0.355
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Havelange,0.355
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Bastenaken,0.354
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Andenne,0.353
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Erpe-Mere,0.351
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Vresse-sur-Semois,0.347
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Zulte,0.345
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Lanaken,0.344
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Tintigny,0.341
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Tellin,0.34
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Herzele,0.339
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Haacht,0.338
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Wortegem-Petegem,0.337
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Sint-Amands,0.333
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Lierde,0.333
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Zinnik,0.331
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Lommel,0.329
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Lierneux,0.327
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Aiseau-Presles,0.327
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Aat,0.323
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Aarschot,0.323
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Dendermonde,0.323
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Zottegem,0.322
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Berloz,0.322
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Estaimpuis,0.32
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Riemst,0.32
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Sint-Gillis-Waas,0.319
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Bonheiden,0.318
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Viroinval,0.318
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Bertem,0.317
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Frasnes-lez-Anvaing,0.317
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Houffalize,0.315
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Namen,0.315
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Bertogne,0.312
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Nassogne,0.311
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Mesen,0.31
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Floreffe,0.308
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Leuven,0.307
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Vaux-sur-Sûre,0.306
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Ruiselede,0.305
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Herent,0.304
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Gedinne,0.303
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Virton,0.303
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Herstappe,0.302
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Brugelette,0.302
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Hoegaarden,0.3
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Lede,0.299
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Neufchâteau (Neufchâteau),0.299
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Rotselaar,0.299
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Kluisbergen,0.298
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Bekkevoort,0.298
België,Waals Gewest,Provincie Henegouwen,Arrondissement Moeskroen,Moeskroen,0.298
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Rouvroy,0.297
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Marche-en-Famenne,0.296
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Gesves,0.296
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Manage,0.296
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Oud-Heverlee,0.296
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Stekene,0.294
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Willebroek,0.293
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Kinrooi,0.292
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Brakel,0.291
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Chapelle-lez-Herlaimont,0.29
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Neerpelt,0.289
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Le Roeulx,0.289
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Meix-devant-Virton,0.289
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Sint-Truiden,0.288
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Sankt Vith,0.287
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Erezée,0.286
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Dentergem,0.285
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Kortenaken,0.284
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Geer,0.284
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Herk-de-Stad,0.283
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Leopoldsburg,0.282
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Avelgem,0.28
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Lens,0.28
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Lummen,0.28
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Assesse,0.278
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Aalter,0.278
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Ravels,0.277
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Tienen,0.277
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Linter,0.276
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Clavier,0.276
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Farciennes,0.275
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Sint-Niklaas (Sint-Niklaas),0.275
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Doische,0.273
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Laakdal,0.272
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Courcelles,0.272
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Chiny,0.271
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Hamois,0.271
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Borgworm,0.27
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Boutersem,0.27
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,De Pinte,0.269
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Sint-Martens-Latem,0.269
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Wanze,0.268
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Bornem,0.268
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Houyet,0.268
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Puurs,0.267
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Ronse,0.267
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Bierbeek,0.266
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Maldegem,0.265
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Lontzen,0.263
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Ciney,0.263
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Froidchapelle,0.263
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Chièvres,0.262
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Holsbeek,0.262
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Hastière,0.261
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,La Louvière,0.261
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Gerpinnes,0.259
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Knesselare,0.258
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Heers,0.258
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Hotton,0.258
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Hoei,0.257
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Marchin,0.257
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Plombières,0.257
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Sint-Lievens-Houtem,0.257
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Overpelt,0.256
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Lubbeek,0.256
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Balen,0.255
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Waasmunster,0.255
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Knokke-Heist,0.252
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Beringen,0.252
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Jurbeke,0.252
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Profondeville,0.252
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Tenneville,0.25
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Morlanwelz,0.25
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Kruishoutem,0.25
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Sainte-Ode,0.25
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Yvoir,0.246
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Libramont-Chevigny,0.245
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Charleroi,0.244
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Nieuwerkerken (Hasselt),0.243
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Zwalm,0.243
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Faimes,0.243
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Wichelen,0.241
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Waregem,0.241
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Herbeumont,0.24
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Tielt-Winge,0.24
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Châtelet,0.24
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Florenville,0.237
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Onhaye,0.236
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Celles (Doornik),0.236
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,Koksijde,0.236
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Bergen,0.235
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Gent,0.235
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Hamme (Dendermonde),0.235
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Amel,0.234
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Zwijndrecht,0.232
