"Detailhandel, met uitzondering van de handel in auto’s en motorfietsen",NACE-groepen,Referentiemaand,Bruto-index,Tendens van de index
"Detailhandel, met uitzondering van de handel in auto’s en motorfietsen","Detailhandel in ICT-apparatuur, andere consumentenartikelen (exclusief textiel),  cultuur- en recreatieartikelen enz. in gespecialiseerde winkels",Mei 2020,109.799,117.374
"Detailhandel, met uitzondering van de handel in auto’s en motorfietsen","Detailhandel in ICT-apparatuur, andere consumentenartikelen (exclusief textiel),  cultuur- en recreatieartikelen enz. in gespecialiseerde winkels",Juni 2020,126.651,117.54
"Detailhandel, met uitzondering van de handel in auto’s en motorfietsen","Computers, randapparatuur en software/ telecommunicatieapparatuur/ sportartikelen/ spellen en speelgoed/ planten en bloemen, enz.",Maart 2020,80.506,109.919
"Detailhandel, met uitzondering van de handel in auto’s en motorfietsen","Computers, randapparatuur en software/ telecommunicatieapparatuur/ sportartikelen/ spellen en speelgoed/ planten en bloemen, enz.",April 2020,70.733,110.13
"Detailhandel, met uitzondering van de handel in auto’s en motorfietsen","Computers, randapparatuur en software/ telecommunicatieapparatuur/ sportartikelen/ spellen en speelgoed/ planten en bloemen, enz.",Mei 2020,108.23,110.349
"Detailhandel, met uitzondering van de handel in auto’s en motorfietsen","Computers, randapparatuur en software/ telecommunicatieapparatuur/ sportartikelen/ spellen en speelgoed/ planten en bloemen, enz.",Juni 2020,125.382,110.577
"Detailhandel, met uitzondering van de handel in auto’s en motorfietsen","Detailhandel in audio- en videoapparatuur, ijzerwaren, verf en glas,  elektrische huishoudapparaten enz.  in gespecialiseerde winkels",Maart 2020,73.755,115.687
"Detailhandel, met uitzondering van de handel in auto’s en motorfietsen","Detailhandel in audio- en videoapparatuur, ijzerwaren, verf en glas,  elektrische huishoudapparaten enz.  in gespecialiseerde winkels",April 2020,55.921,115.424
"Detailhandel, met uitzondering van de handel in auto’s en motorfietsen","Detailhandel in audio- en videoapparatuur, ijzerwaren, verf en glas,  elektrische huishoudapparaten enz.  in gespecialiseerde winkels",Mei 2020,111.438,116.719
"Detailhandel, met uitzondering van de handel in auto’s en motorfietsen","Detailhandel in audio- en videoapparatuur, ijzerwaren, verf en glas,  elektrische huishoudapparaten enz.  in gespecialiseerde winkels",Juni 2020,127.996,119.119
"Detailhandel, met uitzondering van de handel in auto’s en motorfietsen",Detailhandel via postorderbedrijven of via internet,Maart 2020,179.612,164.291
"Detailhandel, met uitzondering van de handel in auto’s en motorfietsen",Detailhandel via postorderbedrijven of via internet,April 2020,210.958,221.211
"Detailhandel, met uitzondering van de handel in auto’s en motorfietsen",Detailhandel via postorderbedrijven of via internet,Mei 2020,224.656,223.002
"Detailhandel, met uitzondering van de handel in auto’s en motorfietsen",Detailhandel via postorderbedrijven of via internet,Juni 2020,236.971,224.901
"Detailhandel, met uitzondering van de handel in auto’s en motorfietsen",,Maart 2020,96.773,107.478
"Detailhandel, met uitzondering van de handel in auto’s en motorfietsen",,April 2020,87.898,107.815
"Detailhandel, met uitzondering van de handel in auto’s en motorfietsen",,Mei 2020,107.588,108.185
"Detailhandel, met uitzondering van de handel in auto’s en motorfietsen",,Juni 2020,116.19,108.553
