België,Gewest,Provincie,Arrondissement,Bevolking met diploma hoger onderwijs
België,Vlaams Gewest,Provincie Antwerpen,,0.273
België,Vlaams Gewest,Provincie Vlaams-Brabant,,0.349
België,Vlaams Gewest,Provincie West-Vlaanderen,,0.25
België,Vlaams Gewest,Provincie Oost-Vlaanderen,,0.279
België,Vlaams Gewest,Provincie Limburg,,0.244
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,0.353
België,Waals Gewest,Provincie Waals-Brabant,,0.4
België,Waals Gewest,Provincie Henegouwen,,0.222
België,Waals Gewest,Provincie Luik,,0.259
België,Waals Gewest,Provincie Luxemburg,,0.273
België,Waals Gewest,Provincie Namen,,0.274
België,,,,0.28
