Sectie,Jaar,Trimester,Omzet
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2019,2de kwartaal 2019,154090094
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2019,3de kwartaal 2019,146654453
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2019,4de kwartaal 2019,159587261
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2020,1ste kwartaal 2020,147039005
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2020,2de kwartaal 2020,123495497
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2020,3de kwartaal 2020,141328243
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2020,4de kwartaal 2020,156421881
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2021,1ste kwartaal 2021,162284113
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2021,2de kwartaal 2021,174390334
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2021,3de kwartaal 2021,167829048
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2021,4de kwartaal 2021,196682948
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2022,1ste kwartaal 2022,198752435
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2022,2de kwartaal 2022,211737773
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2022,3de kwartaal 2022,199006777
H Vervoer en opslag,2019,1ste kwartaal 2019,14427963
H Vervoer en opslag,2019,2de kwartaal 2019,14531976
H Vervoer en opslag,2019,3de kwartaal 2019,14393241
H Vervoer en opslag,2019,4de kwartaal 2019,15368904
H Vervoer en opslag,2020,1ste kwartaal 2020,13838336
H Vervoer en opslag,2020,2de kwartaal 2020,11933294
H Vervoer en opslag,2020,3de kwartaal 2020,12535612
H Vervoer en opslag,2020,4de kwartaal 2020,13655654
H Vervoer en opslag,2021,1ste kwartaal 2021,13389456
H Vervoer en opslag,2021,2de kwartaal 2021,14549095
H Vervoer en opslag,2021,3de kwartaal 2021,14997100
H Vervoer en opslag,2021,4de kwartaal 2021,17144861
H Vervoer en opslag,2022,1ste kwartaal 2022,16958523
H Vervoer en opslag,2022,2de kwartaal 2022,18493894
H Vervoer en opslag,2022,3de kwartaal 2022,18652962
I Verschaffen van accommodatie en maaltijden,2019,1ste kwartaal 2019,3690135
I Verschaffen van accommodatie en maaltijden,2019,2de kwartaal 2019,4292454
I Verschaffen van accommodatie en maaltijden,2019,3de kwartaal 2019,4328911
I Verschaffen van accommodatie en maaltijden,2019,4de kwartaal 2019,4341096
I Verschaffen van accommodatie en maaltijden,2020,1ste kwartaal 2020,3217806
I Verschaffen van accommodatie en maaltijden,2020,2de kwartaal 2020,1711913
I Verschaffen van accommodatie en maaltijden,2020,3de kwartaal 2020,3690391
I Verschaffen van accommodatie en maaltijden,2020,4de kwartaal 2020,2089934
I Verschaffen van accommodatie en maaltijden,2021,1ste kwartaal 2021,1692461
I Verschaffen van accommodatie en maaltijden,2021,2de kwartaal 2021,2909453
I Verschaffen van accommodatie en maaltijden,2021,3de kwartaal 2021,4665658
I Verschaffen van accommodatie en maaltijden,2021,4de kwartaal 2021,4253864
I Verschaffen van accommodatie en maaltijden,2022,1ste kwartaal 2022,3857595
I Verschaffen van accommodatie en maaltijden,2022,2de kwartaal 2022,5093839
I Verschaffen van accommodatie en maaltijden,2022,3de kwartaal 2022,5262802
J Informatie en communicatie,2019,1ste kwartaal 2019,9423021
J Informatie en communicatie,2019,2de kwartaal 2019,9478154
J Informatie en communicatie,2019,3de kwartaal 2019,9046772
J Informatie en communicatie,2019,4de kwartaal 2019,11029116
J Informatie en communicatie,2020,1ste kwartaal 2020,9795337
J Informatie en communicatie,2020,2de kwartaal 2020,9151151
J Informatie en communicatie,2020,3de kwartaal 2020,9132878
J Informatie en communicatie,2020,4de kwartaal 2020,11248224
J Informatie en communicatie,2021,1ste kwartaal 2021,9914719
J Informatie en communicatie,2021,2de kwartaal 2021,10153674
J Informatie en communicatie,2021,3de kwartaal 2021,9858021
J Informatie en communicatie,2021,4de kwartaal 2021,12333836
J Informatie en communicatie,2022,1ste kwartaal 2022,10995903
J Informatie en communicatie,2022,2de kwartaal 2022,11351094
J Informatie en communicatie,2022,3de kwartaal 2022,11271448
M Vrije beroepen en wetenschappelijke en technische activiteiten,2019,1ste kwartaal 2019,14772605
