totaal,Geboorteplaats niveau 1,totaal.1,Jaar van aankomst sinds 2000 niveau 1,Bevolking
totaal,Geboren in België,totaal,Ooit in het buitenland verbleven en aangekomen in 2000 of daarna,159299
totaal,Geboren in België,totaal,"Ooit in het buitenland verbleven en aangekomen in 1999 of daarvoor, of nooit in het buitenland verbleven",9211983
totaal,Geboren in België,totaal,,9371282
totaal,Geboren in het buitenland,totaal,Ooit in het buitenland verbleven en aangekomen in 2000 of daarna,756236
totaal,Geboren in het buitenland,totaal,"Ooit in het buitenland verbleven en aangekomen in 1999 of daarvoor, of nooit in het buitenland verbleven",761372
totaal,Geboren in het buitenland,totaal,,1517608
totaal,"Overige (niet in een land, Tsjecho-Slowakije, Sovjet-Unie, Joegoslavië)",totaal,Ooit in het buitenland verbleven en aangekomen in 2000 of daarna,74265
totaal,"Overige (niet in een land, Tsjecho-Slowakije, Sovjet-Unie, Joegoslavië)",totaal,"Ooit in het buitenland verbleven en aangekomen in 1999 of daarvoor, of nooit in het buitenland verbleven",36939
totaal,"Overige (niet in een land, Tsjecho-Slowakije, Sovjet-Unie, Joegoslavië)",totaal,,111204
totaal,Niet aangegeven,totaal,Ooit in het buitenland verbleven en aangekomen in 2000 of daarna,254
totaal,Niet aangegeven,totaal,"Ooit in het buitenland verbleven en aangekomen in 1999 of daarvoor, of nooit in het buitenland verbleven",290
totaal,Niet aangegeven,totaal,,544
totaal,,totaal,Ooit in het buitenland verbleven en aangekomen in 2000 of daarna,990054
totaal,,totaal,"Ooit in het buitenland verbleven en aangekomen in 1999 of daarvoor, of nooit in het buitenland verbleven",10010584
totaal,,totaal,,11000638
