Geslacht,Datum,Laatste gebruik van internet (Tijdens de laatste drie maanden)
Man,2006,0.66
Man,2007,0.703
Man,2008,0.726
Man,2009,0.781
Man,2010,0.817
Man,2011,0.842
Man,2012,0.828
Man,2013,0.842
Man,2014,0.859
Man,2015,0.858
Man,2016,0.876
Man,2017,0.885
Man,2018,0.901
Man,2019,0.913
Man,2020,0.919
Man,2021,0.929
Man,2022,0.946
Vrouw,2006,0.58
Vrouw,2007,0.633
Vrouw,2008,0.651
Vrouw,2009,0.711
Vrouw,2010,0.737
Vrouw,2011,0.79
Vrouw,2012,0.787
Vrouw,2013,0.802
Vrouw,2014,0.841
Vrouw,2015,0.843
Vrouw,2016,0.854
Vrouw,2017,0.868
Vrouw,2018,0.873
Vrouw,2019,0.892
Vrouw,2020,0.911
Vrouw,2021,0.927
Vrouw,2022,0.934
