Jaar,Alle werknemersklassen,NIS werknemersklasse,Alle economische activiteiten,Sectie,Aantal oprichtingen
2021,Alle werknemersklassen,Geen werknemer,Alle economische activiteiten,S Overige diensten,6928.0
2021,Alle werknemersklassen,Geen werknemer,Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,18.0
2021,Alle werknemersklassen,Geen werknemer,Alle economische activiteiten,U Extraterritoriale organisaties en lichamen,1.0
2021,Alle werknemersklassen,Geen werknemer,Alle economische activiteiten,Onbekende economische activiteit,61.0
2021,Alle werknemersklassen,Geen werknemer,Alle economische activiteiten,,107259.0
2021,Alle werknemersklassen,1-4 werknemers,Alle economische activiteiten,"A Landbouw, bosbouw en visserij",61.0
2021,Alle werknemersklassen,1-4 werknemers,Alle economische activiteiten,B Winning van delfstoffen,2.0
2021,Alle werknemersklassen,1-4 werknemers,Alle economische activiteiten,C Industrie,266.0
2021,Alle werknemersklassen,1-4 werknemers,Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",3.0
2021,Alle werknemersklassen,1-4 werknemers,Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,7.0
2021,Alle werknemersklassen,1-4 werknemers,Alle economische activiteiten,F Bouwnijverheid,1005.0
2021,Alle werknemersklassen,1-4 werknemers,Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,1287.0
2021,Alle werknemersklassen,1-4 werknemers,Alle economische activiteiten,H Vervoer en opslag,237.0
2021,Alle werknemersklassen,1-4 werknemers,Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,1043.0
2021,Alle werknemersklassen,1-4 werknemers,Alle economische activiteiten,J Informatie en communicatie,204.0
2021,Alle werknemersklassen,1-4 werknemers,Alle economische activiteiten,K Financiële activiteiten en verzekeringen,106.0
2021,Alle werknemersklassen,1-4 werknemers,Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,149.0
2021,Alle werknemersklassen,1-4 werknemers,Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,651.0
2021,Alle werknemersklassen,1-4 werknemers,Alle economische activiteiten,N Administratieve en ondersteunende diensten,303.0
2021,Alle werknemersklassen,1-4 werknemers,Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,1.0
2021,Alle werknemersklassen,1-4 werknemers,Alle economische activiteiten,P Onderwijs,26.0
2021,Alle werknemersklassen,1-4 werknemers,Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,145.0
2021,Alle werknemersklassen,1-4 werknemers,Alle economische activiteiten,"R Kunst, amusement en recreatie",106.0
