Alle groepen/getuigen,Groep,Subgroep 1,Getuige,Basisjaar,Jaar,Index
Alle groepen/getuigen,Intermediaire consumptie,Onderhoud gebouwen,,2015,2017,105.917
Alle groepen/getuigen,Intermediaire consumptie,Onderhoud gebouwen,,2015,2018,109.945
Alle groepen/getuigen,Intermediaire consumptie,Onderhoud gebouwen,,2015,2019,109.511
Alle groepen/getuigen,Intermediaire consumptie,Onderhoud gebouwen,,2015,2020,106.858
Alle groepen/getuigen,Intermediaire consumptie,Onderhoud materieel,,2015,2015,100.0
Alle groepen/getuigen,Intermediaire consumptie,Onderhoud materieel,,2015,2016,99.702
Alle groepen/getuigen,Intermediaire consumptie,Onderhoud materieel,,2015,2017,102.203
Alle groepen/getuigen,Intermediaire consumptie,Onderhoud materieel,,2015,2018,103.098
Alle groepen/getuigen,Intermediaire consumptie,Onderhoud materieel,,2015,2019,103.001
Alle groepen/getuigen,Intermediaire consumptie,Onderhoud materieel,,2015,2020,103.139
Alle groepen/getuigen,Intermediaire consumptie,Overige goederen en diensten,,2015,2015,100.0
Alle groepen/getuigen,Intermediaire consumptie,Overige goederen en diensten,,2015,2016,102.148
Alle groepen/getuigen,Intermediaire consumptie,Overige goederen en diensten,,2015,2017,103.732
Alle groepen/getuigen,Intermediaire consumptie,Overige goederen en diensten,,2015,2018,105.423
Alle groepen/getuigen,Intermediaire consumptie,Overige goederen en diensten,,2015,2019,106.116
Alle groepen/getuigen,Intermediaire consumptie,Overige goederen en diensten,,2015,2020,107.851
Alle groepen/getuigen,Investeringen,Materieel,,2015,2015,100.0
Alle groepen/getuigen,Investeringen,Materieel,,2015,2016,103.005
Alle groepen/getuigen,Investeringen,Materieel,,2015,2017,105.065
Alle groepen/getuigen,Investeringen,Materieel,,2015,2018,107.676
Alle groepen/getuigen,Investeringen,Materieel,,2015,2019,110.918
Alle groepen/getuigen,Investeringen,Materieel,,2015,2020,112.138
Alle groepen/getuigen,Investeringen,Constructies,,2015,2015,100.0
Alle groepen/getuigen,Investeringen,Constructies,,2015,2016,100.273
Alle groepen/getuigen,Investeringen,Constructies,,2015,2017,105.059
Alle groepen/getuigen,Investeringen,Constructies,,2015,2018,108.464
Alle groepen/getuigen,Investeringen,Constructies,,2015,2019,108.379
Alle groepen/getuigen,Investeringen,Constructies,,2015,2020,105.933
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde pachten,,2015,2015,100.0
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde pachten,,2015,2016,102.732
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde pachten,,2015,2017,105.233
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde pachten,,2015,2018,106.734
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde pachten,,2015,2019,106.787
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde pachten,,2015,2020,106.787
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde lonen,,2015,2015,100.0
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde lonen,,2015,2016,102.837
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde lonen,,2015,2017,105.734
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde lonen,,2015,2018,108.601
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde lonen,,2015,2019,112.369
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde lonen,,2015,2020,114.472
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde interesten,,2015,2015,100.0
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde interesten,,2015,2016,100.0
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde interesten,,2015,2017,93.949
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde interesten,,2015,2018,86.436
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde interesten,,2015,2019,80.606
Alle groepen/getuigen,Kosten van de productiefactoren,Betaalde interesten,,2015,2020,74.978
Alle groepen/getuigen,,,,2015,2015,100.0
Alle groepen/getuigen,,,,2015,2016,99.349
Alle groepen/getuigen,,,,2015,2017,102.361
Alle groepen/getuigen,,,,2015,2018,105.439
Alle groepen/getuigen,,,,2015,2019,107.083
Alle groepen/getuigen,,,,2015,2020,105.901
