Alle economische activiteiten,Volgens 17 activiteitengroepen,Jaar,Aantal actief
Alle economische activiteiten,"A Landbouw, jacht en bosbouw",2003,69536
Alle economische activiteiten,"A Landbouw, jacht en bosbouw",2004,69038
Alle economische activiteiten,"A Landbouw, jacht en bosbouw",2005,68666
Alle economische activiteiten,"A Landbouw, jacht en bosbouw",2006,68038
Alle economische activiteiten,"A Landbouw, jacht en bosbouw",2007,67498
Alle economische activiteiten,B Visserij,2003,305
Alle economische activiteiten,B Visserij,2004,301
Alle economische activiteiten,B Visserij,2005,304
Alle economische activiteiten,B Visserij,2006,290
Alle economische activiteiten,B Visserij,2007,291
Alle economische activiteiten,C Winning van delfstoffen,2003,329
Alle economische activiteiten,C Winning van delfstoffen,2004,317
Alle economische activiteiten,C Winning van delfstoffen,2005,313
Alle economische activiteiten,C Winning van delfstoffen,2006,307
Alle economische activiteiten,C Winning van delfstoffen,2007,310
Alle economische activiteiten,D Industrie,2003,48910
Alle economische activiteiten,D Industrie,2004,49188
Alle economische activiteiten,D Industrie,2005,49204
Alle economische activiteiten,D Industrie,2006,49536
Alle economische activiteiten,D Industrie,2007,50505
Alle economische activiteiten,"E Productie en distributie van elektriciteit, gas en water",2003,281
Alle economische activiteiten,"E Productie en distributie van elektriciteit, gas en water",2004,298
Alle economische activiteiten,"E Productie en distributie van elektriciteit, gas en water",2005,306
Alle economische activiteiten,"E Productie en distributie van elektriciteit, gas en water",2006,328
Alle economische activiteiten,"E Productie en distributie van elektriciteit, gas en water",2007,349
Alle economische activiteiten,F Bouwnijverheid,2003,82007
Alle economische activiteiten,F Bouwnijverheid,2004,83934
Alle economische activiteiten,F Bouwnijverheid,2005,86409
Alle economische activiteiten,F Bouwnijverheid,2006,89198
Alle economische activiteiten,F Bouwnijverheid,2007,91582
Alle economische activiteiten,"G Groot- en detailhandel: reparatie van auto's, motorrijwielen en consumentenartikelen",2003,182376
Alle economische activiteiten,"G Groot- en detailhandel: reparatie van auto's, motorrijwielen en consumentenartikelen",2004,181829
Alle economische activiteiten,"G Groot- en detailhandel: reparatie van auto's, motorrijwielen en consumentenartikelen",2005,181905
Alle economische activiteiten,"G Groot- en detailhandel: reparatie van auto's, motorrijwielen en consumentenartikelen",2006,179511
Alle economische activiteiten,"G Groot- en detailhandel: reparatie van auto's, motorrijwielen en consumentenartikelen",2007,180777
Alle economische activiteiten,H Hotels en restaurants,2003,54945
Alle economische activiteiten,H Hotels en restaurants,2004,55752
Alle economische activiteiten,H Hotels en restaurants,2005,56248
Alle economische activiteiten,H Hotels en restaurants,2006,56497
Alle economische activiteiten,H Hotels en restaurants,2007,56548
Alle economische activiteiten,"I Vervoer, opslag en communicatie",2003,24687
Alle economische activiteiten,"I Vervoer, opslag en communicatie",2004,25089
Alle economische activiteiten,"I Vervoer, opslag en communicatie",2005,26064
Alle economische activiteiten,"I Vervoer, opslag en communicatie",2006,26253
Alle economische activiteiten,"I Vervoer, opslag en communicatie",2007,27496
Alle economische activiteiten,J Financiële instellingen,2003,3839
Alle economische activiteiten,J Financiële instellingen,2004,3902
Alle economische activiteiten,J Financiële instellingen,2005,4007
Alle economische activiteiten,J Financiële instellingen,2006,4077
Alle economische activiteiten,J Financiële instellingen,2007,4220
Alle economische activiteiten,"K Onroerende goederen, verhuur en diensten aan bedrijven",2003,142043
Alle economische activiteiten,"K Onroerende goederen, verhuur en diensten aan bedrijven",2004,147631
Alle economische activiteiten,"K Onroerende goederen, verhuur en diensten aan bedrijven",2005,153561
Alle economische activiteiten,"K Onroerende goederen, verhuur en diensten aan bedrijven",2006,160082
Alle economische activiteiten,"K Onroerende goederen, verhuur en diensten aan bedrijven",2007,168551
Alle economische activiteiten,L Openbaar bestuur en defensie: verplichte sociale verzekeringen,2003,456
Alle economische activiteiten,L Openbaar bestuur en defensie: verplichte sociale verzekeringen,2004,466
Alle economische activiteiten,L Openbaar bestuur en defensie: verplichte sociale verzekeringen,2005,565
Alle economische activiteiten,L Openbaar bestuur en defensie: verplichte sociale verzekeringen,2006,550
Alle economische activiteiten,L Openbaar bestuur en defensie: verplichte sociale verzekeringen,2007,600
Alle economische activiteiten,M Onderwijs,2003,2777
Alle economische activiteiten,M Onderwijs,2004,2986
Alle economische activiteiten,M Onderwijs,2005,3257
Alle economische activiteiten,M Onderwijs,2006,3511
Alle economische activiteiten,M Onderwijs,2007,3765
Alle economische activiteiten,N Gezondheidszorg en maatschappelijke dienstverlening,2003,8135
Alle economische activiteiten,N Gezondheidszorg en maatschappelijke dienstverlening,2004,8646
Alle economische activiteiten,N Gezondheidszorg en maatschappelijke dienstverlening,2005,9093
Alle economische activiteiten,N Gezondheidszorg en maatschappelijke dienstverlening,2006,9630
Alle economische activiteiten,N Gezondheidszorg en maatschappelijke dienstverlening,2007,10296
Alle economische activiteiten,"O Overige gemeenschapsvoorzieningen, sociaal culturele en persoonlijke diensten",2003,61315
Alle economische activiteiten,"O Overige gemeenschapsvoorzieningen, sociaal culturele en persoonlijke diensten",2004,62784
Alle economische activiteiten,"O Overige gemeenschapsvoorzieningen, sociaal culturele en persoonlijke diensten",2005,64653
Alle economische activiteiten,"O Overige gemeenschapsvoorzieningen, sociaal culturele en persoonlijke diensten",2006,66537
Alle economische activiteiten,"O Overige gemeenschapsvoorzieningen, sociaal culturele en persoonlijke diensten",2007,68642
Alle economische activiteiten,P Huishoudens,2003,157
Alle economische activiteiten,P Huishoudens,2004,151
Alle economische activiteiten,P Huishoudens,2005,165
Alle economische activiteiten,P Huishoudens,2006,177
Alle economische activiteiten,P Huishoudens,2007,159
Alle economische activiteiten,Q Extraterritoriale organisaties en lichamen,2003,7
Alle economische activiteiten,Q Extraterritoriale organisaties en lichamen,2004,7
Alle economische activiteiten,Q Extraterritoriale organisaties en lichamen,2005,6
Alle economische activiteiten,Q Extraterritoriale organisaties en lichamen,2006,7
Alle economische activiteiten,Q Extraterritoriale organisaties en lichamen,2007,8
Alle economische activiteiten,Niet beschikbaar,2003,5657
Alle economische activiteiten,Niet beschikbaar,2004,5498
Alle economische activiteiten,Niet beschikbaar,2005,5526
Alle economische activiteiten,Niet beschikbaar,2006,5472
Alle economische activiteiten,Niet beschikbaar,2007,5530
Alle economische activiteiten,,2003,687762
Alle economische activiteiten,,2004,697817
Alle economische activiteiten,,2005,710252
Alle economische activiteiten,,2006,720001
Alle economische activiteiten,,2007,737127
