België,Gewest,Provincie,Arrondissement,Gemeente,Bevolking geboren buiten België
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Zaventem,0.246
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Hoogstraten,0.246
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Watermaal-Bosvoorde,0.245
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Messancy,0.24
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Herstal,0.237
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Essen,0.227
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Aarlen,0.223
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Martelange,0.222
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Ottignies-Louvain-la-Neuve,0.219
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Overijse,0.214
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Farciennes,0.21
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Kinrooi,0.209
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Terhulpen,0.209
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Leuven,0.208
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Sint-Genesius-Rode,0.208
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Verviers,0.206
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Genk,0.204
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Riemst,0.204
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Drogenbos,0.198
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Vilvoorde,0.196
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Neerpelt,0.193
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Seraing,0.191
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Musson,0.19
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Quiévrain,0.188
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Bergen,0.184
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Charleroi,0.182
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Tubeke,0.181
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Dison,0.18
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Machelen (Halle-Vilvoorde),0.18
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,La Louvière,0.18
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Hoeilaart,0.179
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Gent,0.179
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Grâce-Hollogne,0.177
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Mesen,0.177
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Lommel,0.175
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Ans,0.175
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Quaregnon,0.171
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Wemmel,0.17
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Maaseik,0.169
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Arendonk,0.168
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Lasne,0.167
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Büllingen,0.165
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Rixensart,0.163
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Linkebeek,0.162
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Châtelet,0.159
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Virton,0.158
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Hensies,0.156
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Aiseau-Presles,0.156
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Péruwelz,0.155
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Rendeux,0.155
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Mechelen,0.153
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Turnhout,0.152
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Chapelle-lez-Herlaimont,0.152
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Wezet,0.152
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Houthalen-Helchteren,0.151
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Heusden-Zolder,0.151
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Dilsen-Stokkem,0.15
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Attert,0.15
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Morlanwelz,0.149
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Waver,0.148
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Sint-Pieters-Leeuw,0.143
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Manage,0.143
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Jurbeke,0.142
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Fontaine-l’Evêque,0.141
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Bernissart,0.141
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Trooz,0.141
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Doornik,0.14
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Fléron,0.14
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Bocholt,0.14
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Namen,0.139
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Overpelt,0.139
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Gouvy,0.139
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Beyne-Heusay,0.138
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Momignies,0.138
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Leopoldsburg,0.136
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Eigenbrakel,0.136
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Boom,0.135
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Saint-Léger (Virton),0.135
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Zutendaal,0.134
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Boussu,0.134
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Court-Saint-Etienne,0.132
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Colfontaine,0.131
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Vresse-sur-Semois,0.131
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Fleurus,0.13
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Welkenraedt,0.13
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Rouvroy,0.129
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Hechtel-Eksel,0.129
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Oud-Turnhout,0.128
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Kapellen (Antwerpen),0.127
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Asse,0.127
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Baelen,0.126
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Kalmthout,0.125
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Nijvel,0.125
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Courcelles,0.125
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Hoei,0.125
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Grimbergen,0.124
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Ronse,0.124
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Hotton,0.123
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Pecq,0.121
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Erquelinnes,0.119
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Zinnik,0.119
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,De Panne,0.119
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Beringen,0.118
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Menen,0.118
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Florenville,0.117
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Habay,0.116
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Saint-Ghislain,0.116
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Frameries,0.116
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Dinant,0.114
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Steenokkerzeel,0.114
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Flémalle,0.114
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Brunehaut,0.114
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Beersel,0.114
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Graven,0.114
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Brasschaat,0.114
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Oostende,0.113
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Bouillon,0.113
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Yvoir,0.113
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Kortenberg,0.113
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Zelzate,0.112
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Oupeye,0.112
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Anderlues,0.112
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Stoumont,0.112
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Viroinval,0.111
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Bastenaken,0.111
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Dalhem,0.11
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Binche,0.109
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Schilde,0.109
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Bütgenbach,0.108
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Burg-Reuland,0.108
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Sint-Niklaas (Sint-Niklaas),0.108
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,’s Gravenbrakel,0.107
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Sankt Vith,0.107
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Kasteelbrakel,0.107
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Meix-devant-Virton,0.106
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Gembloux,0.106
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Willebroek,0.106
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Dilbeek,0.105
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Rebecq,0.105
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Bitsingen,0.104
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Spa,0.104
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Chaumont-Gistoux,0.104
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Malmedy,0.103
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Hastière,0.102
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Mol,0.102
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Manhay,0.101
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Genepiën,0.101
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Fauvillers,0.101
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Sambreville,0.101
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Etalle,0.1
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Chaudfontaine,0.099
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Mont-Saint-Guibert,0.099
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Engis,0.099
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Kortrijk,0.099
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Geldenaken,0.098
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Chastre,0.098
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Lens,0.098
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Rumes,0.098
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Bevekom,0.097
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Montigny-le-Tilleul,0.097
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Léglise,0.096
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Juprelle,0.096
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Neupré,0.096
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Marche-en-Famenne,0.096
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Limburg,0.095
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Hasselt,0.095
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Bilzen,0.095
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Seneffe,0.095
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Borsbeek,0.094
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Retie,0.093
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Chiny,0.093
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,La Roche-en-Ardenne,0.092
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Dour,0.092
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Andenne,0.092
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Lokeren,0.092
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Chimay,0.092
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Sint-Truiden,0.092
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,As,0.091
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Huldenberg,0.091
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Soumagne,0.091
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Merksplas,0.091
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Durbuy,0.091
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Edegem,0.09
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Antoing,0.09
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Bertem,0.09
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Mortsel,0.09
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Halle (Halle-Vilvoorde),0.09
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Zele,0.09
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Beauraing,0.09
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Schoten,0.089
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Esneux,0.089
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Beloeil,0.089
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Keerbergen,0.089
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Houffalize,0.089
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Neufchâteau (Neufchâteau),0.087
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Itter,0.087
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Wuustwezel,0.087
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Aalst (Aalst),0.087
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Couvin,0.087
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Edingen,0.087
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Le Roeulx,0.086
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Heuvelland,0.086
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Awans,0.085
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Temse,0.085
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Bree,0.085
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Honnelles,0.084
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Comblain-au-Pont,0.083
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Diest,0.083
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Villers-la-Ville,0.083
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Tintigny,0.082
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Denderleeuw,0.082
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Knokke-Heist,0.081
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Incourt,0.081
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Hamois,0.081
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Brugelette,0.081
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Quévy,0.081
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Aywaille,0.081
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Blégny,0.081
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Saint-Georges-sur-Meuse,0.08
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Florennes,0.08
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Amay,0.08
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Amel,0.08
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Libramont-Chevigny,0.078
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Merbes-le-Château,0.078
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Tongeren,0.078
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Aubel,0.078
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Weismes,0.078
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Sivry-Rance,0.078
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Erezée,0.078
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Lier,0.078
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Borgworm,0.078
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Meise,0.077
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Spiere-Helkijn,0.077
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Gerpinnes,0.077
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Bertrix,0.076
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Liedekerke,0.075
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Sprimont,0.075
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Trois-Ponts,0.075
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Tienen,0.075
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Philippeville,0.074
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Herve,0.074
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Vielsalm,0.073
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Fexhe-le-Haut-Clocher,0.072
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Ham,0.072
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Hannuit,0.072
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Profondeville,0.072
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Perwijs (Nijvel),0.072
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Estinnes,0.072
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Orp-Jauche,0.071
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Wervik,0.071
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Opglabbeek,0.071
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Les Bons Villers,0.071
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Celles (Doornik),0.071
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Stavelot,0.071
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Rochefort,0.071
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,Koksijde,0.07
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Leuze-en-Hainaut,0.07
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Thuin,0.07
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Pepinster,0.07
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Hélécine,0.07
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Wanze,0.07
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Brugge,0.07
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Lessen,0.07
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Olne,0.07
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Stekene,0.07
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Doische,0.069
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Villers-Le-Bouillet,0.069
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Beaumont,0.069
