België,Gewest,Provincie,Arrondissement,Gemeente,Bevolking geboren buiten België
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Raeren,0.589
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Joost-ten-Node,0.576
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Gillis,0.53
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Elsene,0.524
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Etterbeek,0.498
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Brussel,0.495
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Kelmis,0.474
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Baarle-Hertog,0.464
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Schaarbeek,0.457
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Jans-Molenbeek,0.432
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Vorst (Brussel-Hoofdstad),0.401
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Koekelberg,0.397
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Anderlecht,0.392
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Lambrechts-Woluwe,0.377
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Ukkel,0.356
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Pieters-Woluwe,0.356
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Aubange,0.339
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Evere,0.332
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Lanaken,0.321
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Hamont-Achel,0.32
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Estaimpuis,0.32
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Jette,0.319
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Oudergem,0.312
België,Waals Gewest,Provincie Henegouwen,Arrondissement Moeskroen,Komen-Waasten,0.312
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Kraainem,0.312
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Voeren,0.303
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Lontzen,0.3
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Ravels,0.295
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Ganshoren,0.295
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Agatha-Berchem,0.272
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Plombières,0.271
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Luik,0.271
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Tervuren,0.268
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Eupen,0.265
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Saint-Nicolas (Luik),0.263
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Antwerpen,0.258
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Wezembeek-Oppem,0.254
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Waterloo,0.253
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Maasmechelen,0.248
België,Waals Gewest,Provincie Henegouwen,Arrondissement Moeskroen,Moeskroen,0.248
