België,Gewest,Bevolking op 01 januari 2012,Bevolking op 01 januari 2013,Bevolking op 01 januari 2014,Bevolking op 01 januari 2015,Bevolking op 01 januari 2016,Bevolking op 01 januari 2017,Bevolking op 01 januari 2018,Bevolking op 01 januari 2019,Bevolking op 01 januari 2020,Bevolking op 01 januari 2021,Bevolking op 01 januari 2022
België,Vlaams Gewest,6350765,6381859,6410705,6444127,6477804,6516011,6552967,6589069,6629143,6653062,6698876
België,Brussels Hoofdstedelijk Gewest,1138854,1154635,1163486,1175173,1187890,1191604,1198726,1208542,1218255,1219970,1222637
België,Waals Gewest,3546329,3563060,3576325,3589744,3602216,3614473,3624377,3633795,3645243,3648206,3662495
België,,11035948,11099554,11150516,11209044,11267910,11322088,11376070,11431406,11492641,11521238,11584008
