België,Gewest,Jaar,Aantal ongev met doden 30 d,Aantal ongevallen met zwaargew,Aantal ongevallen met lichtgew,Aantal ongevallen
België,Vlaams Gewest,2014,378,2884,22784,26046
België,Vlaams Gewest,2015,374,2621,22081,25076
België,Vlaams Gewest,2016,322,2599,22073,24994
België,Vlaams Gewest,2017,283,2373,20583,23239
België,Vlaams Gewest,2018,292,2311,21108,23711
België,Vlaams Gewest,2019,301,2287,20490,23078
België,Vlaams Gewest,2020,240,1926,16497,18663
België,Vlaams Gewest,2021,292,2055,18866,21213
België,Brussels Hoofdstedelijk Gewest,2014,26,157,3524,3707
België,Brussels Hoofdstedelijk Gewest,2015,29,177,3553,3759
België,Brussels Hoofdstedelijk Gewest,2016,17,154,3710,3881
België,Brussels Hoofdstedelijk Gewest,2017,24,182,3640,3846
België,Brussels Hoofdstedelijk Gewest,2018,21,170,3642,3833
België,Brussels Hoofdstedelijk Gewest,2019,19,166,3743,3928
België,Brussels Hoofdstedelijk Gewest,2020,14,152,3058,3224
België,Brussels Hoofdstedelijk Gewest,2021,8,128,3398,3534
België,Waals Gewest,2014,297,968,10456,11721
België,Waals Gewest,2015,313,967,10185,11465
België,Waals Gewest,2016,288,884,10076,11248
België,Waals Gewest,2017,276,837,9827,10940
België,Waals Gewest,2018,255,792,9862,10909
België,Waals Gewest,2019,287,787,9639,10713
België,Waals Gewest,2020,214,656,7494,8364
België,Waals Gewest,2021,187,648,9058,9893
België,,2014,701,4009,36764,41474
België,,2015,716,3765,35819,40300
België,,2016,627,3637,35859,40123
België,,2017,583,3392,34050,38025
België,,2018,568,3273,34612,38453
België,,2019,607,3240,33872,37719
België,,2020,468,2734,27049,30251
België,,2021,487,2831,31322,34640
