België,Gewest,Provincie,Arrondissement,Werkloosheidsgraad 15-64-jarigen
België,Vlaams Gewest,Provincie Antwerpen,,0.059
België,Vlaams Gewest,Provincie Vlaams-Brabant,,0.039
België,Vlaams Gewest,Provincie West-Vlaanderen,,0.043
België,Vlaams Gewest,Provincie Oost-Vlaanderen,,0.048
België,Vlaams Gewest,Provincie Limburg,,0.057
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,0.167
België,Waals Gewest,Provincie Waals-Brabant,,0.08
België,Waals Gewest,Provincie Henegouwen,,0.148
België,Waals Gewest,Provincie Luik,,0.128
België,Waals Gewest,Provincie Luxemburg,,0.084
België,Waals Gewest,Provincie Namen,,0.109
België,,,,0.084
