België,Gewest,Provincie,Arrondissement,Totale bevolking
België,Vlaams Gewest,Provincie Antwerpen,,1773267
België,Vlaams Gewest,Provincie Vlaams-Brabant,,1088692
België,Vlaams Gewest,Provincie West-Vlaanderen,,1168002
België,Vlaams Gewest,Provincie Oost-Vlaanderen,,1448928
België,Vlaams Gewest,Provincie Limburg,,846851
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,1136778
België,Waals Gewest,Provincie Waals-Brabant,,383648
België,Waals Gewest,Provincie Henegouwen,,1319745
België,Waals Gewest,Provincie Luik,,1082136
België,Waals Gewest,Provincie Luxemburg,,273205
België,Waals Gewest,Provincie Namen,,479386
België,,,,11000638
