België,Gewest,Provincie,Arrondissement,Gemeente,Gemiddelde grootte van particuliere huishoudens
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Elsene,1.66
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Etterbeek,1.84
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Luik,1.87
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Gillis,1.9
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Oostende,1.94
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Blankenberge,1.95
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Lambrechts-Woluwe,1.95
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Brussel,1.96
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Leuven,1.98
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,Nieuwpoort,2.0
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Knokke-Heist,2.01
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Middelkerke,2.01
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,De Panne,2.01
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Spa,2.01
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,De Haan,2.03
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,Koksijde,2.03
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Watermaal-Bosvoorde,2.04
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Hastière,2.04
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Bergen,2.05
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Hoei,2.07
