België,Gewest,Provincie,Arrondissement,Gemeente,Gemiddelde grootte van particuliere huishoudens
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Gent,2.08
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Ganshoren,2.08
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Oudergem,2.09
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Seraing,2.09
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Vresse-sur-Semois,2.09
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Vorst (Brussel-Hoofdstad),2.1
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Ukkel,2.1
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Viroinval,2.11
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Antwerpen,2.12
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Charleroi,2.12
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Bouillon,2.13
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Namen,2.14
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Joost-ten-Node,2.15
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Doornik,2.15
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Esneux,2.16
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Eupen,2.16
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Verviers,2.16
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Dinant,2.16
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Pieters-Woluwe,2.17
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Nijvel,2.18
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,La Roche-en-Ardenne,2.18
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Brugge,2.19
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Eeklo,2.19
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Turnhout,2.2
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Hasselt,2.2
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Evere,2.2
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Saint-Ghislain,2.2
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Couvin,2.2
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Tienen,2.21
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Jette,2.21
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Herstal,2.21
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Kelmis,2.21
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Borsbeek,2.22
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Aalst (Aalst),2.22
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Anderlecht,2.22
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Ans,2.22
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Aywaille,2.22
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Borgworm,2.22
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Florenville,2.22
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Aarschot,2.24
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Zelzate,2.24
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Schaarbeek,2.24
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Châtelet,2.24
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Flémalle,2.24
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Lier,2.25
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Frameries,2.25
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Saint-Nicolas (Luik),2.25
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Kortrijk,2.26
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Wetteren,2.26
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Fontaine-l’Evêque,2.26
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Chimay,2.26
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Malmedy,2.26
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Aarlen,2.26
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Philippeville,2.26
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Mortsel,2.27
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Zottegem,2.27
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Dendermonde,2.27
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Koekelberg,2.27
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Montigny-le-Tilleul,2.27
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Quiévrain,2.27
België,Waals Gewest,Provincie Henegouwen,Arrondissement Moeskroen,Moeskroen,2.27
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Fléron,2.27
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Gouvy,2.27
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Durbuy,2.27
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Saint-Hubert,2.27
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Edegem,2.28
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Ottignies-Louvain-la-Neuve,2.28
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Boussu,2.28
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Binche,2.28
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Ciney,2.28
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Herentals,2.29
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Bredene,2.29
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Froidchapelle,2.29
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Chaudfontaine,2.29
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Trooz,2.29
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Martelange,2.29
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Herbeumont,2.29
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Sambreville,2.29
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Sint-Truiden,2.3
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Dour,2.3
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Anderlues,2.3
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Leuze-en-Hainaut,2.3
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Oupeye,2.3
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Erezée,2.3
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Boom,2.31
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Menen,2.31
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Izegem,2.31
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Agatha-Berchem,2.31
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Aat,2.31
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Quaregnon,2.31
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Colfontaine,2.31
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Erquelinnes,2.31
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Thuin,2.31
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Antoing,2.31
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Beyne-Heusay,2.31
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Stavelot,2.31
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Trois-Ponts,2.31
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Rendeux,2.31
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Zwijndrecht,2.32
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Scherpenheuvel-Zichem,2.32
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Ieper,2.32
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Mesen,2.32
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Beloeil,2.32
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Courcelles,2.32
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,La Louvière,2.32
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Beaumont,2.32
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Engis,2.32
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Grâce-Hollogne,2.32
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Virton,2.32
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Gedinne,2.32
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Mechelen,2.33
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Roeselare,2.33
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Geraardsbergen,2.33
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Oudenaarde,2.33
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Sint-Niklaas (Sint-Niklaas),2.33
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Tongeren,2.33
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Péruwelz,2.33
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Hamoir,2.33
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Geel,2.34
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Grimbergen,2.34
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Diest,2.34
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Torhout,2.34
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Haaltert,2.34
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Wichelen,2.34
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Chapelle-lez-Herlaimont,2.34
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Gerpinnes,2.34
België,Waals Gewest,Provincie Henegouwen,Arrondissement Moeskroen,Komen-Waasten,2.34
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Amay,2.34
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Wezet,2.34
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Raeren,2.34
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Stoumont,2.34
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Oerle,2.34
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Saint-Georges-sur-Meuse,2.34
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Aubange,2.34
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Niel,2.35
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Wijnegem,2.35
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Mol,2.35
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Halle (Halle-Vilvoorde),2.35
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Avelgem,2.35
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Harelbeke,2.35
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,Veurne,2.35
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Lede,2.35
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Erpe-Mere,2.35
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Assenede,2.35
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Honnelles,2.35
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Vielsalm,2.35
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Houyet,2.35
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Doische,2.35
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Brasschaat,2.36
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Drogenbos,2.36
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Tielt (Tielt),2.36
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Ninove,2.36
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Sint-Laureins,2.36
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Fleurus,2.36
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Hensies,2.36
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Bitsingen,2.36
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Lierneux,2.36
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Manhay,2.36
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Bertrix,2.36
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Daverdisse,2.36
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Schoten,2.37
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Heist-op-den-Berg,2.37
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Hulshout,2.37
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Zaventem,2.37
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Koekelare,2.37
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Berlare,2.37
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Lebbeke,2.37
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Deinze,2.37
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Knesselare,2.37
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Lanaken,2.37
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Waver,2.37
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Aiseau-Presles,2.37
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Quévy,2.37
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Lessen,2.37
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Momignies,2.37
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Ham-sur-Heure-Nalinnes,2.37
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Morlanwelz,2.37
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Comblain-au-Pont,2.37
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Bièvre,2.37
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Gembloux,2.37
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Hemiksem,2.38
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Duffel,2.38
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Landen,2.38
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Kuurne,2.38
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Waarschoot,2.38
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Jans-Molenbeek,2.38
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Terhulpen,2.38
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Bernissart,2.38
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Sivry-Rance,2.38
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Ferrières,2.38
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Welkenraedt,2.38
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Houffalize,2.38
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Anhée,2.38
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Rochefort,2.38
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Laakdal,2.39
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Merchtem,2.39
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Denderleeuw,2.39
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Laarne,2.39
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Maldegem,2.39
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Lovendegem,2.39
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Melle,2.39
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Moerbeke (Gent),2.39
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Brakel,2.39
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Leopoldsburg,2.39
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Brugelette,2.39
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Dison,2.39
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Limburg,2.39
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Meix-devant-Virton,2.39
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Beauraing,2.39
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Cerfontaine,2.39
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Florennes,2.39
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Aartselaar,2.4
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Putte,2.4
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Herenthout,2.4
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Wemmel,2.4
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Wervik,2.4
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Ingelmunster,2.4
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Hamme (Dendermonde),2.4
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Destelbergen,2.4
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Wachtebeke,2.4
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Ronse,2.4
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Zinnik,2.4
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Lobbes,2.4
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Wanze,2.4
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Chiny,2.4
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Walcourt,2.4
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Kapellen (Antwerpen),2.41
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Stabroek,2.41
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Bornem,2.41
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Willebroek,2.41
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Meerhout,2.41
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Asse,2.41
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Kapelle-op-den-Bos,2.41
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Londerzeel,2.41
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Zoutleeuw,2.41
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Diksmuide,2.41
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Lendelede,2.41
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Waregem,2.41
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Zomergem,2.41
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Lens,2.41
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Estinnes,2.41
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Pecq,2.41
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Rumes,2.41
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Awans,2.41
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Plombières,2.41
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Somme-Leuze,2.41
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Andenne,2.41
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Balen,2.42
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Dilbeek,2.42
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Moorslede,2.42
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Herzele,2.42
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Sint-Lievens-Houtem,2.42
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Evergem,2.42
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Beveren (Sint-Niklaas),2.42
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Stekene,2.42
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Eigenbrakel,2.42
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Hélécine,2.42
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Manage,2.42
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,’s Gravenbrakel,2.42
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Edingen,2.42
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Le Roeulx,2.42
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Estaimpuis,2.42
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Pepinster,2.42
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Marche-en-Famenne,2.42
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Nassogne,2.42
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Berlaar,2.43
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Herselt,2.43
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Westerlo,2.43
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Liedekerke,2.43
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Opwijk,2.43
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Steenokkerzeel,2.43
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Kortenberg,2.43
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Kortemark,2.43
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Wevelgem,2.43
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Ichtegem,2.43
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Ardooie,2.43
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Buggenhout,2.43
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Kruibeke,2.43
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Tessenderlo,2.43
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Maaseik,2.43
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Borgloon,2.43
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Elzele,2.43
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Vloesberg,2.43
