Jaar/Maand,Dag,Productgroep,Product,Prijs incl. BTW
jan23,09jan23,Propaan,propaan (in bulk) (minder dan 2000 l) (€/L),0.8
jan23,09jan23,Butaan + LPG,Autogas LPG (aan de pomp) (€/L),0.695
jan23,09jan23,Butaan + LPG,Autogas LPG (minder dan 2000 l) (€/L),0.832
jan23,09jan23,Butaan + LPG,Autogas LPG (vanaf 2000 l) (€/L),0.752
jan23,09jan23,Stookolie,Extra zware stookolie met 1 % S (per tankwagen) (€/T),549.46
jan23,10jan23,Benzines,Benzine 95 RON E5 (€/L),1.782
jan23,10jan23,Benzines,Benzine 95 RON E10 (€/L),1.721
jan23,10jan23,Benzines,Benzine 98 RON E5 (€/L),1.93
jan23,10jan23,Benzines,Benzine 98 RON E10 (€/L),1.882
jan23,10jan23,Gasolie Diesel wegvervoer,Diesel B7 (€/L),1.773
jan23,10jan23,Gasolie Diesel wegvervoer,Diesel B10 (€/L),1.752
jan23,10jan23,Gasolie Diesel wegvervoer,Diesel B20 (€/L),1.787
jan23,10jan23,Gasolie Diesel wegvervoer,Diesel B30 (€/L),1.868
jan23,10jan23,Gasolie Diesel wegvervoer,Diesel XTL (€/L),3.21
jan23,10jan23,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (vanaf 2000 l) (€/L),1.047
jan23,10jan23,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (minder dan 2000 l) (€/L),1.082
jan23,10jan23,Gasolie Diesel (landbouw doeleinden),Gasolie Diesel Landbouw (vanaf 2000 l) (€/L),1.024
jan23,10jan23,Gasolie Diesel (landbouw doeleinden),Gasolie Diesel Landbouw (minder dan 2000 l) (€/L),1.059
jan23,10jan23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (vanaf 2000 l) (€/L),1.052
jan23,10jan23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (minder dan 2000 l) (€/L),1.087
jan23,10jan23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (aan de pomp) (€/L),1.188
jan23,10jan23,Gasolie verwarming,Gasolie verwarming 50S (vanaf 2000 l) (€/L),1.032
jan23,10jan23,Gasolie verwarming,Gasolie verwarming 50S (minder dan 2000 l) (€/L),1.068
jan23,10jan23,Gasolie verwarming,Gasolie verwarming 50S (aan de pomp) (€/L),1.174
jan23,10jan23,Lamppetroleum,lamppetroleum (type B) (minder dan 2000 l) (€/L),1.14
jan23,10jan23,Lamppetroleum,lamppetroleum (type B) (vanaf 2000 l) (€/L),1.105
jan23,10jan23,Lamppetroleum,lamppetroleum (type B) (aan de pomp) (€/L),1.244
