België,Gewest,Provincie,Arrondissement,Gemeente,Koppel met kind(eren)
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Attert,0.453
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Léglise,0.429
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Fauvillers,0.422
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Vaux-sur-Sûre,0.418
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Pepingen,0.416
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Bertogne,0.41
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Opglabbeek,0.409
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Geer,0.407
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Thimister-Clermont,0.406
België,Waals Gewest,Provincie Namen,Arrondissement Namen,La Bruyère,0.404
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Etalle,0.402
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Meeuwen-Gruitrode,0.392
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Verlaine,0.39
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Lo-Reninge,0.389
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Kinrooi,0.388
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Ramillies,0.386
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Amel,0.386
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Merksplas,0.386
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Habay,0.386
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Fernelmont,0.384
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Tinlot,0.383
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Wielsbeke,0.382
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Houthalen-Helchteren,0.382
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Maarkedal,0.381
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Walhain,0.38
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Chastre,0.38
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Dentergem,0.379
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Glabbeek,0.378
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Heusden-Zolder,0.377
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Hooglede,0.377
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Donceel,0.377
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Lochristi,0.377
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Horebeke,0.377
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Wortegem-Petegem,0.376
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Musson,0.376
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Vosselaar,0.375
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Beringen,0.375
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Zonnebeke,0.375
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Kruishoutem,0.374
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Boutersem,0.373
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Holsbeek,0.373
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Assesse,0.372
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Héron,0.372
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Herstappe,0.371
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Bever,0.371
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Oostrozebeke,0.371
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Vleteren,0.371
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Faimes,0.371
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Nandrin,0.37
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Tintigny,0.369
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Lint,0.368
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Pittem,0.368
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Zedelgem,0.368
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Anzegem,0.368
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Lijsem,0.368
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Wingene,0.367
