België,Gewest,Provincie,Arrondissement,Gemeente,Koppel met kind(eren)
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Peer,0.367
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Roosdaal,0.367
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Jabbeke,0.367
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Clavier,0.367
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Bertem,0.366
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Incourt,0.366
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Kasterlee,0.365
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Ledegem,0.364
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Opzullik,0.364
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Wuustwezel,0.364
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Beerse,0.364
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Zemst,0.363
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Langemark-Poelkapelle,0.363
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Villers-la-Ville,0.363
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Celles (Doornik),0.362
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Staden,0.362
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Mont-de-l’Enclus,0.362
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Sint-Amands,0.361
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Messancy,0.361
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Oud-Heverlee,0.36
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Alken,0.36
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Oosterzele,0.359
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Zonhoven,0.358
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Jalhay,0.358
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Itter,0.357
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Zulte,0.357
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Rijkevorsel,0.357
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Eghezée,0.357
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Sombreffe,0.357
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Gesves,0.357
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Nevele,0.356
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Houthulst,0.356
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Lubbeek,0.356
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Court-Saint-Etienne,0.356
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Bevekom,0.356
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Lille,0.356
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Zwalm,0.356
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Gooik,0.356
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Olne,0.356
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Floreffe,0.356
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Kortessem,0.355
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Burdinne,0.355
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Huldenberg,0.355
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Bocholt,0.355
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Keerbergen,0.355
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Braives,0.355
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Libin,0.355
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Hamois,0.354
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Ruiselede,0.354
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Sint-Gillis-Waas,0.354
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Lichtervelde,0.354
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Brecht,0.353
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Herne,0.353
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Galmaarden,0.353
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Begijnendijk,0.353
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Villers-Le-Bouillet,0.352
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Bierbeek,0.352
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Graven,0.352
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Zingem,0.352
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Chaumont-Gistoux,0.352
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Rotselaar,0.352
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Wezembeek-Oppem,0.352
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Lasne,0.352
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,Alveringem,0.352
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Sint-Genesius-Rode,0.351
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,De Pinte,0.351
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Büllingen,0.351
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Zoersel,0.351
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Bekkevoort,0.35
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Haacht,0.35
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Tervuren,0.35
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,As,0.35
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Affligem,0.35
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Remicourt,0.35
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Kampenhout,0.35
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Perwijs (Nijvel),0.35
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Orp-Jauche,0.35
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Tenneville,0.35
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Essen,0.35
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Fexhe-le-Haut-Clocher,0.35
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Hove (Antwerpen),0.349
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Dilsen-Stokkem,0.349
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Damme,0.349
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Beersel,0.349
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Neufchâteau (Neufchâteau),0.349
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Ouffet,0.349
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Dalhem,0.349
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Saint-Léger (Virton),0.349
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Lendelede,0.349
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Retie,0.349
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Havelange,0.348
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Gavere,0.348
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Herk-de-Stad,0.348
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Brunehaut,0.348
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Lummen,0.348
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Wellen,0.348
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Hoeselt,0.347
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Bütgenbach,0.347
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Overijse,0.347
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Beernem,0.347
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Ohey,0.346
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Ranst,0.346
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Rebecq,0.346
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Baelen,0.346
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Hechtel-Eksel,0.345
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Oud-Turnhout,0.345
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Mettet,0.345
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Grobbendonk,0.345
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Genepiën,0.345
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Malle,0.345
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Lierde,0.345
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Spiere-Helkijn,0.345
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Zwevegem,0.344
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Meulebeke,0.344
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Voeren,0.344
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Sint-Lievens-Houtem,0.344
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Herent,0.344
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Geetbets,0.344
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Zele,0.344
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Burg-Reuland,0.343
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Kraainem,0.343
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Riemst,0.343
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Chièvres,0.343
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Gistel,0.343
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Sainte-Ode,0.343
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Ham,0.343
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Crisnée,0.343
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Zutendaal,0.342
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Kalmthout,0.342
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Genk,0.342
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Deerlijk,0.342
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Sint-Katelijne-Waver,0.342
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Aalter,0.342
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Bonheiden,0.342
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Bilzen,0.341
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Nieuwerkerken (Hasselt),0.341
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Hoeilaart,0.341
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Ichtegem,0.34
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Wasseiges,0.34
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Tielt-Winge,0.34
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Jurbeke,0.34
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Herzele,0.34
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Berloz,0.34
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Diepenbeek,0.34
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Ternat,0.339
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Bastenaken,0.339
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Sprimont,0.339
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Lennik,0.339
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Boortmeerbeek,0.338
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Oostkamp,0.338
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Tremelo,0.338
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Modave,0.338
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Lontzen,0.338
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Meise,0.338
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Westerlo,0.338
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Maasmechelen,0.338
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Kaprijke,0.337
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Heuvelland,0.337
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Ardooie,0.337
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Blégny,0.337
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Gingelom,0.337
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Puurs,0.337
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Hoogstraten,0.337
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Wevelgem,0.337
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Nazareth,0.337
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Ravels,0.337
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Zuienkerke,0.337
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Kasteelbrakel,0.337
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Oudenburg,0.336
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Kluisbergen,0.336
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Juprelle,0.336
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Dessel,0.336
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Vorselaar,0.336
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Weismes,0.336
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Halen,0.336
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Zandhoven,0.335
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Bree,0.335
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Opwijk,0.335
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Neerpelt,0.335
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Linter,0.334
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Merelbeke,0.334
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Hoegaarden,0.334
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Lommel,0.334
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Mont-Saint-Guibert,0.334
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Olen,0.333
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Sint-Martens-Latem,0.333
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Kortemark,0.333
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Kortenberg,0.333
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Balen,0.332
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Nassogne,0.332
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Boechout,0.332
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Arendonk,0.332
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Sankt Vith,0.332
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Anthisnes,0.332
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Laarne,0.332
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Maaseik,0.331
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Nijlen,0.331
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Kortenaken,0.331
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Buggenhout,0.331
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Kapelle-op-den-Bos,0.331
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Aubel,0.331
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Overpelt,0.331
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Poperinge,0.33
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Marchin,0.33
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Rumst,0.33
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Tessenderlo,0.329
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Machelen (Halle-Vilvoorde),0.329
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Profondeville,0.328
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Herve,0.328
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Waregem,0.328
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Frasnes-lez-Anvaing,0.328
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Moorslede,0.327
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Heers,0.327
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Libramont-Chevigny,0.327
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Pont-à-Celles,0.327
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Soumagne,0.327
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Schelle,0.326
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Kontich,0.326
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Evergem,0.325
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Laakdal,0.325
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Steenokkerzeel,0.325
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Berlaar,0.325
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Deinze,0.325
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Stekene,0.324
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Kuurne,0.324
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Maldegem,0.324
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Merbes-le-Château,0.324
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Wellin,0.324
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Fosses-la-Ville,0.323
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Koekelare,0.323
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Neupré,0.323
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Meix-devant-Virton,0.323
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Londerzeel,0.323
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Berlare,0.323
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Kruibeke,0.323
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Stabroek,0.323
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Baarle-Hertog,0.323
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Beveren (Sint-Niklaas),0.323
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Wommelgem,0.323
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Herselt,0.323
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Liedekerke,0.323
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Tubeke,0.323
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Waterloo,0.322
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Lokeren,0.322
