Rubriek,Jaar,Totale oppervlakte (hectare)
3.7  Terreinen voor vervoer en telecommunicatie,1990,188876.0
3.7  Terreinen voor vervoer en telecommunicatie,2000,194187.774
3.7  Terreinen voor vervoer en telecommunicatie,2005,196698.331
3.7  Terreinen voor vervoer en telecommunicatie,2010,197881.176
3.7  Terreinen voor vervoer en telecommunicatie,2015,199214.086
3.7  Terreinen voor vervoer en telecommunicatie,2021,215859.889
3.8  Terreinen voor technische voorzieningen,1990,1412.0
3.8  Terreinen voor technische voorzieningen,2000,2244.393
3.8  Terreinen voor technische voorzieningen,2005,2535.698
3.8  Terreinen voor technische voorzieningen,2010,2807.86
3.8  Terreinen voor technische voorzieningen,2015,2997.121
3.8  Terreinen voor technische voorzieningen,2021,3167.01
3.9  Recreatiegebied en andere open ruimte,1990,40733.0
3.9  Recreatiegebied en andere open ruimte,2000,43228.598
3.9  Recreatiegebied en andere open ruimte,2005,44367.582
3.9  Recreatiegebied en andere open ruimte,2010,46420.679
3.9  Recreatiegebied en andere open ruimte,2015,48809.137
3.9  Recreatiegebied en andere open ruimte,2021,55924.268
7.   Water,1990,19976.0
7.   Water,2000,19494.903
7.   Water,2005,19494.903
7.   Water,2010,19494.903
7.   Water,2015,19494.903
7.   Water,2021,19494.903
7.1  Binnenlands water,1990,15820.0
7.1  Binnenlands water,2000,15405.904
7.1  Binnenlands water,2005,15405.904
7.1  Binnenlands water,2010,15405.904
7.1  Binnenlands water,2015,15405.904
7.1  Binnenlands water,2021,15405.904
7.2  Kustwater,1990,4156.0
7.2  Kustwater,2000,4088.999
7.2  Kustwater,2005,4088.999
7.2  Kustwater,2010,4088.999
7.2  Kustwater,2015,4088.999
7.2  Kustwater,2021,4088.999
8.   Zeegebied in de Noordzee,1990,
8.   Zeegebied in de Noordzee,2000,
8.   Zeegebied in de Noordzee,2005,
8.   Zeegebied in de Noordzee,2010,
8.   Zeegebied in de Noordzee,2015,345400.0
8.   Zeegebied in de Noordzee,2021,345400.0
9.   Overige terreinen,1990,569897.656
9.   Overige terreinen,2000,470449.583
9.   Overige terreinen,2005,456889.442
9.   Overige terreinen,2010,462533.158
9.   Overige terreinen,2015,458378.345
9.   Overige terreinen,2021,413105.616
10.  Landoppervlakte,1990,3052791.58
10.  Landoppervlakte,2000,3052791.843
10.  Landoppervlakte,2005,3052792.549
10.  Landoppervlakte,2010,3052792.549
10.  Landoppervlakte,2015,3052792.549
10.  Landoppervlakte,2021,3068917.303
11.  Grondoppervlakte,1990,3032815.58
11.  Grondoppervlakte,2000,3033296.94
11.  Grondoppervlakte,2005,3033297.646
11.  Grondoppervlakte,2010,3033297.646
11.  Grondoppervlakte,2015,3033297.646
11.  Grondoppervlakte,2021,3049422.4
12.  Totale oppervlakte incl. Zeegebied,1990,
12.  Totale oppervlakte incl. Zeegebied,2000,
12.  Totale oppervlakte incl. Zeegebied,2005,
12.  Totale oppervlakte incl. Zeegebied,2010,
12.  Totale oppervlakte incl. Zeegebied,2015,3398192.549
12.  Totale oppervlakte incl. Zeegebied,2021,3414317.303
