België,Gewest,Provincie,Arrondissement,Gemeente,Verhuizingen in 2010
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Scherpenheuvel-Zichem,0.079
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Hamont-Achel,0.079
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Herselt,0.08
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Retie,0.08
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Lichtervelde,0.08
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Schilde,0.08
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Lochristi,0.08
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Bekkevoort,0.08
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Dessel,0.08
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Neerpelt,0.08
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Zedelgem,0.08
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Wevelgem,0.08
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Wichelen,0.08
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Hechtel-Eksel,0.08
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Oostkamp,0.081
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Laakdal,0.081
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Büllingen,0.081
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Kampenhout,0.081
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Zonnebeke,0.081
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Affligem,0.081
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Ternat,0.081
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Anthisnes,0.081
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Berlaar,0.081
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Herzele,0.081
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Tremelo,0.081
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,Alveringem,0.082
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Herenthout,0.082
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Ramillies,0.082
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Kluisbergen,0.082
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Destelbergen,0.082
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Sint-Martens-Latem,0.082
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Houthalen-Helchteren,0.082
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Assenede,0.083
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Moerbeke (Gent),0.083
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Sint-Amands,0.083
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Sint-Lievens-Houtem,0.083
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Weismes,0.083
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Oudenburg,0.083
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Ruiselede,0.083
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Nazareth,0.083
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Landen,0.083
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Nevele,0.083
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Beerse,0.083
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Diepenbeek,0.083
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Kuurne,0.083
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Bertem,0.083
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Buggenhout,0.083
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Aalter,0.083
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Halen,0.084
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Tielt (Tielt),0.084
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Fernelmont,0.084
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Zulte,0.084
België,Waals Gewest,Provincie Namen,Arrondissement Namen,La Bruyère,0.084
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Bree,0.084
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Zandhoven,0.084
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Knesselare,0.084
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,As,0.084
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Ichtegem,0.085
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Honnelles,0.085
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Pittem,0.085
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Gooik,0.085
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Neupré,0.085
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Borgloon,0.085
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Elzele,0.085
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Zoersel,0.085
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,Veurne,0.085
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Kortemark,0.086
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Zingem,0.086
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Maaseik,0.086
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Rumst,0.086
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Avelgem,0.086
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Lede,0.086
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Laarne,0.086
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Meise,0.086
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Olen,0.086
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Berlare,0.086
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Lommel,0.086
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Londerzeel,0.086
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Huldenberg,0.086
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Erpe-Mere,0.086
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Boechout,0.087
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Verlaine,0.087
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Tessenderlo,0.087
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Rijkevorsel,0.087
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Onhaye,0.087
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Beringen,0.087
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Houthulst,0.087
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Brecht,0.087
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Kontich,0.088
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Harelbeke,0.088
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Izegem,0.088
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Maldegem,0.088
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Schelle,0.088
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Balen,0.088
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Gistel,0.088
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Wuustwezel,0.088
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Marchin,0.088
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Kapelle-op-den-Bos,0.088
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Hulshout,0.088
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Thimister-Clermont,0.088
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Meerhout,0.088
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Celles (Doornik),0.088
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Beveren (Sint-Niklaas),0.088
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Nandrin,0.088
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Awans,0.088
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Ingelmunster,0.089
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Deinze,0.089
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Zonhoven,0.089
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Vosselaar,0.089
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Waregem,0.089
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Heist-op-den-Berg,0.089
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Evergem,0.089
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Incourt,0.089
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Raeren,0.089
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Edegem,0.089
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Beernem,0.089
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Tinlot,0.089
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Merksplas,0.09
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Ieper,0.09
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Ferrières,0.09
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Zutendaal,0.09
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Dilsen-Stokkem,0.09
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Essen,0.09
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Burdinne,0.09
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Liedekerke,0.09
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Hensies,0.09
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Sankt Vith,0.09
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Malle,0.09
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Dilbeek,0.09
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Kasteelbrakel,0.09
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Merelbeke,0.09
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Ham-sur-Heure-Nalinnes,0.09
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Musson,0.09
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Sint-Katelijne-Waver,0.09
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Kruibeke,0.09
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Bornem,0.091
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Putte,0.091
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Villers-la-Ville,0.091
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Melle,0.091
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Frasnes-lez-Anvaing,0.091
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Westerlo,0.091
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Stekene,0.091
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Diksmuide,0.091
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Heusden-Zolder,0.091
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Aartselaar,0.091
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Torhout,0.092
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Chastre,0.092
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Chaudfontaine,0.092
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Hoegaarden,0.092
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Aubel,0.092
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Pepingen,0.092
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Saint-Léger (Virton),0.092
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Waasmunster,0.092
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Vorselaar,0.093
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Ham,0.093
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Brunehaut,0.093
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Rouvroy,0.093
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Opwijk,0.093
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Wijnegem,0.093
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Quévy,0.093
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Faimes,0.093
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Koekelare,0.093
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Bevekom,0.093
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Thuin,0.093
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Zottegem,0.093
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Voeren,0.093
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Tintigny,0.093
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Lobbes,0.093
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Gesves,0.094
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Lontzen,0.094
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Gedinne,0.094
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Wervik,0.094
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Comblain-au-Pont,0.094
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Estaimpuis,0.094
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Eghezée,0.094
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Aarschot,0.095
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Jurbeke,0.095
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Attert,0.095
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Wommelgem,0.095
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Chaumont-Gistoux,0.095
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Stabroek,0.095
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Orp-Jauche,0.095
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Bièvre,0.095
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Lebbeke,0.095
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Montigny-le-Tilleul,0.096
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Blégny,0.096
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Bertogne,0.096
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Floreffe,0.096
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Les Bons Villers,0.096
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Beersel,0.096
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Gerpinnes,0.096
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Mettet,0.096
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Jalhay,0.096
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Etalle,0.096
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Maasmechelen,0.097
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Genk,0.097
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Heers,0.097
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Chièvres,0.097
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Crisnée,0.097
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Dendermonde,0.097
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Kaprijke,0.097
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Oudenaarde,0.097
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Theux,0.097
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Walhain,0.097
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Tenneville,0.097
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Diest,0.097
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Bilzen,0.097
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Zele,0.098
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Willebroek,0.098
