Jaar,Alle werknemersklassen,NIS werknemersklasse,Alle economische activiteiten,Sectie,Aantal btw-plichtige
2021,Alle werknemersklassen,100-199 werknemers,Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2.0
2021,Alle werknemersklassen,100-199 werknemers,Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,19.0
2021,Alle werknemersklassen,100-199 werknemers,Alle economische activiteiten,F Bouwnijverheid,125.0
2021,Alle werknemersklassen,100-199 werknemers,Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,232.0
2021,Alle werknemersklassen,100-199 werknemers,Alle economische activiteiten,H Vervoer en opslag,125.0
2021,Alle werknemersklassen,100-199 werknemers,Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,27.0
2021,Alle werknemersklassen,100-199 werknemers,Alle economische activiteiten,J Informatie en communicatie,90.0
2021,Alle werknemersklassen,100-199 werknemers,Alle economische activiteiten,K Financiële activiteiten en verzekeringen,37.0
2021,Alle werknemersklassen,100-199 werknemers,Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,11.0
2021,Alle werknemersklassen,100-199 werknemers,Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,158.0
2021,Alle werknemersklassen,100-199 werknemers,Alle economische activiteiten,N Administratieve en ondersteunende diensten,133.0
2021,Alle werknemersklassen,100-199 werknemers,Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,219.0
2021,Alle werknemersklassen,100-199 werknemers,Alle economische activiteiten,P Onderwijs,24.0
2021,Alle werknemersklassen,100-199 werknemers,Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,193.0
2021,Alle werknemersklassen,100-199 werknemers,Alle economische activiteiten,"R Kunst, amusement en recreatie",23.0
2021,Alle werknemersklassen,100-199 werknemers,Alle economische activiteiten,S Overige diensten,26.0
2021,Alle werknemersklassen,100-199 werknemers,Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,
2021,Alle werknemersklassen,100-199 werknemers,Alle economische activiteiten,U Extraterritoriale organisaties en lichamen,
2021,Alle werknemersklassen,100-199 werknemers,Alle economische activiteiten,Onbekende economische activiteit,
2021,Alle werknemersklassen,100-199 werknemers,Alle economische activiteiten,,1894.0
2021,Alle werknemersklassen,200-249 werknemers,Alle economische activiteiten,"A Landbouw, bosbouw en visserij",1.0
2021,Alle werknemersklassen,200-249 werknemers,Alle economische activiteiten,B Winning van delfstoffen,
2021,Alle werknemersklassen,200-249 werknemers,Alle economische activiteiten,C Industrie,70.0
2021,Alle werknemersklassen,200-249 werknemers,Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",1.0
2021,Alle werknemersklassen,200-249 werknemers,Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,2.0
2021,Alle werknemersklassen,200-249 werknemers,Alle economische activiteiten,F Bouwnijverheid,31.0
2021,Alle werknemersklassen,200-249 werknemers,Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,53.0
