België,Gewest,Provincie,Arrondissement,Gemeente,Nationaliteit van een niet-EU land
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Herstappe,
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Wellin,0.001
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Amel,0.002
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Gedinne,0.002
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Spiere-Helkijn,0.002
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Honnelles,0.002
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Libin,0.003
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,Alveringem,0.003
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Braives,0.003
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Lo-Reninge,0.003
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Staden,0.003
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Rumes,0.003
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Clavier,0.003
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Meix-devant-Virton,0.003
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Kortemark,0.003
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Momignies,0.003
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Damme,0.003
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Nandrin,0.003
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Attert,0.003
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Zonnebeke,0.003
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Zwalm,0.003
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Horebeke,0.003
