België,Gewest,Jaar,Gemiddeld bruto maandloon
België,Vlaams Gewest,2000,2259
België,Vlaams Gewest,2005,2629
België,Vlaams Gewest,2010,3054
België,Vlaams Gewest,2015,3414
België,Vlaams Gewest,2016,3432
België,Vlaams Gewest,2017,3499
België,Vlaams Gewest,2018,3589
België,Vlaams Gewest,2019,3714
België,Vlaams Gewest,2020,3768
België,Waals Gewest,2000,2188
België,Waals Gewest,2005,2553
België,Waals Gewest,2010,2906
België,Waals Gewest,2015,3188
België,Waals Gewest,2016,3250
België,Waals Gewest,2017,3308
België,Waals Gewest,2018,3383
België,Waals Gewest,2019,3482
België,Waals Gewest,2020,3557
België,Brussels Hoofdstedelijk Gewest,2000,2533
België,Brussels Hoofdstedelijk Gewest,2005,3135
België,Brussels Hoofdstedelijk Gewest,2010,3571
België,Brussels Hoofdstedelijk Gewest,2015,3972
België,Brussels Hoofdstedelijk Gewest,2016,4092
België,Brussels Hoofdstedelijk Gewest,2017,4174
België,Brussels Hoofdstedelijk Gewest,2018,4156
België,Brussels Hoofdstedelijk Gewest,2019,4381
België,Brussels Hoofdstedelijk Gewest,2020,4539
België,,2000,2293
België,,2005,2703
België,,2010,3103
België,,2015,3445
België,,2016,3489
België,,2017,3558
België,,2018,3627
België,,2019,3758
België,,2020,3832
