,20-54,55-64,20-64
2017-02-15,0.7372323264724502,0.4623248242734063,0.6771039855223072
2017-05-15,0.7401605247179937,0.47728568947992256,0.682478584853377
2017-08-15,0.7392903505394215,0.49205937699439023,0.6848395296227509
2017-11-15,0.7521273409440306,0.4982293953768644,0.6960780241928809
2018-02-15,0.7488790724336435,0.49567767598810053,0.6929272095638052
2018-05-15,0.7449675189067106,0.4974543618920276,0.690056398909582
2018-08-15,0.7569119762762913,0.5039071299557422,0.7005722818190584
2018-11-15,0.7598718275000517,0.5155597328052096,0.7053302685015091
2019-02-15,0.7529132745153424,0.5081334301479322,0.6981065806220375
2019-05-15,0.7639140228644667,0.5229797103225974,0.7097418687680729
2019-08-15,0.7590651108791782,0.5285212971364207,0.7070199160539733
2019-11-15,0.7580066837597462,0.5238671373237925,0.7050288996610939
2020-02-15,0.7555880125751301,0.5278773704372052,0.7039827520799833
2020-05-15,0.7431350500763476,0.5348753143267263,0.695765605930412
2020-08-15,0.7520286588498184,0.533648135201877,0.7021983846070469
2020-11-15,0.7474076025094941,0.5359998380004024,0.6991175702594021
2021-02-15,0.7356952420909387,0.5348642140931774,0.6898262156571953
2021-05-15,0.752569019688994,0.5442700812958312,0.7048763953176671
2021-08-15,0.7643164601601276,0.5446174688965542,0.713890886215828
2021-11-15,0.7646168054990248,0.5543172960144547,0.7163260191670583
2022-02-15,0.764625207746214,0.5675092077800218,0.7194123372219713
2022-05-15,0.7605530387080868,0.5587841205522723,0.7142817063107347
2022-08-15,0.7681304630718754,0.5635788022642373,0.7211894588214366
