,20-54,55-64,20-64
2017-02-15,0.07660705684080397,0.07171328511799668,0.07587967701136643
2017-05-15,0.07093259686276714,0.061781078069221576,0.06953967564029412
2017-08-15,0.07509467355359815,0.04989156305060479,0.0711960237291474
2017-11-15,0.06497164900996599,0.05228264942669576,0.06298932038323624
2018-02-15,0.06248416468438678,0.04592812319346679,0.05990542706532997
2018-05-15,0.062360274508461294,0.04389393145263552,0.05945499333673402
2018-08-15,0.059453019828877525,0.043472805811395926,0.05692945699039298
2018-11-15,0.059788861399080316,0.0406799605754781,0.0567228019257828
2019-02-15,0.05678768447266022,0.040971348601280246,0.05424573688667885
2019-05-15,0.05444435673500826,0.04047517471276452,0.0521581657956434
2019-08-15,0.054899209123298404,0.04287883031291582,0.052891925314736354
2019-11-15,0.05215889839973822,0.039721614577343474,0.05009045821828919
2020-02-15,0.052289503603522795,0.04159431917517872,0.050488889605702976
2020-05-15,0.04966799823711061,0.03809371841923302,0.047664297590941776
2020-08-15,0.06632215390379792,0.038067208133098225,0.06154203038009485
2020-11-15,0.058401709487083224,0.04883977567528093,0.05674107528414324
2021-02-15,0.0680883170888532,0.051420117245473435,0.0651793712581454
2021-05-15,0.06125339683591405,0.04654097387173397,0.05868547033964689
2021-08-15,0.06452336211130305,0.05097003242126345,0.062178221392698386
2021-11-15,0.0583243126217796,0.03720379973817422,0.054639265560912455
2022-02-15,0.054982870441639506,0.034686553240687014,0.051374125540840525
2022-05-15,0.05675299077451857,0.04168470598683407,0.054084465843066115
2022-08-15,0.0558028925899317,0.03655303176704827,0.05240760950332859
