Date,Nieuw-Zeelandse dollar
2016-11-22,1.5033
2016-11-23,1.5039
2016-11-24,1.5096
2016-11-25,1.504
2016-11-28,1.4991
2016-11-29,1.4912
2016-11-30,1.4911
2016-12-01,1.5008
2016-12-02,1.499
2016-12-05,1.5105
2016-12-06,1.5059
2016-12-07,1.5022
2016-12-08,1.4973
2016-12-09,1.4745
2016-12-12,1.4793
2016-12-13,1.4724
2016-12-14,1.4741
2016-12-15,1.4752
2016-12-16,1.4892
2016-12-19,1.5023
2016-12-20,1.5029
2016-12-21,1.5052
2016-12-22,1.5111
2016-12-23,1.5195
2016-12-27,1.5168
2016-12-28,1.505
2016-12-29,1.504
2016-12-30,1.5158
2017-01-02,1.5103
2017-01-03,1.5016
2017-01-04,1.5024
2017-01-05,1.5087
2017-01-06,1.5073
2017-01-09,1.5067
2017-01-10,1.5165
2017-01-11,1.5027
2017-01-12,1.498
2017-01-13,1.4952
2017-01-16,1.4916
2017-01-17,1.4877
2017-01-18,1.4838
2017-01-19,1.4857
2017-01-20,1.4891
2017-01-23,1.4893
2017-01-24,1.4852
2017-01-25,1.4789
2017-01-26,1.4793
2017-01-27,1.4726
2017-01-30,1.4668
2017-01-31,1.4709
2017-02-01,1.4817
2017-02-02,1.4763
2017-02-03,1.4781
2017-02-06,1.4672
2017-02-07,1.4631
2017-02-08,1.46
2017-02-09,1.4803
2017-02-10,1.4798
2017-02-13,1.4808
2017-02-14,1.478
2017-02-15,1.4705
2017-02-16,1.4745
2017-02-17,1.4809
2017-02-20,1.4772
2017-02-21,1.4757
2017-02-22,1.4672
2017-02-23,1.4637
2017-02-24,1.4711
2017-02-27,1.4701
2017-02-28,1.4707
2017-03-01,1.4793
2017-03-02,1.4823
2017-03-03,1.5011
2017-03-06,1.5079
2017-03-07,1.5153
2017-03-08,1.5219
2017-03-09,1.5277
2017-03-10,1.5348
2017-03-13,1.5385
2017-03-14,1.5389
2017-03-15,1.5277
2017-03-16,1.5351
2017-03-17,1.5318
2017-03-20,1.5271
2017-03-21,1.5309
2017-03-22,1.5353
2017-03-23,1.5303
2017-03-24,1.5401
2017-03-27,1.5416
2017-03-28,1.5454
2017-03-29,1.5321
2017-03-30,1.5304
2017-03-31,1.5309
2017-04-03,1.5226
2017-04-04,1.526
2017-04-05,1.5319
2017-04-06,1.5271
2017-04-07,1.5249
2017-04-10,1.5239
2017-04-11,1.5285
2017-04-12,1.532
2017-04-13,1.5178
2017-04-18,1.5186
2017-04-19,1.5283
2017-04-20,1.5301
2017-04-21,1.5277
2017-04-24,1.5442
2017-04-25,1.5636
2017-04-26,1.5806
2017-04-27,1.5832
2017-04-28,1.5897
2017-05-02,1.5782
2017-05-03,1.5768
2017-05-04,1.5925
2017-05-05,1.5911
2017-05-08,1.5802
2017-05-09,1.5788
2017-05-10,1.5671
2017-05-11,1.5862
2017-05-12,1.5892
2017-05-15,1.5875
2017-05-16,1.609
2017-05-17,1.613
2017-05-18,1.6057
2017-05-19,1.6227
2017-05-22,1.612
2017-05-23,1.5929
2017-05-24,1.5908
2017-05-25,1.5944
2017-05-26,1.5856
2017-05-29,1.5792
2017-05-30,1.5799
2017-05-31,1.5789
2017-06-01,1.587
2017-06-02,1.5811
2017-06-05,1.5769
2017-06-06,1.5694
2017-06-07,1.5599
2017-06-08,1.5575
2017-06-09,1.552
2017-06-12,1.5583
2017-06-13,1.5528
2017-06-14,1.5453
2017-06-15,1.5505
2017-06-16,1.5441
2017-06-19,1.5411
2017-06-20,1.5414
2017-06-21,1.5402
2017-06-22,1.5395
2017-06-23,1.5345
2017-06-26,1.5371
2017-06-27,1.5431
2017-06-28,1.5648
2017-06-29,1.5651
2017-06-30,1.5554
2017-07-03,1.5584
2017-07-04,1.5594
2017-07-05,1.5575
2017-07-06,1.5697
2017-07-07,1.5669
2017-07-10,1.5663
2017-07-11,1.5788
2017-07-12,1.5827
2017-07-13,1.5578
2017-07-14,1.5625
2017-07-17,1.5624
2017-07-18,1.5713
2017-07-19,1.564
2017-07-20,1.5631
2017-07-21,1.565
2017-07-24,1.5657
2017-07-25,1.5712
2017-07-26,1.5678
2017-07-27,1.5553
2017-07-28,1.5694
2017-07-31,1.5672
2017-08-01,1.5813
2017-08-02,1.5927
2017-08-03,1.5986
2017-08-04,1.5928
2017-08-07,1.6033
2017-08-08,1.6036
2017-08-09,1.6011
2017-08-10,1.6142
2017-08-11,1.6149
2017-08-14,1.6167
2017-08-15,1.6121
2017-08-16,1.6151
2017-08-17,1.6013
2017-08-18,1.6035
2017-08-21,1.6072
2017-08-22,1.6165
2017-08-23,1.6334
2017-08-24,1.6354
2017-08-25,1.6363
2017-08-28,1.6458
2017-08-29,1.6535
2017-08-30,1.6477
2017-08-31,1.6571
2017-09-01,1.6638
2017-09-04,1.6588
2017-09-05,1.6531
2017-09-06,1.6528
2017-09-07,1.6616
2017-09-08,1.6502
2017-09-11,1.6502
2017-09-12,1.6343
2017-09-13,1.6451
2017-09-14,1.6474
2017-09-15,1.6407
2017-09-18,1.6401
2017-09-19,1.6398
2017-09-20,1.6277
2017-09-21,1.6268
2017-09-22,1.6336
2017-09-25,1.6302
2017-09-26,1.6369
2017-09-27,1.6305
2017-09-28,1.6363
2017-09-29,1.6354
2017-10-02,1.6336
2017-10-03,1.6374
2017-10-04,1.6403
2017-10-05,1.6413
2017-10-06,1.6512
2017-10-09,1.6588
2017-10-10,1.6688
2017-10-11,1.6723
2017-10-12,1.6675
2017-10-13,1.6541
2017-10-16,1.642
2017-10-17,1.6375
2017-10-18,1.6488
2017-10-19,1.6861
2017-10-20,1.6885
2017-10-23,1.6838
2017-10-24,1.7008
2017-10-25,1.7123
2017-10-26,1.7118
2017-10-27,1.6975
2017-10-30,1.6944
2017-10-31,1.7005
2017-11-01,1.6866
2017-11-02,1.6867
2017-11-03,1.6797
2017-11-06,1.6797
2017-11-07,1.6717
2017-11-08,1.6724
2017-11-09,1.6715
2017-11-10,1.678
2017-11-13,1.6877
2017-11-14,1.7092
2017-11-15,1.7145
2017-11-16,1.7204
2017-11-17,1.7372
2017-11-20,1.7243
2017-11-21,1.7181
2017-11-22,1.7183
2017-11-23,1.7198
2017-11-24,1.7256
2017-11-27,1.7305
2017-11-28,1.7157
2017-11-29,1.7141
2017-11-30,1.7319
2017-12-01,1.7349
2017-12-04,1.7281
2017-12-05,1.7193
2017-12-06,1.7141
2017-12-07,1.7252
