Date,Zuid-Afrikaanse rand
2015-11-06,15.1534
2015-11-09,15.359
2015-11-10,15.3716
2015-11-11,15.2006
2015-11-12,15.2929
2015-11-13,15.4459
2015-11-16,15.43
2015-11-17,15.1915
2015-11-18,15.1537
2015-11-19,15.1806
2015-11-20,14.8862
2015-11-23,14.9056
2015-11-24,14.9808
2015-11-25,14.9158
2015-11-26,15.0956
2015-11-27,15.149
2015-11-30,15.2894
2015-12-01,15.3361
2015-12-02,15.2134
2015-12-03,15.2736
2015-12-04,15.7275
2015-12-07,15.6593
2015-12-08,15.9518
2015-12-09,15.9487
2015-12-10,16.7143
2015-12-11,17.3954
2015-12-14,16.8045
2015-12-15,16.4213
2015-12-16,16.4708
2015-12-17,16.26
2015-12-18,16.2998
2015-12-21,16.4115
2015-12-22,16.5748
2015-12-23,16.661
2015-12-24,16.6252
2015-12-28,16.7163
2015-12-29,16.7598
2015-12-30,16.8847
2015-12-31,16.953
2016-01-04,16.9558
2016-01-05,16.7643
2016-01-06,17.0032
2016-01-07,17.4987
2016-01-08,17.387
2016-01-11,18.0474
2016-01-12,17.9737
2016-01-13,17.8353
2016-01-14,18.0475
2016-01-15,18.2254
2016-01-18,18.2882
2016-01-19,18.1115
2016-01-20,18.2896
2016-01-21,18.1453
2016-01-22,17.8143
2016-01-25,17.858
2016-01-26,17.8881
2016-01-27,17.7803
2016-01-28,17.7785
2016-01-29,17.4927
2016-02-01,17.5019
2016-02-02,17.5788
2016-02-03,17.695
2016-02-04,17.767
2016-02-05,17.7584
2016-02-08,17.9885
2016-02-09,18.196
2016-02-10,17.8379
2016-02-11,17.9877
2016-02-12,17.9194
2016-02-15,17.6114
2016-02-16,17.5669
2016-02-17,17.432
2016-02-18,17.0657
2016-02-19,17.138
2016-02-22,16.8486
2016-02-23,16.6401
2016-02-24,17.0655
2016-02-25,17.1657
2016-02-26,17.2528
2016-02-29,17.4563
2016-03-01,17.2024
2016-03-02,17.0097
2016-03-03,17.1245
2016-03-04,17.1275
2016-03-07,16.8358
2016-03-08,16.9485
2016-03-09,16.8748
2016-03-10,16.364
2016-03-11,16.9023
2016-03-14,17.1243
2016-03-15,17.6117
2016-03-16,17.9375
2016-03-17,17.4138
2016-03-18,17.2024
