Date,Tsjechische kroon
2015-11-09,27.042
2015-11-10,27.044
2015-11-11,27.022
2015-11-12,27.031
2015-11-13,27.032
2015-11-16,27.031
2015-11-17,27.031
2015-11-18,27.029
2015-11-19,27.025
2015-11-20,27.031
2015-11-23,27.025
2015-11-24,27.033
2015-11-25,27.025
2015-11-26,27.032
2015-11-27,27.024
2015-11-30,27.03
2015-12-01,27.023
2015-12-02,27.024
2015-12-03,27.036
2015-12-04,27.035
2015-12-07,27.022
2015-12-08,27.022
2015-12-09,27.021
2015-12-10,27.021
2015-12-11,27.023
2015-12-14,27.024
2015-12-15,27.022
2015-12-16,27.03
2015-12-17,27.031
2015-12-18,27.03
2015-12-21,27.028
2015-12-22,27.028
2015-12-23,27.033
2015-12-24,27.028
2015-12-28,27.022
2015-12-29,27.028
2015-12-30,27.029
2015-12-31,27.023
2016-01-04,27.023
2016-01-05,27.022
2016-01-06,27.026
2016-01-07,27.03
2016-01-08,27.022
2016-01-11,27.021
2016-01-12,27.021
2016-01-13,27.021
2016-01-14,27.021
2016-01-15,27.021
2016-01-18,27.037
2016-01-19,27.023
2016-01-20,27.042
2016-01-21,27.064
2016-01-22,27.026
2016-01-25,27.021
2016-01-26,27.021
2016-01-27,27.025
2016-01-28,27.021
2016-01-29,27.026
2016-02-01,27.021
2016-02-02,27.026
2016-02-03,27.025
2016-02-04,27.021
2016-02-05,27.037
2016-02-08,27.062
2016-02-09,27.058
2016-02-10,27.031
2016-02-11,27.069
2016-02-12,27.063
2016-02-15,27.037
2016-02-16,27.029
2016-02-17,27.044
2016-02-18,27.03
2016-02-19,27.023
2016-02-22,27.022
2016-02-23,27.028
2016-02-24,27.047
2016-02-25,27.052
2016-02-26,27.064
2016-02-29,27.057
2016-03-01,27.056
2016-03-02,27.046
2016-03-03,27.057
2016-03-04,27.058
2016-03-07,27.056
2016-03-08,27.058
2016-03-09,27.047
2016-03-10,27.037
2016-03-11,27.059
2016-03-14,27.05
2016-03-15,27.043
2016-03-16,27.05
2016-03-17,27.044
2016-03-18,27.035
2016-03-21,27.035
2016-03-22,27.037
2016-03-23,27.038
2016-03-24,27.064
2016-03-29,27.073
2016-03-30,27.075
2016-03-31,27.051
2016-04-01,27.03
2016-04-04,27.046
2016-04-05,27.036
2016-04-06,27.029
2016-04-07,27.025
2016-04-08,27.022
2016-04-11,27.026
2016-04-12,27.03
2016-04-13,27.036
2016-04-14,27.028
2016-04-15,27.025
2016-04-18,27.022
2016-04-19,27.021
2016-04-20,27.021
2016-04-21,27.024
2016-04-22,27.046
2016-04-25,27.047
2016-04-26,27.027
2016-04-27,27.034
2016-04-28,27.045
2016-04-29,27.038
2016-05-02,27.048
2016-05-03,27.037
2016-05-04,27.031
2016-05-05,27.028
2016-05-06,27.021
2016-05-09,27.022
2016-05-10,27.023
2016-05-11,27.022
2016-05-12,27.023
2016-05-13,27.021
2016-05-16,27.023
2016-05-17,27.022
2016-05-18,27.022
2016-05-19,27.023
2016-05-20,27.025
2016-05-23,27.033
2016-05-24,27.025
2016-05-25,27.028
2016-05-26,27.023
2016-05-27,27.028
2016-05-30,27.021
2016-05-31,27.022
2016-06-01,27.027
2016-06-02,27.029
2016-06-03,27.025
2016-06-06,27.023
2016-06-07,27.021
2016-06-08,27.021
2016-06-09,27.021
2016-06-10,27.026
2016-06-13,27.035
2016-06-14,27.048
2016-06-15,27.073
2016-06-16,27.067
2016-06-17,27.069
2016-06-20,27.063
2016-06-21,27.064
2016-06-22,27.071
2016-06-23,27.062
2016-06-24,27.103
2016-06-27,27.151
2016-06-28,27.108
2016-06-29,27.114
2016-06-30,27.131
2016-07-01,27.093
2016-07-04,27.095
2016-07-05,27.071
2016-07-06,27.078
2016-07-07,27.049
2016-07-08,27.033
2016-07-11,27.037
2016-07-12,27.034
2016-07-13,27.033
2016-07-14,27.049
2016-07-15,27.04
2016-07-18,27.024
2016-07-19,27.014
2016-07-20,27.022
2016-07-21,27.025
2016-07-22,27.023
2016-07-25,27.025
2016-07-26,27.021
2016-07-27,27.035
2016-07-28,27.045
2016-07-29,27.031
2016-08-01,27.029
2016-08-02,27.032
2016-08-03,27.034
2016-08-04,27.027
2016-08-05,27.022
2016-08-08,27.027
2016-08-09,27.027
2016-08-10,27.025
2016-08-11,27.02
2016-08-12,27.018
2016-08-15,27.023
2016-08-16,27.02
