Date,Deense kroon
2017-06-26,7.4364
2017-06-27,7.4357
2017-06-28,7.4366
2017-06-29,7.4367
2017-06-30,7.4366
2017-07-03,7.4366
2017-07-04,7.4367
2017-07-05,7.4369
2017-07-06,7.4369
2017-07-07,7.4371
2017-07-10,7.4366
2017-07-11,7.4365
2017-07-12,7.4369
2017-07-13,7.4367
2017-07-14,7.4365
2017-07-17,7.4365
2017-07-18,7.4371
2017-07-19,7.4369
2017-07-20,7.4367
2017-07-21,7.4368
2017-07-24,7.4361
2017-07-25,7.4361
2017-07-26,7.4368
2017-07-27,7.4362
2017-07-28,7.4364
2017-07-31,7.4364
2017-08-01,7.4369
2017-08-02,7.4384
2017-08-03,7.4381
2017-08-04,7.4388
2017-08-07,7.4384
2017-08-08,7.4386
2017-08-09,7.4392
2017-08-10,7.4381
2017-08-11,7.437
2017-08-14,7.4366
2017-08-15,7.4371
2017-08-16,7.4367
2017-08-17,7.4354
2017-08-18,7.4363
2017-08-21,7.4373
2017-08-22,7.4377
2017-08-23,7.4373
2017-08-24,7.4379
2017-08-25,7.4391
2017-08-28,7.4393
2017-08-29,7.4393
2017-08-30,7.4391
2017-08-31,7.4384
2017-09-01,7.4378
2017-09-04,7.4371
2017-09-05,7.4381
2017-09-06,7.4393
2017-09-07,7.4392
2017-09-08,7.4402
2017-09-11,7.4397
2017-09-12,7.44
2017-09-13,7.4404
2017-09-14,7.4399
2017-09-15,7.4409
2017-09-18,7.4416
2017-09-19,7.4414
2017-09-20,7.4412
2017-09-21,7.4407
2017-09-22,7.4407
2017-09-25,7.4402
2017-09-26,7.4404
2017-09-27,7.4414
2017-09-28,7.4402
2017-09-29,7.4423
2017-10-02,7.4418
2017-10-03,7.4424
2017-10-04,7.4427
2017-10-05,7.4424
2017-10-06,7.4427
2017-10-09,7.443
2017-10-10,7.4428
2017-10-11,7.443
2017-10-12,7.4438
2017-10-13,7.444
2017-10-16,7.4439
2017-10-17,7.4439
2017-10-18,7.4438
2017-10-19,7.444
2017-10-20,7.4438
2017-10-23,7.4437
2017-10-24,7.4433
2017-10-25,7.4429
2017-10-26,7.4432
2017-10-27,7.4407
2017-10-30,7.441
2017-10-31,7.4412
2017-11-01,7.4415
2017-11-02,7.4418
2017-11-03,7.4421
2017-11-06,7.4419
2017-11-07,7.4423
2017-11-08,7.4434
2017-11-09,7.4422
2017-11-10,7.442
2017-11-13,7.4416
2017-11-14,7.4414
2017-11-15,7.4426
2017-11-16,7.4418
2017-11-17,7.441
2017-11-20,7.4414
2017-11-21,7.4414
2017-11-22,7.442
2017-11-23,7.442
2017-11-24,7.4421
2017-11-27,7.4424
2017-11-28,7.4423
2017-11-29,7.4423
2017-11-30,7.4417
2017-12-01,7.442
2017-12-04,7.4418
2017-12-05,7.4415
2017-12-06,7.4421
2017-12-07,7.4415
2017-12-08,7.4417
2017-12-11,7.4433
2017-12-12,7.4423
2017-12-13,7.4431
2017-12-14,7.4433
