Date,Noorse kroon
2015-11-06,9.2715
2015-11-09,9.2875
2015-11-10,9.2765
2015-11-11,9.223
2015-11-12,9.324
2015-11-13,9.332
2015-11-16,9.305
2015-11-17,9.237
2015-11-18,9.2335
2015-11-19,9.2556
2015-11-20,9.2035
2015-11-23,9.1755
2015-11-24,9.209
2015-11-25,9.181
2015-11-26,9.193
2015-11-27,9.1885
2015-11-30,9.1935
2015-12-01,9.2015
2015-12-02,9.1405
2015-12-03,9.174
2015-12-04,9.2495
2015-12-07,9.3265
2015-12-08,9.5675
2015-12-09,9.537
2015-12-10,9.437
2015-12-11,9.5385
2015-12-14,9.5695
2015-12-15,9.4945
2015-12-16,9.5555
2015-12-17,9.511
2015-12-18,9.5
2015-12-21,9.5585
2015-12-22,9.543
2015-12-23,9.527
2015-12-24,9.512
2015-12-28,9.538
2015-12-29,9.5115
2015-12-30,9.616
2015-12-31,9.603
2016-01-04,9.6475
2016-01-05,9.588
2016-01-06,9.6225
2016-01-07,9.6975
2016-01-08,9.681
2016-01-11,9.677
2016-01-12,9.6388
2016-01-13,9.5588
2016-01-14,9.6071
2016-01-15,9.6085
2016-01-18,9.6878
2016-01-19,9.6209
2016-01-20,9.665
2016-01-21,9.7033
2016-01-22,9.4685
2016-01-25,9.4585
2016-01-26,9.4858
2016-01-27,9.4508
2016-01-28,9.4465
2016-01-29,9.4845
2016-02-01,9.416
2016-02-02,9.5223
2016-02-03,9.5138
2016-02-04,9.5375
2016-02-05,9.5665
2016-02-08,9.5885
2016-02-09,9.6705
2016-02-10,9.6195
2016-02-11,9.7085
2016-02-12,9.6773
2016-02-15,9.6313
2016-02-16,9.6049
2016-02-17,9.5955
2016-02-18,9.5235
2016-02-19,9.5358
2016-02-22,9.493
2016-02-23,9.459
2016-02-24,9.5858
2016-02-25,9.5413
2016-02-26,9.5245
2016-02-29,9.5043
2016-03-01,9.407
2016-03-02,9.422
2016-03-03,9.4245
2016-03-04,9.383
2016-03-07,9.3583
2016-03-08,9.4285
2016-03-09,9.3964
2016-03-10,9.2926
2016-03-11,9.436
2016-03-14,9.414
2016-03-15,9.48
2016-03-16,9.502
2016-03-17,9.4768
2016-03-18,9.4111
2016-03-21,9.4428
2016-03-22,9.447
2016-03-23,9.4863
2016-03-24,9.494
2016-03-29,9.4839
2016-03-30,9.43
2016-03-31,9.4145
2016-04-01,9.4401
2016-04-04,9.4359
2016-04-05,9.4995
2016-04-06,9.476
2016-04-07,9.4546
2016-04-08,9.4183
2016-04-11,9.3809
2016-04-12,9.3515
2016-04-13,9.3113
2016-04-14,9.264
2016-04-15,9.3044
2016-04-18,9.3325
2016-04-19,9.2578
2016-04-20,9.2336
2016-04-21,9.2015
2016-04-22,9.2443
2016-04-25,9.2735
2016-04-26,9.2278
2016-04-27,9.2013
2016-04-28,9.246
2016-04-29,9.215
2016-05-02,9.233
2016-05-03,9.309
2016-05-04,9.341
2016-05-05,9.2985
2016-05-06,9.3513
2016-05-09,9.333
2016-05-10,9.352
2016-05-11,9.3475
2016-05-12,9.232
2016-05-13,9.2678
2016-05-16,9.237
2016-05-17,9.2558
2016-05-18,9.2785
2016-05-19,9.3593
2016-05-20,9.3355
2016-05-23,9.3658
2016-05-24,9.3355
2016-05-25,9.2945
2016-05-26,9.247
2016-05-27,9.282
2016-05-30,9.3025
2016-05-31,9.32
2016-06-01,9.3083
2016-06-02,9.336
2016-06-03,9.2853
2016-06-06,9.2935
2016-06-07,9.2225
2016-06-08,9.2055
2016-06-09,9.2489
2016-06-10,9.2725
2016-06-13,9.3265
2016-06-14,9.3655
2016-06-15,9.3415
2016-06-16,9.3798
2016-06-17,9.431
2016-06-20,9.3575
2016-06-21,9.3718
2016-06-22,9.3555
2016-06-23,9.2993
2016-06-24,9.42
2016-06-27,9.4045
2016-06-28,9.3785
2016-06-29,9.3065
2016-06-30,9.3008
2016-07-01,9.2975
2016-07-04,9.2538
2016-07-05,9.3197
2016-07-06,9.3517
2016-07-07,9.3782
2016-07-08,9.393
2016-07-11,9.4061
2016-07-12,9.3499
2016-07-13,9.3145
2016-07-14,9.3247
2016-07-15,9.3183
2016-07-18,9.3627
2016-07-19,9.3489
2016-07-20,9.3552
2016-07-21,9.3541
2016-07-22,9.3847
2016-07-25,9.4102
2016-07-26,9.437
2016-07-27,9.4387
2016-07-28,9.4405
2016-07-29,9.5092
2016-08-01,9.4455
2016-08-02,9.4363
2016-08-03,9.4236
2016-08-04,9.4118
2016-08-05,9.4022
2016-08-08,9.4065
2016-08-09,9.357
2016-08-10,9.2571
2016-08-11,9.2293
2016-08-12,9.1635
2016-08-15,9.1752
2016-08-16,9.2101
2016-08-17,9.2812
2016-08-18,9.2389
2016-08-19,9.3048
2016-08-22,9.3281
2016-08-23,9.2875
2016-08-24,9.246
2016-08-25,9.2771
2016-08-26,9.2501
2016-08-29,9.2731
2016-08-30,9.2873
2016-08-31,9.2765
2016-09-01,9.305
2016-09-02,9.317
2016-09-05,9.2458
2016-09-06,9.2113
2016-09-07,9.1943
2016-09-08,9.195
2016-09-09,9.247
2016-09-12,9.2713
2016-09-13,9.2315
2016-09-14,9.2748
2016-09-15,9.2648
2016-09-16,9.2625
2016-09-19,9.2505
2016-09-20,9.2648
2016-09-21,9.2318
2016-09-22,9.1073
2016-09-23,9.1028
2016-09-26,9.1318
2016-09-27,9.1108
2016-09-28,9.0888
2016-09-29,9.0403
2016-09-30,8.9865
2016-10-03,8.9625
2016-10-04,8.9175
2016-10-05,8.9872
2016-10-06,8.9938
2016-10-07,9.001
2016-10-10,9.0448
2016-10-11,9.0395
2016-10-12,9.029
2016-10-13,9.0768
2016-10-14,9.0248
2016-10-17,9.0315
2016-10-18,8.9565
2016-10-19,8.9585
2016-10-20,8.9625
2016-10-21,8.9538
2016-10-24,8.9855
2016-10-25,8.9868
2016-10-26,9.0425
2016-10-27,8.9858
2016-10-28,9.0445
2016-10-31,9.0345
2016-11-01,9.0213
2016-11-02,9.0735
2016-11-03,9.0575
2016-11-04,9.1098
2016-11-07,9.1035
2016-11-08,9.0753
2016-11-09,9.1193
2016-11-10,9.0733
2016-11-11,9.1148
2016-11-14,9.135
2016-11-15,9.0848
2016-11-16,9.072
2016-11-17,9.0878
2016-11-18,9.1038
2016-11-21,9.0843
2016-11-22,9.0563
2016-11-23,9.068
2016-11-24,9.0858
2016-11-25,9.069
2016-11-28,9.0848
2016-11-29,9.0765
2016-11-30,9.019
2016-12-01,8.9628
2016-12-02,8.986
2016-12-05,8.984
2016-12-06,8.9803
2016-12-07,8.9908
2016-12-08,9.0145
2016-12-09,8.9805
2016-12-12,8.9498
2016-12-13,8.9495
2016-12-14,9.0223
2016-12-15,8.9993
2016-12-16,9.0623
2016-12-19,9.0485
2016-12-20,9.0343
2016-12-21,9.026
2016-12-22,9.0975
2016-12-23,9.0928
2016-12-27,9.1078
2016-12-28,9.0777
2016-12-29,9.0758
2016-12-30,9.0863
2017-01-02,9.0543
2017-01-03,9.0013
2017-01-04,8.9905
2017-01-05,9.0215
2017-01-06,8.9868
2017-01-09,9.0193
2017-01-10,9.075
2017-01-11,9.0633
2017-01-12,9.0625
2017-01-13,9.058
2017-01-16,9.0558
2017-01-17,9.036
2017-01-18,9.033
2017-01-19,9.0193
2017-01-20,8.999
2017-01-23,8.994
2017-01-24,8.9578
2017-01-25,8.9453
2017-01-26,8.9215
2017-01-27,8.919
2017-01-30,8.8758
2017-01-31,8.888
2017-02-01,8.883
2017-02-02,8.8575
2017-02-03,8.8568
2017-02-06,8.846
2017-02-07,8.8838
2017-02-08,8.8835
2017-02-09,8.886
2017-02-10,8.9065
2017-02-13,8.9018
2017-02-14,8.879
2017-02-15,8.8523
2017-02-16,8.869
2017-02-17,8.8645
2017-02-20,8.8568
2017-02-21,8.8138
2017-02-22,8.8153
2017-02-23,8.807
2017-02-24,8.8365
2017-02-27,8.8383
2017-02-28,8.8693
2017-03-01,8.8618
2017-03-02,8.883
2017-03-03,8.9303
2017-03-06,8.9673
2017-03-07,8.9443
2017-03-08,8.9513
2017-03-09,9.0458
2017-03-10,9.1405
2017-03-13,9.1298
2017-03-14,9.151
2017-03-15,9.1353
2017-03-16,9.1588
2017-03-17,9.1023
2017-03-20,9.1278
2017-03-21,9.1253
2017-03-22,9.1463
2017-03-23,9.1478
2017-03-24,9.1793
2017-03-27,9.2188
2017-03-28,9.238
2017-03-29,9.1908
2017-03-30,9.1695
2017-03-31,9.1683
2017-04-03,9.1468
2017-04-04,9.179
2017-04-05,9.1665
2017-04-06,9.1688
2017-04-07,9.1583
2017-04-10,9.1443
2017-04-11,9.1245
2017-04-12,9.1035
2017-04-13,9.1033
2017-04-18,9.1093
2017-04-19,9.1528
2017-04-20,9.212
2017-04-21,9.2478
2017-04-24,9.245
2017-04-25,9.3158
2017-04-26,9.3485
2017-04-27,9.3367
2017-04-28,9.3243
2017-05-02,9.378
2017-05-03,9.3878
2017-05-04,9.4803
2017-05-05,9.5023
2017-05-08,9.4465
2017-05-09,9.4138
2017-05-10,9.4435
2017-05-11,9.333
2017-05-12,9.3665
2017-05-15,9.3325
2017-05-16,9.3918
2017-05-17,9.3708
2017-05-18,9.4113
2017-05-19,9.3923
2017-05-22,9.3723
2017-05-23,9.376
2017-05-24,9.3843
2017-05-25,9.333
2017-05-26,9.4018
2017-05-29,9.4065
2017-05-30,9.4398
2017-05-31,9.4388
2017-06-01,9.4895
2017-06-02,9.4918
2017-06-05,9.489
2017-06-06,9.5158
2017-06-07,9.5023
2017-06-08,9.5233
2017-06-09,9.5218
2017-06-12,9.4985
2017-06-13,9.454
2017-06-14,9.414
2017-06-15,9.4718
2017-06-16,9.4615
2017-06-19,9.4518
2017-06-20,9.493
2017-06-21,9.5158
2017-06-22,9.4855
2017-06-23,9.4613
2017-06-26,9.4788
2017-06-27,9.52
2017-06-28,9.602
2017-06-29,9.57
2017-06-30,9.5713
2017-07-03,9.5065
2017-07-04,9.485
2017-07-05,9.4965
2017-07-06,9.5298
2017-07-07,9.5613
2017-07-10,9.5165
2017-07-11,9.512
2017-07-12,9.4688
2017-07-13,9.4518
2017-07-14,9.3843
2017-07-17,9.3558
2017-07-18,9.3065
2017-07-19,9.3018
2017-07-20,9.3
2017-07-21,9.3315
2017-07-24,9.3525
2017-07-25,9.3035
2017-07-26,9.2893
2017-07-27,9.2978
2017-07-28,9.3195
2017-07-31,9.305
2017-08-01,9.3343
2017-08-02,9.3505
2017-08-03,9.3768
2017-08-04,9.3618
2017-08-07,9.38
2017-08-08,9.3225
2017-08-09,9.3398
2017-08-10,9.3355
2017-08-11,9.3975
2017-08-14,9.3478
2017-08-15,9.3538
2017-08-16,9.3115
2017-08-17,9.3243
2017-08-18,9.3183
2017-08-21,9.2903
2017-08-22,9.3023
2017-08-23,9.313
2017-08-24,9.2585
2017-08-25,9.2278
2017-08-28,9.262
2017-08-29,9.2915
2017-08-30,9.2845
2017-08-31,9.279
2017-09-01,9.2555
2017-09-04,9.2933
2017-09-05,9.2788
2017-09-06,9.2765
2017-09-07,9.2938
2017-09-08,9.3093
2017-09-11,9.371
2017-09-12,9.3593
2017-09-13,9.3983
2017-09-14,9.395
2017-09-15,9.3348
2017-09-18,9.341
2017-09-19,9.342
2017-09-20,9.344
2017-09-21,9.3025
2017-09-22,9.3193
2017-09-25,9.2725
2017-09-26,9.2843
2017-09-27,9.3355
2017-09-28,9.3575
2017-09-29,9.4125
2017-10-02,9.377
2017-10-03,9.3885
2017-10-04,9.3533
2017-10-05,9.35
2017-10-06,9.372
2017-10-09,9.3788
2017-10-10,9.3745
2017-10-11,9.379
2017-10-12,9.3601
2017-10-13,9.339
2017-10-16,9.3133
2017-10-17,9.326
2017-10-18,9.3575
2017-10-19,9.419
2017-10-20,9.4145
2017-10-23,9.3883
2017-10-24,9.3883
2017-10-25,9.4383
2017-10-26,9.4865
2017-10-27,9.5348
2017-10-30,9.484
2017-10-31,9.5238
2017-11-01,9.461
2017-11-02,9.4838
2017-11-03,9.4843
2017-11-06,9.438
2017-11-07,9.4543
2017-11-08,9.473
2017-11-09,9.4535
2017-11-10,9.456
2017-11-13,9.4913
2017-11-14,9.5923
2017-11-15,9.751
2017-11-16,9.6553
2017-11-17,9.7163
2017-11-20,9.7298
2017-11-21,9.689
2017-11-22,9.6723
2017-11-23,9.6393
2017-11-24,9.6608
2017-11-27,9.7533
2017-11-28,9.745
2017-11-29,9.741
2017-11-30,9.8398
2017-12-01,9.8753
2017-12-04,9.8668
2017-12-05,9.8228
2017-12-06,9.7575
2017-12-07,9.7503
2017-12-08,9.7665
2017-12-11,9.8825
2017-12-12,9.8245
2017-12-13,9.8253
2017-12-14,9.7783
2017-12-15,9.7828
2017-12-18,9.8573
2017-12-19,9.8875
2017-12-20,9.8683
2017-12-21,9.9738
2017-12-22,9.8963
2017-12-27,9.8605
2017-12-28,9.867
2017-12-29,9.8403
2018-01-02,9.7748
2018-01-03,9.744
2018-01-04,9.7655
2018-01-05,9.7418
2018-01-08,9.6783
2018-01-09,9.6715
2018-01-10,9.6448
2018-01-11,9.6735
2018-01-12,9.659
2018-01-15,9.6708
2018-01-16,9.6308
2018-01-17,9.622
2018-01-18,9.6013
2018-01-19,9.6243
2018-01-22,9.6223
2018-01-23,9.638
2018-01-24,9.6275
2018-01-25,9.5858
2018-01-26,9.5655
2018-01-29,9.5548
2018-01-30,9.5628
2018-01-31,9.562
