Date,Russische roebel
2015-11-09,69.4677
2015-11-10,69.0542
2015-11-11,69.086
2015-11-12,70.923
2015-11-13,71.7143
2015-11-16,70.785
2015-11-17,69.871
2015-11-18,69.3696
2015-11-19,69.4086
2015-11-20,69.3309
2015-11-23,69.6382
2015-11-24,70.4467
2015-11-25,69.7339
2015-11-26,69.9537
2015-11-27,69.9945
2015-11-30,69.9854
2015-12-01,70.714
2015-12-02,71.0589
2015-12-03,72.2652
2015-12-04,73.6109
2015-12-07,74.6306
2015-12-08,75.92
2015-12-09,75.9443
2015-12-10,75.3885
2015-12-11,76.328
2015-12-14,77.9268
2015-12-15,77.492
2015-12-16,76.8689
2015-12-17,76.5023
2015-12-18,77.1005
2015-12-21,77.4488
2015-12-22,77.8588
2015-12-23,77.1325
2015-12-24,76.95
2015-12-28,78.8666
2015-12-29,79.4319
2015-12-30,79.754
2015-12-31,80.6736
2016-01-04,79.6738
2016-01-05,78.862
2016-01-06,79.9893
2016-01-07,81.7776
2016-01-08,80.4134
2016-01-11,81.9975
2016-01-12,82.6895
2016-01-13,82.3098
2016-01-14,83.2007
2016-01-15,84.6924
2016-01-18,86.192
2016-01-19,85.2445
2016-01-20,88.2005
2016-01-21,91.766
2016-01-22,85.893
2016-01-25,86.041
2016-01-26,86.7725
2016-01-27,85.2106
2016-01-28,83.5018
2016-01-29,82.8472
2016-02-01,82.9655
2016-02-02,86.3711
2016-02-03,85.991
2016-02-04,86.079
2016-02-05,86.005
2016-02-08,85.8419
2016-02-09,88.3952
2016-02-10,88.56
2016-02-11,90.8866
2016-02-12,89.5851
2016-02-15,86.3193
2016-02-16,86.4489
2016-02-17,85.1875
2016-02-18,83.4772
2016-02-19,85.1924
2016-02-22,83.4916
2016-02-23,82.799
2016-02-24,84.6894
2016-02-25,83.9575
2016-02-26,83.045
2016-02-29,82.6432
2016-03-01,80.227
2016-03-02,80.0729
2016-03-03,80.0845
2016-03-04,80.1674
2016-03-07,78.7226
2016-03-08,79.0929
2016-03-09,78.767
2016-03-10,76.437
2016-03-11,77.459
2016-03-14,78.5889
2016-03-15,78.7265
2016-03-16,78.608
2016-03-17,77.356
2016-03-18,76.0498
2016-03-21,76.7226
2016-03-22,76.233
2016-03-23,75.8478
2016-03-24,77.7413
2016-03-29,76.7345
2016-03-30,76.7842
2016-03-31,76.3051
2016-04-01,77.543
2016-04-04,77.1535
2016-04-05,78.4507
2016-04-06,77.8058
2016-04-07,77.3719
2016-04-08,76.5414
2016-04-11,76.0574
2016-04-12,75.6167
2016-04-13,74.2708
2016-04-14,74.2429
2016-04-15,75.0125
2016-04-18,76.7591
2016-04-19,74.4242
2016-04-20,74.6465
2016-04-21,73.8545
2016-04-22,74.2513
2016-04-25,74.6713
2016-04-26,74.8948
2016-04-27,73.7837
2016-04-28,73.5195
2016-04-29,73.2286
