Date,Indonesische roepia
2016-10-04,14507.07
2016-10-05,14612.32
2016-10-06,14560.63
2016-10-07,14466.31
2016-10-10,14482.89
2016-10-11,14451.84
2016-10-12,14359.41
2016-10-13,14434.94
2016-10-14,14358.56
2016-10-17,14355.97
2016-10-18,14323.88
2016-10-19,14267.21
2016-10-20,14282.24
2016-10-21,14231.9
2016-10-24,14178.99
2016-10-25,14140.12
2016-10-26,14213.5
2016-10-27,14240.57
2016-10-28,14253.76
2016-10-31,14273.82
2016-11-01,14385.42
2016-11-02,14480.74
2016-11-03,14458.44
2016-11-04,14519.46
2016-11-07,14477.95
2016-11-08,14456.3
2016-11-09,14539.12
2016-11-10,14473.88
2016-11-11,14616.81
2016-11-14,14395.38
2016-11-15,14391.32
2016-11-16,14416.66
2016-11-17,14331.31
2016-11-18,14272.09
2016-11-21,14235.97
2016-11-22,14254.41
2016-11-23,14351.42
2016-11-24,14292.54
2016-11-25,14317.74
2016-11-28,14325.56
2016-11-29,14354.28
2016-11-30,14413.08
2016-12-01,14394.27
2016-12-02,14388.31
2016-12-05,14375.46
2016-12-06,14364.78
2016-12-07,14297.73
2016-12-08,14298.93
2016-12-09,14072.51
2016-12-12,14121.82
2016-12-13,14124.95
2016-12-14,14143.75
2016-12-15,13987.51
2016-12-16,13977.82
2016-12-19,13963.3
2016-12-20,13959.27
2016-12-21,14000.6
2016-12-22,14070.92
2016-12-23,14034.13
2016-12-27,14046.52
2016-12-28,13981.54
2016-12-29,14072.35
2016-12-30,14173.43
2017-01-02,14157.05
2017-01-03,13998.46
2017-01-04,13969.26
2017-01-05,14029.62
2017-01-06,14152.2
2017-01-09,14033.73
2017-01-10,14043.54
2017-01-11,13999.45
2017-01-12,14150.74
2017-01-13,14212.71
2017-01-16,14160.47
2017-01-17,14240.74
2017-01-18,14228.44
2017-01-19,14266.32
2017-01-20,14257.51
2017-01-23,14319.05
2017-01-24,14318.83
2017-01-25,14319.89
2017-01-26,14315.67
2017-01-27,14276.89
2017-01-30,14173.38
2017-01-31,14363.56
2017-02-01,14424.0
2017-02-02,14431.38
2017-02-03,14333.86
2017-02-06,14241.6
2017-02-07,14228.17
2017-02-08,14211.11
2017-02-09,14172.25
2017-02-10,14134.44
2017-02-13,14158.89
2017-02-14,14138.08
2017-02-15,14060.98
2017-02-16,14188.46
2017-02-17,14199.11
2017-02-20,14181.65
2017-02-21,14090.6
2017-02-22,14041.37
2017-02-23,14091.1
2017-02-24,14128.33
2017-02-27,14147.3
2017-02-28,14132.16
2017-03-01,14074.19
2017-03-02,14045.13
2017-03-03,14138.61
2017-03-06,14138.32
2017-03-07,14115.79
2017-03-08,14144.8
2017-03-09,14135.85
2017-03-10,14185.77
2017-03-13,14241.5
2017-03-14,14213.91
2017-03-15,14191.33
2017-03-16,14283.81
2017-03-17,14328.53
2017-03-20,14314.68
2017-03-21,14387.18
2017-03-22,14404.65
2017-03-23,14363.72
2017-03-24,14399.28
2017-03-27,14486.06
2017-03-28,14441.86
2017-03-29,14305.2
2017-03-30,14297.39
2017-03-31,14237.94
2017-04-03,14203.12
2017-04-04,14195.65
2017-04-05,14227.37
2017-04-06,14207.11
2017-04-07,14161.42
2017-04-10,14047.58
2017-04-11,14099.64
2017-04-12,14087.68
2017-04-13,14091.66
2017-04-18,14203.32
2017-04-19,14293.2
2017-04-20,14316.1
2017-04-21,14249.74
2017-04-24,14405.06
2017-04-25,14460.53
2017-04-26,14482.59
2017-04-27,14486.96
2017-04-28,14568.6
2017-05-02,14529.5
2017-05-03,14528.28
2017-05-04,14562.96
2017-05-05,14611.01
2017-05-08,14557.93
2017-05-09,14535.48
2017-05-10,14535.63
2017-05-11,14490.5
2017-05-12,14497.16
2017-05-15,14591.66
2017-05-16,14709.02
2017-05-17,14798.95
2017-05-18,14986.31
2017-05-19,14881.48
2017-05-22,14926.0
2017-05-23,14916.24
2017-05-24,14896.2
2017-05-25,14911.26
2017-05-26,14891.55
2017-05-29,14896.82
2017-05-30,14886.35
2017-05-31,14932.91
2017-06-01,14932.49
2017-06-02,14930.95
2017-06-05,14945.42
2017-06-06,14967.28
2017-06-07,14919.73
2017-06-08,14932.32
2017-06-09,14862.96
2017-06-12,14921.69
2017-06-13,14904.08
2017-06-14,14880.38
2017-06-15,14871.15
2017-06-16,14849.32
2017-06-19,14872.95
2017-06-20,14830.34
2017-06-21,14833.9
2017-06-22,14885.48
2017-06-23,14865.68
2017-06-26,14882.47
2017-06-27,15007.64
2017-06-28,15160.03
2017-06-29,15216.95
2017-06-30,15209.34
2017-07-03,15223.09
2017-07-04,15174.42
2017-07-05,15159.27
2017-07-06,15242.24
2017-07-07,15300.6
2017-07-10,15257.44
2017-07-11,15272.44
2017-07-12,15307.31
2017-07-13,15238.84
2017-07-14,15225.9
2017-07-17,15259.36
2017-07-18,15368.15
2017-07-19,15359.65
2017-07-20,15314.67
2017-07-21,15498.41
2017-07-24,15516.3
2017-07-25,15574.07
2017-07-26,15507.48
2017-07-27,15576.4
2017-07-28,15639.45
2017-07-31,15625.05
2017-08-01,15738.31
2017-08-02,15752.68
2017-08-03,15804.04
2017-08-04,15791.56
2017-08-07,15714.78
2017-08-08,15727.98
2017-08-09,15640.36
2017-08-10,15670.45
2017-08-11,15722.96
2017-08-14,15754.7
2017-08-15,15694.68
2017-08-16,15656.22
2017-08-17,15620.17
2017-08-18,15689.33
2017-08-21,15703.29
2017-08-22,15706.05
2017-08-23,15751.67
2017-08-24,15749.2
2017-08-25,15758.37
2017-08-28,15903.18
2017-08-29,16085.28
2017-08-30,15903.69
2017-08-31,15782.1
2017-09-01,15875.38
2017-09-04,15869.55
2017-09-05,15854.13
2017-09-06,15902.83
2017-09-07,15922.83
2017-09-08,15874.85
2017-09-11,15791.05
2017-09-12,15751.56
2017-09-13,15815.27
2017-09-14,15767.83
2017-09-15,15859.01
2017-09-18,15837.07
2017-09-19,15886.84
2017-09-20,15945.9
2017-09-21,15889.6
2017-09-22,15908.13
2017-09-25,15803.37
2017-09-26,15785.15
2017-09-27,15779.9
2017-09-28,15892.06
2017-09-29,15888.51
2017-10-02,15933.08
2017-10-03,15916.5
2017-10-04,15857.61
2017-10-05,15803.15
2017-10-06,15819.67
2017-10-09,15897.04
2017-10-10,15912.97
2017-10-11,15997.95
2017-10-12,16016.27
2017-10-13,15938.78
2017-10-16,15913.39
2017-10-17,15880.12
2017-10-18,15879.95
2017-10-19,15993.65
2017-10-20,15966.12
2017-10-23,15888.92
2017-10-24,15937.33
2017-10-25,15994.6
2017-10-26,15981.73
2017-10-27,15818.76
2017-10-30,15762.75
2017-10-31,15786.95
2017-11-01,15773.74
2017-11-02,15753.36
2017-11-03,15729.04
2017-11-06,15665.04
2017-11-07,15640.75
2017-11-08,15667.36
2017-11-09,15729.57
2017-11-10,15785.34
2017-11-13,15810.86
2017-11-14,15918.59
2017-11-15,16025.44
2017-11-16,15919.1
2017-11-17,15955.69
2017-11-20,15932.62
2017-11-21,15850.94
2017-11-22,15879.95
2017-11-23,15973.47
2017-11-24,16056.52
2017-11-27,16137.59
2017-11-28,16053.39
2017-11-29,15971.18
2017-11-30,16035.25
2017-12-01,16082.95
2017-12-04,16036.73
2017-12-05,16008.85
2017-12-06,16007.31
2017-12-07,15967.83
2017-12-08,15910.41
2017-12-11,15978.86
2017-12-12,16004.41
2017-12-13,15969.18
2017-12-14,16077.22
2017-12-15,16029.01
2017-12-18,16027.64
2017-12-19,16057.76
2017-12-20,16083.14
2017-12-21,16067.76
2017-12-22,16070.5
2017-12-27,16123.38
2017-12-28,16184.89
2017-12-29,16239.12
2018-01-02,16266.03
2018-01-03,16176.95
2018-01-04,16191.23
2018-01-05,16164.39
2018-01-08,16084.83
2018-01-09,16038.99
2018-01-10,16105.86
2018-01-11,16102.18
2018-01-12,16179.71
2018-01-15,16337.05
2018-01-16,16311.76
2018-01-17,16302.02
2018-01-18,16325.38
2018-01-19,16315.69
2018-01-22,16341.51
2018-01-23,16345.06
2018-01-24,16450.39
2018-01-25,16492.63
2018-01-26,16558.53
2018-01-29,16586.62
2018-01-30,16630.48
2018-01-31,16662.48
2018-02-01,16717.3
2018-02-02,16821.79
2018-02-05,16787.78
2018-02-06,16736.62
2018-02-07,16729.4
2018-02-08,16721.53
2018-02-09,16763.69
2018-02-12,16722.75
2018-02-13,16822.21
2018-02-14,16812.73
2018-02-15,16896.85
2018-02-16,16848.21
2018-02-19,16818.58
2018-02-20,16819.73
2018-02-21,16757.86
2018-02-22,16831.62
2018-02-23,16820.11
2018-02-26,16834.05
2018-02-27,16818.89
2018-02-28,16793.03
2018-03-01,16800.16
2018-03-02,16963.47
2018-03-05,16937.51
2018-03-06,17030.37
2018-03-07,17082.07
2018-03-08,17114.9
2018-03-09,16976.78
2018-03-12,16937.39
2018-03-13,16973.95
2018-03-14,16981.4
2018-03-15,16977.51
2018-03-16,16926.64
2018-03-19,16958.11
2018-03-20,16893.01
2018-03-21,16909.37
2018-03-22,16937.58
2018-03-23,16993.03
2018-03-26,17045.27
2018-03-27,17004.62
2018-03-28,17057.99
2018-03-29,16933.98
2018-04-03,16935.95
2018-04-04,16899.76
2018-04-05,16884.17
2018-04-06,16850.5
2018-04-09,16958.23
2018-04-10,16997.61
2018-04-11,17046.58
2018-04-12,16968.15
2018-04-13,16939.57
2018-04-16,17039.98
2018-04-17,17021.77
2018-04-18,17055.8
2018-04-19,17070.75
2018-04-20,17142.74
2018-04-23,17059.77
2018-04-24,16941.1
2018-04-25,16961.52
2018-04-26,16886.75
2018-04-27,16723.29
2018-04-30,16796.15
2018-05-02,16762.27
2018-05-03,16708.75
2018-05-04,16729.91
2018-05-07,16735.4
2018-05-08,16718.9
2018-05-09,16713.75
2018-05-10,16664.83
2018-05-11,16672.69
2018-05-14,16747.24
2018-05-15,16715.82
2018-05-16,16582.15
2018-05-17,16588.39
2018-05-18,16666.58
2018-05-21,16670.14
2018-05-22,16674.36
2018-05-23,16642.92
2018-05-24,16583.53
2018-05-25,16475.1
2018-05-28,16324.88
2018-05-29,16205.24
2018-05-30,16223.91
2018-05-31,16269.8
2018-06-01,16195.41
2018-06-04,16281.57
2018-06-05,16208.4
2018-06-06,16300.41
2018-06-07,16425.02
2018-06-08,16373.32
2018-06-11,16477.11
2018-06-12,16465.01
2018-06-13,16426.44
2018-06-14,16343.04
2018-06-15,16221.59
2018-06-18,16348.9
2018-06-19,16337.37
2018-06-20,16320.23
2018-06-21,16261.4
2018-06-22,16429.21
2018-06-25,16561.35
2018-06-26,16548.56
2018-06-27,16484.27
2018-06-28,16598.44
2018-06-29,16654.04
2018-07-02,16760.16
2018-07-03,16766.1
2018-07-04,16709.0
2018-07-05,16843.4
2018-07-06,16847.39
2018-07-09,16887.74
