Date,Japanse yen
2015-11-05,132.65
2015-11-06,132.41
2015-11-09,133.08
2015-11-10,131.98
2015-11-11,131.9
2015-11-12,131.92
2015-11-13,132.04
2015-11-16,132.01
2015-11-17,131.49
2015-11-18,131.65
2015-11-19,131.6
2015-11-20,131.28
2015-11-23,130.92
2015-11-24,130.52
2015-11-25,129.94
2015-11-26,130.06
2015-11-27,129.75
2015-11-30,130.22
2015-12-01,130.57
2015-12-02,130.7
2015-12-03,131.58
2015-12-04,134.08
2015-12-07,133.4
2015-12-08,133.64
2015-12-09,134.04
2015-12-10,132.97
2015-12-11,133.02
2015-12-14,132.54
2015-12-15,132.97
2015-12-16,133.18
2015-12-17,132.82
2015-12-18,131.6
2015-12-21,131.93
2015-12-22,132.42
2015-12-23,131.92
2015-12-24,131.83
2015-12-28,132.05
2015-12-29,131.88
2015-12-30,131.66
2015-12-31,131.07
2016-01-04,129.78
2016-01-05,127.88
2016-01-06,127.19
2016-01-07,127.74
2016-01-08,128.51
2016-01-11,128.33
2016-01-12,127.79
2016-01-13,127.74
2016-01-14,128.26
2016-01-15,127.8
2016-01-18,127.78
2016-01-19,128.12
2016-01-20,127.28
2016-01-21,127.43
2016-01-22,127.77
2016-01-25,128.07
2016-01-26,128.22
2016-01-27,128.91
2016-01-28,129.62
2016-01-29,132.25
2016-02-01,131.99
2016-02-02,131.84
2016-02-03,130.58
2016-02-04,131.49
2016-02-05,130.71
2016-02-08,129.11
2016-02-09,129.07
2016-02-10,129.42
2016-02-11,127.3
2016-02-12,127.07
2016-02-15,127.6
2016-02-16,127.02
2016-02-17,127.1
2016-02-18,126.17
2016-02-19,125.4
2016-02-22,124.85
2016-02-23,123.12
2016-02-24,122.86
2016-02-25,124.01
2016-02-26,124.42
2016-02-29,123.14
2016-03-01,122.94
2016-03-02,124.07
2016-03-03,124.23
2016-03-04,124.77
2016-03-07,124.45
2016-03-08,124.6
2016-03-09,123.63
2016-03-10,123.87
2016-03-11,126.17
2016-03-14,126.36
2016-03-15,125.36
2016-03-16,125.68
2016-03-17,126.28
2016-03-18,125.79
2016-03-21,125.94
2016-03-22,125.13
2016-03-23,126.01
2016-03-24,125.41
2016-03-29,127.13
2016-03-30,127.37
2016-03-31,127.9
2016-04-01,128.07
2016-04-04,126.97
2016-04-05,125.81
2016-04-06,125.13
2016-04-07,123.15
2016-04-08,123.36
2016-04-11,123.28
2016-04-12,123.44
2016-04-13,123.47
2016-04-14,123.09
2016-04-15,122.91
2016-04-18,122.32
2016-04-19,124.1
2016-04-20,124.2
2016-04-21,124.5
2016-04-22,124.86
2016-04-25,124.95
2016-04-26,125.45
2016-04-27,125.79
2016-04-28,122.84
2016-04-29,122.34
2016-05-02,122.47
2016-05-03,122.53
2016-05-04,122.62
2016-05-05,122.51
2016-05-06,122.23
2016-05-09,123.39
2016-05-10,124.12
2016-05-11,124.09
2016-05-12,124.5
2016-05-13,123.56
2016-05-16,123.27
2016-05-17,123.93
2016-05-18,123.38
2016-05-19,123.17
2016-05-20,123.81
2016-05-23,122.7
2016-05-24,122.56
2016-05-25,122.79
2016-05-26,122.93
2016-05-27,122.46
2016-05-30,123.85
2016-05-31,123.83
2016-06-01,122.07
2016-06-02,121.96
2016-06-03,121.47
2016-06-06,121.58
2016-06-07,122.16
2016-06-08,121.77
2016-06-09,120.72
2016-06-10,120.79
2016-06-13,119.51
2016-06-14,118.98
2016-06-15,119.29
2016-06-16,116.65
2016-06-17,117.34
2016-06-20,118.57
2016-06-21,118.39
2016-06-22,118.01
2016-06-23,120.38
2016-06-24,113.23
2016-06-27,111.8
2016-06-28,113.4
2016-06-29,113.85
2016-06-30,114.05
2016-07-01,114.29
2016-07-04,114.29
2016-07-05,113.5
2016-07-06,111.48
2016-07-07,111.9
2016-07-08,111.17
2016-07-11,113.23
2016-07-12,115.29
2016-07-13,115.82
2016-07-14,117.88
2016-07-15,117.63
2016-07-18,116.82
2016-07-19,117.2
2016-07-20,117.33
2016-07-21,117.05
2016-07-22,116.86
2016-07-25,116.64
2016-07-26,114.67
2016-07-27,116.23
2016-07-28,116.14
2016-07-29,114.83
2016-08-01,114.28
2016-08-02,113.72
2016-08-03,113.22
2016-08-04,112.66
2016-08-05,112.73
2016-08-08,113.59
2016-08-09,113.27
2016-08-10,113.09
2016-08-11,113.05
2016-08-12,113.77
2016-08-15,112.97
2016-08-16,112.74
2016-08-17,113.53
2016-08-18,113.6
2016-08-19,113.53
2016-08-22,113.73
2016-08-23,113.48
2016-08-24,112.95
2016-08-25,113.45
2016-08-26,113.33
2016-08-29,114.24
2016-08-30,114.27
2016-08-31,115.01
2016-09-01,115.59
2016-09-02,115.83
2016-09-05,115.24
2016-09-06,115.39
2016-09-07,114.23
2016-09-08,114.8
2016-09-09,115.85
2016-09-12,114.38
2016-09-13,114.98
2016-09-14,115.37
2016-09-15,114.98
2016-09-16,114.35
2016-09-19,113.65
2016-09-20,113.93
2016-09-21,112.49
2016-09-22,113.19
2016-09-23,113.02
2016-09-26,113.11
2016-09-27,112.52
2016-09-28,112.93
2016-09-29,113.88
2016-09-30,113.09
2016-10-03,113.9
2016-10-04,114.5
2016-10-05,115.65
2016-10-06,116.0
2016-10-07,115.44
2016-10-10,115.39
2016-10-11,114.9
2016-10-12,114.5
2016-10-13,114.49
2016-10-14,114.76
2016-10-17,114.46
2016-10-18,114.37
2016-10-19,113.49
2016-10-20,113.76
2016-10-21,112.96
2016-10-24,113.29
2016-10-25,113.65
2016-10-26,113.97
2016-10-27,114.39
2016-10-28,115.1
2016-10-31,114.97
2016-11-01,115.57
2016-11-02,114.62
2016-11-03,114.25
2016-11-04,114.24
2016-11-07,115.4
2016-11-08,115.66
2016-11-09,114.54
2016-11-10,116.4
2016-11-11,115.96
2016-11-14,116.27
2016-11-15,116.55
2016-11-16,117.25
2016-11-17,117.12
2016-11-18,116.95
2016-11-21,117.59
2016-11-22,117.74
2016-11-23,118.04
2016-11-24,119.43
2016-11-25,119.73
2016-11-28,119.25
2016-11-29,119.48
2016-11-30,120.48
2016-12-01,121.39
2016-12-02,121.2
2016-12-05,122.32
2016-12-06,122.28
2016-12-07,122.42
2016-12-08,122.61
2016-12-09,121.48
2016-12-12,122.69
2016-12-13,122.27
2016-12-14,122.39
2016-12-15,123.03
2016-12-16,123.38
2016-12-19,122.19
2016-12-20,122.43
2016-12-21,122.31
2016-12-22,122.86
2016-12-23,122.6
2016-12-27,122.61
2016-12-28,122.39
2016-12-29,122.04
2016-12-30,123.4
2017-01-02,122.92
2017-01-03,122.75
2017-01-04,122.64
2017-01-05,122.38
2017-01-06,122.83
2017-01-09,122.66
2017-01-10,122.84
2017-01-11,122.14
2017-01-12,121.69
2017-01-13,121.91
2017-01-16,120.91
2017-01-17,121.1
2017-01-18,121.05
2017-01-19,122.23
2017-01-20,122.47
2017-01-23,121.72
2017-01-24,121.85
2017-01-25,121.79
2017-01-26,122.4
2017-01-27,123.01
2017-01-30,121.76
2017-01-31,121.94
2017-02-01,122.25
2017-02-02,121.4
2017-02-03,121.49
2017-02-06,120.28
2017-02-07,119.94
2017-02-08,119.39
2017-02-09,120.04
2017-02-10,120.65
2017-02-13,120.9
2017-02-14,120.43
2017-02-15,120.85
2017-02-16,120.95
2017-02-17,120.08
2017-02-20,120.11
2017-02-21,119.77
2017-02-22,118.79
2017-02-23,119.3
2017-02-24,119.04
2017-02-27,118.87
2017-02-28,118.83
2017-03-01,119.84
2017-03-02,120.24
2017-03-03,120.83
2017-03-06,120.55
2017-03-07,120.61
2017-03-08,120.65
2017-03-09,120.95
2017-03-10,122.42
2017-03-13,122.35
2017-03-14,122.13
2017-03-15,121.77
2017-03-16,121.55
2017-03-17,121.49
2017-03-20,121.19
2017-03-21,121.58
2017-03-22,120.07
2017-03-23,119.36
2017-03-24,120.09
2017-03-27,119.93
2017-03-28,119.84
2017-03-29,119.17
2017-03-30,119.39
2017-03-31,119.55
2017-04-03,118.64
2017-04-04,117.55
2017-04-05,118.49
2017-04-06,118.23
2017-04-07,117.64
2017-04-10,117.72
2017-04-11,117.36
2017-04-12,116.22
2017-04-13,116.01
2017-04-18,116.26
2017-04-19,116.91
2017-04-20,117.16
2017-04-21,116.72
2017-04-24,119.67
2017-04-25,120.34
2017-04-26,121.35
2017-04-27,121.27
2017-04-28,121.76
2017-05-02,122.55
2017-05-03,122.47
2017-05-04,123.31
2017-05-05,123.29
2017-05-08,123.1
2017-05-09,124.04
2017-05-10,123.84
2017-05-11,123.69
2017-05-12,123.82
2017-05-15,124.45
2017-05-16,125.67
2017-05-17,124.82
2017-05-18,123.05
2017-05-19,124.35
2017-05-22,125.18
2017-05-23,124.62
2017-05-24,125.15
2017-05-25,125.33
2017-05-26,124.38
2017-05-29,124.57
2017-05-30,123.97
2017-05-31,124.4
2017-06-01,124.53
2017-06-02,125.02
2017-06-05,124.3
2017-06-06,123.12
2017-06-07,122.78
2017-06-08,123.77
2017-06-09,123.44
2017-06-12,123.3
2017-06-13,123.43
2017-06-14,123.58
2017-06-15,122.95
2017-06-16,124.33
2017-06-19,124.26
2017-06-20,124.25
2017-06-21,124.21
2017-06-22,124.27
2017-06-23,124.36
2017-06-26,124.93
2017-06-27,126.16
2017-06-28,127.53
2017-06-29,128.59
2017-06-30,127.75
2017-07-03,128.46
2017-07-04,128.57
2017-07-05,128.64
2017-07-06,129.01
2017-07-07,129.8
2017-07-10,129.98
2017-07-11,130.36
2017-07-12,130.02
2017-07-13,129.17
2017-07-14,129.1
2017-07-17,128.86
2017-07-18,129.46
2017-07-19,129.03
2017-07-20,128.92
2017-07-21,129.72
2017-07-24,129.09
2017-07-25,130.28
2017-07-26,130.26
2017-07-27,130.32
2017-07-28,130.37
2017-07-31,129.7
2017-08-01,130.53
2017-08-02,130.98
2017-08-03,130.91
2017-08-04,130.67
2017-08-07,130.78
2017-08-08,130.31
2017-08-09,128.74
2017-08-10,128.76
2017-08-11,128.41
2017-08-14,129.28
2017-08-15,129.67
2017-08-16,129.79
2017-08-17,128.81
2017-08-18,128.02
2017-08-21,128.17
2017-08-22,128.73
2017-08-23,128.71
2017-08-24,129.06
2017-08-25,129.59
2017-08-28,130.34
2017-08-29,130.86
2017-08-30,131.25
2017-08-31,130.81
2017-09-01,131.29
2017-09-04,130.6
2017-09-05,129.99
2017-09-06,129.92
2017-09-07,130.34
2017-09-08,129.5
2017-09-11,130.38
2017-09-12,130.93
2017-09-13,131.79
2017-09-14,131.55
2017-09-15,132.92
2017-09-18,133.09
2017-09-19,133.44
2017-09-20,133.63
2017-09-21,133.86
2017-09-22,134.01
2017-09-25,133.19
2017-09-26,131.99
2017-09-27,132.6
2017-09-28,132.56
2017-09-29,132.82
2017-10-02,132.5
2017-10-03,132.77
2017-10-04,132.47
2017-10-05,132.05
2017-10-06,132.23
2017-10-09,132.36
2017-10-10,132.55
2017-10-11,132.72
2017-10-12,133.12
2017-10-13,132.49
2017-10-16,131.99
2017-10-17,131.94
2017-10-18,132.62
2017-10-19,133.18
2017-10-20,133.75
2017-10-23,133.59
2017-10-24,133.95
2017-10-25,134.41
2017-10-26,133.75
2017-10-27,132.52
2017-10-30,131.83
2017-10-31,132.0
2017-11-01,132.6
2017-11-02,132.9
2017-11-03,132.82
2017-11-06,132.29
2017-11-07,132.03
2017-11-08,131.54
2017-11-09,131.75
2017-11-10,132.08
2017-11-13,132.07
2017-11-14,133.29
2017-11-15,133.45
2017-11-16,133.12
2017-11-17,132.82
2017-11-20,132.1
2017-11-21,131.87
2017-11-22,131.61
2017-11-23,131.79
2017-11-24,132.24
2017-11-27,132.69
2017-11-28,132.24
2017-11-29,132.24
2017-11-30,133.08
2017-12-01,133.7
2017-12-04,133.91
2017-12-05,133.37
2017-12-06,132.52
2017-12-07,132.88
2017-12-08,133.26
2017-12-11,133.66
2017-12-12,133.54
2017-12-13,132.99
2017-12-14,133.39
2017-12-15,132.45
2017-12-18,132.66
2017-12-19,133.23
2017-12-20,134.16
2017-12-21,134.59
2017-12-22,134.37
2017-12-27,134.7
2017-12-28,134.74
2017-12-29,135.01
2018-01-02,135.35
2018-01-03,134.97
2018-01-04,135.92
2018-01-05,136.45
2018-01-08,135.34
2018-01-09,134.31
2018-01-10,133.62
2018-01-11,134.19
2018-01-12,134.88
2018-01-15,135.81
2018-01-16,135.4
2018-01-17,135.21
2018-01-18,136.07
2018-01-19,135.54
2018-01-22,135.66
2018-01-23,135.35
2018-01-24,135.13
2018-01-25,135.12
2018-01-26,135.95
2018-01-29,134.75
2018-01-30,134.98
2018-01-31,135.6
2018-02-01,136.62
2018-02-02,137.22
2018-02-05,136.67
2018-02-06,134.97
2018-02-07,134.84
2018-02-08,134.31
2018-02-09,133.59
2018-02-12,133.23
2018-02-13,132.82
