Date,Mexicaanse peso
2015-11-05,17.9972
2015-11-06,18.0924
2015-11-09,18.1743
2015-11-10,17.9789
2015-11-11,17.9011
2015-11-12,18.0004
2015-11-13,18.062
2015-11-16,17.9456
2015-11-17,17.888
2015-11-18,17.8707
2015-11-19,17.8206
2015-11-20,17.7282
2015-11-23,17.632
2015-11-24,17.6141
2015-11-25,17.5204
2015-11-26,17.5522
2015-11-27,17.5099
2015-11-30,17.5569
2015-12-01,17.508
2015-12-02,17.5353
2015-12-03,17.6658
2015-12-04,18.2499
2015-12-07,18.1229
2015-12-08,18.5495
2015-12-09,18.5713
2015-12-10,18.6731
2015-12-11,18.9987
2015-12-14,19.1214
2015-12-15,18.9649
2015-12-16,18.7228
2015-12-17,18.3649
2015-12-18,18.4429
2015-12-21,18.6067
2015-12-22,18.7405
2015-12-23,18.7712
2015-12-24,18.9109
2015-12-28,18.9347
2015-12-29,18.8429
2015-12-30,18.8867
2015-12-31,18.9145
2016-01-04,18.9353
2016-01-05,18.5798
2016-01-06,18.748
2016-01-07,19.2176
2016-01-08,19.3231
2016-01-11,19.4182
2016-01-12,19.2772
2016-01-13,19.2779
2016-01-14,19.5529
2016-01-15,19.7876
2016-01-18,19.8703
2016-01-19,19.6912
2016-01-20,20.0427
2016-01-21,20.212
2016-01-22,20.016
2016-01-25,19.997
2016-01-26,20.1259
2016-01-27,20.004
2016-01-28,19.9966
2016-01-29,20.0054
2016-02-01,19.8811
2016-02-02,20.0265
2016-02-03,20.1098
2016-02-04,20.3101
2016-02-05,20.3988
2016-02-08,20.7145
2016-02-09,21.1922
2016-02-10,21.0652
2016-02-11,21.6064
2016-02-12,21.6852
2016-02-15,21.091
2016-02-16,21.0457
2016-02-17,20.8655
2016-02-18,20.211
2016-02-19,20.2927
2016-02-22,19.935
2016-02-23,19.8974
2016-02-24,20.0815
2016-02-25,20.0011
2016-02-26,19.9233
2016-02-29,19.8005
2016-03-01,19.5872
2016-03-02,19.4214
2016-03-03,19.5122
2016-03-04,19.5613
2016-03-07,19.5274
2016-03-08,19.6437
2016-03-09,19.5511
2016-03-10,19.1827
2016-03-11,19.6852
2016-03-14,19.7648
2016-03-15,19.8474
2016-03-16,19.8495
2016-03-17,19.8183
2016-03-18,19.4683
2016-03-21,19.5916
2016-03-22,19.568
2016-03-23,19.4942
2016-03-24,19.7076
2016-03-29,19.5809
2016-03-30,19.5281
2016-03-31,19.5903
2016-04-01,19.8996
2016-04-04,19.7227
2016-04-05,19.9963
2016-04-06,20.1485
2016-04-07,20.1779
2016-04-08,20.2108
2016-04-11,20.1924
2016-04-12,20.0248
2016-04-13,19.8238
2016-04-14,19.6655
2016-04-15,19.7927
2016-04-18,19.9043
2016-04-19,19.5947
2016-04-20,19.706
2016-04-21,19.6232
2016-04-22,19.6823
2016-04-25,19.8036
2016-04-26,19.7889
2016-04-27,19.6578
2016-04-28,19.6713
2016-04-29,19.557
2016-05-02,19.6826
2016-05-03,20.146
2016-05-04,20.4573
2016-05-05,20.2155
2016-05-06,20.5185
2016-05-09,20.432
2016-05-10,20.623
2016-05-11,20.5313
2016-05-12,20.3883
2016-05-13,20.4831
2016-05-16,20.6176
2016-05-17,20.7275
2016-05-18,20.7883
2016-05-19,20.6779
2016-05-20,20.6541
2016-05-23,20.6021
2016-05-24,20.5852
2016-05-25,20.5022
2016-05-26,20.5139
2016-05-27,20.6611
2016-05-30,20.5769
2016-05-31,20.5185
2016-06-01,20.6531
2016-06-02,20.7779
2016-06-03,20.8803
2016-06-06,21.0626
2016-06-07,21.0712
2016-06-08,20.682
2016-06-09,20.6766
2016-06-10,20.8033
2016-06-13,21.0672
2016-06-14,21.3172
2016-06-15,21.1993
2016-06-16,21.1845
2016-06-17,21.2471
2016-06-20,21.0894
2016-06-21,21.0037
2016-06-22,21.0048
2016-06-23,20.8305
