Date,Hongkongse dollar
2018-09-06,9.1324
2018-09-07,9.1175
2018-09-10,9.0831
2018-09-11,9.085
2018-09-12,9.0934
2018-09-13,9.1204
2018-09-14,9.1725
2018-09-17,9.1579
2018-09-18,9.1755
2018-09-19,9.1515
2018-09-20,9.2313
2018-09-21,9.184
2018-09-24,9.1941
2018-09-25,9.1974
2018-09-26,9.1676
2018-09-27,9.1478
2018-09-28,9.0579
2018-10-01,9.0848
2018-10-02,9.0442
2018-10-03,9.0498
2018-10-04,9.0114
2018-10-05,9.0137
2018-10-08,8.9874
2018-10-09,8.959
2018-10-10,9.0126
2018-10-11,9.0723
2018-10-12,9.0696
2018-10-15,9.0767
2018-10-16,9.0806
2018-10-17,9.0373
2018-10-18,9.0192
2018-10-19,8.9915
2018-10-22,9.0107
2018-10-23,8.999
2018-10-24,8.9308
2018-10-25,8.9502
2018-10-26,8.895
2018-10-29,8.927
2018-10-30,8.9229
2018-10-31,8.8787
2018-11-01,8.9293
2018-11-02,8.9391
2018-11-05,8.9047
2018-11-06,8.951
2018-11-07,8.9935
2018-11-08,8.9414
2018-11-09,8.8843
2018-11-12,8.8242
2018-11-13,8.8161
2018-11-14,8.8473
2018-11-15,8.8558
2018-11-16,8.8868
2018-11-19,8.9491
2018-11-20,8.9445
2018-11-21,8.9361
2018-11-22,8.9299
2018-11-23,8.8837
2018-11-26,8.8906
2018-11-27,8.8679
2018-11-28,8.8328
2018-11-29,8.9078
2018-11-30,8.8851
2018-12-03,8.8615
2018-12-04,8.9071
2018-12-05,8.8695
2018-12-06,8.8669
2018-12-07,8.8866
2018-12-10,8.9283
2018-12-11,8.8934
2018-12-12,8.8693
2018-12-13,8.8803
2018-12-14,8.8168
2018-12-17,8.8624
2018-12-18,8.8976
2018-12-19,8.9241
2018-12-20,8.9628
2018-12-21,8.9368
2018-12-24,8.9359
2018-12-27,8.9109
2018-12-28,8.9716
2018-12-31,8.9675
2019-01-02,8.9294
2019-01-03,8.8884
2019-01-04,8.9325
2019-01-07,8.9677
2019-01-08,8.9671
2019-01-09,8.9789
2019-01-10,9.0414
2019-01-11,9.0427
2019-01-14,8.9934
2019-01-15,8.9594
2019-01-16,8.9338
2019-01-17,8.9395
2019-01-18,8.9441
2019-01-21,8.9134
2019-01-22,8.909
2019-01-23,8.9183
2019-01-24,8.8988
2019-01-25,8.9021
2019-01-28,8.9586
2019-01-29,8.962
2019-01-30,8.9662
2019-01-31,9.0137
