Date,Zuid-Koreaanse won
2016-10-03,1237.21
2016-10-04,1238.16
2016-10-05,1250.31
2016-10-06,1249.22
2016-10-07,1243.04
2016-10-10,1240.6
2016-10-11,1245.11
2016-10-12,1239.66
2016-10-13,1251.86
2016-10-14,1246.06
2016-10-17,1253.18
2016-10-18,1238.27
2016-10-19,1233.88
2016-10-20,1237.37
2016-10-21,1238.63
2016-10-24,1234.29
2016-10-25,1230.63
2016-10-26,1240.92
2016-10-27,1249.16
2016-10-28,1251.01
2016-10-31,1254.89
2016-11-01,1258.44
2016-11-02,1268.46
2016-11-03,1266.04
2016-11-04,1269.41
2016-11-07,1264.69
2016-11-08,1253.75
2016-11-09,1270.65
2016-11-10,1264.88
2016-11-11,1270.2
2016-11-14,1263.99
2016-11-15,1255.15
2016-11-16,1258.36
2016-11-17,1261.17
2016-11-18,1250.14
2016-11-21,1251.35
2016-11-22,1246.9
2016-11-23,1248.2
2016-11-24,1246.47
2016-11-25,1247.03
2016-11-28,1243.58
2016-11-29,1241.38
2016-11-30,1247.37
2016-12-01,1241.64
2016-12-02,1247.36
2016-12-05,1254.48
2016-12-06,1255.21
2016-12-07,1247.57
2016-12-08,1250.03
2016-12-09,1237.0
2016-12-12,1237.73
2016-12-13,1237.88
2016-12-14,1241.1
2016-12-15,1235.83
2016-12-16,1239.53
2016-12-19,1238.96
2016-12-20,1238.45
2016-12-21,1243.87
2016-12-22,1257.21
2016-12-23,1257.59
2016-12-27,1260.98
2016-12-28,1261.97
2016-12-29,1264.25
2016-12-30,1269.36
2017-01-02,1263.85
2017-01-03,1253.43
2017-01-04,1251.9
2017-01-05,1250.78
2017-01-06,1261.36
2017-01-09,1266.33
2017-01-10,1269.08
2017-01-11,1260.59
2017-01-12,1255.4
2017-01-13,1251.45
2017-01-16,1253.65
2017-01-17,1248.81
2017-01-18,1249.39
2017-01-19,1255.9
2017-01-20,1250.66
2017-01-23,1251.67
2017-01-24,1252.27
2017-01-25,1251.45
2017-01-26,1248.14
2017-01-27,1253.96
2017-01-30,1252.27
2017-01-31,1244.76
2017-02-01,1247.86
2017-02-02,1234.22
2017-02-03,1232.25
2017-02-06,1217.2
2017-02-07,1224.51
2017-02-08,1220.64
2017-02-09,1223.18
2017-02-10,1222.56
2017-02-13,1223.31
2017-02-14,1207.63
2017-02-15,1205.35
2017-02-16,1213.74
2017-02-17,1224.76
2017-02-20,1218.35
2017-02-21,1208.7
2017-02-22,1201.28
2017-02-23,1200.29
2017-02-24,1198.21
2017-02-27,1200.05
2017-02-28,1194.24
2017-03-01,1204.93
2017-03-02,1204.29
2017-03-03,1218.65
2017-03-06,1222.76
2017-03-07,1215.71
2017-03-08,1216.36
2017-03-09,1222.35
2017-03-10,1226.28
2017-03-13,1222.96
2017-03-14,1222.47
2017-03-15,1217.28
2017-03-16,1209.16
2017-03-17,1213.19
2017-03-20,1199.56
2017-03-21,1208.01
2017-03-22,1210.08
2017-03-23,1207.38
2017-03-24,1210.37
2017-03-27,1207.95
2017-03-28,1209.11
2017-03-29,1195.89
2017-03-30,1199.08
2017-03-31,1194.54
2017-04-03,1191.09
2017-04-04,1198.13
2017-04-05,1202.72
2017-04-06,1206.44
2017-04-07,1206.35
2017-04-10,1208.18
2017-04-11,1214.5
2017-04-12,1209.26
2017-04-13,1202.93
2017-04-18,1221.05
2017-04-19,1222.42
2017-04-20,1220.93
2017-04-21,1215.07
2017-04-24,1224.22
2017-04-25,1228.28
2017-04-26,1231.89
2017-04-27,1234.33
2017-04-28,1243.69
2017-05-02,1233.65
2017-05-03,1235.52
2017-05-04,1241.17
2017-05-05,1251.13
2017-05-08,1239.29
2017-05-09,1238.96
2017-05-10,1234.98
2017-05-11,1225.56
2017-05-12,1226.52
2017-05-15,1225.57
2017-05-16,1234.76
2017-05-17,1244.79
2017-05-18,1260.82
2017-05-19,1251.53
2017-05-22,1256.08
2017-05-23,1260.51
2017-05-24,1256.7
2017-05-25,1255.74
2017-05-26,1251.82
2017-05-29,1254.24
2017-05-30,1255.99
2017-05-31,1255.01
2017-06-01,1258.4
2017-06-02,1259.95
2017-06-05,1258.29
2017-06-06,1261.08
2017-06-07,1261.41
2017-06-08,1261.42
2017-06-09,1256.54
2017-06-12,1270.17
2017-06-13,1265.98
2017-06-14,1260.45
2017-06-15,1263.07
2017-06-16,1265.35
2017-06-19,1269.76
2017-06-20,1271.75
2017-06-21,1273.11
2017-06-22,1275.96
2017-06-23,1271.16
2017-06-26,1271.44
2017-06-27,1283.79
2017-06-28,1300.61
2017-06-29,1304.08
2017-06-30,1304.56
2017-07-03,1305.91
2017-07-04,1307.61
2017-07-05,1307.79
2017-07-06,1317.44
2017-07-07,1318.1
2017-07-10,1309.36
2017-07-11,1312.25
2017-07-12,1311.87
2017-07-13,1298.7
