Gebied,Inflatie
Oostenrijk,5.1
België,6.1
Bulgarije,4.2
Cyprus,9.3
Tsjechië,2.6
Duitsland,3.0
Denemarken,4.9
Estland,5.7
Spanje,12.4
Finland,6.7
Frankrijk,7.8
Griekenland,11.7
Kroatië,5.9
Hongarije,3.6
Ierland,4.1
Italië,7.6
Litouwen,4.9
Luxemburg,4.2
Letland,6.4
Malta,2.9
Nederland,3.7
Polen,2.4
Portugal,5.9
Roemenië,5.0
Zweden,6.6
Slovenië,4.2
Slowakije,6.0
Europese Unie,6.0
