Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,Ja (%),Nee (%)
 Assenede ,43002,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.64,0.36
 Assenede ,43002,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.7,0.3
 Assenede ,43002,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.49,0.51
 Assenede ,43002,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.79,0.21
 Avelgem ,34003,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.72,0.28
 Avelgem ,34003,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.78,0.22
 Avelgem ,34003,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.44,0.56
 Avelgem ,34003,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.75,0.25
 Baarle-Hertog ,13002,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.29,0.71
 Baarle-Hertog ,13002,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.48,0.52
 Baarle-Hertog ,13002,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.71,0.29
 Baarle-Hertog ,13002,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.81,0.19
 Balen ,13003,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.49,0.51
 Balen ,13003,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.61,0.39
 Balen ,13003,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.47,0.53
 Balen ,13003,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.8,0.2
 Beernem ,31003,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.7,0.3
 Beernem ,31003,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.74,0.26
 Beernem ,31003,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.48,0.52
 Beernem ,31003,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.77,0.23
 Beerse ,13004,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.5,0.5
 Beerse ,13004,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.55,0.45
 Beerse ,13004,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.59,0.41
 Beerse ,13004,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.86,0.14
 Beersel ,23003,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.4,0.6
 Beersel ,23003,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.54,0.46
 Beersel ,23003,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.47,0.53
 Beersel ,23003,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.78,0.22
 Begijnendijk ,24007,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.51,0.49
 Begijnendijk ,24007,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.64,0.36
 Begijnendijk ,24007,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.46,0.54
 Begijnendijk ,24007,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.83,0.17
 Bekkevoort ,24008,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.55,0.45
 Bekkevoort ,24008,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.66,0.34
 Bekkevoort ,24008,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.45,0.55
 Bekkevoort ,24008,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.8,0.2
 Beringen ,71004,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.47,0.53
 Beringen ,71004,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.57,0.43
 Beringen ,71004,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.49,0.51
 Beringen ,71004,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.79,0.21
 Berlaar ,12002,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.43,0.57
 Berlaar ,12002,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.54,0.46
 Berlaar ,12002,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.57,0.43
 Berlaar ,12002,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.86,0.14
 Berlare ,42003,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.51,0.49
 Berlare ,42003,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.54,0.46
 Berlare ,42003,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.41,0.59
 Berlare ,42003,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.76,0.24
 Bertem ,24009,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.49,0.51
 Bertem ,24009,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.58,0.42
 Bertem ,24009,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.61,0.39
 Bertem ,24009,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.78,0.22
 Bever ,23009,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.63,0.37
 Bever ,23009,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.69,0.31
 Bever ,23009,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.39,0.61
 Bever ,23009,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.74,0.26
 Beveren ,46003,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.45,0.55
 Beveren ,46003,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.55,0.45
 Beveren ,46003,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.55,0.45
 Beveren ,46003,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.82,0.18
 Bierbeek ,24011,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.57,0.43
 Bierbeek ,24011,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.69,0.31
 Bierbeek ,24011,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.58,0.42
 Bierbeek ,24011,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.86,0.14
 Bilzen ,73006,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.46,0.54
 Bilzen ,73006,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.59,0.41
 Bilzen ,73006,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.44,0.56
 Bilzen ,73006,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.78,0.22
 Blankenberge ,31004,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.39,0.61
 Blankenberge ,31004,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.45,0.55
 Blankenberge ,31004,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.49,0.51
 Blankenberge ,31004,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.68,0.32
 Bocholt ,72003,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.43,0.57
 Bocholt ,72003,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.55,0.45
 Bocholt ,72003,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.51,0.49
 Bocholt ,72003,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.76,0.24
 Boechout ,11004,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.36,0.64
 Boechout ,11004,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.48,0.52
 Boechout ,11004,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.61,0.39
