Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,minder of gelijk aan 30% (%),meer dan 30% (%)
 Affligem ,23105,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.88,0.12
 Affligem ,23105,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.9,0.1
 Affligem ,23105,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.34,0.66
 Affligem ,23105,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.46,0.54
 Alken ,73001,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.89,0.11
 Alken ,73001,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.86,0.14
 Alken ,73001,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.92,0.08
 Alken ,73001,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.9,0.1
 Alken ,73001,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.45,0.55
 Alken ,73001,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.6,0.4
 Alveringem ,38002,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.83,0.17
 Alveringem ,38002,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.81,0.19
 Alveringem ,38002,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.86,0.14
 Alveringem ,38002,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.84,0.16
 Alveringem ,38002,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.61,0.39
 Alveringem ,38002,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.59,0.41
 Antwerpen ,11002,ja,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.71,0.29
 Antwerpen ,11002,ja,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.71,0.29
 Antwerpen ,11002,ja,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.82,0.18
 Antwerpen ,11002,ja,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.84,0.16
 Antwerpen ,11002,ja,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.47,0.53
 Antwerpen ,11002,ja,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.45,0.55
 Anzegem ,34002,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.89,0.11
 Anzegem ,34002,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.89,0.11
 Anzegem ,34002,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.92,0.08
 Anzegem ,34002,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.91,0.09
 Anzegem ,34002,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.52,0.48
 Anzegem ,34002,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.65,0.35
 Ardooie ,37020,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.84,0.16
 Ardooie ,37020,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.82,0.18
 Ardooie ,37020,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.87,0.13
 Ardooie ,37020,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.85,0.15
 Ardooie ,37020,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.57,0.43
 Ardooie ,37020,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.6,0.4
 Arendonk ,13001,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.82,0.18
 Arendonk ,13001,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.86,0.14
 Arendonk ,13001,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.86,0.14
 Arendonk ,13001,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.89,0.11
 Arendonk ,13001,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.45,0.55
 Arendonk ,13001,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.7,0.3
 As ,71002,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.87,0.13
 As ,71002,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.83,0.17
 As ,71002,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.91,0.09
 As ,71002,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.89,0.11
 As ,71002,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.64,0.36
 As ,71002,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.56,0.44
 Asse ,23002,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.79,0.21
 Asse ,23002,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.81,0.19
 Asse ,23002,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.87,0.13
 Asse ,23002,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.86,0.14
 Asse ,23002,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.34,0.66
 Asse ,23002,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.57,0.43
 Assenede ,43002,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.86,0.14
 Assenede ,43002,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.86,0.14
 Assenede ,43002,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.91,0.09
 Assenede ,43002,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.89,0.11
 Assenede ,43002,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.61,0.39
 Assenede ,43002,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.69,0.31
 Avelgem ,34003,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.84,0.16
 Avelgem ,34003,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.85,0.15
 Avelgem ,34003,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.88,0.12
 Avelgem ,34003,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.9,0.1
 Avelgem ,34003,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.53,0.47
 Avelgem ,34003,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.62,0.38
 Baarle-Hertog ,13002,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.8,0.2
 Baarle-Hertog ,13002,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.77,0.23
 Baarle-Hertog ,13002,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.88,0.12
 Baarle-Hertog ,13002,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.92,0.08
 Baarle-Hertog ,13002,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.51,0.49
 Baarle-Hertog ,13002,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.43,0.57
 Balen ,13003,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.85,0.15
 Balen ,13003,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.87,0.13
 Balen ,13003,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.88,0.12
 Balen ,13003,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.9,0.1
 Balen ,13003,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.5,0.5
 Balen ,13003,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.59,0.41
 Beernem ,31003,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.84,0.16
 Beernem ,31003,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.82,0.18
 Beernem ,31003,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.88,0.12
 Beernem ,31003,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.86,0.14
 Beernem ,31003,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.55,0.45
 Beernem ,31003,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.6,0.4
 Beerse ,13004,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.85,0.15
 Beerse ,13004,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.8,0.2
 Beerse ,13004,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.88,0.12
 Beerse ,13004,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.83,0.17
 Beerse ,13004,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.52,0.48
 Beerse ,13004,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.51,0.49
 Beersel ,23003,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.84,0.16
 Beersel ,23003,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.86,0.14
 Beersel ,23003,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.89,0.11
 Beersel ,23003,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.9,0.1
 Beersel ,23003,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.58,0.42
 Beersel ,23003,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.6,0.4
 Begijnendijk ,24007,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.87,0.13
 Begijnendijk ,24007,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.87,0.13
 Begijnendijk ,24007,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.89,0.11
 Begijnendijk ,24007,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.89,0.11
 Begijnendijk ,24007,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.5,0.5
 Begijnendijk ,24007,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.54,0.46
 Bekkevoort ,24008,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.85,0.15
 Bekkevoort ,24008,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.81,0.19
 Bekkevoort ,24008,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.88,0.12
 Bekkevoort ,24008,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.82,0.18
 Bekkevoort ,24008,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.43,0.57
 Bekkevoort ,24008,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.35,0.65
 Beringen ,71004,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.85,0.15
 Beringen ,71004,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.79,0.21
 Beringen ,71004,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.87,0.13
 Beringen ,71004,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.82,0.18
 Beringen ,71004,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.7,0.3
 Beringen ,71004,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.61,0.39
 Berlaar ,12002,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.83,0.17
 Berlaar ,12002,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.84,0.16
 Berlaar ,12002,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.89,0.11
 Berlaar ,12002,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.89,0.11
 Berlaar ,12002,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.37,0.63
 Berlaar ,12002,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.49,0.51
 Berlare ,42003,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.87,0.13
 Berlare ,42003,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.85,0.15
 Berlare ,42003,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.92,0.08
 Berlare ,42003,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.9,0.1
 Berlare ,42003,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.55,0.45
 Berlare ,42003,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.59,0.41
 Bertem ,24009,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.84,0.16
 Bertem ,24009,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.8,0.2
 Bertem ,24009,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.88,0.12
 Bertem ,24009,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.85,0.15
 Bertem ,24009,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.47,0.53
 Bertem ,24009,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.48,0.52
 Bever ,23009,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.83,0.17
 Bever ,23009,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.81,0.19
 Bever ,23009,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.83,0.17
 Bever ,23009,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.84,0.16
 Bever ,23009,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.77,0.23
 Bever ,23009,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.39,0.61
 Beveren ,46003,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.81,0.19
 Beveren ,46003,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.86,0.14
 Beveren ,46003,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.85,0.15
 Beveren ,46003,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.89,0.11
 Beveren ,46003,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.53,0.47
 Beveren ,46003,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.68,0.32
 Bierbeek ,24011,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.88,0.12
 Bierbeek ,24011,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.86,0.14
 Bierbeek ,24011,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.91,0.09
 Bierbeek ,24011,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.9,0.1
 Bierbeek ,24011,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.3,0.7
 Bierbeek ,24011,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.52,0.48
 Bilzen ,73006,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.83,0.17
 Bilzen ,73006,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.83,0.17
 Bilzen ,73006,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.9,0.1
 Bilzen ,73006,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.89,0.11
 Bilzen ,73006,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.52,0.48
 Bilzen ,73006,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.6,0.4
 Blankenberge ,31004,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.76,0.24
 Blankenberge ,31004,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.72,0.28
 Blankenberge ,31004,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.87,0.13
 Blankenberge ,31004,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.87,0.13
 Blankenberge ,31004,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.4,0.6
 Blankenberge ,31004,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.37,0.63
 Bocholt ,72003,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.83,0.17
 Bocholt ,72003,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.88,0.12
 Bocholt ,72003,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.88,0.12
 Bocholt ,72003,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.91,0.09
 Bocholt ,72003,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.45,0.55
 Bocholt ,72003,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.51,0.49
 Boechout ,11004,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.83,0.17
 Boechout ,11004,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.78,0.22
 Boechout ,11004,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.87,0.13
 Boechout ,11004,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.85,0.15
 Boechout ,11004,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.5,0.5
 Boechout ,11004,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.44,0.56
 Bonheiden ,12005,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.88,0.12
 Bonheiden ,12005,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.88,0.12
 Bonheiden ,12005,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.92,0.08
 Bonheiden ,12005,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.9,0.1
 Bonheiden ,12005,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.54,0.46
 Bonheiden ,12005,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.6,0.4
 Boom ,11005,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.78,0.22
 Boom ,11005,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.72,0.28
 Boom ,11005,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.85,0.15
 Boom ,11005,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.79,0.21
 Boom ,11005,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.45,0.55
 Boom ,11005,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.4,0.6
 Boortmeerbeek ,24014,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.87,0.13
 Boortmeerbeek ,24014,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.83,0.17
 Boortmeerbeek ,24014,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.9,0.1
 Boortmeerbeek ,24014,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.85,0.15
 Boortmeerbeek ,24014,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.53,0.47
 Boortmeerbeek ,24014,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.67,0.33
 Borgloon ,73009,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.88,0.12
 Borgloon ,73009,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.84,0.16
 Borgloon ,73009,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.93,0.07
 Borgloon ,73009,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.87,0.13
 Borgloon ,73009,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.38,0.62
 Borgloon ,73009,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.58,0.42
 Bornem ,12007,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.85,0.15
 Bornem ,12007,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.85,0.15
 Bornem ,12007,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.9,0.1
 Bornem ,12007,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.91,0.09
 Bornem ,12007,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.54,0.46
 Bornem ,12007,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.52,0.48
 Borsbeek ,11007,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.77,0.23
 Borsbeek ,11007,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.78,0.22
 Borsbeek ,11007,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.91,0.09
 Borsbeek ,11007,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.86,0.14
 Borsbeek ,11007,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.38,0.62
 Borsbeek ,11007,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.48,0.52
 Boutersem ,24016,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.81,0.19
 Boutersem ,24016,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.83,0.17
 Boutersem ,24016,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.83,0.17
 Boutersem ,24016,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.87,0.13
 Boutersem ,24016,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.49,0.51
 Boutersem ,24016,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.38,0.62
 Brakel ,45059,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.86,0.14
 Brakel ,45059,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.82,0.18
 Brakel ,45059,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.87,0.13
 Brakel ,45059,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.85,0.15
 Brakel ,45059,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.7,0.3
 Brakel ,45059,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.46,0.54
 Brasschaat ,11008,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.8,0.2
 Brasschaat ,11008,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.81,0.19
 Brasschaat ,11008,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.84,0.16
 Brasschaat ,11008,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.89,0.11
 Brasschaat ,11008,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.5,0.5
 Brasschaat ,11008,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.39,0.61
 Brecht ,11009,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.81,0.19
 Brecht ,11009,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.86,0.14
 Brecht ,11009,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.84,0.16
 Brecht ,11009,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.88,0.12
 Brecht ,11009,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.58,0.42
 Brecht ,11009,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.67,0.33
 Bredene ,35002,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.82,0.18
 Bredene ,35002,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.83,0.17
 Bredene ,35002,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.87,0.13
 Bredene ,35002,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.92,0.08
 Bredene ,35002,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.53,0.47
 Bredene ,35002,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.49,0.51
 Bree ,72004,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.81,0.19
 Bree ,72004,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.87,0.13
 Bree ,72004,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.87,0.13
 Bree ,72004,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.91,0.09
 Bree ,72004,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.5,0.5
 Bree ,72004,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.67,0.33
 Brugge ,31005,ja,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.8,0.2
 Brugge ,31005,ja,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.81,0.19
 Brugge ,31005,ja,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.87,0.13
 Brugge ,31005,ja,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.89,0.11
 Brugge ,31005,ja,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.56,0.44
 Brugge ,31005,ja,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.52,0.48
 Buggenhout ,42004,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.88,0.12
 Buggenhout ,42004,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.82,0.18
 Buggenhout ,42004,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.92,0.08
 Buggenhout ,42004,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.88,0.12
 Buggenhout ,42004,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.47,0.53
 Buggenhout ,42004,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.58,0.42
 Damme ,31006,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.81,0.19
 Damme ,31006,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.84,0.16
 Damme ,31006,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.88,0.12
