Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Ja (%),Nee (%),Weet niet (%)
 Gingelom ,71017,nee,Renovatie-intentie,2020,0.21,0.56,0.22
 Gistel ,35005,nee,Renovatie-intentie,2020,0.22,0.57,0.2
 Glabbeek ,24137,nee,Renovatie-intentie,2020,0.24,0.56,0.2
 Gooik ,23024,nee,Renovatie-intentie,2020,0.21,0.56,0.23
 Grimbergen ,23025,nee,Renovatie-intentie,2020,0.19,0.57,0.25
 Grobbendonk ,13010,nee,Renovatie-intentie,2020,0.19,0.61,0.2
 Haacht ,24033,nee,Renovatie-intentie,2020,0.16,0.59,0.25
 Haaltert ,41024,nee,Renovatie-intentie,2020,0.18,0.62,0.19
 Halen ,71020,nee,Renovatie-intentie,2020,0.22,0.54,0.24
 Halle ,23027,nee,Renovatie-intentie,2020,0.2,0.56,0.24
 Ham ,71069,nee,Renovatie-intentie,2020,0.21,0.55,0.24
 Hamme ,42008,nee,Renovatie-intentie,2020,0.21,0.59,0.2
 Hamont-Achel ,72037,nee,Renovatie-intentie,2020,0.19,0.52,0.29
 Harelbeke ,34013,nee,Renovatie-intentie,2020,0.17,0.6,0.23
 Hasselt ,71022,ja,Renovatie-intentie,2020,0.2,0.6,0.2
 Hechtel-Eksel ,72038,nee,Renovatie-intentie,2020,0.2,0.56,0.25
 Heers ,73022,nee,Renovatie-intentie,2020,0.23,0.54,0.23
 Heist-Op-Den-Berg ,12014,nee,Renovatie-intentie,2020,0.19,0.62,0.19
 Hemiksem ,11018,nee,Renovatie-intentie,2020,0.24,0.57,0.19
 Herent ,24038,nee,Renovatie-intentie,2020,0.18,0.59,0.23
 Herentals ,13011,nee,Renovatie-intentie,2020,0.21,0.6,0.19
 Herenthout ,13012,nee,Renovatie-intentie,2020,0.16,0.59,0.25
 Herk-De-Stad ,71024,nee,Renovatie-intentie,2020,0.21,0.62,0.17
 Herne ,23032,nee,Renovatie-intentie,2020,0.2,0.62,0.18
 Herselt ,13013,nee,Renovatie-intentie,2020,0.15,0.6,0.25
 Herzele ,41027,nee,Renovatie-intentie,2020,0.2,0.55,0.24
 Heusden-Zolder ,71070,nee,Renovatie-intentie,2020,0.18,0.6,0.22
 Heuvelland ,33039,nee,Renovatie-intentie,2020,0.17,0.64,0.19
 Hoegaarden ,24041,nee,Renovatie-intentie,2020,0.25,0.49,0.25
 Hoeilaart ,23033,nee,Renovatie-intentie,2020,0.22,0.56,0.22
 Hoeselt ,73032,nee,Renovatie-intentie,2020,0.19,0.58,0.24
 Holsbeek ,24043,nee,Renovatie-intentie,2020,0.16,0.65,0.19
 Hooglede ,36006,nee,Renovatie-intentie,2020,0.24,0.57,0.18
 Hoogstraten ,13014,nee,Renovatie-intentie,2020,0.17,0.61,0.22
 Horebeke ,45062,nee,Renovatie-intentie,2020,0.22,0.56,0.22
 Houthalen-Helchteren ,72039,nee,Renovatie-intentie,2020,0.16,0.58,0.27
 Houthulst ,32006,nee,Renovatie-intentie,2020,0.16,0.63,0.2
 Hove ,11021,nee,Renovatie-intentie,2020,0.19,0.62,0.19
 Huldenberg ,24045,nee,Renovatie-intentie,2020,0.23,0.57,0.19
 Hulshout ,13016,nee,Renovatie-intentie,2020,0.19,0.58,0.23
 Ichtegem ,35006,nee,Renovatie-intentie,2020,0.21,0.56,0.23
 Ieper ,33011,nee,Renovatie-intentie,2020,0.18,0.6,0.22
 Ingelmunster ,36007,nee,Renovatie-intentie,2020,0.2,0.59,0.22
 Izegem ,36008,nee,Renovatie-intentie,2020,0.19,0.59,0.21
 Jabbeke ,31012,nee,Renovatie-intentie,2020,0.21,0.58,0.21
 Kalmthout ,11022,nee,Renovatie-intentie,2020,0.21,0.56,0.22
 Kampenhout ,23038,nee,Renovatie-intentie,2020,0.25,0.51,0.24
 Kapellen ,11023,nee,Renovatie-intentie,2020,0.22,0.59,0.2
 Kapelle-Op-Den-Bos ,23039,nee,Renovatie-intentie,2020,0.21,0.6,0.19
 Kaprijke ,43007,nee,Renovatie-intentie,2020,0.19,0.6,0.2
 Kasterlee ,13017,nee,Renovatie-intentie,2020,0.15,0.6,0.25
 Keerbergen ,24048,nee,Renovatie-intentie,2020,0.25,0.54,0.21
 Kinrooi ,72018,nee,Renovatie-intentie,2020,0.17,0.54,0.29
 Kluisbergen ,45060,nee,Renovatie-intentie,2020,0.18,0.59,0.23
 Knokke-Heist ,31043,nee,Renovatie-intentie,2020,0.11,0.71,0.18
 Koekelare ,32010,nee,Renovatie-intentie,2020,0.19,0.62,0.19
 Koksijde ,38014,nee,Renovatie-intentie,2020,0.17,0.63,0.21
 Kontich ,11024,nee,Renovatie-intentie,2020,0.21,0.58,0.2
 Kortemark ,32011,nee,Renovatie-intentie,2020,0.21,0.54,0.25
 Kortenaken ,24054,nee,Renovatie-intentie,2020,0.19,0.55,0.26
 Kortenberg ,24055,nee,Renovatie-intentie,2020,0.2,0.59,0.21
 Kortessem ,73040,nee,Renovatie-intentie,2020,0.16,0.59,0.25
 Kortrijk ,34022,ja,Renovatie-intentie,2020,0.22,0.56,0.22
 Kraainem ,23099,nee,Renovatie-intentie,2020,0.2,0.54,0.26
 Kruibeke ,46013,nee,Renovatie-intentie,2020,0.21,0.56,0.23
 Kruisem ,45068,nee,Renovatie-intentie,2020,0.21,0.58,0.2
 Kuurne ,34023,nee,Renovatie-intentie,2020,0.21,0.61,0.19
 Laakdal ,13053,nee,Renovatie-intentie,2020,0.16,0.66,0.18
 Laarne ,42010,nee,Renovatie-intentie,2020,0.18,0.62,0.2
 Lanaken ,73042,nee,Renovatie-intentie,2020,0.17,0.54,0.29
 Landen ,24059,nee,Renovatie-intentie,2020,0.25,0.5,0.25
 Langemark-Poelkapelle ,33040,nee,Renovatie-intentie,2020,0.2,0.59,0.2
 Lebbeke ,42011,nee,Renovatie-intentie,2020,0.21,0.56,0.23
 Lede ,41034,nee,Renovatie-intentie,2020,0.2,0.64,0.16
 Ledegem ,36010,nee,Renovatie-intentie,2020,0.2,0.61,0.19
 Lendelede ,34025,nee,Renovatie-intentie,2020,0.19,0.6,0.21
 Lennik ,23104,nee,Renovatie-intentie,2020,0.18,0.57,0.25
 Leopoldsburg ,71034,nee,Renovatie-intentie,2020,0.2,0.56,0.24
 Leuven ,24062,ja,Renovatie-intentie,2020,0.24,0.58,0.18
 Lichtervelde ,36011,nee,Renovatie-intentie,2020,0.18,0.61,0.2
 Liedekerke ,23044,nee,Renovatie-intentie,2020,0.21,0.53,0.26
 Lier ,12021,nee,Renovatie-intentie,2020,0.23,0.55,0.22
 Lierde ,45063,nee,Renovatie-intentie,2020,0.19,0.55,0.26
 Lievegem ,44085,nee,Renovatie-intentie,2020,0.2,0.6,0.2
 Lille ,13019,nee,Renovatie-intentie,2020,0.13,0.62,0.24
 Linkebeek ,23100,nee,Renovatie-intentie,2020,0.24,0.47,0.28
 Lint ,11025,nee,Renovatie-intentie,2020,0.2,0.59,0.21
 Linter ,24133,nee,Renovatie-intentie,2020,0.2,0.54,0.26
 Lochristi ,44034,nee,Renovatie-intentie,2020,0.14,0.64,0.22
 Lokeren ,46014,nee,Renovatie-intentie,2020,0.18,0.59,0.23
 Lommel ,72020,nee,Renovatie-intentie,2020,0.21,0.58,0.21
 Londerzeel ,23045,nee,Renovatie-intentie,2020,0.23,0.55,0.22
 Lo-Reninge ,32030,nee,Renovatie-intentie,2020,0.17,0.65,0.18
 Lubbeek ,24066,nee,Renovatie-intentie,2020,0.19,0.6,0.21
 Lummen ,71037,nee,Renovatie-intentie,2020,0.17,0.61,0.22
 Maarkedal ,45064,nee,Renovatie-intentie,2020,0.2,0.58,0.21
 Maaseik ,72021,nee,Renovatie-intentie,2020,0.21,0.56,0.23
 Maasmechelen ,73107,nee,Renovatie-intentie,2020,0.2,0.57,0.24
 Machelen ,23047,nee,Renovatie-intentie,2020,0.2,0.51,0.3
 Maldegem ,43010,nee,Renovatie-intentie,2020,0.19,0.64,0.17
 Malle ,11057,nee,Renovatie-intentie,2020,0.23,0.54,0.23
 Mechelen ,12025,ja,Renovatie-intentie,2020,0.21,0.6,0.18
 Meerhout ,13021,nee,Renovatie-intentie,2020,0.15,0.64,0.2
 Meise ,23050,nee,Renovatie-intentie,2020,0.17,0.61,0.22
 Melle ,44040,nee,Renovatie-intentie,2020,0.22,0.57,0.21
 Menen ,34027,nee,Renovatie-intentie,2020,0.22,0.57,0.21
 Merchtem ,23052,nee,Renovatie-intentie,2020,0.2,0.59,0.21
 Merelbeke ,44043,nee,Renovatie-intentie,2020,0.23,0.56,0.22
 Merksplas ,13023,nee,Renovatie-intentie,2020,0.17,0.62,0.2
 Mesen ,33016,nee,Renovatie-intentie,2020,0.19,0.62,0.19
 Meulebeke ,37007,nee,Renovatie-intentie,2020,0.27,0.52,0.21
 Middelkerke ,35011,nee,Renovatie-intentie,2020,0.16,0.65,0.19
 Moerbeke ,44045,nee,Renovatie-intentie,2020,0.23,0.58,0.19
 Mol ,13025,nee,Renovatie-intentie,2020,0.21,0.59,0.21
 Moorslede ,36012,nee,Renovatie-intentie,2020,0.22,0.58,0.2
 Mortsel ,11029,nee,Renovatie-intentie,2020,0.21,0.57,0.21
 Nazareth ,44048,nee,Renovatie-intentie,2020,0.18,0.6,0.22
 Niel ,11030,nee,Renovatie-intentie,2020,0.26,0.56,0.19
 Nieuwerkerken ,71045,nee,Renovatie-intentie,2020,0.2,0.59,0.22
 Nieuwpoort ,38016,nee,Renovatie-intentie,2020,0.21,0.6,0.19
 Nijlen ,12026,nee,Renovatie-intentie,2020,0.17,0.61,0.21
 Ninove ,41048,nee,Renovatie-intentie,2020,0.19,0.52,0.29
 Olen ,13029,nee,Renovatie-intentie,2020,0.18,0.64,0.18
 Oostende ,35013,ja,Renovatie-intentie,2020,0.21,0.59,0.2
 Oosterzele ,44052,nee,Renovatie-intentie,2020,0.26,0.57,0.17
 Oostkamp ,31022,nee,Renovatie-intentie,2020,0.22,0.57,0.21
 Oostrozebeke ,37010,nee,Renovatie-intentie,2020,0.16,0.63,0.21
 Opwijk ,23060,nee,Renovatie-intentie,2020,0.17,0.59,0.24
 Oudenaarde ,45035,nee,Renovatie-intentie,2020,0.19,0.6,0.21
 Oudenburg ,35014,nee,Renovatie-intentie,2020,0.19,0.6,0.22
 Oud-Heverlee ,24086,nee,Renovatie-intentie,2020,0.2,0.63,0.18
 Oudsbergen ,72042,nee,Renovatie-intentie,2020,0.21,0.55,0.24
 Oud-Turnhout ,13031,nee,Renovatie-intentie,2020,0.22,0.57,0.22
 Overijse ,23062,nee,Renovatie-intentie,2020,0.25,0.52,0.23
 Peer ,72030,nee,Renovatie-intentie,2020,0.18,0.62,0.2
 Pelt ,72043,nee,Renovatie-intentie,2020,0.18,0.58,0.24
 Pepingen ,23064,nee,Renovatie-intentie,2020,0.26,0.52,0.22
 Pittem ,37011,nee,Renovatie-intentie,2020,0.14,0.67,0.19
 Poperinge ,33021,nee,Renovatie-intentie,2020,0.21,0.58,0.21
 Putte ,12029,nee,Renovatie-intentie,2020,0.15,0.62,0.23
 Puurs-Sint-Amands ,12041,nee,Renovatie-intentie,2020,0.22,0.57,0.2
 Ranst ,11035,nee,Renovatie-intentie,2020,0.2,0.57,0.23
 Ravels ,13035,nee,Renovatie-intentie,2020,0.2,0.56,0.23
 Retie ,13036,nee,Renovatie-intentie,2020,0.14,0.67,0.19
 Riemst ,73066,nee,Renovatie-intentie,2020,0.19,0.58,0.23
 Rijkevorsel ,13037,nee,Renovatie-intentie,2020,0.21,0.6,0.2
 Roeselare ,36015,ja,Renovatie-intentie,2020,0.18,0.62,0.2
 Ronse ,45041,nee,Renovatie-intentie,2020,0.29,0.48,0.23
 Roosdaal ,23097,nee,Renovatie-intentie,2020,0.18,0.63,0.19
 Rotselaar ,24094,nee,Renovatie-intentie,2020,0.17,0.61,0.22
 Ruiselede ,37012,nee,Renovatie-intentie,2020,0.16,0.67,0.17
 Rumst ,11037,nee,Renovatie-intentie,2020,0.26,0.55,0.19
 Schelle ,11038,nee,Renovatie-intentie,2020,0.24,0.57,0.19
 Scherpenheuvel-Zichem ,24134,nee,Renovatie-intentie,2020,0.2,0.55,0.25
 Schilde ,11039,nee,Renovatie-intentie,2020,0.22,0.61,0.16
 Schoten ,11040,nee,Renovatie-intentie,2020,0.24,0.56,0.2
 Sint-Genesius-Rode ,23101,nee,Renovatie-intentie,2020,0.21,0.58,0.21
 Sint-Gillis-Waas ,46020,nee,Renovatie-intentie,2020,0.17,0.6,0.23
 Sint-Katelijne-Waver ,12035,nee,Renovatie-intentie,2020,0.21,0.6,0.19
 Sint-Laureins ,43014,nee,Renovatie-intentie,2020,0.14,0.65,0.21
 Sint-Lievens-Houtem ,41063,nee,Renovatie-intentie,2020,0.2,0.65,0.15
 Sint-Martens-Latem ,44064,nee,Renovatie-intentie,2020,0.16,0.65,0.2
 Sint-Niklaas ,46021,ja,Renovatie-intentie,2020,0.22,0.56,0.21
 Sint-Pieters-Leeuw ,23077,nee,Renovatie-intentie,2020,0.15,0.52,0.33
 Sint-Truiden ,71053,nee,Renovatie-intentie,2020,0.2,0.58,0.22
 Spiere-Helkijn ,34043,nee,Renovatie-intentie,2020,0.25,0.57,0.18
 Stabroek ,11044,nee,Renovatie-intentie,2020,0.23,0.54,0.23
 Staden ,36019,nee,Renovatie-intentie,2020,0.19,0.59,0.22
 Steenokkerzeel ,23081,nee,Renovatie-intentie,2020,0.2,0.52,0.28
 Stekene ,46024,nee,Renovatie-intentie,2020,0.21,0.6,0.19
 Temse ,46025,nee,Renovatie-intentie,2020,0.21,0.56,0.23
 Ternat ,23086,nee,Renovatie-intentie,2020,0.18,0.57,0.25
 Tervuren ,24104,nee,Renovatie-intentie,2020,0.2,0.55,0.25
 Tessenderlo ,71057,nee,Renovatie-intentie,2020,0.21,0.57,0.22
 Tielt ,37015,nee,Renovatie-intentie,2020,0.21,0.55,0.23
 Tielt-Winge ,24135,nee,Renovatie-intentie,2020,0.2,0.58,0.22
 Tienen ,24107,nee,Renovatie-intentie,2020,0.27,0.51,0.22
 Tongeren ,73083,nee,Renovatie-intentie,2020,0.17,0.57,0.26
 Torhout ,31033,nee,Renovatie-intentie,2020,0.2,0.62,0.19
 Tremelo ,24109,nee,Renovatie-intentie,2020,0.13,0.64,0.23
 Turnhout ,13040,ja,Renovatie-intentie,2020,0.22,0.57,0.21
 Veurne ,38025,nee,Renovatie-intentie,2020,0.2,0.6,0.2
 Vilvoorde ,23088,nee,Renovatie-intentie,2020,0.18,0.5,0.32
 Vleteren ,33041,nee,Renovatie-intentie,2020,0.22,0.57,0.21
 Voeren ,73109,nee,Renovatie-intentie,2020,0.23,0.55,0.22
 Vorselaar ,13044,nee,Renovatie-intentie,2020,0.14,0.67,0.19
 Vosselaar ,13046,nee,Renovatie-intentie,2020,0.2,0.61,0.19
 Waasmunster ,42023,nee,Renovatie-intentie,2020,0.23,0.56,0.21
 Wachtebeke ,44073,nee,Renovatie-intentie,2020,0.21,0.64,0.16
 Waregem ,34040,nee,Renovatie-intentie,2020,0.16,0.65,0.18
 Wellen ,73098,nee,Renovatie-intentie,2020,0.19,0.59,0.22
 Wemmel ,23102,nee,Renovatie-intentie,2020,0.25,0.52,0.23
 Wervik ,33029,nee,Renovatie-intentie,2020,0.27,0.54,0.19
 Westerlo ,13049,nee,Renovatie-intentie,2020,0.2,0.59,0.21
 Wetteren ,42025,nee,Renovatie-intentie,2020,0.25,0.58,0.17
 Wevelgem ,34041,nee,Renovatie-intentie,2020,0.2,0.61,0.19
 Wezembeek-Oppem ,23103,nee,Renovatie-intentie,2020,0.21,0.52,0.27
 Wichelen ,42026,nee,Renovatie-intentie,2020,0.18,0.6,0.22
 Wielsbeke ,37017,nee,Renovatie-intentie,2020,0.23,0.56,0.2
 Wijnegem ,11050,nee,Renovatie-intentie,2020,0.22,0.56,0.22
 Willebroek ,12040,nee,Renovatie-intentie,2020,0.22,0.54,0.24
 Wingene ,37018,nee,Renovatie-intentie,2020,0.21,0.63,0.16
 Wommelgem ,11052,nee,Renovatie-intentie,2020,0.2,0.56,0.24
 Wortegem-Petegem ,45061,nee,Renovatie-intentie,2020,0.19,0.66,0.15
 Wuustwezel ,11053,nee,Renovatie-intentie,2020,0.18,0.56,0.26
 Zandhoven ,11054,nee,Renovatie-intentie,2020,0.2,0.53,0.26
 Zaventem ,23094,nee,Renovatie-intentie,2020,0.21,0.5,0.3
 Zedelgem ,31040,nee,Renovatie-intentie,2020,0.24,0.61,0.15
 Zele ,42028,nee,Renovatie-intentie,2020,0.17,0.61,0.22
 Zelzate ,43018,nee,Renovatie-intentie,2020,0.24,0.58,0.18
 Zemst ,23096,nee,Renovatie-intentie,2020,0.18,0.61,0.2
 Zoersel ,11055,nee,Renovatie-intentie,2020,0.21,0.63,0.16
 Zonhoven ,71066,nee,Renovatie-intentie,2020,0.19,0.63,0.18
 Zonnebeke ,33037,nee,Renovatie-intentie,2020,0.18,0.59,0.23
 Zottegem ,41081,nee,Renovatie-intentie,2020,0.24,0.57,0.19
 Zoutleeuw ,24130,nee,Renovatie-intentie,2020,0.19,0.55,0.26
 Zuienkerke ,31042,nee,Renovatie-intentie,2020,0.21,0.57,0.22
 Zulte ,44081,nee,Renovatie-intentie,2020,0.13,0.67,0.21
 Zutendaal ,71067,nee,Renovatie-intentie,2020,0.2,0.57,0.23
 Zwalm ,45065,nee,Renovatie-intentie,2020,0.23,0.55,0.22
 Zwevegem ,34042,nee,Renovatie-intentie,2020,0.23,0.57,0.2
 Zwijndrecht ,11056,nee,Renovatie-intentie,2020,0.25,0.55,0.2
13 centrumsteden,/,/,Renovatie-intentie,2020,0.23,0.56,0.21
Gemeenten groter dan 50.000 inw.,/,/,Renovatie-intentie,2020,0.23,0.56,0.21
Gemeenten kleiner dan 10.000 inw.,/,/,Renovatie-intentie,2020,0.2,0.58,0.22
Gemeenten van 10.000 tot 20.000 inw.,/,/,Renovatie-intentie,2020,0.2,0.58,0.22
Gemeenten van 20.000 tot 30.000 inw.,/,/,Renovatie-intentie,2020,0.2,0.58,0.21
Gemeenten van 30.000 tot 50.000 inw.,/,/,Renovatie-intentie,2020,0.2,0.58,0.23
Vlaams Gewest,/,/,Renovatie-intentie,2020,0.21,0.58,0.22
