Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Ja (%),Nee (%),Weet niet (%)
 Aalst ,41002,ja,Renovatie-intentie,2020,0.21,0.56,0.23
 Aalter ,44084,nee,Renovatie-intentie,2020,0.22,0.62,0.16
 Aarschot ,24001,nee,Renovatie-intentie,2020,0.2,0.58,0.22
 Aartselaar ,11001,nee,Renovatie-intentie,2020,0.17,0.59,0.24
 Affligem ,23105,nee,Renovatie-intentie,2020,0.22,0.55,0.23
 Alken ,73001,nee,Renovatie-intentie,2020,0.18,0.62,0.2
 Alveringem ,38002,nee,Renovatie-intentie,2020,0.23,0.52,0.25
 Antwerpen ,11002,ja,Renovatie-intentie,2020,0.25,0.52,0.23
 Anzegem ,34002,nee,Renovatie-intentie,2020,0.22,0.57,0.21
 Ardooie ,37020,nee,Renovatie-intentie,2020,0.2,0.55,0.25
 Arendonk ,13001,nee,Renovatie-intentie,2020,0.21,0.6,0.18
 As ,71002,nee,Renovatie-intentie,2020,0.2,0.55,0.24
 Asse ,23002,nee,Renovatie-intentie,2020,0.2,0.58,0.21
 Assenede ,43002,nee,Renovatie-intentie,2020,0.19,0.64,0.17
 Avelgem ,34003,nee,Renovatie-intentie,2020,0.2,0.6,0.2
 Baarle-Hertog ,13002,nee,Renovatie-intentie,2020,0.22,0.64,0.15
 Balen ,13003,nee,Renovatie-intentie,2020,0.24,0.56,0.2
 Beernem ,31003,nee,Renovatie-intentie,2020,0.21,0.59,0.21
 Beerse ,13004,nee,Renovatie-intentie,2020,0.24,0.5,0.26
 Beersel ,23003,nee,Renovatie-intentie,2020,0.18,0.6,0.22
 Begijnendijk ,24007,nee,Renovatie-intentie,2020,0.2,0.6,0.19
 Bekkevoort ,24008,nee,Renovatie-intentie,2020,0.24,0.5,0.26
 Beringen ,71004,nee,Renovatie-intentie,2020,0.23,0.55,0.22
 Berlaar ,12002,nee,Renovatie-intentie,2020,0.24,0.54,0.22
 Berlare ,42003,nee,Renovatie-intentie,2020,0.21,0.59,0.2
 Bertem ,24009,nee,Renovatie-intentie,2020,0.24,0.56,0.2
 Bever ,23009,nee,Renovatie-intentie,2020,0.24,0.55,0.21
 Beveren ,46003,nee,Renovatie-intentie,2020,0.2,0.62,0.18
 Bierbeek ,24011,nee,Renovatie-intentie,2020,0.21,0.57,0.22
 Bilzen ,73006,nee,Renovatie-intentie,2020,0.19,0.55,0.26
 Blankenberge ,31004,nee,Renovatie-intentie,2020,0.21,0.59,0.21
 Bocholt ,72003,nee,Renovatie-intentie,2020,0.21,0.54,0.25
 Boechout ,11004,nee,Renovatie-intentie,2020,0.21,0.61,0.18
 Bonheiden ,12005,nee,Renovatie-intentie,2020,0.18,0.61,0.21
 Boom ,11005,nee,Renovatie-intentie,2020,0.24,0.55,0.21
 Boortmeerbeek ,24014,nee,Renovatie-intentie,2020,0.21,0.54,0.25
 Borgloon ,73009,nee,Renovatie-intentie,2020,0.22,0.55,0.23
 Bornem ,12007,nee,Renovatie-intentie,2020,0.18,0.6,0.22
 Borsbeek ,11007,nee,Renovatie-intentie,2020,0.24,0.57,0.19
 Boutersem ,24016,nee,Renovatie-intentie,2020,0.23,0.55,0.23
 Brakel ,45059,nee,Renovatie-intentie,2020,0.2,0.53,0.27
 Brasschaat ,11008,nee,Renovatie-intentie,2020,0.18,0.59,0.23
 Brecht ,11009,nee,Renovatie-intentie,2020,0.14,0.61,0.25
 Bredene ,35002,nee,Renovatie-intentie,2020,0.22,0.59,0.18
 Bree ,72004,nee,Renovatie-intentie,2020,0.17,0.6,0.23
 Brugge ,31005,ja,Renovatie-intentie,2020,0.23,0.59,0.19
 Buggenhout ,42004,nee,Renovatie-intentie,2020,0.23,0.59,0.18
 Damme ,31006,nee,Renovatie-intentie,2020,0.23,0.59,0.17
 De Haan ,35029,nee,Renovatie-intentie,2020,0.16,0.63,0.22
 De Panne ,38008,nee,Renovatie-intentie,2020,0.14,0.65,0.21
 De Pinte ,44012,nee,Renovatie-intentie,2020,0.18,0.64,0.18
 Deerlijk ,34009,nee,Renovatie-intentie,2020,0.19,0.59,0.22
 Deinze ,44083,nee,Renovatie-intentie,2020,0.2,0.61,0.19
 Denderleeuw ,41011,nee,Renovatie-intentie,2020,0.24,0.54,0.22
 Dendermonde ,42006,nee,Renovatie-intentie,2020,0.21,0.57,0.22
 Dentergem ,37002,nee,Renovatie-intentie,2020,0.17,0.61,0.22
 Dessel ,13006,nee,Renovatie-intentie,2020,0.19,0.59,0.23
 Destelbergen ,44013,nee,Renovatie-intentie,2020,0.19,0.59,0.21
 Diepenbeek ,71011,nee,Renovatie-intentie,2020,0.24,0.56,0.2
 Diest ,24020,nee,Renovatie-intentie,2020,0.19,0.59,0.22
 Diksmuide ,32003,nee,Renovatie-intentie,2020,0.19,0.64,0.17
 Dilbeek ,23016,nee,Renovatie-intentie,2020,0.23,0.52,0.26
 Dilsen-Stokkem ,72041,nee,Renovatie-intentie,2020,0.21,0.55,0.24
 Drogenbos ,23098,nee,Renovatie-intentie,2020,0.11,0.55,0.35
 Duffel ,12009,nee,Renovatie-intentie,2020,0.22,0.53,0.25
 Edegem ,11013,nee,Renovatie-intentie,2020,0.23,0.56,0.21
 Eeklo ,43005,nee,Renovatie-intentie,2020,0.22,0.6,0.18
 Erpe-Mere ,41082,nee,Renovatie-intentie,2020,0.22,0.6,0.18
 Essen ,11016,nee,Renovatie-intentie,2020,0.23,0.54,0.23
 Evergem ,44019,nee,Renovatie-intentie,2020,0.17,0.63,0.2
 Galmaarden ,23023,nee,Renovatie-intentie,2020,0.24,0.51,0.25
 Gavere ,44020,nee,Renovatie-intentie,2020,0.25,0.54,0.21
 Geel ,13008,nee,Renovatie-intentie,2020,0.18,0.59,0.23
 Geetbets ,24028,nee,Renovatie-intentie,2020,0.22,0.54,0.24
 Genk ,71016,ja,Renovatie-intentie,2020,0.18,0.58,0.24
 Gent ,44021,ja,Renovatie-intentie,2020,0.26,0.56,0.18
 Geraardsbergen ,41018,nee,Renovatie-intentie,2020,0.23,0.59,0.18
