Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Oneens (%),Neutraal (%),Eens (%)
 Aalst ,41002,ja,Fierheid over de gemeente,2008,0.13,0.26,0.61
 Aalst ,41002,ja,Fierheid over de gemeente,2011,0.16,0.28,0.56
 Aalst ,41002,ja,Fierheid over de gemeente,2014,0.1,0.21,0.7
 Aalst ,41002,ja,Fierheid over de gemeente,2017,0.09,0.22,0.69
 Aalst ,41002,ja,Fierheid over de gemeente,2020,0.11,0.21,0.68
 Aalter ,44001,nee,Fierheid over de gemeente,2017,0.05,0.16,0.79
 Aalter ,44084,nee,Fierheid over de gemeente,2020,0.05,0.21,0.74
 Aarschot ,24001,nee,Fierheid over de gemeente,2017,0.09,0.33,0.58
 Aarschot ,24001,nee,Fierheid over de gemeente,2020,0.12,0.27,0.61
 Aartselaar ,11001,nee,Fierheid over de gemeente,2017,0.06,0.2,0.74
 Aartselaar ,11001,nee,Fierheid over de gemeente,2020,0.09,0.27,0.64
 Affligem ,23105,nee,Fierheid over de gemeente,2017,0.06,0.21,0.72
 Affligem ,23105,nee,Fierheid over de gemeente,2020,0.07,0.22,0.71
 Alken ,73001,nee,Fierheid over de gemeente,2017,0.05,0.23,0.73
 Alken ,73001,nee,Fierheid over de gemeente,2020,0.03,0.19,0.78
 Alveringem ,38002,nee,Fierheid over de gemeente,2017,0.07,0.21,0.72
 Alveringem ,38002,nee,Fierheid over de gemeente,2020,0.09,0.23,0.69
 Antwerpen ,11002,ja,Fierheid over de gemeente,2008,0.13,0.24,0.63
 Antwerpen ,11002,ja,Fierheid over de gemeente,2011,0.13,0.24,0.63
 Antwerpen ,11002,ja,Fierheid over de gemeente,2014,0.09,0.2,0.71
 Antwerpen ,11002,ja,Fierheid over de gemeente,2017,0.1,0.2,0.7
 Antwerpen ,11002,ja,Fierheid over de gemeente,2020,0.12,0.21,0.67
 Anzegem ,34002,nee,Fierheid over de gemeente,2017,0.04,0.15,0.82
 Anzegem ,34002,nee,Fierheid over de gemeente,2020,0.04,0.22,0.74
 Ardooie ,37020,nee,Fierheid over de gemeente,2017,0.04,0.17,0.79
 Ardooie ,37020,nee,Fierheid over de gemeente,2020,0.07,0.13,0.8
 Arendonk ,13001,nee,Fierheid over de gemeente,2017,0.05,0.18,0.77
 Arendonk ,13001,nee,Fierheid over de gemeente,2020,0.05,0.15,0.79
 As ,71002,nee,Fierheid over de gemeente,2017,0.05,0.13,0.82
 As ,71002,nee,Fierheid over de gemeente,2020,0.06,0.12,0.82
 Asse ,23002,nee,Fierheid over de gemeente,2017,0.21,0.28,0.51
 Asse ,23002,nee,Fierheid over de gemeente,2020,0.2,0.32,0.49
 Assenede ,43002,nee,Fierheid over de gemeente,2017,0.09,0.23,0.67
 Assenede ,43002,nee,Fierheid over de gemeente,2020,0.09,0.24,0.68
 Avelgem ,34003,nee,Fierheid over de gemeente,2017,0.13,0.24,0.63
 Avelgem ,34003,nee,Fierheid over de gemeente,2020,0.1,0.26,0.64
 Baarle-Hertog ,13002,nee,Fierheid over de gemeente,2017,0.07,0.22,0.71
 Baarle-Hertog ,13002,nee,Fierheid over de gemeente,2020,0.1,0.23,0.67
 Balen ,13003,nee,Fierheid over de gemeente,2017,0.06,0.24,0.7
 Balen ,13003,nee,Fierheid over de gemeente,2020,0.03,0.24,0.73
 Beernem ,31003,nee,Fierheid over de gemeente,2017,0.04,0.23,0.73
 Beernem ,31003,nee,Fierheid over de gemeente,2020,0.06,0.23,0.71
 Beerse ,13004,nee,Fierheid over de gemeente,2017,0.09,0.28,0.63
 Beerse ,13004,nee,Fierheid over de gemeente,2020,0.08,0.3,0.62
 Beersel ,23003,nee,Fierheid over de gemeente,2017,0.1,0.24,0.66
 Beersel ,23003,nee,Fierheid over de gemeente,2020,0.12,0.27,0.6
 Begijnendijk ,24007,nee,Fierheid over de gemeente,2017,0.17,0.3,0.53
 Begijnendijk ,24007,nee,Fierheid over de gemeente,2020,0.1,0.29,0.61
 Bekkevoort ,24008,nee,Fierheid over de gemeente,2017,0.09,0.22,0.69
 Bekkevoort ,24008,nee,Fierheid over de gemeente,2020,0.1,0.3,0.6
 Beringen ,71004,nee,Fierheid over de gemeente,2017,0.12,0.29,0.59
 Beringen ,71004,nee,Fierheid over de gemeente,2020,0.1,0.22,0.68
 Berlaar ,12002,nee,Fierheid over de gemeente,2017,0.05,0.25,0.7
 Berlaar ,12002,nee,Fierheid over de gemeente,2020,0.07,0.25,0.68
 Berlare ,42003,nee,Fierheid over de gemeente,2017,0.07,0.14,0.79
 Berlare ,42003,nee,Fierheid over de gemeente,2020,0.07,0.22,0.72
 Bertem ,24009,nee,Fierheid over de gemeente,2017,0.08,0.29,0.63
 Bertem ,24009,nee,Fierheid over de gemeente,2020,0.09,0.3,0.61
 Bever ,23009,nee,Fierheid over de gemeente,2017,0.08,0.22,0.7
 Bever ,23009,nee,Fierheid over de gemeente,2020,0.08,0.2,0.72
 Beveren ,46003,nee,Fierheid over de gemeente,2017,0.05,0.16,0.79
 Beveren ,46003,nee,Fierheid over de gemeente,2020,0.08,0.19,0.73
 Bierbeek ,24011,nee,Fierheid over de gemeente,2017,0.06,0.2,0.73
 Bierbeek ,24011,nee,Fierheid over de gemeente,2020,0.04,0.22,0.74
 Bilzen ,73006,nee,Fierheid over de gemeente,2017,0.06,0.21,0.74
 Bilzen ,73006,nee,Fierheid over de gemeente,2020,0.08,0.22,0.7
 Blankenberge ,31004,nee,Fierheid over de gemeente,2017,0.09,0.2,0.71
 Blankenberge ,31004,nee,Fierheid over de gemeente,2020,0.1,0.24,0.66
 Bocholt ,72003,nee,Fierheid over de gemeente,2017,0.06,0.26,0.68
 Bocholt ,72003,nee,Fierheid over de gemeente,2020,0.05,0.24,0.72
 Boechout ,11004,nee,Fierheid over de gemeente,2017,0.06,0.19,0.75
 Boechout ,11004,nee,Fierheid over de gemeente,2020,0.06,0.21,0.74
 Bonheiden ,12005,nee,Fierheid over de gemeente,2017,0.05,0.2,0.75
 Bonheiden ,12005,nee,Fierheid over de gemeente,2020,0.05,0.21,0.74
 Boom ,11005,nee,Fierheid over de gemeente,2017,0.29,0.31,0.4
 Boom ,11005,nee,Fierheid over de gemeente,2020,0.26,0.24,0.5
 Boortmeerbeek ,24014,nee,Fierheid over de gemeente,2017,0.13,0.33,0.54
 Boortmeerbeek ,24014,nee,Fierheid over de gemeente,2020,0.17,0.38,0.44
 Borgloon ,73009,nee,Fierheid over de gemeente,2017,0.12,0.2,0.67
 Borgloon ,73009,nee,Fierheid over de gemeente,2020,0.09,0.24,0.67
 Bornem ,12007,nee,Fierheid over de gemeente,2017,0.03,0.14,0.83
 Bornem ,12007,nee,Fierheid over de gemeente,2020,0.06,0.21,0.73
 Borsbeek ,11007,nee,Fierheid over de gemeente,2017,0.11,0.23,0.66
 Borsbeek ,11007,nee,Fierheid over de gemeente,2020,0.17,0.34,0.49
 Boutersem ,24016,nee,Fierheid over de gemeente,2017,0.08,0.27,0.65
 Boutersem ,24016,nee,Fierheid over de gemeente,2020,0.09,0.32,0.58
 Brakel ,45059,nee,Fierheid over de gemeente,2017,0.11,0.24,0.65
 Brakel ,45059,nee,Fierheid over de gemeente,2020,0.1,0.2,0.71
 Brasschaat ,11008,nee,Fierheid over de gemeente,2017,0.03,0.14,0.83
 Brasschaat ,11008,nee,Fierheid over de gemeente,2020,0.06,0.16,0.78
 Brecht ,11009,nee,Fierheid over de gemeente,2017,0.06,0.26,0.67
 Brecht ,11009,nee,Fierheid over de gemeente,2020,0.06,0.28,0.66
 Bredene ,35002,nee,Fierheid over de gemeente,2017,0.06,0.14,0.8
 Bredene ,35002,nee,Fierheid over de gemeente,2020,0.07,0.18,0.74
 Bree ,72004,nee,Fierheid over de gemeente,2017,0.07,0.27,0.66
 Bree ,72004,nee,Fierheid over de gemeente,2020,0.08,0.21,0.71
 Brugge ,31005,ja,Fierheid over de gemeente,2008,0.03,0.07,0.89
 Brugge ,31005,ja,Fierheid over de gemeente,2011,0.03,0.11,0.86
 Brugge ,31005,ja,Fierheid over de gemeente,2014,0.02,0.09,0.89
 Brugge ,31005,ja,Fierheid over de gemeente,2017,0.04,0.12,0.84
 Brugge ,31005,ja,Fierheid over de gemeente,2020,0.03,0.1,0.86
 Buggenhout ,42004,nee,Fierheid over de gemeente,2017,0.08,0.2,0.71
 Buggenhout ,42004,nee,Fierheid over de gemeente,2020,0.08,0.23,0.69
 Damme ,31006,nee,Fierheid over de gemeente,2017,0.06,0.14,0.81
 Damme ,31006,nee,Fierheid over de gemeente,2020,0.04,0.22,0.75
 De Haan ,35029,nee,Fierheid over de gemeente,2017,0.04,0.18,0.78
 De Haan ,35029,nee,Fierheid over de gemeente,2020,0.04,0.14,0.81
 De Panne ,38008,nee,Fierheid over de gemeente,2017,0.11,0.22,0.67
 De Panne ,38008,nee,Fierheid over de gemeente,2020,0.06,0.17,0.77
 De Pinte ,44012,nee,Fierheid over de gemeente,2017,0.03,0.15,0.81
 De Pinte ,44012,nee,Fierheid over de gemeente,2020,0.03,0.14,0.83
 Deerlijk ,34009,nee,Fierheid over de gemeente,2017,0.06,0.23,0.71
