Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Oneens (%),Neutraal (%),Eens (%)
 Aalst ,41002,ja,Netheid van straten en voetpaden,2008,0.33,0.15,0.53
 Aalst ,41002,ja,Netheid van straten en voetpaden,2011,0.32,0.15,0.53
 Aalst ,41002,ja,Netheid van straten en voetpaden,2014,0.26,0.19,0.55
 Aalst ,41002,ja,Netheid van straten en voetpaden,2017,0.27,0.14,0.59
 Aalst ,41002,ja,Netheid van straten en voetpaden,2020,0.25,0.12,0.64
 Aalter ,44001,nee,Netheid van straten en voetpaden,2017,0.13,0.1,0.77
 Aalter ,44084,nee,Netheid van straten en voetpaden,2020,0.21,0.13,0.66
 Aarschot ,24001,nee,Netheid van straten en voetpaden,2017,0.27,0.13,0.6
 Aarschot ,24001,nee,Netheid van straten en voetpaden,2020,0.28,0.12,0.6
 Aartselaar ,11001,nee,Netheid van straten en voetpaden,2017,0.25,0.11,0.64
 Aartselaar ,11001,nee,Netheid van straten en voetpaden,2020,0.24,0.14,0.62
 Affligem ,23105,nee,Netheid van straten en voetpaden,2017,0.24,0.13,0.63
 Affligem ,23105,nee,Netheid van straten en voetpaden,2020,0.22,0.14,0.64
 Alken ,73001,nee,Netheid van straten en voetpaden,2017,0.12,0.11,0.77
 Alken ,73001,nee,Netheid van straten en voetpaden,2020,0.14,0.09,0.76
 Alveringem ,38002,nee,Netheid van straten en voetpaden,2017,0.21,0.09,0.71
 Alveringem ,38002,nee,Netheid van straten en voetpaden,2020,0.18,0.15,0.67
 Antwerpen ,11002,ja,Netheid van straten en voetpaden,2008,0.29,0.15,0.55
 Antwerpen ,11002,ja,Netheid van straten en voetpaden,2011,0.26,0.15,0.59
 Antwerpen ,11002,ja,Netheid van straten en voetpaden,2014,0.24,0.17,0.59
 Antwerpen ,11002,ja,Netheid van straten en voetpaden,2017,0.26,0.14,0.6
 Antwerpen ,11002,ja,Netheid van straten en voetpaden,2020,0.29,0.13,0.58
 Anzegem ,34002,nee,Netheid van straten en voetpaden,2017,0.15,0.14,0.71
 Anzegem ,34002,nee,Netheid van straten en voetpaden,2020,0.2,0.12,0.68
 Ardooie ,37020,nee,Netheid van straten en voetpaden,2017,0.18,0.12,0.7
 Ardooie ,37020,nee,Netheid van straten en voetpaden,2020,0.2,0.16,0.64
 Arendonk ,13001,nee,Netheid van straten en voetpaden,2017,0.13,0.08,0.79
 Arendonk ,13001,nee,Netheid van straten en voetpaden,2020,0.17,0.07,0.76
 As ,71002,nee,Netheid van straten en voetpaden,2017,0.1,0.07,0.83
 As ,71002,nee,Netheid van straten en voetpaden,2020,0.13,0.06,0.81
 Asse ,23002,nee,Netheid van straten en voetpaden,2017,0.26,0.14,0.6
