Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Ja (%),Nee (%)
 Aalst ,41002,ja,Internetaansluiting in de woning,2011,0.81,0.19
 Aalst ,41002,ja,Internetaansluiting in de woning,2014,0.88,0.12
 Aalst ,41002,ja,Internetaansluiting in de woning,2017,0.91,0.09
 Aalst ,41002,ja,Internetaansluiting in de woning,2020,0.96,0.04
 Aalter ,44001,nee,Internetaansluiting in de woning,2017,0.9,0.1
 Aalter ,44084,nee,Internetaansluiting in de woning,2020,0.96,0.04
 Aarschot ,24001,nee,Internetaansluiting in de woning,2017,0.91,0.09
 Aarschot ,24001,nee,Internetaansluiting in de woning,2020,0.96,0.04
 Aartselaar ,11001,nee,Internetaansluiting in de woning,2017,0.95,0.05
 Aartselaar ,11001,nee,Internetaansluiting in de woning,2020,0.97,0.03
 Affligem ,23105,nee,Internetaansluiting in de woning,2017,0.91,0.09
 Affligem ,23105,nee,Internetaansluiting in de woning,2020,0.97,0.03
 Alken ,73001,nee,Internetaansluiting in de woning,2017,0.92,0.08
 Alken ,73001,nee,Internetaansluiting in de woning,2020,0.97,0.03
 Alveringem ,38002,nee,Internetaansluiting in de woning,2017,0.9,0.1
 Alveringem ,38002,nee,Internetaansluiting in de woning,2020,0.95,0.05
 Antwerpen ,11002,ja,Internetaansluiting in de woning,2011,0.83,0.17
 Antwerpen ,11002,ja,Internetaansluiting in de woning,2014,0.89,0.11
 Antwerpen ,11002,ja,Internetaansluiting in de woning,2017,0.93,0.07
 Antwerpen ,11002,ja,Internetaansluiting in de woning,2020,0.96,0.04
 Anzegem ,34002,nee,Internetaansluiting in de woning,2017,0.92,0.08
 Anzegem ,34002,nee,Internetaansluiting in de woning,2020,0.97,0.03
 Ardooie ,37020,nee,Internetaansluiting in de woning,2017,0.92,0.08
 Ardooie ,37020,nee,Internetaansluiting in de woning,2020,0.96,0.04
 Arendonk ,13001,nee,Internetaansluiting in de woning,2017,0.92,0.08
 Arendonk ,13001,nee,Internetaansluiting in de woning,2020,0.95,0.05
 As ,71002,nee,Internetaansluiting in de woning,2017,0.92,0.08
 As ,71002,nee,Internetaansluiting in de woning,2020,0.97,0.03
 Asse ,23002,nee,Internetaansluiting in de woning,2017,0.89,0.11
 Asse ,23002,nee,Internetaansluiting in de woning,2020,0.96,0.04
 Assenede ,43002,nee,Internetaansluiting in de woning,2017,0.91,0.09
 Assenede ,43002,nee,Internetaansluiting in de woning,2020,0.93,0.07
 Avelgem ,34003,nee,Internetaansluiting in de woning,2017,0.89,0.11
 Avelgem ,34003,nee,Internetaansluiting in de woning,2020,0.96,0.04
 Baarle-Hertog ,13002,nee,Internetaansluiting in de woning,2017,0.94,0.06
 Baarle-Hertog ,13002,nee,Internetaansluiting in de woning,2020,0.97,0.03
 Balen ,13003,nee,Internetaansluiting in de woning,2017,0.9,0.1
 Balen ,13003,nee,Internetaansluiting in de woning,2020,0.96,0.04
 Beernem ,31003,nee,Internetaansluiting in de woning,2017,0.92,0.08
 Beernem ,31003,nee,Internetaansluiting in de woning,2020,0.96,0.04
 Beerse ,13004,nee,Internetaansluiting in de woning,2017,0.94,0.06
 Beerse ,13004,nee,Internetaansluiting in de woning,2020,0.98,0.02
 Beersel ,23003,nee,Internetaansluiting in de woning,2017,0.95,0.05
 Beersel ,23003,nee,Internetaansluiting in de woning,2020,0.98,0.02
 Begijnendijk ,24007,nee,Internetaansluiting in de woning,2017,0.91,0.09
 Begijnendijk ,24007,nee,Internetaansluiting in de woning,2020,0.97,0.03
 Bekkevoort ,24008,nee,Internetaansluiting in de woning,2017,0.92,0.08
 Bekkevoort ,24008,nee,Internetaansluiting in de woning,2020,0.94,0.06
 Beringen ,71004,nee,Internetaansluiting in de woning,2017,0.93,0.07
 Beringen ,71004,nee,Internetaansluiting in de woning,2020,0.96,0.04
 Berlaar ,12002,nee,Internetaansluiting in de woning,2017,0.91,0.09
 Berlaar ,12002,nee,Internetaansluiting in de woning,2020,0.95,0.05
 Berlare ,42003,nee,Internetaansluiting in de woning,2017,0.89,0.11
 Berlare ,42003,nee,Internetaansluiting in de woning,2020,0.94,0.06
 Bertem ,24009,nee,Internetaansluiting in de woning,2017,0.95,0.05
 Bertem ,24009,nee,Internetaansluiting in de woning,2020,0.97,0.03
 Bever ,23009,nee,Internetaansluiting in de woning,2017,0.9,0.1
 Bever ,23009,nee,Internetaansluiting in de woning,2020,0.95,0.05
 Beveren ,46003,nee,Internetaansluiting in de woning,2017,0.9,0.1
 Beveren ,46003,nee,Internetaansluiting in de woning,2020,0.96,0.04
 Bierbeek ,24011,nee,Internetaansluiting in de woning,2017,0.94,0.06
 Bierbeek ,24011,nee,Internetaansluiting in de woning,2020,0.98,0.02
 Bilzen ,73006,nee,Internetaansluiting in de woning,2017,0.92,0.08
 Bilzen ,73006,nee,Internetaansluiting in de woning,2020,0.96,0.04
 Blankenberge ,31004,nee,Internetaansluiting in de woning,2017,0.88,0.12
 Blankenberge ,31004,nee,Internetaansluiting in de woning,2020,0.94,0.06
 Bocholt ,72003,nee,Internetaansluiting in de woning,2017,0.95,0.05
 Bocholt ,72003,nee,Internetaansluiting in de woning,2020,0.96,0.04
 Boechout ,11004,nee,Internetaansluiting in de woning,2017,0.92,0.08
 Boechout ,11004,nee,Internetaansluiting in de woning,2020,0.97,0.03
 Bonheiden ,12005,nee,Internetaansluiting in de woning,2017,0.92,0.08
 Bonheiden ,12005,nee,Internetaansluiting in de woning,2020,0.98,0.02
 Boom ,11005,nee,Internetaansluiting in de woning,2017,0.92,0.08
 Boom ,11005,nee,Internetaansluiting in de woning,2020,0.97,0.03
 Boortmeerbeek ,24014,nee,Internetaansluiting in de woning,2017,0.92,0.08
 Boortmeerbeek ,24014,nee,Internetaansluiting in de woning,2020,0.98,0.02
 Borgloon ,73009,nee,Internetaansluiting in de woning,2017,0.89,0.11
 Borgloon ,73009,nee,Internetaansluiting in de woning,2020,0.98,0.02
 Bornem ,12007,nee,Internetaansluiting in de woning,2017,0.92,0.08
 Bornem ,12007,nee,Internetaansluiting in de woning,2020,0.97,0.03
 Borsbeek ,11007,nee,Internetaansluiting in de woning,2017,0.94,0.06
 Borsbeek ,11007,nee,Internetaansluiting in de woning,2020,0.97,0.03
 Boutersem ,24016,nee,Internetaansluiting in de woning,2017,0.91,0.09
 Boutersem ,24016,nee,Internetaansluiting in de woning,2020,0.98,0.02
 Brakel ,45059,nee,Internetaansluiting in de woning,2017,0.91,0.09
 Brakel ,45059,nee,Internetaansluiting in de woning,2020,0.94,0.06
 Brasschaat ,11008,nee,Internetaansluiting in de woning,2017,0.94,0.06
 Brasschaat ,11008,nee,Internetaansluiting in de woning,2020,0.98,0.02
 Brecht ,11009,nee,Internetaansluiting in de woning,2017,0.94,0.06
 Brecht ,11009,nee,Internetaansluiting in de woning,2020,0.98,0.02
 Bredene ,35002,nee,Internetaansluiting in de woning,2017,0.92,0.08
 Bredene ,35002,nee,Internetaansluiting in de woning,2020,0.96,0.04
 Bree ,72004,nee,Internetaansluiting in de woning,2017,0.92,0.08
 Bree ,72004,nee,Internetaansluiting in de woning,2020,0.95,0.05
 Brugge ,31005,ja,Internetaansluiting in de woning,2011,0.84,0.16
 Brugge ,31005,ja,Internetaansluiting in de woning,2014,0.89,0.11
 Brugge ,31005,ja,Internetaansluiting in de woning,2017,0.93,0.07
 Brugge ,31005,ja,Internetaansluiting in de woning,2020,0.96,0.04
 Buggenhout ,42004,nee,Internetaansluiting in de woning,2017,0.91,0.09
 Buggenhout ,42004,nee,Internetaansluiting in de woning,2020,0.97,0.03
 Damme ,31006,nee,Internetaansluiting in de woning,2017,0.9,0.1
 Damme ,31006,nee,Internetaansluiting in de woning,2020,0.96,0.04
 De Haan ,35029,nee,Internetaansluiting in de woning,2017,0.89,0.11
 De Haan ,35029,nee,Internetaansluiting in de woning,2020,0.94,0.06
 De Panne ,38008,nee,Internetaansluiting in de woning,2017,0.86,0.14
 De Panne ,38008,nee,Internetaansluiting in de woning,2020,0.95,0.05
 De Pinte ,44012,nee,Internetaansluiting in de woning,2017,0.95,0.05
 De Pinte ,44012,nee,Internetaansluiting in de woning,2020,0.98,0.02
 Deerlijk ,34009,nee,Internetaansluiting in de woning,2017,0.91,0.09
 Deerlijk ,34009,nee,Internetaansluiting in de woning,2020,0.95,0.05
 Deinze ,44011,nee,Internetaansluiting in de woning,2017,0.9,0.1
 Deinze ,44083,nee,Internetaansluiting in de woning,2020,0.95,0.05
 Denderleeuw ,41011,nee,Internetaansluiting in de woning,2017,0.94,0.06
 Denderleeuw ,41011,nee,Internetaansluiting in de woning,2020,0.98,0.02
 Dendermonde ,42006,nee,Internetaansluiting in de woning,2017,0.92,0.08
 Dendermonde ,42006,nee,Internetaansluiting in de woning,2020,0.96,0.04
 Dentergem ,37002,nee,Internetaansluiting in de woning,2017,0.9,0.1
 Dentergem ,37002,nee,Internetaansluiting in de woning,2020,0.96,0.04
 Dessel ,13006,nee,Internetaansluiting in de woning,2017,0.9,0.1
 Dessel ,13006,nee,Internetaansluiting in de woning,2020,0.97,0.03
 Destelbergen ,44013,nee,Internetaansluiting in de woning,2017,0.94,0.06
 Destelbergen ,44013,nee,Internetaansluiting in de woning,2020,0.98,0.02
 Diepenbeek ,71011,nee,Internetaansluiting in de woning,2017,0.94,0.06
 Diepenbeek ,71011,nee,Internetaansluiting in de woning,2020,0.98,0.02
 Diest ,24020,nee,Internetaansluiting in de woning,2017,0.92,0.08
 Diest ,24020,nee,Internetaansluiting in de woning,2020,0.97,0.03
 Diksmuide ,32003,nee,Internetaansluiting in de woning,2017,0.9,0.1
 Diksmuide ,32003,nee,Internetaansluiting in de woning,2020,0.96,0.04
 Dilbeek ,23016,nee,Internetaansluiting in de woning,2017,0.93,0.07
 Dilbeek ,23016,nee,Internetaansluiting in de woning,2020,0.96,0.04
 Dilsen-Stokkem ,72041,nee,Internetaansluiting in de woning,2017,0.88,0.12
 Dilsen-Stokkem ,72041,nee,Internetaansluiting in de woning,2020,0.95,0.05
 Drogenbos ,23098,nee,Internetaansluiting in de woning,2017,0.89,0.11
