Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,Ja (%),Nee (%)
 Aalst ,41002,ja,Duurzaamheid van de woning (detail),Dubbel glas of driedubbel glas,2011,0.86,0.14
 Aalst ,41002,ja,Duurzaamheid van de woning (detail),Dubbel glas of driedubbel glas,2014,0.91,0.09
 Aalst ,41002,ja,Duurzaamheid van de woning (detail),Dubbel glas of driedubbel glas,2017,0.92,0.08
 Aalst ,41002,ja,Duurzaamheid van de woning (detail),Dubbel glas of driedubbel glas,2020,0.93,0.07
 Aalst ,41002,ja,Duurzaamheid van de woning (detail),Energiezuinige ketel,2011,0.52,0.48
 Aalst ,41002,ja,Duurzaamheid van de woning (detail),Energiezuinige ketel,2014,0.59,0.41
 Aalst ,41002,ja,Duurzaamheid van de woning (detail),Energiezuinige ketel,2017,0.64,0.36
 Aalst ,41002,ja,Duurzaamheid van de woning (detail),Energiezuinige ketel,2020,0.68,0.32
 Aalst ,41002,ja,Duurzaamheid van de woning (detail),Gebruik regenwater,2011,0.24,0.76
 Aalst ,41002,ja,Duurzaamheid van de woning (detail),Gebruik regenwater,2014,0.23,0.77
 Aalst ,41002,ja,Duurzaamheid van de woning (detail),Gebruik regenwater,2017,0.26,0.74
 Aalst ,41002,ja,Duurzaamheid van de woning (detail),Gebruik regenwater,2020,0.32,0.68
 Aalst ,41002,ja,Duurzaamheid van de woning (detail),Groen dak,2011,0.01,0.99
 Aalst ,41002,ja,Duurzaamheid van de woning (detail),Groen dak,2014,0.02,0.98
 Aalst ,41002,ja,Duurzaamheid van de woning (detail),Groen dak,2017,0.03,0.97
 Aalst ,41002,ja,Duurzaamheid van de woning (detail),Groen dak,2020,0.02,0.98
 Aalst ,41002,ja,Duurzaamheid van de woning (detail),Isolatie dak,2011,0.7,0.3
 Aalst ,41002,ja,Duurzaamheid van de woning (detail),Isolatie dak,2014,0.75,0.25
 Aalst ,41002,ja,Duurzaamheid van de woning (detail),Isolatie dak,2017,0.81,0.19
 Aalst ,41002,ja,Duurzaamheid van de woning (detail),Isolatie dak,2020,0.87,0.13
 Aalst ,41002,ja,Duurzaamheid van de woning (detail),Isolatie muren,2020,0.63,0.37
 Aalst ,41002,ja,Duurzaamheid van de woning (detail),Warmtepomp,2020,0.16,0.84
 Aalst ,41002,ja,Duurzaamheid van de woning (detail),Zonneboiler,2011,0.01,0.99
 Aalst ,41002,ja,Duurzaamheid van de woning (detail),Zonneboiler,2014,0.04,0.96
 Aalst ,41002,ja,Duurzaamheid van de woning (detail),Zonneboiler,2017,0.04,0.96
 Aalst ,41002,ja,Duurzaamheid van de woning (detail),Zonneboiler,2020,0.05,0.95
 Aalst ,41002,ja,Duurzaamheid van de woning (detail),Zonnepanelen,2011,0.06,0.94
 Aalst ,41002,ja,Duurzaamheid van de woning (detail),Zonnepanelen,2014,0.11,0.89
 Aalst ,41002,ja,Duurzaamheid van de woning (detail),Zonnepanelen,2017,0.16,0.84
 Aalst ,41002,ja,Duurzaamheid van de woning (detail),Zonnepanelen,2020,0.28,0.72
 Aalter ,44001,nee,Duurzaamheid van de woning (detail),Dubbel glas of driedubbel glas,2017,0.94,0.06
 Aalter ,44084,nee,Duurzaamheid van de woning (detail),Dubbel glas of driedubbel glas,2020,0.97,0.03
 Aalter ,44001,nee,Duurzaamheid van de woning (detail),Energiezuinige ketel,2017,0.51,0.49
 Aalter ,44084,nee,Duurzaamheid van de woning (detail),Energiezuinige ketel,2020,0.65,0.35
 Aalter ,44001,nee,Duurzaamheid van de woning (detail),Gebruik regenwater,2017,0.66,0.34
 Aalter ,44084,nee,Duurzaamheid van de woning (detail),Gebruik regenwater,2020,0.62,0.38
 Aalter ,44001,nee,Duurzaamheid van de woning (detail),Groen dak,2017,0.03,0.97
 Aalter ,44084,nee,Duurzaamheid van de woning (detail),Groen dak,2020,0.04,0.96
 Aalter ,44001,nee,Duurzaamheid van de woning (detail),Isolatie dak,2017,0.87,0.13
 Aalter ,44084,nee,Duurzaamheid van de woning (detail),Isolatie dak,2020,0.9,0.1
 Aalter ,44084,nee,Duurzaamheid van de woning (detail),Isolatie muren,2020,0.73,0.27
 Aalter ,44084,nee,Duurzaamheid van de woning (detail),Warmtepomp,2020,0.19,0.81
 Aalter ,44001,nee,Duurzaamheid van de woning (detail),Zonneboiler,2017,0.08,0.92
 Aalter ,44084,nee,Duurzaamheid van de woning (detail),Zonneboiler,2020,0.09,0.91
 Aalter ,44001,nee,Duurzaamheid van de woning (detail),Zonnepanelen,2017,0.19,0.81
 Aalter ,44084,nee,Duurzaamheid van de woning (detail),Zonnepanelen,2020,0.33,0.67
 Aarschot ,24001,nee,Duurzaamheid van de woning (detail),Dubbel glas of driedubbel glas,2017,0.9,0.1
 Aarschot ,24001,nee,Duurzaamheid van de woning (detail),Dubbel glas of driedubbel glas,2020,0.93,0.07
 Aarschot ,24001,nee,Duurzaamheid van de woning (detail),Energiezuinige ketel,2017,0.53,0.47
 Aarschot ,24001,nee,Duurzaamheid van de woning (detail),Energiezuinige ketel,2020,0.67,0.33
 Aarschot ,24001,nee,Duurzaamheid van de woning (detail),Gebruik regenwater,2017,0.4,0.6
 Aarschot ,24001,nee,Duurzaamheid van de woning (detail),Gebruik regenwater,2020,0.35,0.65
 Aarschot ,24001,nee,Duurzaamheid van de woning (detail),Groen dak,2017,0.01,0.99
 Aarschot ,24001,nee,Duurzaamheid van de woning (detail),Groen dak,2020,0.02,0.98
