Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,5 jaar of minder (%),6 tot en met 10 jaar (%),Meer dan 10 jaar (%)
 As ,71002,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.14,0.09,0.77
 As ,71002,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.17,0.08,0.76
 Asse ,23002,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.25,0.13,0.62
 Asse ,23002,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.28,0.16,0.57
 Asse ,23002,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.15,0.1,0.76
 Asse ,23002,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.19,0.12,0.68
 Assenede ,43002,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.26,0.14,0.6
 Assenede ,43002,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.28,0.09,0.63
 Assenede ,43002,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.14,0.09,0.77
 Assenede ,43002,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.13,0.08,0.8
 Avelgem ,34003,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.21,0.1,0.69
 Avelgem ,34003,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.25,0.17,0.58
 Avelgem ,34003,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.14,0.07,0.79
 Avelgem ,34003,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.15,0.11,0.73
 Baarle-Hertog ,13002,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.2,0.17,0.63
 Baarle-Hertog ,13002,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.35,0.12,0.53
 Baarle-Hertog ,13002,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.13,0.1,0.78
 Baarle-Hertog ,13002,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.21,0.09,0.69
 Balen ,13003,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.23,0.14,0.63
 Balen ,13003,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.21,0.15,0.64
