Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,5 jaar of minder (%),6 tot en met 10 jaar (%),Meer dan 10 jaar (%)
 Diksmuide ,32003,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.11,0.09,0.8
 Dilbeek ,23016,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.26,0.13,0.61
 Dilbeek ,23016,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.28,0.15,0.57
 Dilbeek ,23016,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.17,0.08,0.75
 Dilbeek ,23016,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.16,0.12,0.72
 Dilsen-Stokkem ,72041,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.2,0.15,0.66
 Dilsen-Stokkem ,72041,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.21,0.14,0.65
 Dilsen-Stokkem ,72041,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.11,0.08,0.81
 Dilsen-Stokkem ,72041,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.11,0.08,0.81
 Drogenbos ,23098,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.26,0.15,0.59
 Drogenbos ,23098,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.4,0.2,0.39
 Drogenbos ,23098,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.25,0.08,0.66
 Drogenbos ,23098,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.34,0.22,0.44
 Duffel ,12009,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.26,0.13,0.61
 Duffel ,12009,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.28,0.16,0.56
 Duffel ,12009,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.15,0.1,0.75
 Duffel ,12009,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.17,0.12,0.71
 Edegem ,11013,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.28,0.13,0.59
 Edegem ,11013,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.28,0.17,0.55
 Edegem ,11013,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.2,0.11,0.69
 Edegem ,11013,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.21,0.12,0.67
 Eeklo ,43005,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.28,0.15,0.58
 Eeklo ,43005,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.34,0.12,0.54
 Eeklo ,43005,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.16,0.1,0.73
 Eeklo ,43005,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.21,0.06,0.73
 Erpe-Mere ,41082,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.23,0.1,0.67
 Erpe-Mere ,41082,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.24,0.12,0.64
 Erpe-Mere ,41082,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.14,0.09,0.77
 Erpe-Mere ,41082,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.15,0.08,0.77
 Essen ,11016,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.24,0.16,0.6
 Essen ,11016,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.28,0.12,0.6
 Essen ,11016,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.09,0.11,0.8
 Essen ,11016,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.13,0.07,0.8
 Evergem ,44019,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.25,0.1,0.65
 Evergem ,44019,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.24,0.16,0.6
 Evergem ,44019,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.13,0.05,0.82
 Evergem ,44019,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.13,0.09,0.78
 Galmaarden ,23023,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.23,0.16,0.61
 Galmaarden ,23023,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.21,0.15,0.64
 Galmaarden ,23023,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.14,0.12,0.75
 Galmaarden ,23023,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.16,0.11,0.73
 Gavere ,44020,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.23,0.11,0.65
 Gavere ,44020,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.23,0.07,0.7
 Gavere ,44020,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.17,0.11,0.73
 Gavere ,44020,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.15,0.06,0.79
 Geel ,13008,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.29,0.14,0.57
 Geel ,13008,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.28,0.13,0.59
 Geel ,13008,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.14,0.1,0.76
 Geel ,13008,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.14,0.08,0.78
 Geetbets ,24028,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.22,0.11,0.67
 Geetbets ,24028,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.24,0.06,0.71
 Geetbets ,24028,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.2,0.07,0.73
 Geetbets ,24028,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.17,0.06,0.77
 Genk ,71016,ja,Woonduur gemeente en buurt,Woonduur: adres,2014,0.24,0.13,0.63
 Genk ,71016,ja,Woonduur gemeente en buurt,Woonduur: adres,2017,0.23,0.14,0.63
 Genk ,71016,ja,Woonduur gemeente en buurt,Woonduur: adres,2020,0.25,0.12,0.63
 Genk ,71016,ja,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2014,0.08,0.06,0.86
 Genk ,71016,ja,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.09,0.06,0.85
 Genk ,71016,ja,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.1,0.05,0.85
 Gent ,44021,ja,Woonduur gemeente en buurt,Woonduur: adres,2014,0.34,0.16,0.49
 Gent ,44021,ja,Woonduur gemeente en buurt,Woonduur: adres,2017,0.37,0.16,0.47
 Gent ,44021,ja,Woonduur gemeente en buurt,Woonduur: adres,2020,0.41,0.15,0.43
 Gent ,44021,ja,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2014,0.12,0.14,0.73
 Gent ,44021,ja,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.15,0.12,0.73
 Gent ,44021,ja,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.17,0.12,0.71
 Geraardsbergen ,41018,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.25,0.13,0.62
 Geraardsbergen ,41018,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.29,0.16,0.54
 Geraardsbergen ,41018,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.16,0.06,0.78
 Geraardsbergen ,41018,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.18,0.11,0.71
 Gingelom ,71017,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.22,0.14,0.65
 Gingelom ,71017,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.18,0.15,0.67
 Gingelom ,71017,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.16,0.11,0.73
 Gingelom ,71017,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.12,0.11,0.77
 Gistel ,35005,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.2,0.15,0.65
 Gistel ,35005,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.23,0.13,0.63
 Gistel ,35005,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.14,0.11,0.75
 Gistel ,35005,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.15,0.11,0.73
 Glabbeek ,24137,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.18,0.1,0.72
 Glabbeek ,24137,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.19,0.13,0.69
 Glabbeek ,24137,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.14,0.08,0.78
 Glabbeek ,24137,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.14,0.11,0.75
 Gooik ,23024,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.21,0.12,0.67
 Gooik ,23024,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.18,0.13,0.69
 Gooik ,23024,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.15,0.08,0.77
 Gooik ,23024,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.12,0.09,0.79
 Grimbergen ,23025,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.21,0.14,0.64
 Grimbergen ,23025,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.27,0.19,0.55
 Grimbergen ,23025,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.15,0.11,0.74
 Grimbergen ,23025,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.16,0.13,0.71
 Grobbendonk ,13010,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.22,0.14,0.64
 Grobbendonk ,13010,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.22,0.13,0.65
 Grobbendonk ,13010,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.15,0.09,0.76
 Grobbendonk ,13010,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.14,0.1,0.76
 Haacht ,24033,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.21,0.12,0.67
 Haacht ,24033,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.27,0.12,0.61
 Haacht ,24033,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.15,0.1,0.75
 Haacht ,24033,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.21,0.09,0.7
 Haaltert ,41024,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.23,0.09,0.68
 Haaltert ,41024,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.25,0.11,0.63
 Haaltert ,41024,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.13,0.06,0.81
 Haaltert ,41024,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.17,0.06,0.77
 Halen ,71020,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.19,0.17,0.64
 Halen ,71020,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.24,0.12,0.64
 Halen ,71020,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.15,0.11,0.74
 Halen ,71020,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.14,0.1,0.76
 Halle ,23027,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.3,0.16,0.55
 Halle ,23027,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.29,0.21,0.51
 Halle ,23027,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.14,0.11,0.76
 Halle ,23027,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.16,0.11,0.73
 Ham ,71069,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.23,0.13,0.64
 Ham ,71069,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.27,0.14,0.59
 Ham ,71069,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.13,0.09,0.78
 Ham ,71069,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.17,0.1,0.72
 Hamme ,42008,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.27,0.15,0.59
 Hamme ,42008,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.34,0.1,0.56
 Hamme ,42008,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.12,0.09,0.79
 Hamme ,42008,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.12,0.06,0.83
 Hamont-Achel ,72037,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.2,0.11,0.69
 Hamont-Achel ,72037,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.22,0.08,0.7
 Hamont-Achel ,72037,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.1,0.07,0.83
 Hamont-Achel ,72037,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.13,0.05,0.82
 Harelbeke ,34013,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.25,0.12,0.63
 Harelbeke ,34013,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.27,0.13,0.6
 Harelbeke ,34013,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.17,0.08,0.76
 Harelbeke ,34013,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.16,0.1,0.74
 Hasselt ,71022,ja,Woonduur gemeente en buurt,Woonduur: adres,2014,0.29,0.13,0.58
 Hasselt ,71022,ja,Woonduur gemeente en buurt,Woonduur: adres,2017,0.26,0.17,0.57
 Hasselt ,71022,ja,Woonduur gemeente en buurt,Woonduur: adres,2020,0.32,0.14,0.54
 Hasselt ,71022,ja,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2014,0.14,0.12,0.74
 Hasselt ,71022,ja,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.14,0.09,0.77
 Hasselt ,71022,ja,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.15,0.09,0.75
 Hechtel-Eksel ,72038,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.17,0.14,0.69
 Hechtel-Eksel ,72038,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.2,0.11,0.69
 Hechtel-Eksel ,72038,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.09,0.08,0.83
 Hechtel-Eksel ,72038,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.1,0.08,0.82
 Heers ,73022,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.19,0.12,0.69
 Heers ,73022,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.24,0.13,0.62
 Heers ,73022,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.15,0.08,0.78
 Heers ,73022,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.14,0.09,0.77
 Heist-Op-Den-Berg ,12014,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.26,0.14,0.6
 Heist-Op-Den-Berg ,12014,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.26,0.15,0.59
 Heist-Op-Den-Berg ,12014,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.14,0.08,0.78
 Heist-Op-Den-Berg ,12014,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.13,0.1,0.77
 Hemiksem ,11018,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.32,0.15,0.53
 Hemiksem ,11018,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.31,0.21,0.48
 Hemiksem ,11018,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.19,0.12,0.69
 Hemiksem ,11018,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.22,0.16,0.62
 Herent ,24038,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.23,0.17,0.6
 Herent ,24038,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.28,0.13,0.59
 Herent ,24038,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.16,0.14,0.7
 Herent ,24038,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.21,0.1,0.69
 Herentals ,13011,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.25,0.2,0.56
 Herentals ,13011,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.29,0.13,0.57
 Herentals ,13011,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.12,0.09,0.78
 Herentals ,13011,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.12,0.1,0.78
 Herenthout ,13012,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.2,0.13,0.68
 Herenthout ,13012,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.23,0.12,0.65
 Herenthout ,13012,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.09,0.07,0.84
 Herenthout ,13012,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.1,0.08,0.82
 Herk-De-Stad ,71024,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.21,0.16,0.64
 Herk-De-Stad ,71024,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.21,0.13,0.66
 Herk-De-Stad ,71024,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.12,0.09,0.79
 Herk-De-Stad ,71024,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.16,0.1,0.74
 Herne ,23032,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.22,0.09,0.68
 Herne ,23032,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.22,0.12,0.66
 Herne ,23032,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.14,0.08,0.78
 Herne ,23032,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.18,0.09,0.73
 Herselt ,13013,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.18,0.12,0.7
 Herselt ,13013,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.22,0.1,0.68
 Herselt ,13013,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.11,0.08,0.81
 Herselt ,13013,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.16,0.08,0.76
 Herzele ,41027,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.22,0.13,0.65
 Herzele ,41027,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.24,0.09,0.67
 Herzele ,41027,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.13,0.08,0.79
 Herzele ,41027,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.17,0.07,0.76
 Heusden-Zolder ,71070,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.23,0.12,0.65
 Heusden-Zolder ,71070,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.28,0.13,0.58
 Heusden-Zolder ,71070,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.14,0.07,0.79
 Heusden-Zolder ,71070,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.15,0.09,0.77
 Heuvelland ,33039,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.2,0.13,0.67
 Heuvelland ,33039,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.23,0.12,0.65
 Heuvelland ,33039,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.13,0.09,0.79
 Heuvelland ,33039,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.15,0.09,0.76
 Hoegaarden ,24041,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.28,0.18,0.54
 Hoegaarden ,24041,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.23,0.14,0.63
 Hoegaarden ,24041,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.18,0.18,0.63
 Hoegaarden ,24041,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.15,0.12,0.73
 Hoeilaart ,23033,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.26,0.15,0.59
 Hoeilaart ,23033,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.28,0.15,0.57
 Hoeilaart ,23033,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.18,0.12,0.69
 Hoeilaart ,23033,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.17,0.15,0.68
 Hoeselt ,73032,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.24,0.14,0.62
 Hoeselt ,73032,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.2,0.11,0.69
 Hoeselt ,73032,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.15,0.11,0.73
 Hoeselt ,73032,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.11,0.05,0.84
 Holsbeek ,24043,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.18,0.13,0.69
 Holsbeek ,24043,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.19,0.12,0.68
 Holsbeek ,24043,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.13,0.09,0.78
 Holsbeek ,24043,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.16,0.1,0.74
 Hooglede ,36006,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.2,0.1,0.69
 Hooglede ,36006,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.18,0.14,0.68
 Hooglede ,36006,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.12,0.07,0.81
 Hooglede ,36006,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.12,0.1,0.78
 Hoogstraten ,13014,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.26,0.14,0.6
 Hoogstraten ,13014,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.23,0.17,0.6
 Hoogstraten ,13014,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.13,0.09,0.78
 Hoogstraten ,13014,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.09,0.09,0.81
 Horebeke ,45062,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.14,0.13,0.74
 Horebeke ,45062,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.25,0.08,0.67
 Horebeke ,45062,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.13,0.11,0.77
 Horebeke ,45062,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.22,0.07,0.71
 Houthalen-Helchteren ,72039,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.19,0.15,0.66
 Houthalen-Helchteren ,72039,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.18,0.1,0.72
 Houthalen-Helchteren ,72039,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.08,0.1,0.83
 Houthalen-Helchteren ,72039,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.09,0.06,0.86
 Houthulst ,32006,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.23,0.14,0.63
 Houthulst ,32006,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.19,0.15,0.66
 Houthulst ,32006,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.14,0.11,0.74
 Houthulst ,32006,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.14,0.1,0.76
 Hove ,11021,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.21,0.15,0.65
 Hove ,11021,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.23,0.14,0.63
 Hove ,11021,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.16,0.13,0.72
 Hove ,11021,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.17,0.12,0.71
 Huldenberg ,24045,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.24,0.18,0.58
 Huldenberg ,24045,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.23,0.13,0.65
 Huldenberg ,24045,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.16,0.14,0.7
 Huldenberg ,24045,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.15,0.09,0.76
 Hulshout ,13016,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.22,0.16,0.62
 Hulshout ,13016,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.25,0.15,0.6
 Hulshout ,13016,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.13,0.13,0.74
 Hulshout ,13016,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.18,0.1,0.72
 Ichtegem ,35006,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.22,0.14,0.64
 Ichtegem ,35006,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.23,0.11,0.65
 Ichtegem ,35006,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.13,0.12,0.75
 Ichtegem ,35006,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.16,0.06,0.78
 Ieper ,33011,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.24,0.14,0.62
 Ieper ,33011,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.28,0.13,0.59
 Ieper ,33011,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.12,0.07,0.81
 Ieper ,33011,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.11,0.07,0.81
 Ingelmunster ,36007,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.2,0.15,0.65
 Ingelmunster ,36007,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.26,0.13,0.61
 Ingelmunster ,36007,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.12,0.09,0.78
 Ingelmunster ,36007,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.15,0.09,0.76
 Izegem ,36008,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.22,0.17,0.61
 Izegem ,36008,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.25,0.12,0.63
 Izegem ,36008,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.13,0.09,0.78
 Izegem ,36008,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.16,0.06,0.78
 Jabbeke ,31012,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.19,0.14,0.68
 Jabbeke ,31012,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.2,0.09,0.71
 Jabbeke ,31012,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.12,0.1,0.78
 Jabbeke ,31012,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.14,0.07,0.79
 Kalmthout ,11022,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.25,0.17,0.58
 Kalmthout ,11022,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.24,0.18,0.58
