Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Oneens (%),Neutraal (%),Eens (%)
 Aalst ,41002,ja,Graag wonen in de gemeente,2014,0.06,0.1,0.84
 Aalst ,41002,ja,Graag wonen in de gemeente,2017,0.06,0.1,0.84
 Aalst ,41002,ja,Graag wonen in de gemeente,2020,0.05,0.08,0.87
 Aalter ,44001,nee,Graag wonen in de gemeente,2017,0.01,0.03,0.95
 Aalter ,44084,nee,Graag wonen in de gemeente,2020,0.02,0.05,0.93
 Aarschot ,24001,nee,Graag wonen in de gemeente,2017,0.03,0.06,0.91
 Aarschot ,24001,nee,Graag wonen in de gemeente,2020,0.03,0.08,0.89
 Aartselaar ,11001,nee,Graag wonen in de gemeente,2017,0.02,0.05,0.94
 Aartselaar ,11001,nee,Graag wonen in de gemeente,2020,0.03,0.06,0.91
 Affligem ,23105,nee,Graag wonen in de gemeente,2017,0.02,0.07,0.9
 Affligem ,23105,nee,Graag wonen in de gemeente,2020,0.03,0.06,0.91
 Alken ,73001,nee,Graag wonen in de gemeente,2017,0.02,0.06,0.93
 Alken ,73001,nee,Graag wonen in de gemeente,2020,0.01,0.03,0.96
 Alveringem ,38002,nee,Graag wonen in de gemeente,2017,0.04,0.06,0.9
 Alveringem ,38002,nee,Graag wonen in de gemeente,2020,0.01,0.07,0.92
 Antwerpen ,11002,ja,Graag wonen in de gemeente,2014,0.06,0.09,0.85
 Antwerpen ,11002,ja,Graag wonen in de gemeente,2017,0.06,0.1,0.84
 Antwerpen ,11002,ja,Graag wonen in de gemeente,2020,0.08,0.07,0.85
 Anzegem ,34002,nee,Graag wonen in de gemeente,2017,0.02,0.05,0.94
 Anzegem ,34002,nee,Graag wonen in de gemeente,2020,0.02,0.04,0.94
 Ardooie ,37020,nee,Graag wonen in de gemeente,2017,0.02,0.07,0.92
 Ardooie ,37020,nee,Graag wonen in de gemeente,2020,0.02,0.05,0.93
 Arendonk ,13001,nee,Graag wonen in de gemeente,2017,0.03,0.03,0.94
 Arendonk ,13001,nee,Graag wonen in de gemeente,2020,0.03,0.04,0.93
 As ,71002,nee,Graag wonen in de gemeente,2017,0.02,0.05,0.93
