Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,Ja (%),Nee (%)
 Aalst ,41002,ja,Private buitenruimte of garage,Balkon / koer / terras /patio,2011,0.88,0.12
 Aalst ,41002,ja,Private buitenruimte of garage,Balkon / koer / terras /patio,2014,0.91,0.09
 Aalst ,41002,ja,Private buitenruimte of garage,Balkon / koer / terras /patio,2017,0.9,0.1
 Aalst ,41002,ja,Private buitenruimte of garage,Balkon / koer / terras /patio,2020,0.87,0.13
 Aalst ,41002,ja,Private buitenruimte of garage,Garage / autobox / privé standplaats / carport,2011,0.73,0.27
 Aalst ,41002,ja,Private buitenruimte of garage,Garage / autobox / privé standplaats / carport,2014,0.73,0.27
 Aalst ,41002,ja,Private buitenruimte of garage,Garage / autobox / privé standplaats / carport,2017,0.73,0.27
 Aalst ,41002,ja,Private buitenruimte of garage,Garage / autobox / privé standplaats / carport,2020,0.77,0.23
 Aalst ,41002,ja,Private buitenruimte of garage,Tuin voor eigen gebruik / gedeeld gebruik,2011,0.76,0.24
 Aalst ,41002,ja,Private buitenruimte of garage,Tuin voor eigen gebruik / gedeeld gebruik,2014,0.76,0.24
 Aalst ,41002,ja,Private buitenruimte of garage,Tuin voor eigen gebruik / gedeeld gebruik,2017,0.75,0.25
 Aalst ,41002,ja,Private buitenruimte of garage,Tuin voor eigen gebruik / gedeeld gebruik,2020,0.8,0.2
 Aalter ,44001,nee,Private buitenruimte of garage,Balkon / koer / terras /patio,2017,0.91,0.09
 Aalter ,44084,nee,Private buitenruimte of garage,Balkon / koer / terras /patio,2020,0.89,0.11
 Aalter ,44001,nee,Private buitenruimte of garage,Garage / autobox / privé standplaats / carport,2017,0.93,0.07
 Aalter ,44084,nee,Private buitenruimte of garage,Garage / autobox / privé standplaats / carport,2020,0.92,0.08
 Aalter ,44001,nee,Private buitenruimte of garage,Tuin voor eigen gebruik / gedeeld gebruik,2017,0.89,0.11
 Aalter ,44084,nee,Private buitenruimte of garage,Tuin voor eigen gebruik / gedeeld gebruik,2020,0.9,0.1
 Aarschot ,24001,nee,Private buitenruimte of garage,Balkon / koer / terras /patio,2017,0.92,0.08
 Aarschot ,24001,nee,Private buitenruimte of garage,Balkon / koer / terras /patio,2020,0.88,0.12
 Aarschot ,24001,nee,Private buitenruimte of garage,Garage / autobox / privé standplaats / carport,2017,0.9,0.1
 Aarschot ,24001,nee,Private buitenruimte of garage,Garage / autobox / privé standplaats / carport,2020,0.88,0.12
 Aarschot ,24001,nee,Private buitenruimte of garage,Tuin voor eigen gebruik / gedeeld gebruik,2017,0.87,0.13
 Aarschot ,24001,nee,Private buitenruimte of garage,Tuin voor eigen gebruik / gedeeld gebruik,2020,0.9,0.1
 Aartselaar ,11001,nee,Private buitenruimte of garage,Balkon / koer / terras /patio,2017,0.9,0.1
 Aartselaar ,11001,nee,Private buitenruimte of garage,Balkon / koer / terras /patio,2020,0.91,0.09
 Aartselaar ,11001,nee,Private buitenruimte of garage,Garage / autobox / privé standplaats / carport,2017,0.93,0.07
 Aartselaar ,11001,nee,Private buitenruimte of garage,Garage / autobox / privé standplaats / carport,2020,0.92,0.08
 Aartselaar ,11001,nee,Private buitenruimte of garage,Tuin voor eigen gebruik / gedeeld gebruik,2017,0.84,0.16
 Aartselaar ,11001,nee,Private buitenruimte of garage,Tuin voor eigen gebruik / gedeeld gebruik,2020,0.89,0.11
 Affligem ,23105,nee,Private buitenruimte of garage,Balkon / koer / terras /patio,2017,0.91,0.09
 Affligem ,23105,nee,Private buitenruimte of garage,Balkon / koer / terras /patio,2020,0.94,0.06
 Affligem ,23105,nee,Private buitenruimte of garage,Garage / autobox / privé standplaats / carport,2017,0.91,0.09
 Affligem ,23105,nee,Private buitenruimte of garage,Garage / autobox / privé standplaats / carport,2020,0.93,0.07
 Affligem ,23105,nee,Private buitenruimte of garage,Tuin voor eigen gebruik / gedeeld gebruik,2017,0.92,0.08
 Affligem ,23105,nee,Private buitenruimte of garage,Tuin voor eigen gebruik / gedeeld gebruik,2020,0.96,0.04
 Alken ,73001,nee,Private buitenruimte of garage,Balkon / koer / terras /patio,2017,0.94,0.06
 Alken ,73001,nee,Private buitenruimte of garage,Balkon / koer / terras /patio,2020,0.91,0.09
 Alken ,73001,nee,Private buitenruimte of garage,Garage / autobox / privé standplaats / carport,2017,0.97,0.03
 Alken ,73001,nee,Private buitenruimte of garage,Garage / autobox / privé standplaats / carport,2020,0.97,0.03
 Alken ,73001,nee,Private buitenruimte of garage,Tuin voor eigen gebruik / gedeeld gebruik,2017,0.93,0.07
 Alken ,73001,nee,Private buitenruimte of garage,Tuin voor eigen gebruik / gedeeld gebruik,2020,0.91,0.09
 Alveringem ,38002,nee,Private buitenruimte of garage,Balkon / koer / terras /patio,2017,0.93,0.07
 Alveringem ,38002,nee,Private buitenruimte of garage,Balkon / koer / terras /patio,2020,0.88,0.12
 Alveringem ,38002,nee,Private buitenruimte of garage,Garage / autobox / privé standplaats / carport,2017,0.9,0.1
 Alveringem ,38002,nee,Private buitenruimte of garage,Garage / autobox / privé standplaats / carport,2020,0.93,0.07
 Alveringem ,38002,nee,Private buitenruimte of garage,Tuin voor eigen gebruik / gedeeld gebruik,2017,0.94,0.06
 Alveringem ,38002,nee,Private buitenruimte of garage,Tuin voor eigen gebruik / gedeeld gebruik,2020,0.96,0.04
 Antwerpen ,11002,ja,Private buitenruimte of garage,Balkon / koer / terras /patio,2011,0.75,0.25
 Antwerpen ,11002,ja,Private buitenruimte of garage,Balkon / koer / terras /patio,2014,0.77,0.23
 Antwerpen ,11002,ja,Private buitenruimte of garage,Balkon / koer / terras /patio,2017,0.78,0.22
 Antwerpen ,11002,ja,Private buitenruimte of garage,Balkon / koer / terras /patio,2020,0.74,0.26
 Antwerpen ,11002,ja,Private buitenruimte of garage,Garage / autobox / privé standplaats / carport,2011,0.44,0.56
 Antwerpen ,11002,ja,Private buitenruimte of garage,Garage / autobox / privé standplaats / carport,2014,0.47,0.53
 Antwerpen ,11002,ja,Private buitenruimte of garage,Garage / autobox / privé standplaats / carport,2017,0.46,0.54
 Antwerpen ,11002,ja,Private buitenruimte of garage,Garage / autobox / privé standplaats / carport,2020,0.46,0.54
 Antwerpen ,11002,ja,Private buitenruimte of garage,Tuin voor eigen gebruik / gedeeld gebruik,2011,0.47,0.53
 Antwerpen ,11002,ja,Private buitenruimte of garage,Tuin voor eigen gebruik / gedeeld gebruik,2014,0.48,0.52
 Antwerpen ,11002,ja,Private buitenruimte of garage,Tuin voor eigen gebruik / gedeeld gebruik,2017,0.46,0.54
 Antwerpen ,11002,ja,Private buitenruimte of garage,Tuin voor eigen gebruik / gedeeld gebruik,2020,0.49,0.51
 Anzegem ,34002,nee,Private buitenruimte of garage,Balkon / koer / terras /patio,2017,0.94,0.06
 Anzegem ,34002,nee,Private buitenruimte of garage,Balkon / koer / terras /patio,2020,0.94,0.06
 Anzegem ,34002,nee,Private buitenruimte of garage,Garage / autobox / privé standplaats / carport,2017,0.95,0.05
 Anzegem ,34002,nee,Private buitenruimte of garage,Garage / autobox / privé standplaats / carport,2020,0.95,0.05
 Anzegem ,34002,nee,Private buitenruimte of garage,Tuin voor eigen gebruik / gedeeld gebruik,2017,0.91,0.09
 Anzegem ,34002,nee,Private buitenruimte of garage,Tuin voor eigen gebruik / gedeeld gebruik,2020,0.96,0.04
 Ardooie ,37020,nee,Private buitenruimte of garage,Balkon / koer / terras /patio,2017,0.94,0.06
 Ardooie ,37020,nee,Private buitenruimte of garage,Balkon / koer / terras /patio,2020,0.87,0.13
