Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Eigenaar (%),Huurder (%)
 Lierde ,45063,nee,Eigenaar/huurder van een woning,2017,0.94,0.06
 Lierde ,45063,nee,Eigenaar/huurder van een woning,2020,0.94,0.06
 Lievegem ,44085,nee,Eigenaar/huurder van een woning,2020,0.83,0.17
 Lille ,13019,nee,Eigenaar/huurder van een woning,2017,0.92,0.08
 Lille ,13019,nee,Eigenaar/huurder van een woning,2020,0.86,0.14
 Linkebeek ,23100,nee,Eigenaar/huurder van een woning,2017,0.84,0.16
 Linkebeek ,23100,nee,Eigenaar/huurder van een woning,2020,0.82,0.18
 Lint ,11025,nee,Eigenaar/huurder van een woning,2017,0.86,0.14
 Lint ,11025,nee,Eigenaar/huurder van een woning,2020,0.86,0.14
 Linter ,24133,nee,Eigenaar/huurder van een woning,2017,0.94,0.06
 Linter ,24133,nee,Eigenaar/huurder van een woning,2020,0.94,0.06
 Lochristi ,44034,nee,Eigenaar/huurder van een woning,2017,0.84,0.16
 Lochristi ,44034,nee,Eigenaar/huurder van een woning,2020,0.83,0.17
 Lokeren ,46014,nee,Eigenaar/huurder van een woning,2017,0.85,0.15
 Lokeren ,46014,nee,Eigenaar/huurder van een woning,2020,0.78,0.22
 Lommel ,72020,nee,Eigenaar/huurder van een woning,2017,0.84,0.16
 Lommel ,72020,nee,Eigenaar/huurder van een woning,2020,0.83,0.17
 Londerzeel ,23045,nee,Eigenaar/huurder van een woning,2017,0.87,0.13
 Londerzeel ,23045,nee,Eigenaar/huurder van een woning,2020,0.84,0.16
 Lo-Reninge ,32030,nee,Eigenaar/huurder van een woning,2017,0.88,0.12
 Lo-Reninge ,32030,nee,Eigenaar/huurder van een woning,2020,0.88,0.12
 Lovendegem ,44036,nee,Eigenaar/huurder van een woning,2017,0.82,0.18
 Lubbeek ,24066,nee,Eigenaar/huurder van een woning,2017,0.94,0.06
 Lubbeek ,24066,nee,Eigenaar/huurder van een woning,2020,0.91,0.09
 Lummen ,71037,nee,Eigenaar/huurder van een woning,2017,0.93,0.07
 Lummen ,71037,nee,Eigenaar/huurder van een woning,2020,0.9,0.1
 Maarkedal ,45064,nee,Eigenaar/huurder van een woning,2017,0.92,0.08
 Maarkedal ,45064,nee,Eigenaar/huurder van een woning,2020,0.93,0.07
 Maaseik ,72021,nee,Eigenaar/huurder van een woning,2017,0.87,0.13
 Maaseik ,72021,nee,Eigenaar/huurder van een woning,2020,0.84,0.16
 Maasmechelen ,73107,nee,Eigenaar/huurder van een woning,2017,0.84,0.16
 Maasmechelen ,73107,nee,Eigenaar/huurder van een woning,2020,0.8,0.2
 Machelen ,23047,nee,Eigenaar/huurder van een woning,2017,0.81,0.19
 Machelen ,23047,nee,Eigenaar/huurder van een woning,2020,0.74,0.26
 Maldegem ,43010,nee,Eigenaar/huurder van een woning,2017,0.81,0.19
 Maldegem ,43010,nee,Eigenaar/huurder van een woning,2020,0.81,0.19
 Malle ,11057,nee,Eigenaar/huurder van een woning,2017,0.82,0.18
 Malle ,11057,nee,Eigenaar/huurder van een woning,2020,0.83,0.17
 Mechelen ,12025,ja,Eigenaar/huurder van een woning,2008,0.74,0.26
 Mechelen ,12025,ja,Eigenaar/huurder van een woning,2011,0.73,0.27
 Mechelen ,12025,ja,Eigenaar/huurder van een woning,2014,0.78,0.22
 Mechelen ,12025,ja,Eigenaar/huurder van een woning,2017,0.78,0.22
 Mechelen ,12025,ja,Eigenaar/huurder van een woning,2020,0.81,0.19
 Meerhout ,13021,nee,Eigenaar/huurder van een woning,2017,0.9,0.1
 Meerhout ,13021,nee,Eigenaar/huurder van een woning,2020,0.87,0.13
 Meeuwen-Gruitrode ,72040,nee,Eigenaar/huurder van een woning,2017,0.93,0.07
 Meise ,23050,nee,Eigenaar/huurder van een woning,2017,0.81,0.19
 Meise ,23050,nee,Eigenaar/huurder van een woning,2020,0.85,0.15
 Melle ,44040,nee,Eigenaar/huurder van een woning,2017,0.88,0.12
 Melle ,44040,nee,Eigenaar/huurder van een woning,2020,0.87,0.13
 Menen ,34027,nee,Eigenaar/huurder van een woning,2017,0.87,0.13
 Menen ,34027,nee,Eigenaar/huurder van een woning,2020,0.83,0.17
 Merchtem ,23052,nee,Eigenaar/huurder van een woning,2017,0.84,0.16
 Merchtem ,23052,nee,Eigenaar/huurder van een woning,2020,0.87,0.13
 Merelbeke ,44043,nee,Eigenaar/huurder van een woning,2017,0.84,0.16
 Merelbeke ,44043,nee,Eigenaar/huurder van een woning,2020,0.86,0.14
 Merksplas ,13023,nee,Eigenaar/huurder van een woning,2017,0.86,0.14
 Merksplas ,13023,nee,Eigenaar/huurder van een woning,2020,0.83,0.17
 Mesen ,33016,nee,Eigenaar/huurder van een woning,2017,0.87,0.13
 Mesen ,33016,nee,Eigenaar/huurder van een woning,2020,0.79,0.21
 Meulebeke ,37007,nee,Eigenaar/huurder van een woning,2017,0.89,0.11
 Meulebeke ,37007,nee,Eigenaar/huurder van een woning,2020,0.9,0.1
 Middelkerke ,35011,nee,Eigenaar/huurder van een woning,2017,0.79,0.21
 Middelkerke ,35011,nee,Eigenaar/huurder van een woning,2020,0.76,0.24
 Moerbeke ,44045,nee,Eigenaar/huurder van een woning,2017,0.88,0.12
 Moerbeke ,44045,nee,Eigenaar/huurder van een woning,2020,0.86,0.14
 Mol ,13025,nee,Eigenaar/huurder van een woning,2017,0.83,0.17
 Mol ,13025,nee,Eigenaar/huurder van een woning,2020,0.82,0.18
 Moorslede ,36012,nee,Eigenaar/huurder van een woning,2017,0.91,0.09
 Moorslede ,36012,nee,Eigenaar/huurder van een woning,2020,0.87,0.13
 Mortsel ,11029,nee,Eigenaar/huurder van een woning,2017,0.81,0.19
 Mortsel ,11029,nee,Eigenaar/huurder van een woning,2020,0.76,0.24
 Nazareth ,44048,nee,Eigenaar/huurder van een woning,2017,0.82,0.18
 Nazareth ,44048,nee,Eigenaar/huurder van een woning,2020,0.86,0.14
 Neerpelt ,72025,nee,Eigenaar/huurder van een woning,2017,0.89,0.11
 Nevele ,44049,nee,Eigenaar/huurder van een woning,2017,0.86,0.14
 Niel ,11030,nee,Eigenaar/huurder van een woning,2017,0.87,0.13
 Niel ,11030,nee,Eigenaar/huurder van een woning,2020,0.86,0.14
 Nieuwerkerken ,71045,nee,Eigenaar/huurder van een woning,2017,0.93,0.07
 Nieuwerkerken ,71045,nee,Eigenaar/huurder van een woning,2020,0.91,0.09
 Nieuwpoort ,38016,nee,Eigenaar/huurder van een woning,2017,0.79,0.21
 Nieuwpoort ,38016,nee,Eigenaar/huurder van een woning,2020,0.71,0.29
 Nijlen ,12026,nee,Eigenaar/huurder van een woning,2017,0.87,0.13
 Nijlen ,12026,nee,Eigenaar/huurder van een woning,2020,0.92,0.08
 Ninove ,41048,nee,Eigenaar/huurder van een woning,2017,0.85,0.15
 Ninove ,41048,nee,Eigenaar/huurder van een woning,2020,0.83,0.17
 Olen ,13029,nee,Eigenaar/huurder van een woning,2017,0.87,0.13
 Olen ,13029,nee,Eigenaar/huurder van een woning,2020,0.83,0.17
 Oostende ,35013,ja,Eigenaar/huurder van een woning,2008,0.64,0.36
 Oostende ,35013,ja,Eigenaar/huurder van een woning,2011,0.66,0.34
 Oostende ,35013,ja,Eigenaar/huurder van een woning,2014,0.72,0.28
 Oostende ,35013,ja,Eigenaar/huurder van een woning,2017,0.69,0.31
 Oostende ,35013,ja,Eigenaar/huurder van een woning,2020,0.7,0.3
 Oosterzele ,44052,nee,Eigenaar/huurder van een woning,2017,0.9,0.1
 Oosterzele ,44052,nee,Eigenaar/huurder van een woning,2020,0.89,0.11
 Oostkamp ,31022,nee,Eigenaar/huurder van een woning,2017,0.87,0.13
 Oostkamp ,31022,nee,Eigenaar/huurder van een woning,2020,0.88,0.12
 Oostrozebeke ,37010,nee,Eigenaar/huurder van een woning,2017,0.9,0.1
 Oostrozebeke ,37010,nee,Eigenaar/huurder van een woning,2020,0.89,0.11
 Opglabbeek ,71047,nee,Eigenaar/huurder van een woning,2017,0.93,0.07
 Opwijk ,23060,nee,Eigenaar/huurder van een woning,2017,0.85,0.15
 Opwijk ,23060,nee,Eigenaar/huurder van een woning,2020,0.81,0.19
 Oudenaarde ,45035,nee,Eigenaar/huurder van een woning,2017,0.84,0.16
 Oudenaarde ,45035,nee,Eigenaar/huurder van een woning,2020,0.82,0.18
 Oudenburg ,35014,nee,Eigenaar/huurder van een woning,2017,0.89,0.11
 Oudenburg ,35014,nee,Eigenaar/huurder van een woning,2020,0.86,0.14
 Oud-Heverlee ,24086,nee,Eigenaar/huurder van een woning,2017,0.91,0.09
 Oud-Heverlee ,24086,nee,Eigenaar/huurder van een woning,2020,0.87,0.13
 Oudsbergen ,72042,nee,Eigenaar/huurder van een woning,2020,0.9,0.1
 Oud-Turnhout ,13031,nee,Eigenaar/huurder van een woning,2017,0.91,0.09
 Oud-Turnhout ,13031,nee,Eigenaar/huurder van een woning,2020,0.85,0.15
 Overijse ,23062,nee,Eigenaar/huurder van een woning,2017,0.86,0.14
 Overijse ,23062,nee,Eigenaar/huurder van een woning,2020,0.78,0.22
 Overpelt ,72029,nee,Eigenaar/huurder van een woning,2017,0.84,0.16
 Peer ,72030,nee,Eigenaar/huurder van een woning,2017,0.89,0.11
 Peer ,72030,nee,Eigenaar/huurder van een woning,2020,0.86,0.14
 Pelt ,72043,nee,Eigenaar/huurder van een woning,2020,0.85,0.15
 Pepingen ,23064,nee,Eigenaar/huurder van een woning,2017,0.93,0.07
 Pepingen ,23064,nee,Eigenaar/huurder van een woning,2020,0.91,0.09
 Pittem ,37011,nee,Eigenaar/huurder van een woning,2017,0.89,0.11
 Pittem ,37011,nee,Eigenaar/huurder van een woning,2020,0.85,0.15
 Poperinge ,33021,nee,Eigenaar/huurder van een woning,2017,0.88,0.12
 Poperinge ,33021,nee,Eigenaar/huurder van een woning,2020,0.89,0.11
 Putte ,12029,nee,Eigenaar/huurder van een woning,2017,0.87,0.13
 Putte ,12029,nee,Eigenaar/huurder van een woning,2020,0.83,0.17
 Puurs ,12030,nee,Eigenaar/huurder van een woning,2017,0.92,0.08
 Puurs-Sint-Amands ,12041,nee,Eigenaar/huurder van een woning,2020,0.89,0.11
 Ranst ,11035,nee,Eigenaar/huurder van een woning,2017,0.9,0.1
 Ranst ,11035,nee,Eigenaar/huurder van een woning,2020,0.88,0.12
 Ravels ,13035,nee,Eigenaar/huurder van een woning,2017,0.85,0.15
 Ravels ,13035,nee,Eigenaar/huurder van een woning,2020,0.83,0.17
 Retie ,13036,nee,Eigenaar/huurder van een woning,2017,0.89,0.11
 Retie ,13036,nee,Eigenaar/huurder van een woning,2020,0.87,0.13
 Riemst ,73066,nee,Eigenaar/huurder van een woning,2017,0.9,0.1
 Riemst ,73066,nee,Eigenaar/huurder van een woning,2020,0.87,0.13
 Rijkevorsel ,13037,nee,Eigenaar/huurder van een woning,2017,0.85,0.15
 Rijkevorsel ,13037,nee,Eigenaar/huurder van een woning,2020,0.86,0.14
 Roeselare ,36015,ja,Eigenaar/huurder van een woning,2008,0.81,0.19
 Roeselare ,36015,ja,Eigenaar/huurder van een woning,2011,0.83,0.17
 Roeselare ,36015,ja,Eigenaar/huurder van een woning,2014,0.79,0.21
 Roeselare ,36015,ja,Eigenaar/huurder van een woning,2017,0.8,0.2
 Roeselare ,36015,ja,Eigenaar/huurder van een woning,2020,0.82,0.18
 Ronse ,45041,nee,Eigenaar/huurder van een woning,2017,0.81,0.19
 Ronse ,45041,nee,Eigenaar/huurder van een woning,2020,0.85,0.15
 Roosdaal ,23097,nee,Eigenaar/huurder van een woning,2017,0.9,0.1
 Roosdaal ,23097,nee,Eigenaar/huurder van een woning,2020,0.9,0.1
 Rotselaar ,24094,nee,Eigenaar/huurder van een woning,2017,0.9,0.1
 Rotselaar ,24094,nee,Eigenaar/huurder van een woning,2020,0.89,0.11
 Ruiselede ,37012,nee,Eigenaar/huurder van een woning,2017,0.85,0.15
 Ruiselede ,37012,nee,Eigenaar/huurder van een woning,2020,0.87,0.13
 Rumst ,11037,nee,Eigenaar/huurder van een woning,2017,0.91,0.09
 Rumst ,11037,nee,Eigenaar/huurder van een woning,2020,0.85,0.15
 Schelle ,11038,nee,Eigenaar/huurder van een woning,2017,0.86,0.14
 Schelle ,11038,nee,Eigenaar/huurder van een woning,2020,0.84,0.16
 Scherpenheuvel-Zichem ,24134,nee,Eigenaar/huurder van een woning,2017,0.91,0.09
 Scherpenheuvel-Zichem ,24134,nee,Eigenaar/huurder van een woning,2020,0.89,0.11
 Schilde ,11039,nee,Eigenaar/huurder van een woning,2017,0.94,0.06
 Schilde ,11039,nee,Eigenaar/huurder van een woning,2020,0.92,0.08
 Schoten ,11040,nee,Eigenaar/huurder van een woning,2017,0.87,0.13
 Schoten ,11040,nee,Eigenaar/huurder van een woning,2020,0.86,0.14
 Sint-Amands ,12034,nee,Eigenaar/huurder van een woning,2017,0.86,0.14
 Sint-Genesius-Rode ,23101,nee,Eigenaar/huurder van een woning,2017,0.88,0.12
 Sint-Genesius-Rode ,23101,nee,Eigenaar/huurder van een woning,2020,0.81,0.19
 Sint-Gillis-Waas ,46020,nee,Eigenaar/huurder van een woning,2017,0.89,0.11
 Sint-Gillis-Waas ,46020,nee,Eigenaar/huurder van een woning,2020,0.88,0.12
 Sint-Katelijne-Waver ,12035,nee,Eigenaar/huurder van een woning,2017,0.91,0.09
 Sint-Katelijne-Waver ,12035,nee,Eigenaar/huurder van een woning,2020,0.89,0.11
 Sint-Laureins ,43014,nee,Eigenaar/huurder van een woning,2017,0.87,0.13
 Sint-Laureins ,43014,nee,Eigenaar/huurder van een woning,2020,0.84,0.16
 Sint-Lievens-Houtem ,41063,nee,Eigenaar/huurder van een woning,2017,0.93,0.07
 Sint-Lievens-Houtem ,41063,nee,Eigenaar/huurder van een woning,2020,0.9,0.1
 Sint-Martens-Latem ,44064,nee,Eigenaar/huurder van een woning,2017,0.89,0.11
 Sint-Martens-Latem ,44064,nee,Eigenaar/huurder van een woning,2020,0.83,0.17
 Sint-Niklaas ,46021,ja,Eigenaar/huurder van een woning,2008,0.77,0.23
 Sint-Niklaas ,46021,ja,Eigenaar/huurder van een woning,2011,0.77,0.23
 Sint-Niklaas ,46021,ja,Eigenaar/huurder van een woning,2014,0.76,0.24
 Sint-Niklaas ,46021,ja,Eigenaar/huurder van een woning,2017,0.77,0.23
 Sint-Niklaas ,46021,ja,Eigenaar/huurder van een woning,2020,0.76,0.24
 Sint-Pieters-Leeuw ,23077,nee,Eigenaar/huurder van een woning,2017,0.75,0.25
 Sint-Pieters-Leeuw ,23077,nee,Eigenaar/huurder van een woning,2020,0.79,0.21
 Sint-Truiden ,71053,nee,Eigenaar/huurder van een woning,2017,0.86,0.14
 Sint-Truiden ,71053,nee,Eigenaar/huurder van een woning,2020,0.83,0.17
 Spiere-Helkijn ,34043,nee,Eigenaar/huurder van een woning,2017,0.84,0.16
 Spiere-Helkijn ,34043,nee,Eigenaar/huurder van een woning,2020,0.82,0.18
 Stabroek ,11044,nee,Eigenaar/huurder van een woning,2017,0.88,0.12
 Stabroek ,11044,nee,Eigenaar/huurder van een woning,2020,0.82,0.18
 Staden ,36019,nee,Eigenaar/huurder van een woning,2017,0.9,0.1
 Staden ,36019,nee,Eigenaar/huurder van een woning,2020,0.84,0.16
 Steenokkerzeel ,23081,nee,Eigenaar/huurder van een woning,2017,0.91,0.09
 Steenokkerzeel ,23081,nee,Eigenaar/huurder van een woning,2020,0.89,0.11
 Stekene ,46024,nee,Eigenaar/huurder van een woning,2017,0.85,0.15
 Stekene ,46024,nee,Eigenaar/huurder van een woning,2020,0.84,0.16
 Temse ,46025,nee,Eigenaar/huurder van een woning,2017,0.79,0.21
 Temse ,46025,nee,Eigenaar/huurder van een woning,2020,0.86,0.14
 Ternat ,23086,nee,Eigenaar/huurder van een woning,2017,0.9,0.1
 Ternat ,23086,nee,Eigenaar/huurder van een woning,2020,0.88,0.12
 Tervuren ,24104,nee,Eigenaar/huurder van een woning,2017,0.82,0.18
 Tervuren ,24104,nee,Eigenaar/huurder van een woning,2020,0.74,0.26
 Tessenderlo ,71057,nee,Eigenaar/huurder van een woning,2017,0.89,0.11
 Tessenderlo ,71057,nee,Eigenaar/huurder van een woning,2020,0.86,0.14
 Tielt ,37015,nee,Eigenaar/huurder van een woning,2017,0.8,0.2
 Tielt ,37015,nee,Eigenaar/huurder van een woning,2020,0.82,0.18
 Tielt-Winge ,24135,nee,Eigenaar/huurder van een woning,2017,0.92,0.08
 Tielt-Winge ,24135,nee,Eigenaar/huurder van een woning,2020,0.89,0.11
 Tienen ,24107,nee,Eigenaar/huurder van een woning,2017,0.85,0.15
 Tienen ,24107,nee,Eigenaar/huurder van een woning,2020,0.82,0.18
 Tongeren ,73083,nee,Eigenaar/huurder van een woning,2017,0.85,0.15
 Tongeren ,73083,nee,Eigenaar/huurder van een woning,2020,0.83,0.17
 Torhout ,31033,nee,Eigenaar/huurder van een woning,2017,0.8,0.2
 Torhout ,31033,nee,Eigenaar/huurder van een woning,2020,0.83,0.17
 Tremelo ,24109,nee,Eigenaar/huurder van een woning,2017,0.89,0.11
 Tremelo ,24109,nee,Eigenaar/huurder van een woning,2020,0.88,0.12
 Turnhout ,13040,ja,Eigenaar/huurder van een woning,2008,0.72,0.28
 Turnhout ,13040,ja,Eigenaar/huurder van een woning,2011,0.74,0.26
 Turnhout ,13040,ja,Eigenaar/huurder van een woning,2014,0.74,0.26
 Turnhout ,13040,ja,Eigenaar/huurder van een woning,2017,0.74,0.26
 Turnhout ,13040,ja,Eigenaar/huurder van een woning,2020,0.73,0.27
 Veurne ,38025,nee,Eigenaar/huurder van een woning,2017,0.82,0.18
 Veurne ,38025,nee,Eigenaar/huurder van een woning,2020,0.82,0.18
 Vilvoorde ,23088,nee,Eigenaar/huurder van een woning,2017,0.82,0.18
 Vilvoorde ,23088,nee,Eigenaar/huurder van een woning,2020,0.79,0.21
 Vleteren ,33041,nee,Eigenaar/huurder van een woning,2017,0.9,0.1
 Vleteren ,33041,nee,Eigenaar/huurder van een woning,2020,0.83,0.17
 Voeren ,73109,nee,Eigenaar/huurder van een woning,2017,0.88,0.12
 Voeren ,73109,nee,Eigenaar/huurder van een woning,2020,0.83,0.17
 Vorselaar ,13044,nee,Eigenaar/huurder van een woning,2017,0.89,0.11
 Vorselaar ,13044,nee,Eigenaar/huurder van een woning,2020,0.87,0.13
 Vosselaar ,13046,nee,Eigenaar/huurder van een woning,2017,0.91,0.09
 Vosselaar ,13046,nee,Eigenaar/huurder van een woning,2020,0.89,0.11
 Waarschoot ,44072,nee,Eigenaar/huurder van een woning,2017,0.79,0.21
 Waasmunster ,42023,nee,Eigenaar/huurder van een woning,2017,0.85,0.15
 Waasmunster ,42023,nee,Eigenaar/huurder van een woning,2020,0.84,0.16
 Wachtebeke ,44073,nee,Eigenaar/huurder van een woning,2017,0.81,0.19
 Wachtebeke ,44073,nee,Eigenaar/huurder van een woning,2020,0.88,0.12
 Waregem ,34040,nee,Eigenaar/huurder van een woning,2017,0.86,0.14
 Waregem ,34040,nee,Eigenaar/huurder van een woning,2020,0.84,0.16
 Wellen ,73098,nee,Eigenaar/huurder van een woning,2017,0.9,0.1
 Wellen ,73098,nee,Eigenaar/huurder van een woning,2020,0.89,0.11
 Wemmel ,23102,nee,Eigenaar/huurder van een woning,2017,0.77,0.23
 Wemmel ,23102,nee,Eigenaar/huurder van een woning,2020,0.69,0.31
 Wervik ,33029,nee,Eigenaar/huurder van een woning,2017,0.84,0.16
 Wervik ,33029,nee,Eigenaar/huurder van een woning,2020,0.82,0.18
 Westerlo ,13049,nee,Eigenaar/huurder van een woning,2017,0.86,0.14
 Westerlo ,13049,nee,Eigenaar/huurder van een woning,2020,0.86,0.14
 Wetteren ,42025,nee,Eigenaar/huurder van een woning,2017,0.8,0.2
 Wetteren ,42025,nee,Eigenaar/huurder van een woning,2020,0.73,0.27
 Wevelgem ,34041,nee,Eigenaar/huurder van een woning,2017,0.91,0.09
 Wevelgem ,34041,nee,Eigenaar/huurder van een woning,2020,0.89,0.11
 Wezembeek-Oppem ,23103,nee,Eigenaar/huurder van een woning,2017,0.85,0.15
 Wezembeek-Oppem ,23103,nee,Eigenaar/huurder van een woning,2020,0.72,0.28
 Wichelen ,42026,nee,Eigenaar/huurder van een woning,2017,0.9,0.1
 Wichelen ,42026,nee,Eigenaar/huurder van een woning,2020,0.9,0.1
 Wielsbeke ,37017,nee,Eigenaar/huurder van een woning,2017,0.88,0.12
 Wielsbeke ,37017,nee,Eigenaar/huurder van een woning,2020,0.86,0.14
 Wijnegem ,11050,nee,Eigenaar/huurder van een woning,2017,0.87,0.13
 Wijnegem ,11050,nee,Eigenaar/huurder van een woning,2020,0.87,0.13
 Willebroek ,12040,nee,Eigenaar/huurder van een woning,2017,0.85,0.15
 Willebroek ,12040,nee,Eigenaar/huurder van een woning,2020,0.79,0.21
 Wingene ,37018,nee,Eigenaar/huurder van een woning,2017,0.9,0.1
 Wingene ,37018,nee,Eigenaar/huurder van een woning,2020,0.87,0.13
 Wommelgem ,11052,nee,Eigenaar/huurder van een woning,2017,0.86,0.14
 Wommelgem ,11052,nee,Eigenaar/huurder van een woning,2020,0.83,0.17
 Wortegem-Petegem ,45061,nee,Eigenaar/huurder van een woning,2017,0.92,0.08
 Wortegem-Petegem ,45061,nee,Eigenaar/huurder van een woning,2020,0.89,0.11
 Wuustwezel ,11053,nee,Eigenaar/huurder van een woning,2017,0.82,0.18
 Wuustwezel ,11053,nee,Eigenaar/huurder van een woning,2020,0.83,0.17
 Zandhoven ,11054,nee,Eigenaar/huurder van een woning,2017,0.91,0.09
 Zandhoven ,11054,nee,Eigenaar/huurder van een woning,2020,0.85,0.15
 Zaventem ,23094,nee,Eigenaar/huurder van een woning,2017,0.8,0.2
 Zaventem ,23094,nee,Eigenaar/huurder van een woning,2020,0.76,0.24
 Zedelgem ,31040,nee,Eigenaar/huurder van een woning,2017,0.89,0.11
 Zedelgem ,31040,nee,Eigenaar/huurder van een woning,2020,0.89,0.11
 Zele ,42028,nee,Eigenaar/huurder van een woning,2017,0.78,0.22
 Zele ,42028,nee,Eigenaar/huurder van een woning,2020,0.8,0.2
 Zelzate ,43018,nee,Eigenaar/huurder van een woning,2017,0.78,0.22
 Zelzate ,43018,nee,Eigenaar/huurder van een woning,2020,0.78,0.22
 Zemst ,23096,nee,Eigenaar/huurder van een woning,2017,0.9,0.1
 Zemst ,23096,nee,Eigenaar/huurder van een woning,2020,0.88,0.12
 Zingem ,45057,nee,Eigenaar/huurder van een woning,2017,0.88,0.12
 Zoersel ,11055,nee,Eigenaar/huurder van een woning,2017,0.92,0.08
 Zoersel ,11055,nee,Eigenaar/huurder van een woning,2020,0.86,0.14
 Zomergem ,44080,nee,Eigenaar/huurder van een woning,2017,0.82,0.18
 Zonhoven ,71066,nee,Eigenaar/huurder van een woning,2017,0.89,0.11
 Zonhoven ,71066,nee,Eigenaar/huurder van een woning,2020,0.9,0.1
 Zonnebeke ,33037,nee,Eigenaar/huurder van een woning,2017,0.85,0.15
 Zonnebeke ,33037,nee,Eigenaar/huurder van een woning,2020,0.83,0.17
 Zottegem ,41081,nee,Eigenaar/huurder van een woning,2017,0.9,0.1
 Zottegem ,41081,nee,Eigenaar/huurder van een woning,2020,0.9,0.1
 Zoutleeuw ,24130,nee,Eigenaar/huurder van een woning,2017,0.9,0.1
 Zoutleeuw ,24130,nee,Eigenaar/huurder van een woning,2020,0.91,0.09
 Zuienkerke ,31042,nee,Eigenaar/huurder van een woning,2017,0.86,0.14
 Zuienkerke ,31042,nee,Eigenaar/huurder van een woning,2020,0.88,0.12
 Zulte ,44081,nee,Eigenaar/huurder van een woning,2017,0.84,0.16
 Zulte ,44081,nee,Eigenaar/huurder van een woning,2020,0.83,0.17
 Zutendaal ,71067,nee,Eigenaar/huurder van een woning,2017,0.85,0.15
 Zutendaal ,71067,nee,Eigenaar/huurder van een woning,2020,0.82,0.18
 Zwalm ,45065,nee,Eigenaar/huurder van een woning,2017,0.92,0.08
 Zwalm ,45065,nee,Eigenaar/huurder van een woning,2020,0.9,0.1
 Zwevegem ,34042,nee,Eigenaar/huurder van een woning,2017,0.91,0.09
 Zwevegem ,34042,nee,Eigenaar/huurder van een woning,2020,0.88,0.12
 Zwijndrecht ,11056,nee,Eigenaar/huurder van een woning,2017,0.79,0.21
 Zwijndrecht ,11056,nee,Eigenaar/huurder van een woning,2020,0.81,0.19
13 centrumsteden,/,/,Eigenaar/huurder van een woning,2008,0.71,0.29
13 centrumsteden,/,/,Eigenaar/huurder van een woning,2011,0.72,0.28
13 centrumsteden,/,/,Eigenaar/huurder van een woning,2014,0.71,0.29
13 centrumsteden,/,/,Eigenaar/huurder van een woning,2017,0.72,0.28
13 centrumsteden,/,/,Eigenaar/huurder van een woning,2020,0.72,0.28
Gemeenten groter dan 50.000 inw.,/,/,Eigenaar/huurder van een woning,2017,0.72,0.28
Gemeenten groter dan 50.000 inw.,/,/,Eigenaar/huurder van een woning,2020,0.72,0.28
Gemeenten kleiner dan 10.000 inw.,/,/,Eigenaar/huurder van een woning,2017,0.89,0.11
Gemeenten kleiner dan 10.000 inw.,/,/,Eigenaar/huurder van een woning,2020,0.87,0.13
Gemeenten van 10.000 tot 20.000 inw.,/,/,Eigenaar/huurder van een woning,2017,0.88,0.12
Gemeenten van 10.000 tot 20.000 inw.,/,/,Eigenaar/huurder van een woning,2020,0.85,0.15
Gemeenten van 20.000 tot 30.000 inw.,/,/,Eigenaar/huurder van een woning,2017,0.85,0.15
Gemeenten van 20.000 tot 30.000 inw.,/,/,Eigenaar/huurder van een woning,2020,0.84,0.16
Gemeenten van 30.000 tot 50.000 inw.,/,/,Eigenaar/huurder van een woning,2017,0.84,0.16
Gemeenten van 30.000 tot 50.000 inw.,/,/,Eigenaar/huurder van een woning,2020,0.81,0.19
Vlaams Gewest,/,/,Eigenaar/huurder van een woning,2017,0.82,0.18
Vlaams Gewest,/,/,Eigenaar/huurder van een woning,2020,0.81,0.19
