Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Eigenaar (%),Huurder (%)
 Borgloon ,73009,nee,Eigenaar/huurder van een woning,2020,0.88,0.12
 Bornem ,12007,nee,Eigenaar/huurder van een woning,2017,0.85,0.15
 Bornem ,12007,nee,Eigenaar/huurder van een woning,2020,0.83,0.17
 Borsbeek ,11007,nee,Eigenaar/huurder van een woning,2017,0.73,0.27
 Borsbeek ,11007,nee,Eigenaar/huurder van een woning,2020,0.77,0.23
 Boutersem ,24016,nee,Eigenaar/huurder van een woning,2017,0.93,0.07
 Boutersem ,24016,nee,Eigenaar/huurder van een woning,2020,0.91,0.09
 Brakel ,45059,nee,Eigenaar/huurder van een woning,2017,0.93,0.07
 Brakel ,45059,nee,Eigenaar/huurder van een woning,2020,0.91,0.09
 Brasschaat ,11008,nee,Eigenaar/huurder van een woning,2017,0.87,0.13
 Brasschaat ,11008,nee,Eigenaar/huurder van een woning,2020,0.82,0.18
 Brecht ,11009,nee,Eigenaar/huurder van een woning,2017,0.86,0.14
 Brecht ,11009,nee,Eigenaar/huurder van een woning,2020,0.89,0.11
 Bredene ,35002,nee,Eigenaar/huurder van een woning,2017,0.83,0.17
 Bredene ,35002,nee,Eigenaar/huurder van een woning,2020,0.79,0.21
 Bree ,72004,nee,Eigenaar/huurder van een woning,2017,0.83,0.17
 Bree ,72004,nee,Eigenaar/huurder van een woning,2020,0.86,0.14
 Brugge ,31005,ja,Eigenaar/huurder van een woning,2008,0.77,0.23
 Brugge ,31005,ja,Eigenaar/huurder van een woning,2011,0.75,0.25
 Brugge ,31005,ja,Eigenaar/huurder van een woning,2014,0.75,0.25
 Brugge ,31005,ja,Eigenaar/huurder van een woning,2017,0.77,0.23
 Brugge ,31005,ja,Eigenaar/huurder van een woning,2020,0.79,0.21
 Buggenhout ,42004,nee,Eigenaar/huurder van een woning,2017,0.9,0.1
 Buggenhout ,42004,nee,Eigenaar/huurder van een woning,2020,0.81,0.19
 Damme ,31006,nee,Eigenaar/huurder van een woning,2017,0.84,0.16
 Damme ,31006,nee,Eigenaar/huurder van een woning,2020,0.9,0.1
 De Haan ,35029,nee,Eigenaar/huurder van een woning,2017,0.84,0.16
 De Haan ,35029,nee,Eigenaar/huurder van een woning,2020,0.79,0.21
 De Panne ,38008,nee,Eigenaar/huurder van een woning,2017,0.8,0.2
 De Panne ,38008,nee,Eigenaar/huurder van een woning,2020,0.74,0.26
 De Pinte ,44012,nee,Eigenaar/huurder van een woning,2017,0.9,0.1
 De Pinte ,44012,nee,Eigenaar/huurder van een woning,2020,0.87,0.13
 Deerlijk ,34009,nee,Eigenaar/huurder van een woning,2017,0.94,0.06
 Deerlijk ,34009,nee,Eigenaar/huurder van een woning,2020,0.91,0.09
 Deinze ,44011,nee,Eigenaar/huurder van een woning,2017,0.86,0.14
 Deinze ,44083,nee,Eigenaar/huurder van een woning,2020,0.83,0.17
 Denderleeuw ,41011,nee,Eigenaar/huurder van een woning,2017,0.87,0.13
 Denderleeuw ,41011,nee,Eigenaar/huurder van een woning,2020,0.8,0.2
 Dendermonde ,42006,nee,Eigenaar/huurder van een woning,2017,0.85,0.15
 Dendermonde ,42006,nee,Eigenaar/huurder van een woning,2020,0.8,0.2
 Dentergem ,37002,nee,Eigenaar/huurder van een woning,2017,0.91,0.09
 Dentergem ,37002,nee,Eigenaar/huurder van een woning,2020,0.87,0.13
 Dessel ,13006,nee,Eigenaar/huurder van een woning,2017,0.88,0.12
 Dessel ,13006,nee,Eigenaar/huurder van een woning,2020,0.87,0.13
 Destelbergen ,44013,nee,Eigenaar/huurder van een woning,2017,0.87,0.13
 Destelbergen ,44013,nee,Eigenaar/huurder van een woning,2020,0.88,0.12
 Diepenbeek ,71011,nee,Eigenaar/huurder van een woning,2017,0.9,0.1
 Diepenbeek ,71011,nee,Eigenaar/huurder van een woning,2020,0.84,0.16
 Diest ,24020,nee,Eigenaar/huurder van een woning,2017,0.82,0.18
 Diest ,24020,nee,Eigenaar/huurder van een woning,2020,0.8,0.2
 Diksmuide ,32003,nee,Eigenaar/huurder van een woning,2017,0.81,0.19
 Diksmuide ,32003,nee,Eigenaar/huurder van een woning,2020,0.84,0.16
 Dilbeek ,23016,nee,Eigenaar/huurder van een woning,2017,0.89,0.11
 Dilbeek ,23016,nee,Eigenaar/huurder van een woning,2020,0.8,0.2
 Dilsen-Stokkem ,72041,nee,Eigenaar/huurder van een woning,2017,0.87,0.13
 Dilsen-Stokkem ,72041,nee,Eigenaar/huurder van een woning,2020,0.86,0.14
 Drogenbos ,23098,nee,Eigenaar/huurder van een woning,2017,0.76,0.24
 Drogenbos ,23098,nee,Eigenaar/huurder van een woning,2020,0.63,0.37
 Duffel ,12009,nee,Eigenaar/huurder van een woning,2017,0.85,0.15
 Duffel ,12009,nee,Eigenaar/huurder van een woning,2020,0.76,0.24
 Edegem ,11013,nee,Eigenaar/huurder van een woning,2017,0.87,0.13
 Edegem ,11013,nee,Eigenaar/huurder van een woning,2020,0.88,0.12
 Eeklo ,43005,nee,Eigenaar/huurder van een woning,2017,0.76,0.24
 Eeklo ,43005,nee,Eigenaar/huurder van een woning,2020,0.76,0.24
 Erpe-Mere ,41082,nee,Eigenaar/huurder van een woning,2017,0.88,0.12
 Erpe-Mere ,41082,nee,Eigenaar/huurder van een woning,2020,0.86,0.14
