Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Aantal personen geregistreerd met een betalingsachterstand,Aantal inwoners van 18 jaar en ouder,Procent
Vlaams Gewest,2000,/,Personen met betalingsachterstand,2007,107433,4943524,0.02173
Vlaams Gewest,2000,/,Personen met betalingsachterstand,2008,110275,4986507,0.02211
Vlaams Gewest,2000,/,Personen met betalingsachterstand,2009,116296,5026557,0.02314
Vlaams Gewest,2000,/,Personen met betalingsachterstand,2010,119631,5074519,0.02357
Vlaams Gewest,2000,/,Personen met betalingsachterstand,2011,124077,5113136,0.02427
Vlaams Gewest,2000,/,Personen met betalingsachterstand,2012,127720,5139069,0.02485
Vlaams Gewest,2000,/,Personen met betalingsachterstand,2013,130842,5163109,0.02534
Vlaams Gewest,2000,/,Personen met betalingsachterstand,2014,132956,5191757,0.02561
Vlaams Gewest,2000,/,Personen met betalingsachterstand,2015,137183,5220873,0.02628
Vlaams Gewest,2000,/,Personen met betalingsachterstand,2016,139444,5251635,0.02655
Vlaams Gewest,2000,/,Personen met betalingsachterstand,2017,135843,5281360,0.02572
Vlaams Gewest,2000,/,Personen met betalingsachterstand,2018,131499,5311613,0.02476
Vlaams Gewest,2000,/,Personen met betalingsachterstand,2019,126233,5343806,0.02362
Vlaams Gewest,2000,/,Personen met betalingsachterstand,2020,118181,5363075,0.02204
Vlaams Gewest,2000,/,Personen met betalingsachterstand,2021,108888,5363075,0.0203
Aartselaar,11001,Nee,Personen met betalingsachterstand,2007,123,11670,0.01054
Aartselaar,11001,Nee,Personen met betalingsachterstand,2008,121,11689,0.01035
Aartselaar,11001,Nee,Personen met betalingsachterstand,2009,141,11729,0.01202
Aartselaar,11001,Nee,Personen met betalingsachterstand,2010,154,11804,0.01305
Aartselaar,11001,Nee,Personen met betalingsachterstand,2011,176,11773,0.01495
Aartselaar,11001,Nee,Personen met betalingsachterstand,2012,189,11762,0.01607
Aartselaar,11001,Nee,Personen met betalingsachterstand,2013,199,11733,0.01696
Aartselaar,11001,Nee,Personen met betalingsachterstand,2014,184,11687,0.01574
Aartselaar,11001,Nee,Personen met betalingsachterstand,2015,176,11740,0.01499
Aartselaar,11001,Nee,Personen met betalingsachterstand,2016,208,11722,0.01774
Aartselaar,11001,Nee,Personen met betalingsachterstand,2017,195,11815,0.0165
Aartselaar,11001,Nee,Personen met betalingsachterstand,2018,186,11778,0.01579
Aartselaar,11001,Nee,Personen met betalingsachterstand,2019,199,11870,0.01676
Aartselaar,11001,Nee,Personen met betalingsachterstand,2020,193,11898,0.01622
Aartselaar,11001,Nee,Personen met betalingsachterstand,2021,181,11898,0.01521
Antwerpen,11002,Ja,Personen met betalingsachterstand,2007,13287,374958,0.03544
Antwerpen,11002,Ja,Personen met betalingsachterstand,2008,13586,379274,0.03582
Antwerpen,11002,Ja,Personen met betalingsachterstand,2009,14629,382414,0.03825
Antwerpen,11002,Ja,Personen met betalingsachterstand,2010,15065,389092,0.03872
Antwerpen,11002,Ja,Personen met betalingsachterstand,2011,15675,395173,0.03967
Antwerpen,11002,Ja,Personen met betalingsachterstand,2012,16112,398006,0.04048
Antwerpen,11002,Ja,Personen met betalingsachterstand,2013,16763,398964,0.04202
Antwerpen,11002,Ja,Personen met betalingsachterstand,2014,16829,400219,0.04205
Antwerpen,11002,Ja,Personen met betalingsachterstand,2015,17483,402054,0.04348
Antwerpen,11002,Ja,Personen met betalingsachterstand,2016,17793,403827,0.04406
Antwerpen,11002,Ja,Personen met betalingsachterstand,2017,17200,405176,0.04245
Antwerpen,11002,Ja,Personen met betalingsachterstand,2018,16367,407109,0.0402
Antwerpen,11002,Ja,Personen met betalingsachterstand,2019,15401,409350,0.03762
Antwerpen,11002,Ja,Personen met betalingsachterstand,2020,14375,409635,0.03509
Antwerpen,11002,Ja,Personen met betalingsachterstand,2021,13020,409635,0.03178
Boechout,11004,Nee,Personen met betalingsachterstand,2007,104,9676,0.01075
Boechout,11004,Nee,Personen met betalingsachterstand,2008,115,9915,0.0116
Boechout,11004,Nee,Personen met betalingsachterstand,2009,135,10079,0.01339
Boechout,11004,Nee,Personen met betalingsachterstand,2010,120,10133,0.01184
Boechout,11004,Nee,Personen met betalingsachterstand,2011,135,10192,0.01325
Boechout,11004,Nee,Personen met betalingsachterstand,2012,144,10254,0.01404
Boechout,11004,Nee,Personen met betalingsachterstand,2013,146,10288,0.01419
Boechout,11004,Nee,Personen met betalingsachterstand,2014,132,10303,0.01281
Boechout,11004,Nee,Personen met betalingsachterstand,2015,146,10397,0.01404
Boechout,11004,Nee,Personen met betalingsachterstand,2016,142,10473,0.01356
Boechout,11004,Nee,Personen met betalingsachterstand,2017,147,10631,0.01383
Boechout,11004,Nee,Personen met betalingsachterstand,2018,161,10779,0.01494
Boechout,11004,Nee,Personen met betalingsachterstand,2019,154,10878,0.01416
Boechout,11004,Nee,Personen met betalingsachterstand,2020,132,11025,0.01197
Boechout,11004,Nee,Personen met betalingsachterstand,2021,122,11025,0.01107
Boom,11005,Nee,Personen met betalingsachterstand,2007,383,12946,0.02958
Boom,11005,Nee,Personen met betalingsachterstand,2008,400,13033,0.03069
Boom,11005,Nee,Personen met betalingsachterstand,2009,418,13099,0.03191
Boom,11005,Nee,Personen met betalingsachterstand,2010,467,13276,0.03518
Boom,11005,Nee,Personen met betalingsachterstand,2011,454,13376,0.03394
Boom,11005,Nee,Personen met betalingsachterstand,2012,467,13401,0.03485
Boom,11005,Nee,Personen met betalingsachterstand,2013,499,13362,0.03734
Boom,11005,Nee,Personen met betalingsachterstand,2014,502,13566,0.037
Boom,11005,Nee,Personen met betalingsachterstand,2015,520,13631,0.03815
Boom,11005,Nee,Personen met betalingsachterstand,2016,526,13660,0.03851
Boom,11005,Nee,Personen met betalingsachterstand,2017,530,13838,0.0383
Boom,11005,Nee,Personen met betalingsachterstand,2018,492,14022,0.03509
Boom,11005,Nee,Personen met betalingsachterstand,2019,481,14232,0.0338
Boom,11005,Nee,Personen met betalingsachterstand,2020,450,14402,0.03125
Boom,11005,Nee,Personen met betalingsachterstand,2021,416,14402,0.02888
Borsbeek,11007,Nee,Personen met betalingsachterstand,2007,171,8288,0.02063
Borsbeek,11007,Nee,Personen met betalingsachterstand,2008,200,8304,0.02408
Borsbeek,11007,Nee,Personen met betalingsachterstand,2009,227,8271,0.02745
Borsbeek,11007,Nee,Personen met betalingsachterstand,2010,224,8351,0.02682
Borsbeek,11007,Nee,Personen met betalingsachterstand,2011,245,8372,0.02926
Borsbeek,11007,Nee,Personen met betalingsachterstand,2012,257,8388,0.03064
Borsbeek,11007,Nee,Personen met betalingsachterstand,2013,257,8472,0.03034
Borsbeek,11007,Nee,Personen met betalingsachterstand,2014,260,8481,0.03066
Borsbeek,11007,Nee,Personen met betalingsachterstand,2015,270,8505,0.03175
Borsbeek,11007,Nee,Personen met betalingsachterstand,2016,286,8480,0.03373
Borsbeek,11007,Nee,Personen met betalingsachterstand,2017,286,8512,0.0336
Borsbeek,11007,Nee,Personen met betalingsachterstand,2018,285,8575,0.03324
Borsbeek,11007,Nee,Personen met betalingsachterstand,2019,276,8656,0.03189
Borsbeek,11007,Nee,Personen met betalingsachterstand,2020,248,8725,0.02842
Borsbeek,11007,Nee,Personen met betalingsachterstand,2021,231,8725,0.02648
Brasschaat,11008,Nee,Personen met betalingsachterstand,2007,431,30153,0.01429
Brasschaat,11008,Nee,Personen met betalingsachterstand,2008,425,30150,0.0141
Brasschaat,11008,Nee,Personen met betalingsachterstand,2009,450,30190,0.01491
Brasschaat,11008,Nee,Personen met betalingsachterstand,2010,486,30428,0.01597
Brasschaat,11008,Nee,Personen met betalingsachterstand,2011,519,30539,0.01699
Brasschaat,11008,Nee,Personen met betalingsachterstand,2012,541,30576,0.01769
Brasschaat,11008,Nee,Personen met betalingsachterstand,2013,552,30770,0.01794
Brasschaat,11008,Nee,Personen met betalingsachterstand,2014,565,30778,0.01836
Brasschaat,11008,Nee,Personen met betalingsachterstand,2015,613,30957,0.0198
Brasschaat,11008,Nee,Personen met betalingsachterstand,2016,597,31050,0.01923
Brasschaat,11008,Nee,Personen met betalingsachterstand,2017,587,31141,0.01885
Brasschaat,11008,Nee,Personen met betalingsachterstand,2018,576,31182,0.01847
Brasschaat,11008,Nee,Personen met betalingsachterstand,2019,578,31348,0.01844
Brasschaat,11008,Nee,Personen met betalingsachterstand,2020,473,31310,0.01511
Brasschaat,11008,Nee,Personen met betalingsachterstand,2021,466,31310,0.01488
Brecht,11009,Nee,Personen met betalingsachterstand,2007,305,21291,0.01433
Brecht,11009,Nee,Personen met betalingsachterstand,2008,339,21637,0.01567
Brecht,11009,Nee,Personen met betalingsachterstand,2009,349,21928,0.01592
Brecht,11009,Nee,Personen met betalingsachterstand,2010,378,22146,0.01707
Brecht,11009,Nee,Personen met betalingsachterstand,2011,371,22386,0.01657
Brecht,11009,Nee,Personen met betalingsachterstand,2012,386,22544,0.01712
Brecht,11009,Nee,Personen met betalingsachterstand,2013,392,22686,0.01728
Brecht,11009,Nee,Personen met betalingsachterstand,2014,402,22820,0.01762
Brecht,11009,Nee,Personen met betalingsachterstand,2015,427,23095,0.01849
Brecht,11009,Nee,Personen met betalingsachterstand,2016,424,23428,0.0181
Brecht,11009,Nee,Personen met betalingsachterstand,2017,388,23651,0.01641
Brecht,11009,Nee,Personen met betalingsachterstand,2018,413,23916,0.01727
Brecht,11009,Nee,Personen met betalingsachterstand,2019,403,24090,0.01673
Brecht,11009,Nee,Personen met betalingsachterstand,2020,406,24340,0.01668
Brecht,11009,Nee,Personen met betalingsachterstand,2021,367,24340,0.01508
Edegem,11013,Nee,Personen met betalingsachterstand,2007,196,17492,0.01121
Edegem,11013,Nee,Personen met betalingsachterstand,2008,184,17448,0.01055
Edegem,11013,Nee,Personen met betalingsachterstand,2009,192,17460,0.011
Edegem,11013,Nee,Personen met betalingsachterstand,2010,191,17421,0.01096
Edegem,11013,Nee,Personen met betalingsachterstand,2011,206,17394,0.01184
Edegem,11013,Nee,Personen met betalingsachterstand,2012,207,17435,0.01187
Edegem,11013,Nee,Personen met betalingsachterstand,2013,212,17496,0.01212
Edegem,11013,Nee,Personen met betalingsachterstand,2014,225,17470,0.01288
Edegem,11013,Nee,Personen met betalingsachterstand,2015,261,17626,0.01481
Edegem,11013,Nee,Personen met betalingsachterstand,2016,281,17810,0.01578
Edegem,11013,Nee,Personen met betalingsachterstand,2017,270,17845,0.01513
Edegem,11013,Nee,Personen met betalingsachterstand,2018,251,17854,0.01406
Edegem,11013,Nee,Personen met betalingsachterstand,2019,247,17954,0.01376
Edegem,11013,Nee,Personen met betalingsachterstand,2020,226,17856,0.01266
Edegem,11013,Nee,Personen met betalingsachterstand,2021,220,17856,0.01232
Essen,11016,Nee,Personen met betalingsachterstand,2007,168,13615,0.01234
Essen,11016,Nee,Personen met betalingsachterstand,2008,186,13837,0.01344
Essen,11016,Nee,Personen met betalingsachterstand,2009,212,13993,0.01515
Essen,11016,Nee,Personen met betalingsachterstand,2010,216,14159,0.01526
Essen,11016,Nee,Personen met betalingsachterstand,2011,210,14310,0.01468
Essen,11016,Nee,Personen met betalingsachterstand,2012,240,14334,0.01674
Essen,11016,Nee,Personen met betalingsachterstand,2013,238,14478,0.01644
Essen,11016,Nee,Personen met betalingsachterstand,2014,258,14624,0.01764
Essen,11016,Nee,Personen met betalingsachterstand,2015,245,14792,0.01656
Essen,11016,Nee,Personen met betalingsachterstand,2016,271,14969,0.0181
Essen,11016,Nee,Personen met betalingsachterstand,2017,282,15174,0.01858
Essen,11016,Nee,Personen met betalingsachterstand,2018,279,15161,0.0184
Essen,11016,Nee,Personen met betalingsachterstand,2019,268,15266,0.01756
Essen,11016,Nee,Personen met betalingsachterstand,2020,215,15270,0.01408
Essen,11016,Nee,Personen met betalingsachterstand,2021,218,15270,0.01428
Hemiksem,11018,Nee,Personen met betalingsachterstand,2007,195,7832,0.0249
Hemiksem,11018,Nee,Personen met betalingsachterstand,2008,202,7932,0.02547
Hemiksem,11018,Nee,Personen met betalingsachterstand,2009,213,7985,0.02668
Hemiksem,11018,Nee,Personen met betalingsachterstand,2010,220,8093,0.02718
Hemiksem,11018,Nee,Personen met betalingsachterstand,2011,235,8297,0.02832
Hemiksem,11018,Nee,Personen met betalingsachterstand,2012,265,8388,0.03159
Hemiksem,11018,Nee,Personen met betalingsachterstand,2013,278,8458,0.03287
Hemiksem,11018,Nee,Personen met betalingsachterstand,2014,263,8561,0.03072
Hemiksem,11018,Nee,Personen met betalingsachterstand,2015,253,8654,0.02924
Hemiksem,11018,Nee,Personen met betalingsachterstand,2016,278,8715,0.0319
Hemiksem,11018,Nee,Personen met betalingsachterstand,2017,240,8823,0.0272
Hemiksem,11018,Nee,Personen met betalingsachterstand,2018,240,8924,0.02689
Hemiksem,11018,Nee,Personen met betalingsachterstand,2019,217,8973,0.02418
Hemiksem,11018,Nee,Personen met betalingsachterstand,2020,207,9077,0.0228
Hemiksem,11018,Nee,Personen met betalingsachterstand,2021,192,9077,0.02115
Hove,11021,Nee,Personen met betalingsachterstand,2007,42,6562,0.0064
Hove,11021,Nee,Personen met betalingsachterstand,2008,38,6526,0.00582
Hove,11021,Nee,Personen met betalingsachterstand,2009,43,6511,0.0066
Hove,11021,Nee,Personen met betalingsachterstand,2010,50,6511,0.00768
Hove,11021,Nee,Personen met betalingsachterstand,2011,50,6520,0.00767
Hove,11021,Nee,Personen met betalingsachterstand,2012,47,6549,0.00718
Hove,11021,Nee,Personen met betalingsachterstand,2013,62,6571,0.00944
Hove,11021,Nee,Personen met betalingsachterstand,2014,52,6588,0.00789
Hove,11021,Nee,Personen met betalingsachterstand,2015,38,6561,0.00579
Hove,11021,Nee,Personen met betalingsachterstand,2016,39,6591,0.00592
Hove,11021,Nee,Personen met betalingsachterstand,2017,51,6583,0.00775
Hove,11021,Nee,Personen met betalingsachterstand,2018,58,6560,0.00884
Hove,11021,Nee,Personen met betalingsachterstand,2019,57,6662,0.00856
Hove,11021,Nee,Personen met betalingsachterstand,2020,51,6651,0.00767
Hove,11021,Nee,Personen met betalingsachterstand,2021,65,6651,0.00977
Kalmthout,11022,Nee,Personen met betalingsachterstand,2007,179,13855,0.01292
Kalmthout,11022,Nee,Personen met betalingsachterstand,2008,182,13871,0.01312
Kalmthout,11022,Nee,Personen met betalingsachterstand,2009,174,14037,0.0124
Kalmthout,11022,Nee,Personen met betalingsachterstand,2010,192,14248,0.01348
Kalmthout,11022,Nee,Personen met betalingsachterstand,2011,224,14434,0.01552
Kalmthout,11022,Nee,Personen met betalingsachterstand,2012,238,14519,0.01639
Kalmthout,11022,Nee,Personen met betalingsachterstand,2013,232,14502,0.016
Kalmthout,11022,Nee,Personen met betalingsachterstand,2014,232,14530,0.01597
Kalmthout,11022,Nee,Personen met betalingsachterstand,2015,230,14695,0.01565
Kalmthout,11022,Nee,Personen met betalingsachterstand,2016,254,14859,0.01709
Kalmthout,11022,Nee,Personen met betalingsachterstand,2017,218,14993,0.01454
Kalmthout,11022,Nee,Personen met betalingsachterstand,2018,215,15052,0.01428
Kalmthout,11022,Nee,Personen met betalingsachterstand,2019,197,15202,0.01296
Kalmthout,11022,Nee,Personen met betalingsachterstand,2020,188,15354,0.01224
Kalmthout,11022,Nee,Personen met betalingsachterstand,2021,169,15354,0.01101
Kapellen,11023,Nee,Personen met betalingsachterstand,2007,265,21065,0.01258
Kapellen,11023,Nee,Personen met betalingsachterstand,2008,265,21191,0.01251
Kapellen,11023,Nee,Personen met betalingsachterstand,2009,278,21416,0.01298
Kapellen,11023,Nee,Personen met betalingsachterstand,2010,291,21519,0.01352
Kapellen,11023,Nee,Personen met betalingsachterstand,2011,305,21654,0.01409
Kapellen,11023,Nee,Personen met betalingsachterstand,2012,298,21632,0.01378
Kapellen,11023,Nee,Personen met betalingsachterstand,2013,316,21680,0.01458
Kapellen,11023,Nee,Personen met betalingsachterstand,2014,347,21810,0.01591
Kapellen,11023,Nee,Personen met betalingsachterstand,2015,369,21834,0.0169
Kapellen,11023,Nee,Personen met betalingsachterstand,2016,351,21829,0.01608
Kapellen,11023,Nee,Personen met betalingsachterstand,2017,355,21820,0.01627
Kapellen,11023,Nee,Personen met betalingsachterstand,2018,371,21878,0.01696
Kapellen,11023,Nee,Personen met betalingsachterstand,2019,318,21976,0.01447
Kapellen,11023,Nee,Personen met betalingsachterstand,2020,300,22127,0.01356
Kapellen,11023,Nee,Personen met betalingsachterstand,2021,286,22127,0.01293
Kontich,11024,Nee,Personen met betalingsachterstand,2007,169,15950,0.0106
Kontich,11024,Nee,Personen met betalingsachterstand,2008,190,16096,0.0118
Kontich,11024,Nee,Personen met betalingsachterstand,2009,220,16269,0.01352
Kontich,11024,Nee,Personen met betalingsachterstand,2010,236,16394,0.0144
Kontich,11024,Nee,Personen met betalingsachterstand,2011,227,16559,0.01371
Kontich,11024,Nee,Personen met betalingsachterstand,2012,234,16687,0.01402
Kontich,11024,Nee,Personen met betalingsachterstand,2013,247,16747,0.01475
Kontich,11024,Nee,Personen met betalingsachterstand,2014,231,16750,0.01379
Kontich,11024,Nee,Personen met betalingsachterstand,2015,231,16792,0.01376
Kontich,11024,Nee,Personen met betalingsachterstand,2016,245,16881,0.01451
Kontich,11024,Nee,Personen met betalingsachterstand,2017,243,17017,0.01428
Kontich,11024,Nee,Personen met betalingsachterstand,2018,236,17045,0.01385
Kontich,11024,Nee,Personen met betalingsachterstand,2019,230,17146,0.01341
Kontich,11024,Nee,Personen met betalingsachterstand,2020,227,17197,0.0132
Kontich,11024,Nee,Personen met betalingsachterstand,2021,179,17197,0.01041
Lint,11025,Nee,Personen met betalingsachterstand,2007,44,6271,0.00702
Lint,11025,Nee,Personen met betalingsachterstand,2008,45,6396,0.00704
Lint,11025,Nee,Personen met betalingsachterstand,2009,53,6573,0.00806
Lint,11025,Nee,Personen met betalingsachterstand,2010,62,6697,0.00926
Lint,11025,Nee,Personen met betalingsachterstand,2011,68,6805,0.00999
Lint,11025,Nee,Personen met betalingsachterstand,2012,81,6857,0.01181
Lint,11025,Nee,Personen met betalingsachterstand,2013,89,6952,0.0128
Lint,11025,Nee,Personen met betalingsachterstand,2014,94,6991,0.01345
Lint,11025,Nee,Personen met betalingsachterstand,2015,114,7049,0.01617
Lint,11025,Nee,Personen met betalingsachterstand,2016,108,7011,0.0154
Lint,11025,Nee,Personen met betalingsachterstand,2017,119,7046,0.01689
Lint,11025,Nee,Personen met betalingsachterstand,2018,114,7016,0.01625
Lint,11025,Nee,Personen met betalingsachterstand,2019,92,6942,0.01325
Lint,11025,Nee,Personen met betalingsachterstand,2020,80,6895,0.0116
Lint,11025,Nee,Personen met betalingsachterstand,2021,73,6895,0.01059
Mortsel,11029,Nee,Personen met betalingsachterstand,2007,342,19612,0.01744
Mortsel,11029,Nee,Personen met betalingsachterstand,2008,331,19757,0.01675
Mortsel,11029,Nee,Personen met betalingsachterstand,2009,388,19809,0.01959
Mortsel,11029,Nee,Personen met betalingsachterstand,2010,379,19874,0.01907
Mortsel,11029,Nee,Personen met betalingsachterstand,2011,403,20084,0.02007
Mortsel,11029,Nee,Personen met betalingsachterstand,2012,422,20141,0.02095
Mortsel,11029,Nee,Personen met betalingsachterstand,2013,423,20157,0.02099
Mortsel,11029,Nee,Personen met betalingsachterstand,2014,437,20303,0.02152
Mortsel,11029,Nee,Personen met betalingsachterstand,2015,468,20421,0.02292
Mortsel,11029,Nee,Personen met betalingsachterstand,2016,466,20503,0.02273
Mortsel,11029,Nee,Personen met betalingsachterstand,2017,484,20656,0.02343
Mortsel,11029,Nee,Personen met betalingsachterstand,2018,474,20854,0.02273
Mortsel,11029,Nee,Personen met betalingsachterstand,2019,445,20893,0.0213
Mortsel,11029,Nee,Personen met betalingsachterstand,2020,388,20884,0.01858
Mortsel,11029,Nee,Personen met betalingsachterstand,2021,377,20884,0.01805
Niel,11030,Nee,Personen met betalingsachterstand,2007,189,7194,0.02627
Niel,11030,Nee,Personen met betalingsachterstand,2008,203,7199,0.0282
Niel,11030,Nee,Personen met betalingsachterstand,2009,218,7242,0.0301
Niel,11030,Nee,Personen met betalingsachterstand,2010,239,7327,0.03262
Niel,11030,Nee,Personen met betalingsachterstand,2011,254,7378,0.03443
Niel,11030,Nee,Personen met betalingsachterstand,2012,257,7454,0.03448
Niel,11030,Nee,Personen met betalingsachterstand,2013,276,7620,0.03622
Niel,11030,Nee,Personen met betalingsachterstand,2014,268,7731,0.03467
Niel,11030,Nee,Personen met betalingsachterstand,2015,264,7860,0.03359
Niel,11030,Nee,Personen met betalingsachterstand,2016,274,7897,0.0347
Niel,11030,Nee,Personen met betalingsachterstand,2017,255,7999,0.03188
Niel,11030,Nee,Personen met betalingsachterstand,2018,231,8092,0.02855
Niel,11030,Nee,Personen met betalingsachterstand,2019,199,8097,0.02458
Niel,11030,Nee,Personen met betalingsachterstand,2020,182,8109,0.02244
Niel,11030,Nee,Personen met betalingsachterstand,2021,147,8109,0.01813
Ranst,11035,Nee,Personen met betalingsachterstand,2007,162,14350,0.01129
Ranst,11035,Nee,Personen met betalingsachterstand,2008,152,14422,0.01054
Ranst,11035,Nee,Personen met betalingsachterstand,2009,190,14612,0.013
Ranst,11035,Nee,Personen met betalingsachterstand,2010,188,14823,0.01268
Ranst,11035,Nee,Personen met betalingsachterstand,2011,192,14912,0.01288
Ranst,11035,Nee,Personen met betalingsachterstand,2012,213,15052,0.01415
Ranst,11035,Nee,Personen met betalingsachterstand,2013,217,15153,0.01432
Ranst,11035,Nee,Personen met betalingsachterstand,2014,217,15245,0.01423
Ranst,11035,Nee,Personen met betalingsachterstand,2015,210,15379,0.01365
Ranst,11035,Nee,Personen met betalingsachterstand,2016,211,15509,0.01361
Ranst,11035,Nee,Personen met betalingsachterstand,2017,194,15510,0.01251
Ranst,11035,Nee,Personen met betalingsachterstand,2018,200,15596,0.01282
Ranst,11035,Nee,Personen met betalingsachterstand,2019,218,15716,0.01387
Ranst,11035,Nee,Personen met betalingsachterstand,2020,196,15745,0.01245
Ranst,11035,Nee,Personen met betalingsachterstand,2021,191,15745,0.01213
Rumst,11037,Nee,Personen met betalingsachterstand,2007,159,11751,0.01353
Rumst,11037,Nee,Personen met betalingsachterstand,2008,168,11736,0.01431
Rumst,11037,Nee,Personen met betalingsachterstand,2009,173,11717,0.01476
Rumst,11037,Nee,Personen met betalingsachterstand,2010,169,11824,0.01429
Rumst,11037,Nee,Personen met betalingsachterstand,2011,183,11906,0.01537
Rumst,11037,Nee,Personen met betalingsachterstand,2012,214,11958,0.0179
Rumst,11037,Nee,Personen met betalingsachterstand,2013,210,12043,0.01744
Rumst,11037,Nee,Personen met betalingsachterstand,2014,224,12124,0.01848
Rumst,11037,Nee,Personen met betalingsachterstand,2015,224,12111,0.0185
Rumst,11037,Nee,Personen met betalingsachterstand,2016,192,12062,0.01592
Rumst,11037,Nee,Personen met betalingsachterstand,2017,207,12110,0.01709
Rumst,11037,Nee,Personen met betalingsachterstand,2018,187,12151,0.01539
Rumst,11037,Nee,Personen met betalingsachterstand,2019,160,12086,0.01324
Rumst,11037,Nee,Personen met betalingsachterstand,2020,165,12162,0.01357
Rumst,11037,Nee,Personen met betalingsachterstand,2021,154,12162,0.01266
Schelle,11038,Nee,Personen met betalingsachterstand,2007,108,6329,0.01706
Schelle,11038,Nee,Personen met betalingsachterstand,2008,124,6374,0.01945
Schelle,11038,Nee,Personen met betalingsachterstand,2009,131,6399,0.02047
Schelle,11038,Nee,Personen met betalingsachterstand,2010,127,6395,0.01986
Schelle,11038,Nee,Personen met betalingsachterstand,2011,119,6430,0.01851
Schelle,11038,Nee,Personen met betalingsachterstand,2012,127,6508,0.01951
Schelle,11038,Nee,Personen met betalingsachterstand,2013,119,6519,0.01825
Schelle,11038,Nee,Personen met betalingsachterstand,2014,106,6563,0.01615
Schelle,11038,Nee,Personen met betalingsachterstand,2015,108,6633,0.01628
Schelle,11038,Nee,Personen met betalingsachterstand,2016,97,6709,0.01446
Schelle,11038,Nee,Personen met betalingsachterstand,2017,111,6764,0.01641
Schelle,11038,Nee,Personen met betalingsachterstand,2018,107,6814,0.0157
Schelle,11038,Nee,Personen met betalingsachterstand,2019,109,6816,0.01599
Schelle,11038,Nee,Personen met betalingsachterstand,2020,105,6826,0.01538
Schelle,11038,Nee,Personen met betalingsachterstand,2021,92,6826,0.01348
Schilde,11039,Nee,Personen met betalingsachterstand,2007,126,15679,0.00804
Schilde,11039,Nee,Personen met betalingsachterstand,2008,152,15777,0.00963
Schilde,11039,Nee,Personen met betalingsachterstand,2009,169,15797,0.0107
Schilde,11039,Nee,Personen met betalingsachterstand,2010,189,15841,0.01193
Schilde,11039,Nee,Personen met betalingsachterstand,2011,193,15914,0.01213
Schilde,11039,Nee,Personen met betalingsachterstand,2012,211,15893,0.01328
Schilde,11039,Nee,Personen met betalingsachterstand,2013,197,15948,0.01235
Schilde,11039,Nee,Personen met betalingsachterstand,2014,212,15973,0.01327
Schilde,11039,Nee,Personen met betalingsachterstand,2015,232,16076,0.01443
Schilde,11039,Nee,Personen met betalingsachterstand,2016,223,16134,0.01382
Schilde,11039,Nee,Personen met betalingsachterstand,2017,206,16202,0.01271
Schilde,11039,Nee,Personen met betalingsachterstand,2018,195,16206,0.01203
Schilde,11039,Nee,Personen met betalingsachterstand,2019,212,16374,0.01295
Schilde,11039,Nee,Personen met betalingsachterstand,2020,186,16361,0.01137
Schilde,11039,Nee,Personen met betalingsachterstand,2021,154,16361,0.00941
Schoten,11040,Nee,Personen met betalingsachterstand,2007,424,26612,0.01593
Schoten,11040,Nee,Personen met betalingsachterstand,2008,458,26656,0.01718
Schoten,11040,Nee,Personen met betalingsachterstand,2009,477,26886,0.01774
Schoten,11040,Nee,Personen met betalingsachterstand,2010,514,27153,0.01893
Schoten,11040,Nee,Personen met betalingsachterstand,2011,564,27336,0.02063
Schoten,11040,Nee,Personen met betalingsachterstand,2012,587,27424,0.0214
Schoten,11040,Nee,Personen met betalingsachterstand,2013,562,27569,0.02039
Schoten,11040,Nee,Personen met betalingsachterstand,2014,552,27640,0.01997
Schoten,11040,Nee,Personen met betalingsachterstand,2015,544,27675,0.01966
Schoten,11040,Nee,Personen met betalingsachterstand,2016,572,27851,0.02054
Schoten,11040,Nee,Personen met betalingsachterstand,2017,575,27994,0.02054
Schoten,11040,Nee,Personen met betalingsachterstand,2018,544,28057,0.01939
Schoten,11040,Nee,Personen met betalingsachterstand,2019,524,27911,0.01877
Schoten,11040,Nee,Personen met betalingsachterstand,2020,454,27923,0.01626
Schoten,11040,Nee,Personen met betalingsachterstand,2021,415,27923,0.01486
Stabroek,11044,Nee,Personen met betalingsachterstand,2007,293,14180,0.02066
Stabroek,11044,Nee,Personen met betalingsachterstand,2008,285,14243,0.02001
Stabroek,11044,Nee,Personen met betalingsachterstand,2009,315,14343,0.02196
Stabroek,11044,Nee,Personen met betalingsachterstand,2010,329,14338,0.02295
Stabroek,11044,Nee,Personen met betalingsachterstand,2011,338,14395,0.02348
Stabroek,11044,Nee,Personen met betalingsachterstand,2012,326,14480,0.02251
Stabroek,11044,Nee,Personen met betalingsachterstand,2013,311,14608,0.02129
Stabroek,11044,Nee,Personen met betalingsachterstand,2014,329,14701,0.02238
Stabroek,11044,Nee,Personen met betalingsachterstand,2015,330,14809,0.02228
Stabroek,11044,Nee,Personen met betalingsachterstand,2016,335,14819,0.02261
Stabroek,11044,Nee,Personen met betalingsachterstand,2017,314,14889,0.02109
Stabroek,11044,Nee,Personen met betalingsachterstand,2018,319,15100,0.02113
Stabroek,11044,Nee,Personen met betalingsachterstand,2019,320,15196,0.02106
Stabroek,11044,Nee,Personen met betalingsachterstand,2020,287,15129,0.01897
Stabroek,11044,Nee,Personen met betalingsachterstand,2021,252,15129,0.01666
