Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Aantal fiscale aangiften met een netto belastbaar inkomen hoger dan 50.000 euro,Aantal fiscale aangiften,Procent
Vlaams Gewest,2000,/,Aangiften groter dan 50.000 Euro,2008,461127,3589172,0.128477
Vlaams Gewest,2000,/,Aangiften groter dan 50.000 Euro,2009,484229,3591381,0.134831
Vlaams Gewest,2000,/,Aangiften groter dan 50.000 Euro,2010,497756,3621888,0.13743
Vlaams Gewest,2000,/,Aangiften groter dan 50.000 Euro,2011,535052,3622583,0.147699
Vlaams Gewest,2000,/,Aangiften groter dan 50.000 Euro,2012,580205,3588650,0.161678
Vlaams Gewest,2000,/,Aangiften groter dan 50.000 Euro,2013,610371,3607684,0.169186
Vlaams Gewest,2000,/,Aangiften groter dan 50.000 Euro,2014,672851,3642974,0.184698
Vlaams Gewest,2000,/,Aangiften groter dan 50.000 Euro,2015,674607,3666095,0.184012
Vlaams Gewest,2000,/,Aangiften groter dan 50.000 Euro,2016,683516,3688596,0.185305
Vlaams Gewest,2000,/,Aangiften groter dan 50.000 Euro,2017,718429,3719171,0.193169
Vlaams Gewest,2000,/,Aangiften groter dan 50.000 Euro,2018,754839,3747118,0.201445
Vlaams Gewest,2000,/,Aangiften groter dan 50.000 Euro,2019,782744,3756242,0.208385
Vlaams Gewest,2000,/,Aangiften groter dan 50.000 Euro,2020,826988,3753640,0.220316
Aartselaar,11001,Nee,Aangiften groter dan 50.000 Euro,2001,1233,7161,0.172183
Aartselaar,11001,Nee,Aangiften groter dan 50.000 Euro,2002,1299,7332,0.177169
Aartselaar,11001,Nee,Aangiften groter dan 50.000 Euro,2003,1347,7346,0.183365
Aartselaar,11001,Nee,Aangiften groter dan 50.000 Euro,2004,1334,7761,0.171885
Aartselaar,11001,Nee,Aangiften groter dan 50.000 Euro,2005,1424,8065,0.176565
Aartselaar,11001,Nee,Aangiften groter dan 50.000 Euro,2006,1511,8155,0.185285
Aartselaar,11001,Nee,Aangiften groter dan 50.000 Euro,2007,1561,8155,0.191416
Aartselaar,11001,Nee,Aangiften groter dan 50.000 Euro,2008,1634,8285,0.197224
Aartselaar,11001,Nee,Aangiften groter dan 50.000 Euro,2009,1700,8236,0.206411
Aartselaar,11001,Nee,Aangiften groter dan 50.000 Euro,2010,1686,8280,0.203623
Aartselaar,11001,Nee,Aangiften groter dan 50.000 Euro,2011,1800,8145,0.220994
Aartselaar,11001,Nee,Aangiften groter dan 50.000 Euro,2012,1869,8117,0.230257
Aartselaar,11001,Nee,Aangiften groter dan 50.000 Euro,2013,1878,8075,0.23257
Aartselaar,11001,Nee,Aangiften groter dan 50.000 Euro,2014,1974,8032,0.245767
Aartselaar,11001,Nee,Aangiften groter dan 50.000 Euro,2015,1974,8094,0.243884
Aartselaar,11001,Nee,Aangiften groter dan 50.000 Euro,2016,1963,8132,0.241392
Aartselaar,11001,Nee,Aangiften groter dan 50.000 Euro,2017,2044,8225,0.248511
Aartselaar,11001,Nee,Aangiften groter dan 50.000 Euro,2018,2156,8171,0.26386
Aartselaar,11001,Nee,Aangiften groter dan 50.000 Euro,2019,2243,8169,0.274575
Aartselaar,11001,Nee,Aangiften groter dan 50.000 Euro,2020,2331,8169,0.285347
Antwerpen,11002,Ja,Aangiften groter dan 50.000 Euro,2001,15039,245398,0.0612841
Antwerpen,11002,Ja,Aangiften groter dan 50.000 Euro,2002,16008,251606,0.0636233
Antwerpen,11002,Ja,Aangiften groter dan 50.000 Euro,2003,16756,253816,0.0660163
Antwerpen,11002,Ja,Aangiften groter dan 50.000 Euro,2004,17546,260774,0.0672843
Antwerpen,11002,Ja,Aangiften groter dan 50.000 Euro,2005,18461,265752,0.069467
Antwerpen,11002,Ja,Aangiften groter dan 50.000 Euro,2006,19870,271395,0.0732143
Antwerpen,11002,Ja,Aangiften groter dan 50.000 Euro,2007,21592,278295,0.0775867
Antwerpen,11002,Ja,Aangiften groter dan 50.000 Euro,2008,24028,281656,0.0853097
Antwerpen,11002,Ja,Aangiften groter dan 50.000 Euro,2009,24787,281530,0.0880439
Antwerpen,11002,Ja,Aangiften groter dan 50.000 Euro,2010,25466,283681,0.0897698
Antwerpen,11002,Ja,Aangiften groter dan 50.000 Euro,2011,27241,285142,0.0955349
Antwerpen,11002,Ja,Aangiften groter dan 50.000 Euro,2012,29562,282678,0.104578
Antwerpen,11002,Ja,Aangiften groter dan 50.000 Euro,2013,30845,282801,0.10907
Antwerpen,11002,Ja,Aangiften groter dan 50.000 Euro,2014,33821,286590,0.118012
Antwerpen,11002,Ja,Aangiften groter dan 50.000 Euro,2015,34088,288485,0.118162
Antwerpen,11002,Ja,Aangiften groter dan 50.000 Euro,2016,34799,290027,0.119985
Antwerpen,11002,Ja,Aangiften groter dan 50.000 Euro,2017,36645,291991,0.1255
Antwerpen,11002,Ja,Aangiften groter dan 50.000 Euro,2018,38632,293862,0.131463
Antwerpen,11002,Ja,Aangiften groter dan 50.000 Euro,2019,40419,294773,0.137119
Antwerpen,11002,Ja,Aangiften groter dan 50.000 Euro,2020,42635,292520,0.145751
Boechout,11004,Nee,Aangiften groter dan 50.000 Euro,2001,777,5691,0.136531
Boechout,11004,Nee,Aangiften groter dan 50.000 Euro,2002,826,5698,0.144963
Boechout,11004,Nee,Aangiften groter dan 50.000 Euro,2003,887,5696,0.155723
Boechout,11004,Nee,Aangiften groter dan 50.000 Euro,2004,929,6107,0.152121
Boechout,11004,Nee,Aangiften groter dan 50.000 Euro,2005,987,6621,0.149071
Boechout,11004,Nee,Aangiften groter dan 50.000 Euro,2006,1072,6812,0.157369
Boechout,11004,Nee,Aangiften groter dan 50.000 Euro,2007,1149,7014,0.163815
Boechout,11004,Nee,Aangiften groter dan 50.000 Euro,2008,1240,7191,0.172438
Boechout,11004,Nee,Aangiften groter dan 50.000 Euro,2009,1296,7232,0.179204
Boechout,11004,Nee,Aangiften groter dan 50.000 Euro,2010,1325,7286,0.181856
Boechout,11004,Nee,Aangiften groter dan 50.000 Euro,2011,1412,7239,0.195055
Boechout,11004,Nee,Aangiften groter dan 50.000 Euro,2012,1520,7187,0.211493
Boechout,11004,Nee,Aangiften groter dan 50.000 Euro,2013,1576,7201,0.218858
Boechout,11004,Nee,Aangiften groter dan 50.000 Euro,2014,1729,7195,0.240306
Boechout,11004,Nee,Aangiften groter dan 50.000 Euro,2015,1733,7259,0.238738
Boechout,11004,Nee,Aangiften groter dan 50.000 Euro,2016,1745,7372,0.236706
Boechout,11004,Nee,Aangiften groter dan 50.000 Euro,2017,1859,7428,0.250269
Boechout,11004,Nee,Aangiften groter dan 50.000 Euro,2018,1951,7579,0.257422
Boechout,11004,Nee,Aangiften groter dan 50.000 Euro,2019,2004,7613,0.263234
Boechout,11004,Nee,Aangiften groter dan 50.000 Euro,2020,2090,7654,0.27306
Boom,11005,Nee,Aangiften groter dan 50.000 Euro,2001,493,8494,0.058041
Boom,11005,Nee,Aangiften groter dan 50.000 Euro,2002,590,8661,0.0681215
Boom,11005,Nee,Aangiften groter dan 50.000 Euro,2003,638,8664,0.073638
Boom,11005,Nee,Aangiften groter dan 50.000 Euro,2004,672,9167,0.0733064
Boom,11005,Nee,Aangiften groter dan 50.000 Euro,2005,763,9374,0.0813953
Boom,11005,Nee,Aangiften groter dan 50.000 Euro,2006,836,9613,0.0869656
Boom,11005,Nee,Aangiften groter dan 50.000 Euro,2007,899,9682,0.0928527
Boom,11005,Nee,Aangiften groter dan 50.000 Euro,2008,1007,9787,0.102892
Boom,11005,Nee,Aangiften groter dan 50.000 Euro,2009,1023,9767,0.10474
Boom,11005,Nee,Aangiften groter dan 50.000 Euro,2010,1040,9825,0.105852
Boom,11005,Nee,Aangiften groter dan 50.000 Euro,2011,1083,9773,0.110816
Boom,11005,Nee,Aangiften groter dan 50.000 Euro,2012,1188,9725,0.122159
Boom,11005,Nee,Aangiften groter dan 50.000 Euro,2013,1264,9705,0.130242
Boom,11005,Nee,Aangiften groter dan 50.000 Euro,2014,1418,9882,0.143493
Boom,11005,Nee,Aangiften groter dan 50.000 Euro,2015,1413,9940,0.142153
Boom,11005,Nee,Aangiften groter dan 50.000 Euro,2016,1426,9986,0.1428
Boom,11005,Nee,Aangiften groter dan 50.000 Euro,2017,1503,10115,0.148591
Boom,11005,Nee,Aangiften groter dan 50.000 Euro,2018,1605,10281,0.156113
Boom,11005,Nee,Aangiften groter dan 50.000 Euro,2019,1690,10332,0.163569
Boom,11005,Nee,Aangiften groter dan 50.000 Euro,2020,1770,10399,0.170209
Borsbeek,11007,Nee,Aangiften groter dan 50.000 Euro,2001,546,5378,0.101525
Borsbeek,11007,Nee,Aangiften groter dan 50.000 Euro,2002,565,5511,0.102522
Borsbeek,11007,Nee,Aangiften groter dan 50.000 Euro,2003,590,5885,0.100255
Borsbeek,11007,Nee,Aangiften groter dan 50.000 Euro,2004,612,6044,0.101257
Borsbeek,11007,Nee,Aangiften groter dan 50.000 Euro,2005,636,6099,0.104279
Borsbeek,11007,Nee,Aangiften groter dan 50.000 Euro,2006,659,6195,0.106376
Borsbeek,11007,Nee,Aangiften groter dan 50.000 Euro,2007,707,6196,0.114106
Borsbeek,11007,Nee,Aangiften groter dan 50.000 Euro,2008,763,6237,0.122334
Borsbeek,11007,Nee,Aangiften groter dan 50.000 Euro,2009,808,6138,0.131639
Borsbeek,11007,Nee,Aangiften groter dan 50.000 Euro,2010,807,6167,0.130858
Borsbeek,11007,Nee,Aangiften groter dan 50.000 Euro,2011,821,6166,0.13315
Borsbeek,11007,Nee,Aangiften groter dan 50.000 Euro,2012,875,6036,0.144964
Borsbeek,11007,Nee,Aangiften groter dan 50.000 Euro,2013,925,6040,0.153146
Borsbeek,11007,Nee,Aangiften groter dan 50.000 Euro,2014,994,6090,0.163218
Borsbeek,11007,Nee,Aangiften groter dan 50.000 Euro,2015,1003,6117,0.163969
Borsbeek,11007,Nee,Aangiften groter dan 50.000 Euro,2016,1023,6108,0.167485
Borsbeek,11007,Nee,Aangiften groter dan 50.000 Euro,2017,1035,6130,0.168842
Borsbeek,11007,Nee,Aangiften groter dan 50.000 Euro,2018,1061,6171,0.171933
Borsbeek,11007,Nee,Aangiften groter dan 50.000 Euro,2019,1106,6202,0.17833
Borsbeek,11007,Nee,Aangiften groter dan 50.000 Euro,2020,1155,6176,0.187014
Brasschaat,11008,Nee,Aangiften groter dan 50.000 Euro,2001,2360,17445,0.135282
Brasschaat,11008,Nee,Aangiften groter dan 50.000 Euro,2002,2527,18337,0.137809
Brasschaat,11008,Nee,Aangiften groter dan 50.000 Euro,2003,2686,20582,0.130502
Brasschaat,11008,Nee,Aangiften groter dan 50.000 Euro,2004,2828,20705,0.136585
Brasschaat,11008,Nee,Aangiften groter dan 50.000 Euro,2005,2941,20862,0.140974
Brasschaat,11008,Nee,Aangiften groter dan 50.000 Euro,2006,3134,21146,0.148208
Brasschaat,11008,Nee,Aangiften groter dan 50.000 Euro,2007,3306,21303,0.155189
Brasschaat,11008,Nee,Aangiften groter dan 50.000 Euro,2008,3584,21489,0.166783
Brasschaat,11008,Nee,Aangiften groter dan 50.000 Euro,2009,3702,21369,0.173242
Brasschaat,11008,Nee,Aangiften groter dan 50.000 Euro,2010,3768,21496,0.175288
Brasschaat,11008,Nee,Aangiften groter dan 50.000 Euro,2011,3932,21357,0.184108
Brasschaat,11008,Nee,Aangiften groter dan 50.000 Euro,2012,4303,21084,0.204088
Brasschaat,11008,Nee,Aangiften groter dan 50.000 Euro,2013,4426,21307,0.207725
Brasschaat,11008,Nee,Aangiften groter dan 50.000 Euro,2014,4661,21402,0.217783
Brasschaat,11008,Nee,Aangiften groter dan 50.000 Euro,2015,4697,21611,0.217343
Brasschaat,11008,Nee,Aangiften groter dan 50.000 Euro,2016,4778,21695,0.220235
Brasschaat,11008,Nee,Aangiften groter dan 50.000 Euro,2017,5043,21776,0.231585
Brasschaat,11008,Nee,Aangiften groter dan 50.000 Euro,2018,5182,21761,0.238132
Brasschaat,11008,Nee,Aangiften groter dan 50.000 Euro,2019,5405,21807,0.247856
Brasschaat,11008,Nee,Aangiften groter dan 50.000 Euro,2020,5612,21708,0.258522
Brecht,11009,Nee,Aangiften groter dan 50.000 Euro,2001,1261,12804,0.0984848
Brecht,11009,Nee,Aangiften groter dan 50.000 Euro,2002,1414,13270,0.106556
Brecht,11009,Nee,Aangiften groter dan 50.000 Euro,2003,1530,13695,0.11172
Brecht,11009,Nee,Aangiften groter dan 50.000 Euro,2004,1652,13850,0.119278
Brecht,11009,Nee,Aangiften groter dan 50.000 Euro,2005,1790,14278,0.125368
Brecht,11009,Nee,Aangiften groter dan 50.000 Euro,2006,2005,14687,0.136515
Brecht,11009,Nee,Aangiften groter dan 50.000 Euro,2007,2212,15031,0.147163
Brecht,11009,Nee,Aangiften groter dan 50.000 Euro,2008,2464,15230,0.161786
Brecht,11009,Nee,Aangiften groter dan 50.000 Euro,2009,2531,15225,0.16624
Brecht,11009,Nee,Aangiften groter dan 50.000 Euro,2010,2645,15494,0.170711
Brecht,11009,Nee,Aangiften groter dan 50.000 Euro,2011,2798,15439,0.181229
Brecht,11009,Nee,Aangiften groter dan 50.000 Euro,2012,3069,15456,0.198564
Brecht,11009,Nee,Aangiften groter dan 50.000 Euro,2013,3223,15593,0.206695
Brecht,11009,Nee,Aangiften groter dan 50.000 Euro,2014,3497,15758,0.221919
Brecht,11009,Nee,Aangiften groter dan 50.000 Euro,2015,3543,15954,0.222076
Brecht,11009,Nee,Aangiften groter dan 50.000 Euro,2016,3630,16218,0.223825
Brecht,11009,Nee,Aangiften groter dan 50.000 Euro,2017,3841,16377,0.234536
Brecht,11009,Nee,Aangiften groter dan 50.000 Euro,2018,3959,16550,0.239215
Brecht,11009,Nee,Aangiften groter dan 50.000 Euro,2019,4100,16557,0.247629
Brecht,11009,Nee,Aangiften groter dan 50.000 Euro,2020,4352,16667,0.261115
Edegem,11013,Nee,Aangiften groter dan 50.000 Euro,2001,1632,11133,0.146591
Edegem,11013,Nee,Aangiften groter dan 50.000 Euro,2002,1712,11500,0.14887
Edegem,11013,Nee,Aangiften groter dan 50.000 Euro,2003,1738,12415,0.139992
Edegem,11013,Nee,Aangiften groter dan 50.000 Euro,2004,1805,12527,0.144089
Edegem,11013,Nee,Aangiften groter dan 50.000 Euro,2005,1866,12537,0.148839
Edegem,11013,Nee,Aangiften groter dan 50.000 Euro,2006,1918,12657,0.151537
Edegem,11013,Nee,Aangiften groter dan 50.000 Euro,2007,2057,12637,0.162776
Edegem,11013,Nee,Aangiften groter dan 50.000 Euro,2008,2239,12652,0.176968
Edegem,11013,Nee,Aangiften groter dan 50.000 Euro,2009,2248,12521,0.179538
Edegem,11013,Nee,Aangiften groter dan 50.000 Euro,2010,2237,12499,0.178974
Edegem,11013,Nee,Aangiften groter dan 50.000 Euro,2011,2349,12397,0.189481
Edegem,11013,Nee,Aangiften groter dan 50.000 Euro,2012,2523,12171,0.207296
Edegem,11013,Nee,Aangiften groter dan 50.000 Euro,2013,2589,12286,0.210728
Edegem,11013,Nee,Aangiften groter dan 50.000 Euro,2014,2770,12299,0.225222
Edegem,11013,Nee,Aangiften groter dan 50.000 Euro,2015,2847,12402,0.22956
Edegem,11013,Nee,Aangiften groter dan 50.000 Euro,2016,2875,12535,0.229358
Edegem,11013,Nee,Aangiften groter dan 50.000 Euro,2017,2997,12620,0.23748
Edegem,11013,Nee,Aangiften groter dan 50.000 Euro,2018,3215,12587,0.255422
Edegem,11013,Nee,Aangiften groter dan 50.000 Euro,2019,3261,12572,0.259386
Edegem,11013,Nee,Aangiften groter dan 50.000 Euro,2020,3362,12426,0.270562
Essen,11016,Nee,Aangiften groter dan 50.000 Euro,2001,559,7225,0.0773702
Essen,11016,Nee,Aangiften groter dan 50.000 Euro,2002,628,7821,0.0802966
Essen,11016,Nee,Aangiften groter dan 50.000 Euro,2003,728,8673,0.0839387
Essen,11016,Nee,Aangiften groter dan 50.000 Euro,2004,855,8867,0.0964249
Essen,11016,Nee,Aangiften groter dan 50.000 Euro,2005,894,8954,0.0998436
Essen,11016,Nee,Aangiften groter dan 50.000 Euro,2006,1032,9176,0.112467
Essen,11016,Nee,Aangiften groter dan 50.000 Euro,2007,1106,9353,0.118251
Essen,11016,Nee,Aangiften groter dan 50.000 Euro,2008,1249,9363,0.133397
Essen,11016,Nee,Aangiften groter dan 50.000 Euro,2009,1301,9480,0.137236
Essen,11016,Nee,Aangiften groter dan 50.000 Euro,2010,1377,9598,0.143467
Essen,11016,Nee,Aangiften groter dan 50.000 Euro,2011,1499,9647,0.155385
Essen,11016,Nee,Aangiften groter dan 50.000 Euro,2012,1627,9506,0.171155
Essen,11016,Nee,Aangiften groter dan 50.000 Euro,2013,1689,9671,0.174646
Essen,11016,Nee,Aangiften groter dan 50.000 Euro,2014,1889,9816,0.192441
Essen,11016,Nee,Aangiften groter dan 50.000 Euro,2015,1941,9995,0.194197
Essen,11016,Nee,Aangiften groter dan 50.000 Euro,2016,1943,10120,0.191996
Essen,11016,Nee,Aangiften groter dan 50.000 Euro,2017,2049,10251,0.199883
Essen,11016,Nee,Aangiften groter dan 50.000 Euro,2018,2140,10221,0.209373
Essen,11016,Nee,Aangiften groter dan 50.000 Euro,2019,2285,10301,0.221823
Essen,11016,Nee,Aangiften groter dan 50.000 Euro,2020,2421,10273,0.235666
Hemiksem,11018,Nee,Aangiften groter dan 50.000 Euro,2001,346,4785,0.0723093
Hemiksem,11018,Nee,Aangiften groter dan 50.000 Euro,2002,399,4859,0.0821157
Hemiksem,11018,Nee,Aangiften groter dan 50.000 Euro,2003,421,5027,0.0837478
Hemiksem,11018,Nee,Aangiften groter dan 50.000 Euro,2004,458,5298,0.0864477
Hemiksem,11018,Nee,Aangiften groter dan 50.000 Euro,2005,492,5427,0.0906578
Hemiksem,11018,Nee,Aangiften groter dan 50.000 Euro,2006,553,5572,0.0992462
Hemiksem,11018,Nee,Aangiften groter dan 50.000 Euro,2007,621,5606,0.110774
Hemiksem,11018,Nee,Aangiften groter dan 50.000 Euro,2008,684,5836,0.117204
Hemiksem,11018,Nee,Aangiften groter dan 50.000 Euro,2009,726,5813,0.124892
Hemiksem,11018,Nee,Aangiften groter dan 50.000 Euro,2010,763,5904,0.129234
Hemiksem,11018,Nee,Aangiften groter dan 50.000 Euro,2011,835,5952,0.140289
Hemiksem,11018,Nee,Aangiften groter dan 50.000 Euro,2012,893,5940,0.150337
Hemiksem,11018,Nee,Aangiften groter dan 50.000 Euro,2013,1001,5924,0.168974
Hemiksem,11018,Nee,Aangiften groter dan 50.000 Euro,2014,1159,6059,0.191286
Hemiksem,11018,Nee,Aangiften groter dan 50.000 Euro,2015,1167,6115,0.190842
Hemiksem,11018,Nee,Aangiften groter dan 50.000 Euro,2016,1176,6135,0.191687
Hemiksem,11018,Nee,Aangiften groter dan 50.000 Euro,2017,1262,6295,0.200477
Hemiksem,11018,Nee,Aangiften groter dan 50.000 Euro,2018,1353,6329,0.213778
Hemiksem,11018,Nee,Aangiften groter dan 50.000 Euro,2019,1421,6320,0.224842
Hemiksem,11018,Nee,Aangiften groter dan 50.000 Euro,2020,1486,6387,0.23266
Hove,11021,Nee,Aangiften groter dan 50.000 Euro,2001,742,3732,0.198821
Hove,11021,Nee,Aangiften groter dan 50.000 Euro,2002,760,3782,0.200952
Hove,11021,Nee,Aangiften groter dan 50.000 Euro,2003,778,4285,0.181564
Hove,11021,Nee,Aangiften groter dan 50.000 Euro,2004,833,4387,0.189879
Hove,11021,Nee,Aangiften groter dan 50.000 Euro,2005,882,4493,0.196305
Hove,11021,Nee,Aangiften groter dan 50.000 Euro,2006,928,4603,0.201608
Hove,11021,Nee,Aangiften groter dan 50.000 Euro,2007,996,4581,0.21742
Hove,11021,Nee,Aangiften groter dan 50.000 Euro,2008,1049,4575,0.22929
Hove,11021,Nee,Aangiften groter dan 50.000 Euro,2009,1046,4534,0.230701
Hove,11021,Nee,Aangiften groter dan 50.000 Euro,2010,1041,4492,0.231745
Hove,11021,Nee,Aangiften groter dan 50.000 Euro,2011,1114,4481,0.248605
Hove,11021,Nee,Aangiften groter dan 50.000 Euro,2012,1185,4450,0.266292
Hove,11021,Nee,Aangiften groter dan 50.000 Euro,2013,1214,4456,0.272442
Hove,11021,Nee,Aangiften groter dan 50.000 Euro,2014,1280,4461,0.286931
Hove,11021,Nee,Aangiften groter dan 50.000 Euro,2015,1252,4476,0.279714
Hove,11021,Nee,Aangiften groter dan 50.000 Euro,2016,1293,4518,0.286189
Hove,11021,Nee,Aangiften groter dan 50.000 Euro,2017,1309,4538,0.288453
Hove,11021,Nee,Aangiften groter dan 50.000 Euro,2018,1372,4506,0.304483
Hove,11021,Nee,Aangiften groter dan 50.000 Euro,2019,1461,4556,0.320676
